          current_epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.868,                 4.2035,                 2.8209,                0.48824,                0.21658,                0.18251,                0.06158,                 2.5147,                 4.6277,                 1.8205,              0.0033285,              0.0033285,              0.0033285
                      2,                 2.1824,                 1.8358,                 1.7637,                0.59372,                 0.2732,                0.31008,                0.13195,                    2.3,                 2.5485,                 1.5827,              0.0066288,              0.0066288,              0.0066288
                      3,                 1.9838,                 1.5074,                 1.5777,                0.72828,                0.39761,                0.42962,                0.18475,                 2.1146,                 1.9351,                 1.4696,              0.0098962,              0.0098962,              0.0098962
                      4,                 1.8564,                 1.2947,                 1.4806,                0.52067,                0.44825,                0.48697,                0.22947,                 2.0316,                 1.6039,                 1.4418,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.7387,                 1.1488,                 1.4127,                 0.7192,                0.47578,                0.56601,                0.26529,                 1.8808,                 1.6755,                 1.3684,               0.009802,               0.009802,               0.009802
                      6,                  1.667,                 1.0766,                  1.374,                0.53564,                0.50446,                0.61064,                 0.2626,                 1.9293,                 1.5642,                 1.3674,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.6192,                 1.0272,                 1.3425,                 0.5537,                0.52875,                0.68438,                0.31984,                 1.7539,                 1.3774,                 1.2873,               0.009703,               0.009703,               0.009703
                      8,                 1.5767,                0.99166,                 1.3215,                0.54116,                0.59526,                0.64456,                0.30705,                 1.7825,                 1.2746,                 1.2885,              0.0096535,              0.0096535,              0.0096535
                      9,                  1.549,                0.96431,                 1.3165,                0.85024,                0.52305,                0.65526,                0.26751,                 2.0333,                 1.3698,                 1.3785,               0.009604,               0.009604,               0.009604
                     10,                 1.5239,                0.94917,                 1.2959,                0.77138,                0.71315,                0.73375,                0.33855,                 1.7591,                 1.1443,                 1.2807,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.5057,                0.92504,                 1.2879,                0.73048,                0.69304,                0.74141,                 0.3544,                 1.7581,                 1.1193,                 1.2795,               0.009505,               0.009505,               0.009505
                     12,                 1.4867,                0.91155,                 1.2742,                0.84297,                0.75658,                0.77956,                0.35892,                 1.7355,                 1.1007,                  1.285,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.4648,                 0.8968,                 1.2623,                0.83493,                0.74996,                0.80754,                 0.3746,                  1.694,                 1.0947,                 1.2561,               0.009406,               0.009406,               0.009406
                     14,                 1.4556,                0.88832,                 1.2621,                0.74025,                0.73147,                0.77452,                0.36968,                 1.7422,                 1.0501,                 1.2736,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.4362,                0.87455,                 1.2489,                0.76759,                 0.7868,                0.80156,                0.38806,                 1.6783,                 1.0906,                 1.2436,               0.009307,               0.009307,               0.009307
                     16,                 1.4342,                0.87137,                 1.2495,                 0.8511,                0.73628,                0.80274,                0.38508,                 1.6694,                 1.0648,                 1.2493,              0.0092575,              0.0092575,              0.0092575
