                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8266,                 3.7813,                 3.4456,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032941,              0.0032941,              0.0032941
                      2,                 2.4734,                 2.2135,                 2.0593,                0.88295,                 0.1187,                0.22043,                0.09497,                 2.4307,                 3.9872,                 1.7347,              0.0065946,              0.0065946,              0.0065946
                      3,                 2.2018,                 1.7791,                 1.7458,                0.56351,                0.29205,                0.29887,                0.13463,                 2.1172,                 2.9113,                 1.5923,              0.0098622,              0.0098622,              0.0098622
                      4,                  2.008,                 1.4504,                 1.5805,                0.25101,                0.34411,                0.24871,                0.09679,                 2.1697,                 2.8473,                 1.5613,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8663,                 1.2275,                 1.4913,                0.42467,                0.37124,                0.38691,                0.15157,                 2.3711,                 1.9531,                 1.6567,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.7691,                 1.0886,                 1.4308,                0.45908,                0.50039,                0.50957,                0.23975,                 1.7876,                 1.2655,                 1.3568,               0.009802,               0.009802,               0.009802
                      7,                  1.698,                 1.0042,                 1.3927,                0.57287,                0.48136,                0.54072,                0.23935,                  1.854,                 1.3247,                  1.368,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.6404,                0.94554,                 1.3642,                0.51723,                0.60372,                 0.5671,                0.24144,                 1.8374,                 1.0934,                 1.3365,               0.009703,               0.009703,               0.009703
                      9,                 1.6051,                0.90524,                 1.3442,                0.67255,                0.68575,                0.71542,                0.31072,                 1.7452,                 1.0382,                 1.3133,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.5852,                 0.8805,                 1.3428,                 0.8437,                0.51583,                 0.6634,                0.31667,                 1.5984,                 1.1211,                 1.2608,               0.009604,               0.009604,               0.009604
                     11,                 1.5512,                0.86673,                 1.3177,                0.56766,                0.59803,                0.59323,                0.25533,                 1.8924,                 1.1296,                 1.3536,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.5222,                0.82772,                 1.3011,                    0.7,                 0.6815,                0.69458,                0.32497,                 1.6486,                0.99226,                 1.2954,               0.009505,               0.009505,               0.009505
                     13,                 1.5199,                 0.8267,                 1.3018,                0.70814,                0.70826,                0.74146,                0.34785,                 1.5853,                0.92281,                  1.252,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.4906,                0.80696,                 1.2849,                0.70767,                0.72228,                0.72475,                0.32924,                   1.66,                0.88916,                 1.2785,               0.009406,               0.009406,               0.009406
                     15,                 1.4777,                0.79052,                 1.2824,                0.77694,                0.73673,                0.76424,                0.35729,                 1.6158,                0.93084,                 1.2537,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.4593,                0.78462,                 1.2686,                0.67107,                0.68191,                0.69891,                 0.2933,                 1.8217,                0.92471,                 1.3846,               0.009307,               0.009307,               0.009307
                     17,                 1.4587,                 0.7898,                 1.2774,                0.74622,                0.70638,                0.72452,                0.34799,                 1.6693,                0.99383,                  1.281,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.4533,                0.77064,                 1.2629,                0.78056,                0.74889,                0.77627,                 0.3673,                 1.5629,                0.85345,                  1.236,               0.009208,               0.009208,               0.009208
                     19,                 1.4271,                0.76022,                   1.25,                0.78489,                 0.7419,                0.78095,                0.38094,                 1.5457,                0.83817,                 1.2381,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.4223,                0.74993,                 1.2523,                0.81594,                0.73535,                0.78995,                0.38788,                 1.6001,                0.86176,                 1.2399,               0.009109,               0.009109,               0.009109
                     21,                 1.4139,                0.74194,                 1.2507,                0.70559,                0.75675,                0.75911,                0.37018,                 1.5523,                 0.8086,                 1.2365,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.4048,                 0.7427,                 1.2397,                0.78405,                0.74607,                0.78586,                0.38119,                 1.5528,                0.79543,                 1.2323,                0.00901,                0.00901,                0.00901
                     23,                 1.3996,                0.73089,                 1.2352,                0.74733,                0.75942,                0.76478,                0.37772,                 1.5544,                0.81771,                  1.238,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.3858,                0.72415,                 1.2364,                0.78556,                0.74509,                0.79028,                0.39215,                 1.5575,                0.80182,                 1.2337,               0.008911,               0.008911,               0.008911
                     25,                 1.3911,                0.73006,                 1.2332,                0.71811,                0.73815,                 0.7612,                0.37361,                 1.5382,                0.83778,                 1.2276,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.3802,                0.71582,                 1.2251,                 0.8244,                0.72944,                0.80281,                0.40555,                 1.5118,                0.79659,                 1.2134,               0.008812,               0.008812,               0.008812
                     27,                 1.3791,                0.71117,                 1.2185,                0.80102,                0.76914,                  0.795,                0.38986,                 1.5148,                0.79328,                 1.2152,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.3746,                0.70964,                 1.2309,                 0.8744,                0.74293,                0.80181,                0.37581,                 1.5278,                0.79586,                 1.2226,               0.008713,               0.008713,               0.008713
                     29,                 1.3677,                 0.7107,                 1.2282,                0.84159,                0.74048,                0.81013,                0.41632,                 1.4672,                0.75398,                 1.2012,              0.0086635,              0.0086635,              0.0086635
                     30,                   1.36,                0.70273,                 1.2239,                0.73823,                0.77035,                0.77176,                 0.3795,                 1.4827,                0.75432,                 1.2076,               0.008614,               0.008614,               0.008614
                     31,                 1.3608,                0.70849,                  1.222,                0.80308,                0.75326,                 0.7903,                0.36427,                 1.6498,                0.82363,                 1.2954,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.3658,                0.70147,                 1.2196,                0.84753,                 0.7849,                0.80884,                0.40233,                 1.4694,                0.74423,                 1.1942,               0.008515,               0.008515,               0.008515
                     33,                 1.3426,                0.69205,                 1.2064,                0.78724,                0.76815,                0.80433,                0.39998,                 1.4961,                0.75387,                 1.2096,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.3387,                0.68996,                 1.2161,                0.83195,                0.76251,                0.81106,                0.42111,                 1.4642,                0.74909,                 1.1946,               0.008416,               0.008416,               0.008416
                     35,                 1.3471,                0.68437,                 1.2121,                0.75774,                0.77184,                0.76125,                0.38651,                 1.4609,                0.77653,                 1.1889,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.3317,                0.68313,                 1.2081,                0.83384,                0.76334,                0.79364,                 0.3913,                 1.5023,                0.73869,                 1.2108,               0.008317,               0.008317,               0.008317
                     37,                 1.3383,                0.68331,                 1.2006,                 0.7976,                0.74356,                0.78908,                 0.3817,                 1.6492,                0.83157,                 1.3205,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.3287,                0.68011,                 1.2031,                0.81346,                0.80499,                 0.8195,                0.41701,                 1.4829,                0.75542,                 1.1938,               0.008218,               0.008218,               0.008218
                     39,                 1.3227,                0.67599,                 1.2028,                0.80058,                0.80981,                 0.8074,                0.40912,                 1.4582,                0.74063,                 1.1865,              0.0081685,              0.0081685,              0.0081685
                     40,                  1.323,                0.67056,                 1.2007,                0.76281,                 0.7645,                0.77567,                0.39162,                  1.445,                 0.7184,                  1.178,               0.008119,               0.008119,               0.008119
                     41,                 1.3263,                0.67887,                 1.2016,                0.83054,                0.73611,                0.79819,                 0.3926,                 1.5277,                0.87505,                 1.2108,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.3175,                0.67048,                 1.1969,                0.81549,                0.77102,                0.81508,                0.41045,                 1.4801,                0.75009,                 1.1876,                0.00802,                0.00802,                0.00802
                     43,                 1.3104,                0.66869,                  1.194,                0.82379,                0.79215,                0.81325,                0.41565,                 1.4602,                0.73625,                 1.1829,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.3148,                0.66747,                 1.1968,                0.82011,                0.78688,                0.80613,                0.41723,                 1.4318,                0.75104,                 1.1763,               0.007921,               0.007921,               0.007921
                     45,                 1.3108,                0.66515,                 1.1937,                0.81434,                0.78753,                0.80421,                0.41005,                 1.4734,                0.74656,                  1.191,              0.0078715,              0.0078715,              0.0078715
                     46,                  1.303,                0.66463,                 1.1945,                0.87472,                0.79078,                0.83943,                0.42981,                 1.4287,                 0.7243,                 1.1753,               0.007822,               0.007822,               0.007822
                     47,                  1.297,                0.65631,                  1.185,                0.83636,                0.76188,                0.80723,                0.41805,                 1.4207,                0.72127,                 1.1732,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.2998,                0.65749,                 1.1876,                0.80968,                0.79325,                 0.8066,                0.41046,                 1.4259,                0.71569,                 1.1715,               0.007723,               0.007723,               0.007723
                     49,                 1.2853,                0.65113,                 1.1839,                0.85284,                0.78869,                0.82902,                0.43168,                 1.4192,                0.71223,                 1.1727,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.2988,                0.65919,                 1.1901,                0.81129,                0.79496,                0.81612,                0.42274,                 1.4189,                0.69635,                  1.169,               0.007624,               0.007624,               0.007624
                     51,                 1.2995,                0.65849,                 1.1917,                0.86503,                0.76681,                0.83144,                0.42065,                 1.4568,                0.72543,                 1.1865,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.2907,                0.65149,                   1.18,                0.83746,                0.77482,                0.82621,                0.42462,                 1.4556,                 0.7254,                 1.1769,               0.007525,               0.007525,               0.007525
                     53,                 1.2945,                0.65296,                 1.1819,                0.85568,                0.78268,                0.82475,                 0.4231,                 1.4544,                0.69525,                 1.1812,              0.0074755,              0.0074755,              0.0074755
                     54,                  1.294,                0.65754,                 1.1944,                0.87965,                0.77561,                0.84577,                0.44194,                 1.4079,                0.72502,                  1.164,               0.007426,               0.007426,               0.007426
                     55,                 1.2823,                0.64923,                 1.1798,                0.83704,                0.79376,                0.81242,                0.42239,                  1.423,                 0.7158,                 1.1692,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.2881,                0.65462,                 1.1824,                0.84468,                0.79728,                0.84013,                0.43212,                 1.4401,                0.71064,                 1.1698,               0.007327,               0.007327,               0.007327
                     57,                  1.275,                0.64036,                 1.1816,                0.80938,                0.78847,                0.83236,                0.43662,                 1.3928,                 0.7076,                 1.1606,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.2806,                0.64326,                 1.1816,                0.85962,                0.80357,                0.84043,                0.43516,                 1.4265,                0.71594,                 1.1638,               0.007228,               0.007228,               0.007228
                     59,                 1.2773,                0.64016,                 1.1751,                0.83106,                0.80896,                 0.8265,                0.42412,                 1.4243,                0.69849,                 1.1672,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.2775,                0.64279,                 1.1739,                0.86779,                0.77517,                0.84303,                0.44137,                 1.4019,                0.72063,                 1.1561,               0.007129,               0.007129,               0.007129
                     61,                 1.2735,                0.64237,                 1.1761,                0.85584,                0.79159,                0.81952,                 0.4349,                 1.3947,                0.68211,                 1.1552,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.2703,                0.63485,                 1.1735,                0.84633,                0.79128,                 0.8213,                0.41637,                 1.4432,                0.71095,                 1.1649,                0.00703,                0.00703,                0.00703
                     63,                 1.2748,                0.63308,                 1.1763,                0.86406,                0.80368,                 0.8423,                0.43975,                 1.4192,                0.70342,                 1.1636,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.2711,                0.63876,                 1.1718,                0.86936,                0.79385,                0.84576,                0.45467,                 1.3811,                0.67652,                 1.1535,               0.006931,               0.006931,               0.006931
                     65,                 1.2623,                 0.6327,                 1.1773,                0.86097,                0.78949,                0.83752,                0.44044,                 1.4012,                0.67748,                   1.16,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.2688,                0.63685,                 1.1724,                 0.8572,                 0.8046,                 0.8419,                0.44387,                 1.3927,                0.68292,                 1.1565,               0.006832,               0.006832,               0.006832
                     67,                 1.2617,                0.63688,                 1.1709,                0.86701,                0.80926,                 0.8388,                0.44594,                 1.3691,                0.67038,                 1.1484,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.2628,                0.62677,                 1.1731,                0.87297,                0.81472,                0.84664,                0.45008,                 1.3801,                0.68284,                 1.1462,               0.006733,               0.006733,               0.006733
                     69,                 1.2571,                0.62388,                 1.1685,                0.88507,                0.80247,                0.85243,                0.45519,                 1.3624,                0.67583,                 1.1416,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.2554,                 0.6262,                  1.169,                0.88605,                0.82429,                0.86554,                0.45773,                 1.3652,                0.67239,                 1.1467,               0.006634,               0.006634,               0.006634
                     71,                  1.262,                0.63272,                   1.17,                0.89405,                0.81272,                0.86225,                 0.4532,                  1.362,                0.66844,                 1.1429,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.2635,                0.62947,                 1.1648,                 0.9034,                0.78484,                0.85799,                0.45633,                 1.3702,                0.67203,                 1.1463,               0.006535,               0.006535,               0.006535
                     73,                  1.257,                0.62481,                 1.1702,                0.89669,                0.78295,                 0.8484,                0.44854,                  1.392,                0.68266,                 1.1516,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.2525,                0.62973,                 1.1693,                0.86377,                0.80877,                 0.8446,                 0.4511,                 1.3657,                0.67152,                 1.1452,               0.006436,               0.006436,               0.006436
                     75,                  1.256,                0.63358,                 1.1748,                0.89593,                 0.7959,                0.85863,                0.44748,                 1.3941,                0.69712,                 1.1532,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.2511,                0.62301,                 1.1689,                0.89041,                0.79893,                0.85895,                 0.4524,                 1.3687,                0.69919,                 1.1445,               0.006337,               0.006337,               0.006337
                     77,                 1.2541,                  0.635,                 1.1731,                0.89776,                0.79908,                0.85473,                0.45387,                 1.3719,                0.66852,                 1.1467,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.2439,                0.62481,                 1.1609,                0.89374,                0.79688,                0.85935,                0.45422,                 1.3592,                0.66004,                 1.1387,               0.006238,               0.006238,               0.006238
                     79,                 1.2433,                0.62522,                  1.166,                0.88176,                0.79599,                0.85584,                 0.4498,                 1.3465,                0.65729,                 1.1343,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.2464,                0.61953,                 1.1536,                0.91024,                0.78987,                  0.857,                 0.4549,                 1.3571,                  0.667,                  1.137,               0.006139,               0.006139,               0.006139
                     81,                 1.2447,                0.61867,                 1.1686,                0.88048,                0.80397,                0.85537,                0.45438,                 1.3552,                0.65133,                 1.1359,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.2404,                0.61846,                 1.1658,                0.88729,                0.81717,                 0.8639,                0.45666,                 1.3419,                 0.6575,                 1.1343,                0.00604,                0.00604,                0.00604
                     83,                 1.2617,                0.64956,                 1.1793,                0.87852,                0.81613,                0.86051,                0.46209,                 1.3383,                0.66487,                 1.1311,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.2392,                0.62268,                 1.1639,                 0.8939,                0.81114,                0.86117,                0.45713,                 1.3586,                0.64514,                 1.1385,               0.005941,               0.005941,               0.005941
                     85,                 1.2291,                0.61269,                 1.1549,                0.89148,                0.81856,                0.86459,                0.46063,                 1.3463,                0.65605,                 1.1342,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.2331,                0.61436,                 1.1515,                0.88068,                0.80075,                0.85319,                0.45451,                 1.3496,                0.65317,                   1.13,               0.005842,               0.005842,               0.005842
                     87,                  1.234,                0.61056,                 1.1557,                0.88302,                0.82243,                0.86679,                0.45759,                 1.3488,                 0.6586,                 1.1315,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.2395,                0.61714,                 1.1569,                0.88697,                 0.8128,                0.86021,                 0.4597,                 1.3398,                   0.64,                 1.1296,               0.005743,               0.005743,               0.005743
                     89,                 1.2314,                0.62187,                 1.1554,                0.89996,                0.81484,                0.86878,                 0.4566,                 1.3424,                0.64605,                 1.1362,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.2379,                0.62214,                 1.1529,                0.88247,                0.82238,                0.86262,                0.45989,                 1.3356,                 0.6517,                 1.1314,               0.005644,               0.005644,               0.005644
                     91,                 1.2326,                0.62108,                 1.1605,                0.88315,                0.81395,                0.85923,                0.45899,                 1.3359,                0.65153,                 1.1299,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.2302,                0.61728,                 1.1567,                0.88311,                0.81047,                0.86236,                0.45749,                 1.3289,                0.64288,                 1.1287,               0.005545,               0.005545,               0.005545
                     93,                 1.2178,                 0.6075,                 1.1511,                0.89508,                0.82183,                0.86894,                0.46566,                 1.3226,                0.64488,                 1.1262,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.2216,                0.60752,                 1.1472,                0.88062,                0.81475,                0.85396,                0.45696,                 1.3324,                0.64376,                 1.1287,               0.005446,               0.005446,               0.005446
                     95,                 1.2266,                 0.6116,                 1.1545,                0.88865,                0.81713,                0.86797,                0.46445,                 1.3316,                0.64977,                 1.1269,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.2247,                0.60973,                 1.1508,                0.88472,                0.82022,                0.86583,                 0.4642,                 1.3288,                0.64613,                 1.1258,               0.005347,               0.005347,               0.005347
                     97,                 1.2192,                 0.6153,                 1.1481,                0.88142,                0.81839,                0.86057,                0.46331,                  1.337,                0.64471,                 1.1299,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.2211,                0.60317,                 1.1483,                0.87881,                0.82045,                0.85892,                0.45771,                 1.3343,                0.63554,                 1.1285,               0.005248,               0.005248,               0.005248
                     99,                 1.2231,                0.60652,                 1.1546,                0.87934,                0.81433,                0.85897,                0.46023,                  1.321,                0.63612,                 1.1217,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.2169,                 0.6016,                 1.1412,                 0.8777,                0.82294,                0.86047,                0.46524,                 1.3228,                0.63741,                 1.1227,               0.005149,               0.005149,               0.005149
