                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2875,                  6.244,                 3.9267,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032877,              0.0032877,              0.0032877
                      2,                 3.2231,                 2.8403,                  2.261,                0.75742,                0.21557,                 0.1863,                0.06336,                 3.0305,                 2.9383,                  1.839,              0.0065882,              0.0065882,              0.0065882
                      3,                 2.8495,                 2.1522,                 1.8532,                0.44113,                0.17516,                0.16809,                0.05351,                 2.9245,                 2.6974,                 1.7428,              0.0098558,              0.0098558,              0.0098558
                      4,                 2.6643,                 1.8484,                 1.6783,                0.47075,                0.23277,                0.19697,                0.08141,                 2.7018,                 2.4576,                 1.6088,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.5403,                 1.6253,                 1.5866,                0.55635,                0.29913,                0.29621,                 0.1254,                 2.6323,                 2.6527,                 1.5923,              0.0098515,              0.0098515,              0.0098515
                      6,                 2.4726,                 1.5159,                 1.5406,                0.62279,                0.28581,                  0.333,                0.14222,                 2.6163,                  1.818,                 1.5258,               0.009802,               0.009802,               0.009802
                      7,                 2.3905,                 1.4358,                 1.5026,                0.64529,                0.37241,                 0.3663,                0.16637,                 2.4815,                 1.6084,                 1.4263,              0.0097525,              0.0097525,              0.0097525
                      8,                 2.3341,                 1.3621,                 1.4633,                0.89654,                0.32368,                 0.4017,                0.18086,                 2.5011,                 1.6821,                  1.456,               0.009703,               0.009703,               0.009703
                      9,                 2.3136,                 1.3289,                 1.4578,                0.39498,                0.43621,                 0.4367,                0.17947,                 2.6947,                 1.9678,                 1.4869,              0.0096535,              0.0096535,              0.0096535
                     10,                 2.2842,                 1.2917,                 1.4289,                0.66783,                0.34573,                0.41563,                0.19595,                 2.3669,                 1.6167,                 1.4058,               0.009604,               0.009604,               0.009604
                     11,                  2.259,                 1.2688,                 1.4198,                0.45246,                0.51341,                0.50473,                0.23104,                 2.3144,                 1.4705,                 1.3691,              0.0095545,              0.0095545,              0.0095545
                     12,                 2.2212,                 1.2337,                 1.3954,                0.67198,                0.32468,                0.45292,                0.18865,                 2.4738,                 1.5532,                 1.4365,               0.009505,               0.009505,               0.009505
                     13,                 2.2148,                 1.2245,                 1.3919,                0.52604,                 0.5539,                0.58087,                0.26754,                 2.2365,                 1.3738,                 1.3287,              0.0094555,              0.0094555,              0.0094555
                     14,                 2.1891,                 1.2064,                 1.3853,                0.62932,                0.63202,                 0.6279,                0.26461,                 2.3187,                  1.376,                 1.3454,               0.009406,               0.009406,               0.009406
                     15,                 2.1584,                 1.1832,                 1.3641,                0.61458,                0.61519,                0.64393,                0.28653,                 2.2491,                 1.5465,                 1.3387,              0.0093565,              0.0093565,              0.0093565
                     16,                 2.1425,                 1.1693,                 1.3509,                0.48792,                0.48473,                0.53508,                0.25202,                 2.2399,                 1.4363,                   1.33,               0.009307,               0.009307,               0.009307
                     17,                  2.134,                 1.1587,                 1.3536,                0.63954,                0.63529,                0.64587,                0.29731,                 2.1765,                 1.2779,                 1.2931,              0.0092575,              0.0092575,              0.0092575
                     18,                 2.1358,                 1.1592,                  1.347,                0.60839,                0.67319,                0.66191,                0.29098,                 2.2846,                 1.2557,                 1.3565,               0.009208,               0.009208,               0.009208
                     19,                 2.1102,                 1.1421,                 1.3383,                0.72911,                0.70471,                0.74419,                0.32072,                 2.1981,                 1.2025,                 1.3107,              0.0091585,              0.0091585,              0.0091585
                     20,                 2.0986,                  1.131,                 1.3315,                0.61611,                0.65212,                0.67379,                 0.3033,                 2.2095,                 1.2154,                 1.2931,               0.009109,               0.009109,               0.009109
                     21,                 2.0891,                   1.12,                 1.3312,                0.73573,                0.70861,                0.73144,                0.33119,                 2.1905,                 1.1511,                 1.2812,              0.0090595,              0.0090595,              0.0090595
                     22,                 2.0835,                 1.1177,                 1.3224,                0.72792,                0.72592,                 0.7396,                0.32813,                 2.1869,                 1.1686,                  1.283,                0.00901,                0.00901,                0.00901
                     23,                 2.0706,                 1.1092,                 1.3097,                 0.6729,                0.70941,                0.70709,                0.32506,                 2.1543,                 1.1678,                 1.2815,              0.0089605,              0.0089605,              0.0089605
                     24,                 2.0632,                 1.1008,                 1.3118,                0.66971,                0.72302,                0.74977,                0.34341,                 2.1229,                 1.1341,                 1.2712,               0.008911,               0.008911,               0.008911
                     25,                 2.0571,                 1.0994,                 1.3082,                0.78241,                0.73247,                0.75033,                0.33776,                   2.17,                 1.1251,                 1.2814,              0.0088615,              0.0088615,              0.0088615
                     26,                 2.0532,                 1.0883,                 1.3009,                0.75597,                0.72002,                0.77154,                0.33855,                 2.1631,                 1.1152,                 1.2768,               0.008812,               0.008812,               0.008812
                     27,                 2.0439,                 1.0919,                 1.3018,                0.67208,                0.71151,                0.73917,                0.34381,                 2.1843,                 1.1038,                 1.2702,              0.0087625,              0.0087625,              0.0087625
                     28,                   2.03,                  1.078,                  1.295,                0.75739,                0.70853,                0.76853,                0.34956,                 2.1688,                  1.141,                 1.2815,               0.008713,               0.008713,               0.008713
                     29,                 2.0225,                 1.0768,                 1.2946,                0.82652,                0.74192,                0.80273,                0.36932,                 2.0933,                 1.0987,                 1.2475,              0.0086635,              0.0086635,              0.0086635
                     30,                 2.0175,                  1.072,                 1.2966,                 0.8025,                 0.7598,                0.78745,                 0.3586,                 2.1614,                 1.0732,                 1.2724,               0.008614,               0.008614,               0.008614
                     31,                 2.0146,                 1.0707,                 1.2865,                0.81506,                0.74076,                0.78753,                 0.3636,                 2.1362,                  1.102,                 1.2687,              0.0085645,              0.0085645,              0.0085645
                     32,                 2.0077,                 1.0595,                 1.2764,                0.69585,                0.73385,                0.76422,                0.35727,                 2.1556,                 1.1334,                  1.253,               0.008515,               0.008515,               0.008515
                     33,                 2.0026,                 1.0629,                 1.2823,                0.79317,                0.77216,                0.77724,                0.37194,                 2.1015,                 1.0635,                 1.2458,              0.0084655,              0.0084655,              0.0084655
                     34,                 2.0008,                 1.0623,                 1.2771,                0.70375,                0.71427,                0.75672,                 0.3429,                 2.2435,                 1.1881,                 1.2713,               0.008416,               0.008416,               0.008416
                     35,                 2.0032,                 1.0591,                   1.28,                0.76721,                 0.7822,                0.78674,                0.36928,                 2.1184,                 1.0431,                 1.2462,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.9907,                 1.0562,                 1.2749,                0.72925,                0.75767,                 0.7655,                0.35525,                 2.1237,                 1.0911,                 1.2407,               0.008317,               0.008317,               0.008317
                     37,                 1.9819,                 1.0467,                 1.2662,                0.64638,                0.72132,                0.74754,                0.35965,                 2.1076,                 1.0502,                  1.236,              0.0082675,              0.0082675,              0.0082675
                     38,                  1.973,                 1.0396,                 1.2629,                0.78057,                0.76398,                0.79231,                0.37968,                  2.106,                 1.0639,                 1.2405,               0.008218,               0.008218,               0.008218
                     39,                 1.9703,                 1.0496,                 1.2666,                 0.7669,                 0.7944,                0.79391,                0.37105,                 2.0662,                 1.0227,                 1.2281,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.9664,                 1.0378,                 1.2655,                0.80233,                 0.7555,                0.79496,                 0.3612,                 2.1122,                  1.043,                 1.2475,               0.008119,               0.008119,               0.008119
                     41,                 1.9649,                 1.0313,                 1.2611,                0.77018,                0.76789,                0.79751,                0.37063,                 2.1005,                 1.0635,                 1.2263,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.9612,                 1.0298,                 1.2602,                0.78386,                0.75924,                 0.7995,                0.37901,                 2.1024,                 1.0472,                 1.2387,                0.00802,                0.00802,                0.00802
                     43,                 1.9598,                 1.0278,                 1.2547,                0.79591,                0.75583,                0.79344,                0.37982,                 2.0791,                 1.0355,                  1.227,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.9689,                 1.0349,                 1.2606,                0.78723,                0.76325,                0.81311,                0.39552,                 2.0649,                 1.0203,                 1.2242,               0.007921,               0.007921,               0.007921
                     45,                 1.9448,                 1.0212,                 1.2524,                0.81762,                0.77116,                0.81218,                0.38407,                 2.0634,                 1.0051,                 1.2151,              0.0078715,              0.0078715,              0.0078715
                     46,                  1.952,                 1.0246,                 1.2482,                0.81804,                0.76431,                0.81967,                0.40077,                 2.0474,                 1.0247,                 1.2072,               0.007822,               0.007822,               0.007822
                     47,                 1.9531,                 1.0229,                 1.2572,                0.77735,                0.77823,                0.80811,                0.39653,                  2.039,                  1.016,                 1.2155,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.9456,                 1.0233,                 1.2472,                0.80538,                 0.7345,                0.78777,                0.38645,                 2.1006,                 1.0331,                  1.212,               0.007723,               0.007723,               0.007723
                     49,                  1.942,                 1.0193,                 1.2492,                0.74263,                0.78614,                0.78821,                  0.377,                 2.1225,                 1.0275,                 1.2167,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.9344,                  1.014,                 1.2456,                 0.7871,                0.78573,                0.79492,                0.39121,                 2.0528,                 1.0136,                 1.2092,               0.007624,               0.007624,               0.007624
                     51,                 1.9439,                 1.0161,                 1.2511,                0.77638,                 0.7478,                0.78828,                0.37823,                 2.0954,                 1.0291,                 1.2152,              0.0075745,              0.0075745,              0.0075745
                     52,                  1.935,                 1.0113,                  1.245,                0.81032,                0.80817,                0.80921,                0.39604,                 2.0345,                0.98747,                 1.2046,               0.007525,               0.007525,               0.007525
                     53,                 1.9284,                 1.0047,                 1.2358,                0.83483,                0.77329,                0.82433,                0.40669,                 2.0269,                0.99987,                 1.2036,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.9311,                 1.0068,                  1.246,                 0.8167,                0.77175,                0.80823,                0.37624,                 2.0694,                 1.0084,                 1.2252,               0.007426,               0.007426,               0.007426
                     55,                 1.9187,                0.99989,                 1.2379,                0.81344,                0.78484,                 0.8236,                0.40983,                 2.0348,                0.99764,                 1.1931,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.9233,                 1.0107,                 1.2343,                0.82359,                0.77202,                0.81587,                0.39878,                 2.0637,                0.98446,                 1.2008,               0.007327,               0.007327,               0.007327
                     57,                 1.9114,                0.99703,                 1.2396,                0.80574,                0.77433,                0.80561,                 0.4029,                 2.0479,                0.99074,                 1.2118,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.9216,                  1.002,                 1.2442,                0.84283,                0.77508,                0.82794,                0.39949,                 2.0444,                 1.0051,                 1.2062,               0.007228,               0.007228,               0.007228
                     59,                 1.9106,                0.99497,                 1.2295,                0.81606,                0.74206,                0.78924,                0.38673,                 2.0513,                 1.0145,                 1.2079,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.9075,                0.99071,                 1.2317,                 0.8206,                0.78493,                0.82989,                0.41096,                 1.9936,                0.98135,                 1.1877,               0.007129,               0.007129,               0.007129
                     61,                  1.914,                0.99797,                 1.2356,                0.78422,                0.79267,                0.80367,                0.39186,                 2.0365,                0.99441,                 1.2059,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.9041,                  0.986,                 1.2322,                0.75691,                0.79043,                0.80571,                0.39773,                 2.0361,                 1.0068,                 1.2065,                0.00703,                0.00703,                0.00703
                     63,                 1.9029,                0.99235,                 1.2337,                0.81994,                0.80296,                0.82506,                0.40849,                 2.0231,                0.98542,                 1.2036,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.8968,                0.98767,                 1.2269,                0.81839,                0.78096,                0.82037,                0.40015,                 2.0234,                0.97828,                 1.1939,               0.006931,               0.006931,               0.006931
                     65,                 1.8999,                   0.99,                 1.2281,                0.83178,                0.77852,                0.82486,                 0.4167,                  2.022,                0.97667,                 1.1905,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.9062,                0.99337,                 1.2288,                0.83397,                0.80518,                0.82907,                0.42494,                 1.9944,                 0.9772,                  1.183,               0.006832,               0.006832,               0.006832
                     67,                 1.8996,                0.98708,                 1.2249,                0.82153,                0.77413,                0.81198,                0.39836,                  2.041,                 1.0009,                 1.1935,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.8935,                0.98279,                 1.2152,                0.80881,                0.76291,                0.81809,                0.40798,                 2.0465,                0.99383,                 1.1995,               0.006733,               0.006733,               0.006733
                     69,                 1.8913,                0.98311,                 1.2208,                0.78385,                0.80883,                0.82429,                0.40352,                 2.0038,                0.96967,                 1.1852,              0.0066835,              0.0066835,              0.0066835
