                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6514,                 3.6964,                 3.4206,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032941,              0.0032941,              0.0032941
                      2,                 2.4535,                 2.1556,                  2.037,                0.51928,                0.15955,                0.17116,                0.06239,                 2.4576,                 3.1169,                  1.874,              0.0065946,              0.0065946,              0.0065946
                      3,                 2.1916,                 1.7495,                 1.7421,                0.40411,                 0.3173,                0.25548,                0.09869,                 2.4213,                    inf,                 1.9619,              0.0098622,              0.0098622,              0.0098622
                      4,                  2.021,                 1.4792,                 1.5863,                0.77555,                0.27582,                0.26055,                0.10051,                 2.5484,                 2.4912,                   1.83,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8687,                 1.2277,                 1.4925,                0.31275,                0.38407,                0.30945,                0.12729,                 2.2066,                 1.9961,                 1.5692,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.7661,                 1.0911,                 1.4311,                0.55582,                0.44424,                0.49703,                0.23376,                 1.8527,                 1.4783,                 1.3718,               0.009802,               0.009802,               0.009802
                      7,                 1.6991,                 1.0126,                 1.3947,                0.58205,                0.47889,                0.58345,                 0.2564,                 1.8847,                 1.3729,                 1.3952,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.6454,                0.95195,                 1.3702,                0.57055,                0.49838,                0.54801,                0.24933,                 1.7953,                  1.175,                 1.3296,               0.009703,               0.009703,               0.009703
                      9,                 1.6017,                0.90794,                 1.3451,                0.82522,                0.48818,                0.66398,                0.29641,                 1.7385,                 1.3091,                 1.3012,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.5895,                0.88555,                 1.3457,                0.64055,                 0.6521,                0.71781,                0.31162,                 1.7017,                 1.1507,                 1.3007,               0.009604,               0.009604,               0.009604
                     11,                 1.5596,                 0.8651,                 1.3226,                0.78072,                0.66615,                0.72263,                0.31594,                 1.7311,                 1.1692,                 1.2887,              0.0095545,              0.0095545,              0.0095545
