                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6901,                 4.6278,                 4.1841,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032727,              0.0032727,              0.0032727
                      2,                 3.0268,                 2.5835,                 2.4102,                0.00649,                0.16445,                0.03005,                0.00899,                 4.2361,                 7.8366,                 3.0205,              0.0065734,              0.0065734,              0.0065734
                      3,                 2.5406,                 1.9929,                 1.8857,                0.50521,                0.20964,                0.21359,                0.05875,                 2.8407,                 3.1478,                 2.0176,               0.009841,               0.009841,               0.009841
                      4,                 2.3191,                 1.6727,                 1.6992,                0.40436,                0.33951,                0.22165,                0.08653,                 2.5761,                    inf,                 1.8155,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1966,                 1.4367,                  1.608,                0.76961,                0.15577,                0.24412,                 0.0974,                 2.7208,                 5.5271,                 1.9803,              0.0098515,              0.0098515,              0.0098515
                      6,                  2.092,                 1.3172,                 1.5484,                 0.5501,                0.30756,                0.35027,                0.15907,                 2.2623,                 1.9726,                 1.5396,               0.009802,               0.009802,               0.009802
                      7,                 2.0188,                 1.2037,                 1.5061,                0.65263,                0.33187,                0.39588,                0.17682,                 2.2407,                 1.6591,                 1.5499,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.9522,                 1.1286,                  1.465,                0.67734,                0.38883,                0.42239,                0.19897,                 1.9753,                 1.3249,                 1.4245,               0.009703,               0.009703,               0.009703
                      9,                 1.9142,                 1.0789,                 1.4465,                0.70484,                0.40477,                0.44388,                0.21139,                 1.9484,                 1.3113,                  1.401,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.8658,                 1.0378,                 1.4203,                0.33951,                0.28377,                0.28136,                 0.1002,                  2.758,                 1.9127,                  2.009,               0.009604,               0.009604,               0.009604
                     11,                 1.8323,                0.99554,                 1.4037,                0.75016,                0.43222,                0.49367,                0.21598,                 1.9547,                  1.343,                 1.4129,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.8139,                 0.9676,                 1.3947,                0.54495,                0.51733,                0.54968,                0.24661,                   1.83,                 1.1298,                  1.339,               0.009505,               0.009505,               0.009505
                     13,                 1.7776,                0.94128,                 1.3767,                 0.5567,                0.51536,                0.58766,                0.27712,                 1.8135,                 1.0804,                 1.3165,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.7573,                0.92216,                 1.3632,                0.54787,                0.61564,                0.56983,                 0.2563,                 1.8659,                  1.145,                  1.349,               0.009406,               0.009406,               0.009406
                     15,                 1.7274,                 0.8968,                  1.358,                0.63839,                 0.5895,                0.61426,                0.26889,                 1.8287,                 1.0157,                 1.3156,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.7014,                0.87439,                 1.3364,                0.59114,                0.61112,                0.60303,                0.28633,                 1.7746,                 1.0131,                 1.2996,               0.009307,               0.009307,               0.009307
                     17,                 1.6972,                  0.872,                 1.3353,                0.58757,                0.60822,                0.63714,                0.28424,                 1.9053,                 1.0283,                 1.3561,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.6776,                0.85689,                  1.325,                0.56322,                0.60363,                0.61147,                0.29913,                 1.7172,                0.93599,                 1.2732,               0.009208,               0.009208,               0.009208
                     19,                 1.6706,                0.84772,                 1.3207,                0.60451,                0.65576,                0.66396,                 0.3041,                 1.7386,                 1.0106,                 1.2853,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.6486,                0.83714,                 1.3178,                0.69111,                0.66023,                0.68634,                0.30193,                 1.8301,                0.98611,                 1.2959,               0.009109,               0.009109,               0.009109
                     21,                 1.6471,                0.83395,                   1.31,                0.65158,                0.69025,                0.71943,                0.33174,                 1.7357,                0.90679,                  1.276,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.6143,                0.81218,                  1.291,                0.64929,                0.66323,                0.67206,                0.31443,                 1.7565,                0.91358,                  1.266,                0.00901,                0.00901,                0.00901
                     23,                 1.6153,                0.80647,                 1.2985,                0.75326,                0.67589,                 0.7244,                0.33327,                 1.7406,                0.88572,                 1.2911,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.6013,                0.79691,                  1.291,                0.71447,                0.70069,                0.73078,                0.33837,                 1.7314,                0.87568,                 1.2734,               0.008911,               0.008911,               0.008911
                     25,                 1.5969,                0.80534,                 1.2866,                0.76089,                0.68217,                0.74645,                0.36336,                 1.6666,                0.85825,                 1.2449,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.5913,                 0.7844,                 1.2807,                0.75508,                0.71782,                0.76722,                0.37155,                 1.7152,                0.87506,                 1.2577,               0.008812,               0.008812,               0.008812
                     27,                 1.5694,                0.77301,                  1.267,                0.73897,                0.68889,                0.71656,                0.33315,                 1.7281,                0.86273,                 1.2648,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.5738,                0.77904,                 1.2779,                0.74322,                0.72599,                0.75885,                0.36845,                 1.6529,                0.85218,                 1.2531,               0.008713,               0.008713,               0.008713
