                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7386,                 4.6268,                 3.9882,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032727,              0.0032727,              0.0032727
                      2,                  3.025,                 2.5795,                 2.4241,                0.00698,                0.20686,                0.05439,                0.01958,                 3.7108,                 5.9514,                 2.6454,              0.0065734,              0.0065734,              0.0065734
                      3,                 2.5266,                 1.9871,                 1.8918,                0.90379,                0.11667,                0.22491,                0.07888,                 2.7384,                 2.7364,                 1.8643,               0.009841,               0.009841,               0.009841
                      4,                 2.3142,                 1.6626,                 1.6997,                0.51524,                 0.2271,                0.24466,                 0.0974,                 2.3761,                 2.0527,                 1.6881,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1786,                 1.4281,                 1.6002,                0.33386,                0.29561,                 0.3287,                0.13451,                 2.1984,                 1.8407,                 1.5494,              0.0098515,              0.0098515,              0.0098515
                      6,                 2.0751,                 1.2912,                 1.5407,                0.33331,                0.27769,                0.29887,                0.09931,                 2.4986,                 1.8076,                 1.7019,               0.009802,               0.009802,               0.009802
                      7,                 2.0022,                 1.1866,                 1.4994,                0.70633,                0.39845,                0.42182,                0.18369,                 2.0712,                 1.3029,                 1.4993,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.9335,                 1.1132,                 1.4577,                0.49097,                0.47709,                0.48313,                0.19914,                 2.0559,                 1.2339,                 1.4254,               0.009703,               0.009703,               0.009703
                      9,                 1.8989,                 1.0643,                 1.4383,                0.74114,                0.50604,                0.51741,                0.21109,                 2.0772,                  1.444,                 1.4067,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.8342,                 1.0226,                 1.4065,                0.55977,                0.49834,                0.54002,                0.25784,                 1.8274,                 1.0819,                 1.3375,               0.009604,               0.009604,               0.009604
                     11,                 1.8048,                 0.9839,                 1.3918,                0.83965,                0.51011,                0.56931,                0.26315,                 1.8386,                 1.0277,                  1.339,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.7843,                0.95539,                 1.3821,                0.71414,                0.50286,                0.57926,                0.26841,                 1.7857,                 1.0456,                 1.3053,               0.009505,               0.009505,               0.009505
                     13,                 1.7524,                0.93192,                 1.3654,                0.69199,                0.52178,                0.60379,                0.27519,                 1.7999,                0.99805,                 1.3039,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.7337,                0.91653,                 1.3527,                0.57629,                0.62522,                0.63476,                  0.288,                 1.8128,                0.98135,                  1.329,               0.009406,               0.009406,               0.009406
                     15,                 1.7008,                0.89039,                 1.3438,                0.60232,                0.68035,                0.69885,                0.32145,                 1.7134,                0.95353,                 1.2779,              0.0093565,              0.0093565,              0.0093565
                     16,                  1.675,                0.87263,                 1.3246,                0.59251,                0.53643,                0.62782,                0.29085,                 1.8882,                 1.0497,                 1.3342,               0.009307,               0.009307,               0.009307
                     17,                 1.6735,                0.86252,                 1.3241,                0.66199,                0.69241,                0.72618,                0.34152,                 1.6846,                 0.8755,                 1.2577,              0.0092575,              0.0092575,              0.0092575
                     18,                  1.649,                0.84893,                 1.3108,                0.57546,                0.68691,                0.69515,                0.31725,                 1.7346,                 0.9424,                 1.2728,               0.009208,               0.009208,               0.009208
                     19,                 1.6413,                0.84181,                 1.3074,                0.73638,                0.70516,                 0.7668,                0.34492,                 1.7093,                0.87704,                 1.2808,              0.0091585,              0.0091585,              0.0091585
                     20,                  1.622,                0.83275,                 1.3067,                0.72968,                0.71386,                0.76801,                0.36082,                 1.6814,                0.88306,                 1.2602,               0.009109,               0.009109,               0.009109
                     21,                 1.6253,                0.82821,                 1.2996,                0.65367,                0.70863,                0.70903,                0.32518,                 1.7127,                0.88928,                 1.2972,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.5936,                0.81151,                 1.2818,                0.71198,                0.69932,                0.73826,                0.32513,                 1.8235,                0.90312,                 1.2857,                0.00901,                0.00901,                0.00901
                     23,                 1.5978,                0.80707,                 1.2907,                0.63544,                0.71585,                0.72072,                0.34341,                 1.7132,                0.87274,                 1.2609,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.5826,                0.79544,                 1.2816,                0.74107,                0.76341,                0.78043,                0.36044,                 1.6588,                0.81699,                 1.2434,               0.008911,               0.008911,               0.008911
                     25,                 1.5729,                 0.8005,                 1.2738,                0.71576,                0.71134,                0.73217,                0.34939,                 1.6517,                0.84262,                 1.2344,              0.0088615,              0.0088615,              0.0088615
                     26,                  1.565,                0.78026,                 1.2689,                0.63677,                0.73689,                0.77372,                0.34178,                 1.8317,                0.89084,                 1.2827,               0.008812,               0.008812,               0.008812
                     27,                 1.5446,                 0.7697,                 1.2555,                0.61524,                0.75475,                0.73885,                0.33734,                 1.7431,                0.82406,                 1.2531,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.5509,                0.77634,                 1.2681,                0.80944,                0.74512,                 0.7929,                   0.38,                 1.6725,                0.81692,                 1.2388,               0.008713,               0.008713,               0.008713
                     29,                 1.5348,                0.76611,                 1.2604,                0.75775,                0.75734,                0.80604,                0.40271,                 1.5898,                0.78933,                 1.2046,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.5378,                0.76517,                 1.2543,                0.75353,                 0.7564,                0.75736,                 0.3572,                 1.7097,                0.86398,                 1.2366,               0.008614,               0.008614,               0.008614
                     31,                 1.5268,                0.75747,                 1.2553,                0.78226,                0.74276,                0.76853,                0.37611,                  1.622,                 0.8521,                 1.2247,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.5237,                0.75816,                  1.252,                0.83487,                0.75649,                0.81373,                0.40023,                 1.6031,                0.76901,                   1.22,               0.008515,               0.008515,               0.008515
                     33,                 1.5201,                0.75758,                 1.2563,                0.82427,                0.78792,                0.81738,                0.40014,                   1.61,                0.79531,                 1.2214,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.5063,                0.74866,                 1.2526,                0.80967,                0.77496,                0.81991,                0.40955,                 1.6305,                0.79535,                 1.2254,               0.008416,               0.008416,               0.008416
                     35,                 1.5008,                0.73607,                 1.2444,                0.81903,                0.75499,                0.81483,                 0.4092,                 1.6297,                0.77757,                 1.2178,              0.0083665,              0.0083665,              0.0083665
                     36,                  1.498,                0.73608,                 1.2436,                0.78299,                0.74974,                0.79168,                0.35916,                 1.7842,                0.81429,                  1.253,               0.008317,               0.008317,               0.008317
                     37,                  1.482,                0.73469,                 1.2338,                0.82756,                0.77829,                0.81896,                0.40977,                 1.5844,                 0.7767,                 1.2105,              0.0082675,              0.0082675,              0.0082675
                     38,                   1.48,                0.72572,                 1.2304,                0.78064,                0.75707,                0.78391,                0.39202,                  1.628,                0.78019,                 1.2237,               0.008218,               0.008218,               0.008218
                     39,                 1.4688,                0.72766,                 1.2343,                0.76524,                0.77857,                0.81111,                0.40604,                 1.5736,                0.75667,                 1.1979,              0.0081685,              0.0081685,              0.0081685
                     40,                  1.475,                0.72236,                  1.231,                0.79243,                 0.7748,                0.81636,                0.40518,                 1.6058,                0.75736,                 1.2117,               0.008119,               0.008119,               0.008119
                     41,                 1.4716,                0.72015,                 1.2303,                0.78812,                0.78816,                0.82133,                 0.4204,                 1.5402,                0.74088,                 1.1927,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.4659,                0.71377,                 1.2262,                0.78562,                0.74308,                0.80069,                0.38865,                 1.7065,                0.84184,                 1.3081,                0.00802,                0.00802,                0.00802
                     43,                  1.463,                0.71462,                 1.2237,                0.85456,                0.77638,                0.83298,                0.42613,                 1.5322,                0.72599,                 1.1917,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.4606,                0.71929,                 1.2189,                0.82628,                0.76303,                0.82994,                0.42193,                 1.5687,                0.74318,                 1.2009,               0.007921,               0.007921,               0.007921
                     45,                 1.4604,                0.71426,                  1.227,                 0.8356,                0.78029,                0.83873,                0.42881,                 1.5524,                0.75087,                 1.1874,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.4507,                0.70551,                 1.2183,                0.81879,                0.78924,                0.83723,                0.42085,                 1.5396,                0.76296,                 1.1996,               0.007822,               0.007822,               0.007822
                     47,                 1.4488,                0.70393,                 1.2154,                0.81509,                0.76292,                0.81563,                0.41492,                 1.6192,                0.78089,                 1.2293,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.4495,                0.71326,                 1.2187,                 0.8211,                0.76202,                0.80923,                0.40816,                 1.5737,                0.74595,                 1.2015,               0.007723,               0.007723,               0.007723
                     49,                 1.4385,                0.70115,                 1.2113,                0.78099,                0.76301,                0.80996,                0.41921,                 1.5213,                0.75358,                 1.1836,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.4267,                0.69419,                 1.2084,                0.80773,                0.77501,                0.82323,                0.42244,                    1.5,                0.73014,                 1.1804,               0.007624,               0.007624,               0.007624
