                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3993,                 4.0452,                 3.4925,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033278,              0.0033278,              0.0033278
                      2,                  2.748,                 2.5826,                 2.3975,                0.18202,                 0.3161,                0.18552,                0.06272,                 2.7882,                 3.2905,                 2.2412,              0.0066104,              0.0066104,              0.0066104
                      3,                 2.5426,                 2.2013,                 2.1675,                0.27914,                0.29772,                0.27052,                0.10559,                 2.8323,                 2.7822,                  2.208,              0.0098423,              0.0098423,              0.0098423
                      4,                 2.4245,                 1.9011,                 2.0358,                0.35891,                 0.2796,                0.31315,                0.14767,                 2.5523,                 2.8184,                 2.0529,              0.0097715,              0.0097715,              0.0097715
                      5,                 2.3301,                 1.7054,                 1.9509,                0.84778,                0.31387,                0.36542,                0.17447,                 2.4175,                 2.3413,                 1.8763,              0.0097715,              0.0097715,              0.0097715
                      6,                 2.2535,                 1.5905,                 1.8841,                0.75427,                 0.4782,                 0.4923,                0.24144,                  2.301,                 1.9727,                 1.7322,              0.0096954,              0.0096954,              0.0096954
                      7,                 2.2104,                 1.5303,                 1.8716,                0.43741,                 0.4916,                0.52829,                0.24901,                 2.3427,                  1.923,                 1.7639,              0.0096192,              0.0096192,              0.0096192
                      8,                 2.1676,                 1.4571,                 1.8121,                0.61695,                0.51606,                0.54952,                0.26999,                 2.3077,                 1.8013,                  1.735,              0.0095431,              0.0095431,              0.0095431
                      9,                 2.1324,                 1.4142,                 1.7939,                 0.5365,                 0.5188,                0.55014,                0.25311,                 2.3659,                 1.8105,                 1.7677,              0.0094669,              0.0094669,              0.0094669
                     10,                 2.1104,                 1.3941,                 1.7771,                0.58931,                 0.5729,                0.62887,                 0.2945,                 2.3961,                 1.8163,                 1.7819,              0.0093908,              0.0093908,              0.0093908
                     11,                 2.0786,                 1.3616,                 1.7563,                0.67808,                 0.5462,                0.66645,                0.30673,                 2.2455,                 1.7241,                 1.7274,              0.0093146,              0.0093146,              0.0093146
                     12,                 2.0541,                 1.3298,                 1.7239,                0.61193,                0.70199,                0.69988,                0.33555,                 2.1929,                 1.7195,                 1.6931,              0.0092385,              0.0092385,              0.0092385
                     13,                  2.041,                 1.3251,                 1.7148,                 0.5656,                0.71003,                0.67971,                0.32907,                 2.1974,                 1.6216,                 1.6653,              0.0091623,              0.0091623,              0.0091623
                     14,                 2.0305,                  1.308,                  1.709,                0.54291,                0.71869,                0.70951,                0.35226,                 2.1566,                 1.6441,                 1.6635,              0.0090862,              0.0090862,              0.0090862
                     15,                 2.0175,                 1.2839,                 1.6947,                0.72815,                0.72228,                0.76009,                0.37227,                 2.1663,                 1.5677,                 1.6546,                0.00901,                0.00901,                0.00901
                     16,                 2.0037,                 1.2707,                 1.6812,                0.68814,                0.73394,                 0.7379,                0.35216,                 2.2157,                    1.6,                 1.6591,              0.0089338,              0.0089338,              0.0089338
                     17,                 1.9899,                 1.2686,                 1.6763,                 0.7367,                0.72548,                0.76996,                0.38266,                  2.123,                 1.4966,                 1.6389,              0.0088577,              0.0088577,              0.0088577
                     18,                 1.9862,                 1.2634,                 1.6649,                0.68493,                0.77326,                0.77676,                0.36302,                 2.1991,                 1.4653,                 1.6597,              0.0087815,              0.0087815,              0.0087815
                     19,                 1.9719,                 1.2431,                  1.652,                  0.633,                0.74252,                0.72502,                0.36558,                  2.115,                 1.4557,                 1.6267,              0.0087054,              0.0087054,              0.0087054
                     20,                 1.9596,                 1.2318,                 1.6556,                0.70936,                0.77529,                0.78216,                0.39011,                 2.1415,                 1.4654,                 1.6652,              0.0086292,              0.0086292,              0.0086292
                     21,                 1.9569,                 1.2355,                 1.6521,                 0.7056,                0.73441,                0.76241,                0.38825,                 2.1167,                 1.4882,                 1.6254,              0.0085531,              0.0085531,              0.0085531
                     22,                 1.9463,                 1.2206,                 1.6294,                0.66735,                0.77394,                0.73647,                0.36917,                 2.0974,                 1.4139,                  1.618,              0.0084769,              0.0084769,              0.0084769
                     23,                  1.938,                 1.2161,                 1.6264,                0.64239,                0.74648,                 0.7302,                0.36813,                 2.1076,                 1.4191,                 1.6085,              0.0084008,              0.0084008,              0.0084008
                     24,                 1.9293,                    1.2,                 1.6181,                0.71915,                0.77493,                0.75761,                0.38421,                 2.1136,                 1.3717,                 1.5945,              0.0083246,              0.0083246,              0.0083246
                     25,                 1.9218,                 1.2005,                 1.6178,                0.70548,                0.76291,                0.77657,                0.40483,                 2.1085,                  1.355,                 1.5979,              0.0082485,              0.0082485,              0.0082485
                     26,                 1.9185,                 1.1935,                 1.6106,                0.72756,                0.75462,                0.80215,                0.40263,                 2.0825,                 1.3895,                 1.5901,              0.0081723,              0.0081723,              0.0081723
                     27,                 1.9062,                 1.1778,                 1.6011,                0.73427,                0.78649,                 0.7764,                 0.3825,                 2.0769,                 1.3793,                  1.586,              0.0080962,              0.0080962,              0.0080962
                     28,                  1.905,                  1.169,                 1.6021,                0.72799,                0.79357,                0.77655,                0.40104,                 2.0833,                 1.3542,                  1.592,                0.00802,                0.00802,                0.00802
                     29,                 1.9016,                 1.1767,                 1.6013,                 0.7273,                0.79577,                0.79968,                0.42021,                  2.049,                 1.3096,                 1.5646,              0.0079438,              0.0079438,              0.0079438
                     30,                  1.895,                 1.1668,                 1.5945,                0.74073,                0.79305,                0.78396,                0.40539,                 2.0476,                 1.2881,                  1.566,              0.0078677,              0.0078677,              0.0078677
                     31,                  1.893,                 1.1664,                 1.5855,                0.79583,                0.80304,                0.82547,                0.42424,                 2.0442,                  1.355,                 1.5704,              0.0077915,              0.0077915,              0.0077915
                     32,                 1.8839,                 1.1649,                 1.5904,                0.76559,                0.77516,                0.80521,                0.41065,                 2.0543,                 1.2899,                 1.5855,              0.0077154,              0.0077154,              0.0077154
                     33,                 1.8827,                 1.1614,                 1.5881,                0.78762,                0.80412,                0.83001,                0.42592,                 2.0501,                 1.3013,                 1.5559,              0.0076392,              0.0076392,              0.0076392
                     34,                 1.8724,                 1.1531,                 1.5779,                0.77219,                0.81396,                0.82069,                0.42613,                 2.0646,                 1.2457,                 1.5744,              0.0075631,              0.0075631,              0.0075631
                     35,                   1.87,                 1.1525,                  1.572,                0.73416,                0.79156,                0.78945,                0.41137,                 2.0012,                 1.2558,                 1.5414,              0.0074869,              0.0074869,              0.0074869
                     36,                 1.8638,                 1.1495,                 1.5702,                 0.7458,                0.78489,                0.78966,                0.41112,                 2.0061,                 1.2674,                 1.5427,              0.0074108,              0.0074108,              0.0074108
                     37,                 1.8675,                 1.1544,                 1.5759,                0.72913,                 0.8201,                0.80323,                0.41952,                 1.9989,                 1.2613,                 1.5584,              0.0073346,              0.0073346,              0.0073346
                     38,                 1.8679,                 1.1491,                 1.5726,                0.76811,                0.80503,                0.81315,                 0.4254,                 2.0113,                 1.2111,                 1.5596,              0.0072585,              0.0072585,              0.0072585
                     39,                 1.8615,                 1.1367,                 1.5706,                0.75098,                0.79615,                0.80955,                0.42299,                 2.0153,                 1.1984,                 1.5318,              0.0071823,              0.0071823,              0.0071823
                     40,                 1.8488,                 1.1327,                 1.5607,                0.78042,                0.80113,                0.82441,                0.44076,                 1.9648,                 1.2208,                 1.5149,              0.0071062,              0.0071062,              0.0071062
                     41,                 1.8551,                 1.1337,                  1.555,                0.74199,                0.79903,                0.80798,                 0.4348,                 1.9942,                 1.2331,                 1.5217,                0.00703,                0.00703,                0.00703
                     42,                 1.8482,                 1.1292,                 1.5506,                0.79836,                0.81546,                0.83822,                0.44422,                 1.9801,                 1.2076,                 1.5402,              0.0069538,              0.0069538,              0.0069538
                     43,                 1.8552,                 1.1308,                 1.5585,                0.79911,                0.80571,                0.82767,                 0.4329,                 1.9878,                 1.2042,                 1.5454,              0.0068777,              0.0068777,              0.0068777
                     44,                 1.8365,                 1.1166,                 1.5529,                0.76416,                0.82398,                0.83406,                0.44119,                 1.9598,                 1.1841,                 1.5524,              0.0068015,              0.0068015,              0.0068015
                     45,                 1.8382,                 1.1179,                 1.5486,                0.76389,                0.80618,                0.82724,                0.44384,                  1.974,                 1.1853,                 1.5281,              0.0067254,              0.0067254,              0.0067254
                     46,                 1.8398,                 1.1268,                 1.5531,                0.76504,                0.81094,                0.82239,                0.43347,                 1.9711,                 1.1714,                 1.5165,              0.0066492,              0.0066492,              0.0066492
                     47,                  1.836,                 1.1176,                 1.5441,                0.77743,                0.81758,                0.83417,                0.45221,                 1.9661,                  1.171,                 1.5243,              0.0065731,              0.0065731,              0.0065731
                     48,                 1.8287,                 1.1123,                  1.542,                0.79812,                0.80421,                0.83834,                0.44584,                 1.9924,                 1.1713,                 1.5213,              0.0064969,              0.0064969,              0.0064969
                     49,                 1.8219,                  1.114,                 1.5377,                0.77302,                0.81216,                0.83321,                0.44764,                 1.9764,                 1.1617,                 1.5124,              0.0064208,              0.0064208,              0.0064208
                     50,                 1.8219,                 1.1062,                 1.5409,                0.77013,                0.82046,                0.83011,                0.44357,                 1.9567,                 1.1691,                 1.5073,              0.0063446,              0.0063446,              0.0063446
                     51,                 1.8219,                 1.1058,                 1.5395,                0.77582,                0.81016,                 0.8172,                0.43725,                 1.9729,                 1.1708,                 1.5142,              0.0062685,              0.0062685,              0.0062685
                     52,                 1.8153,                 1.1005,                 1.5357,                0.79176,                0.82725,                0.83327,                0.44729,                 1.9577,                 1.1679,                 1.5041,              0.0061923,              0.0061923,              0.0061923
                     53,                 1.8152,                 1.0981,                 1.5228,                0.83098,                 0.8314,                0.85602,                0.45971,                 1.9614,                 1.1563,                 1.5022,              0.0061162,              0.0061162,              0.0061162
                     54,                 1.8172,                 1.1061,                 1.5315,                0.79865,                0.81553,                0.84378,                0.45059,                 1.9439,                 1.1638,                 1.4987,                0.00604,                0.00604,                0.00604
                     55,                 1.8122,                  1.098,                 1.5243,                0.79351,                0.81902,                0.84185,                0.44934,                 1.9549,                 1.1625,                 1.4892,              0.0059638,              0.0059638,              0.0059638
                     56,                 1.8078,                 1.0939,                 1.5261,                 0.8084,                0.82289,                0.83763,                0.44751,                 1.9292,                 1.1487,                 1.4877,              0.0058877,              0.0058877,              0.0058877
                     57,                 1.8119,                 1.0922,                 1.5247,                0.81891,                0.84078,                0.84883,                0.45277,                 1.9126,                 1.1421,                  1.482,              0.0058115,              0.0058115,              0.0058115
                     58,                 1.8054,                 1.0818,                 1.5236,                 0.7873,                0.82829,                0.83559,                0.44846,                 1.9201,                 1.1324,                 1.4776,              0.0057354,              0.0057354,              0.0057354
                     59,                 1.8009,                 1.0831,                 1.5132,                0.78951,                0.83002,                0.83518,                0.44672,                 1.9345,                 1.1366,                 1.4745,              0.0056592,              0.0056592,              0.0056592
                     60,                 1.7979,                 1.0799,                 1.5169,                0.80632,                0.82714,                0.84268,                 0.4522,                 1.9281,                 1.1315,                 1.4727,              0.0055831,              0.0055831,              0.0055831
                     61,                 1.7973,                 1.0836,                  1.512,                0.80187,                0.81691,                 0.8352,                0.44992,                 1.9281,                 1.1318,                 1.4696,              0.0055069,              0.0055069,              0.0055069
                     62,                  1.795,                 1.0784,                 1.5087,                0.77206,                0.82963,                0.82251,                0.44063,                 1.9243,                 1.1223,                 1.4645,              0.0054308,              0.0054308,              0.0054308
                     63,                 1.7911,                 1.0717,                 1.5146,                0.79702,                0.84187,                0.83844,                0.45322,                 1.9185,                 1.1076,                 1.4655,              0.0053546,              0.0053546,              0.0053546
                     64,                 1.7929,                 1.0796,                  1.507,                0.79831,                0.84379,                0.84423,                0.45655,                  1.914,                 1.1179,                 1.4613,              0.0052785,              0.0052785,              0.0052785
