                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2631,                 4.2054,                 3.6665,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032787,              0.0032787,              0.0032787
                      2,                 2.7344,                 2.3236,                 2.1025,                0.92427,                0.13149,                0.23482,                0.07989,                 2.6134,                 3.0876,                 1.8732,              0.0065793,              0.0065793,              0.0065793
                      3,                 2.4543,                 1.8922,                 1.8096,                0.44141,                0.24706,                0.16361,                0.06396,                 2.4398,                 3.2138,                 1.7362,              0.0098469,              0.0098469,              0.0098469
                      4,                 2.2549,                 1.5913,                 1.6549,                0.20405,                0.20539,                0.16792,                0.04398,                 2.9642,                 3.4038,                  2.052,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1181,                 1.3589,                 1.5567,                0.62553,                0.29646,                0.33645,                0.16765,                 2.2294,                 1.9766,                 1.5648,              0.0098515,              0.0098515,              0.0098515
                      6,                 2.0055,                 1.2268,                 1.4959,                0.63626,                0.33079,                0.39296,                0.19392,                 2.0148,                 1.4787,                  1.433,               0.009802,               0.009802,               0.009802
                      7,                 1.9437,                 1.1283,                 1.4655,                0.63501,                0.33884,                0.40729,                0.19843,                 1.9927,                 1.4353,                 1.4033,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.8812,                 1.0582,                 1.4267,                0.47273,                0.46112,                0.50438,                0.23216,                 1.9243,                 1.1784,                 1.3933,               0.009703,               0.009703,               0.009703
                      9,                 1.8322,                 1.0091,                 1.4067,                0.56098,                0.50619,                0.54778,                 0.2488,                 1.8736,                 1.1307,                 1.3678,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.7991,                0.96747,                 1.3845,                0.70901,                0.48975,                0.51842,                0.23179,                 1.9265,                  1.103,                 1.3865,               0.009604,               0.009604,               0.009604
                     11,                 1.7646,                0.92543,                 1.3724,                0.51602,                0.59901,                0.58473,                0.25677,                 1.8584,                 1.0717,                 1.3792,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.7225,                0.89898,                 1.3468,                0.50058,                0.45269,                0.50994,                0.24776,                 1.8396,                 1.2565,                 1.3301,               0.009505,               0.009505,               0.009505
                     13,                  1.697,                0.87456,                 1.3364,                0.55219,                0.50617,                0.53588,                0.25298,                 1.8384,                 1.0846,                 1.3146,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.6796,                0.86192,                 1.3242,                0.52286,                0.51749,                0.56654,                0.25222,                 1.9437,                 1.0453,                 1.4109,               0.009406,               0.009406,               0.009406
                     15,                 1.6594,                0.84096,                 1.3179,                0.49748,                0.56001,                0.56177,                0.26168,                 1.8518,                0.92302,                 1.3137,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.6281,                0.81964,                 1.3052,                0.57047,                0.63912,                0.65051,                0.31421,                  1.724,                0.91832,                 1.2715,               0.009307,               0.009307,               0.009307
                     17,                 1.6226,                0.81603,                 1.3007,                0.60357,                0.67885,                0.69346,                0.33046,                 1.6726,                0.92101,                 1.2614,              0.0092575,              0.0092575,              0.0092575
                     18,                   1.61,                0.80165,                 1.2923,                0.59636,                0.63334,                0.62625,                0.30171,                 1.6895,                0.96318,                 1.2725,               0.009208,               0.009208,               0.009208
                     19,                 1.5922,                0.78189,                 1.2796,                0.68495,                0.72797,                0.75868,                0.35004,                 1.7603,                0.86076,                 1.2972,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.5785,                0.77588,                  1.284,                0.69255,                0.70686,                0.73045,                0.34443,                 1.6996,                0.90205,                 1.2561,               0.009109,               0.009109,               0.009109
                     21,                 1.5758,                0.77408,                 1.2863,                0.65461,                0.70026,                0.71962,                0.33719,                  1.699,                0.88039,                 1.2538,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.5563,                  0.764,                 1.2643,                0.70634,                0.70186,                0.72654,                0.35116,                 1.6778,                0.85109,                 1.2395,                0.00901,                0.00901,                0.00901
                     23,                 1.5456,                0.75683,                 1.2672,                0.74408,                 0.7316,                0.75704,                0.36929,                 1.6309,                0.79058,                 1.2314,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.5481,                0.75323,                 1.2672,                0.75622,                0.76305,                0.77707,                0.37068,                 1.7064,                0.82126,                 1.2559,               0.008911,               0.008911,               0.008911
                     25,                  1.531,                0.74651,                 1.2585,                0.68107,                0.71412,                0.74155,                0.32668,                 1.8008,                0.80277,                 1.2867,              0.0088615,              0.0088615,              0.0088615
