          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0865,                 5.2456,                  3.403,                 4.6166,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065185,             0.00065185,             0.00065185
                      2,                 2.3897,                 3.3358,                 2.9558,                 3.6016,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001312,               0.001312,               0.001312
                      3,                 1.9296,                 2.9531,                 2.4357,                 2.9644,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019655,              0.0019655,              0.0019655
                      4,                 1.5639,                 2.6681,                 1.8766,                 2.4549,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.3287,                 2.3931,                 1.5091,                 2.1376,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.2052,                 2.2574,                 1.3227,                 1.9618,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.1395,                 2.0785,                 1.2193,                 1.8658,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.0717,                 1.9487,                 1.1105,                 1.7749,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.0326,                 1.8937,                 1.0588,                 1.7202,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019208,              0.0019208,              0.0019208
                     10,                0.99341,                 1.8206,                 1.0076,                 1.6661,                0.83022,                0.73576,                0.80649,                0.59468,                0.84817,                0.73059,                0.81047,                0.58753,                  1.013,                 1.9989,                 1.0915,                 1.6847,              0.0019109,              0.0019109,              0.0019109
                     11,                0.96114,                 1.7445,                0.96396,                 1.6283,                0.83022,                0.73576,                0.80649,                0.59468,                0.84817,                0.73059,                0.81047,                0.58753,                  1.013,                 1.9989,                 1.0915,                 1.6847,               0.001901,               0.001901,               0.001901
                     12,                0.94724,                 1.7032,                0.93097,                 1.6027,                0.83022,                0.73576,                0.80649,                0.59468,                0.84817,                0.73059,                0.81047,                0.58753,                  1.013,                 1.9989,                 1.0915,                 1.6847,              0.0018911,              0.0018911,              0.0018911
                     13,                0.92142,                 1.6447,                0.90084,                 1.5764,                0.83022,                0.73576,                0.80649,                0.59468,                0.84817,                0.73059,                0.81047,                0.58753,                  1.013,                 1.9989,                 1.0915,                 1.6847,              0.0018812,              0.0018812,              0.0018812
                     14,                0.90847,                 1.6421,                0.89051,                 1.5566,                0.83022,                0.73576,                0.80649,                0.59468,                0.84817,                0.73059,                0.81047,                0.58753,                  1.013,                 1.9989,                 1.0915,                 1.6847,              0.0018713,              0.0018713,              0.0018713
                     15,                0.88027,                 1.5802,                0.84563,                 1.5261,                0.83022,                0.73576,                0.80649,                0.59468,                0.84817,                0.73059,                0.81047,                0.58753,                  1.013,                 1.9989,                 1.0915,                 1.6847,              0.0018614,              0.0018614,              0.0018614
                     16,                0.85579,                 1.5607,                0.82544,                 1.5054,                0.83022,                0.73576,                0.80649,                0.59468,                0.84817,                0.73059,                0.81047,                0.58753,                  1.013,                 1.9989,                 1.0915,                 1.6847,              0.0018515,              0.0018515,              0.0018515
                     17,                0.85935,                 1.5386,                 0.8168,                 1.4994,                0.83022,                0.73576,                0.80649,                0.59468,                0.84817,                0.73059,                0.81047,                0.58753,                  1.013,                 1.9989,                 1.0915,                 1.6847,              0.0018416,              0.0018416,              0.0018416
                     18,                0.84318,                 1.5108,                0.79629,                 1.4807,                0.83022,                0.73576,                0.80649,                0.59468,                0.84817,                0.73059,                0.81047,                0.58753,                  1.013,                 1.9989,                 1.0915,                 1.6847,              0.0018317,              0.0018317,              0.0018317
                     19,                0.84331,                 1.5168,                0.79438,                 1.4762,                0.83022,                0.73576,                0.80649,                0.59468,                0.84817,                0.73059,                0.81047,                0.58753,                  1.013,                 1.9989,                 1.0915,                 1.6847,              0.0018218,              0.0018218,              0.0018218
                     20,                0.83053,                 1.4554,                0.77174,                  1.458,                0.88082,                0.78695,                  0.824,                0.63931,                0.89111,                0.79562,                0.83792,                0.62448,                0.86032,                 1.7138,                0.88989,                 1.5019,              0.0018119,              0.0018119,              0.0018119
                     21,                0.80245,                 1.4364,                0.76443,                  1.429,                0.88082,                0.78695,                  0.824,                0.63931,                0.89111,                0.79562,                0.83792,                0.62448,                0.86032,                 1.7138,                0.88989,                 1.5019,               0.001802,               0.001802,               0.001802
                     22,                0.80712,                 1.4418,                 0.7568,                 1.4311,                0.88082,                0.78695,                  0.824,                0.63931,                0.89111,                0.79562,                0.83792,                0.62448,                0.86032,                 1.7138,                0.88989,                 1.5019,              0.0017921,              0.0017921,              0.0017921
                     23,                0.79725,                 1.4395,                0.74787,                 1.4226,                0.88082,                0.78695,                  0.824,                0.63931,                0.89111,                0.79562,                0.83792,                0.62448,                0.86032,                 1.7138,                0.88989,                 1.5019,              0.0017822,              0.0017822,              0.0017822
                     24,                 0.7907,                 1.4181,                0.73453,                 1.4101,                0.88082,                0.78695,                  0.824,                0.63931,                0.89111,                0.79562,                0.83792,                0.62448,                0.86032,                 1.7138,                0.88989,                 1.5019,              0.0017723,              0.0017723,              0.0017723
                     25,                0.77488,                 1.3803,                0.71663,                 1.3962,                0.88082,                0.78695,                  0.824,                0.63931,                0.89111,                0.79562,                0.83792,                0.62448,                0.86032,                 1.7138,                0.88989,                 1.5019,              0.0017624,              0.0017624,              0.0017624
                     26,                0.77603,                 1.3869,                 0.7152,                 1.3955,                0.88082,                0.78695,                  0.824,                0.63931,                0.89111,                0.79562,                0.83792,                0.62448,                0.86032,                 1.7138,                0.88989,                 1.5019,              0.0017525,              0.0017525,              0.0017525
                     27,                0.76345,                 1.3633,                 0.7018,                 1.3835,                0.88082,                0.78695,                  0.824,                0.63931,                0.89111,                0.79562,                0.83792,                0.62448,                0.86032,                 1.7138,                0.88989,                 1.5019,              0.0017426,              0.0017426,              0.0017426
                     28,                0.76751,                 1.3417,                0.70611,                 1.3841,                0.88082,                0.78695,                  0.824,                0.63931,                0.89111,                0.79562,                0.83792,                0.62448,                0.86032,                 1.7138,                0.88989,                 1.5019,              0.0017327,              0.0017327,              0.0017327
                     29,                0.75405,                 1.3819,                0.69512,                 1.3677,                0.88082,                0.78695,                  0.824,                0.63931,                0.89111,                0.79562,                0.83792,                0.62448,                0.86032,                 1.7138,                0.88989,                 1.5019,              0.0017228,              0.0017228,              0.0017228
                     30,                0.73946,                 1.3227,                0.68147,                 1.3548,                0.86149,                0.81348,                 0.8238,                0.63291,                0.86536,                0.81713,                0.82753,                 0.6327,                0.79356,                 1.6649,                0.87726,                 1.3997,              0.0017129,              0.0017129,              0.0017129
                     31,                0.73373,                 1.3383,                0.67563,                 1.3458,                0.86149,                0.81348,                 0.8238,                0.63291,                0.86536,                0.81713,                0.82753,                 0.6327,                0.79356,                 1.6649,                0.87726,                 1.3997,               0.001703,               0.001703,               0.001703
                     32,                0.74826,                 1.3345,                0.68783,                 1.3641,                0.86149,                0.81348,                 0.8238,                0.63291,                0.86536,                0.81713,                0.82753,                 0.6327,                0.79356,                 1.6649,                0.87726,                 1.3997,              0.0016931,              0.0016931,              0.0016931
                     33,                0.74181,                 1.3031,                0.67861,                 1.3484,                0.86149,                0.81348,                 0.8238,                0.63291,                0.86536,                0.81713,                0.82753,                 0.6327,                0.79356,                 1.6649,                0.87726,                 1.3997,              0.0016832,              0.0016832,              0.0016832
                     34,                0.73822,                 1.3128,                 0.6697,                 1.3473,                0.86149,                0.81348,                 0.8238,                0.63291,                0.86536,                0.81713,                0.82753,                 0.6327,                0.79356,                 1.6649,                0.87726,                 1.3997,              0.0016733,              0.0016733,              0.0016733
                     35,                0.72608,                 1.2675,                 0.6649,                 1.3347,                0.86149,                0.81348,                 0.8238,                0.63291,                0.86536,                0.81713,                0.82753,                 0.6327,                0.79356,                 1.6649,                0.87726,                 1.3997,              0.0016634,              0.0016634,              0.0016634
