          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    201,                0.52459,                0.95201,                 0.4541,                 1.1289,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013913,              0.0013913,              0.0013913
                    202,                0.52609,                 0.9452,                0.45642,                 1.1266,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013483,              0.0013483,              0.0013483
                    203,                0.53028,                0.92845,                0.45993,                 1.1323,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013052,              0.0013052,              0.0013052
                    204,                0.51796,                0.91896,                 0.4492,                 1.1189,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012622,              0.0012622,              0.0012622
                    205,                0.52305,                0.92387,                 0.4531,                 1.1266,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012191,              0.0012191,              0.0012191
                    206,                0.52819,                  0.954,                0.46343,                  1.126,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011761,              0.0011761,              0.0011761
                    207,                0.52299,                0.93165,                 0.4566,                 1.1232,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001133,               0.001133,               0.001133
                    208,                0.53132,                0.93557,                0.45735,                 1.1279,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00109,                0.00109,                0.00109
                    209,                0.52624,                0.94657,                0.45461,                 1.1238,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001047,               0.001047,               0.001047
                    210,                0.52286,                0.94403,                 0.4537,                 1.1243,                0.90071,                0.82292,                0.85561,                0.74379,                0.90071,                0.82292,                0.85604,                0.73218,                0.58407,                  1.388,                0.59288,                 1.1745,              0.0010039,              0.0010039,              0.0010039
                    211,                0.52102,                0.92089,                0.45588,                 1.1221,                0.90071,                0.82292,                0.85561,                0.74379,                0.90071,                0.82292,                0.85604,                0.73218,                0.58407,                  1.388,                0.59288,                 1.1745,             0.00096087,             0.00096087,             0.00096087
                    212,                0.52596,                0.94186,                0.45274,                 1.1234,                0.90071,                0.82292,                0.85561,                0.74379,                0.90071,                0.82292,                0.85604,                0.73218,                0.58407,                  1.388,                0.59288,                 1.1745,             0.00091783,             0.00091783,             0.00091783
                    213,                0.52032,                0.93408,                0.45715,                 1.1206,                0.90071,                0.82292,                0.85561,                0.74379,                0.90071,                0.82292,                0.85604,                0.73218,                0.58407,                  1.388,                0.59288,                 1.1745,             0.00087478,             0.00087478,             0.00087478
                    214,                0.52192,                0.94148,                0.45871,                 1.1187,                0.90071,                0.82292,                0.85561,                0.74379,                0.90071,                0.82292,                0.85604,                0.73218,                0.58407,                  1.388,                0.59288,                 1.1745,             0.00083174,             0.00083174,             0.00083174
                    215,                0.52044,                0.92348,                0.44789,                 1.1238,                0.90071,                0.82292,                0.85561,                0.74379,                0.90071,                0.82292,                0.85604,                0.73218,                0.58407,                  1.388,                0.59288,                 1.1745,              0.0007887,              0.0007887,              0.0007887
