          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1895,                 5.6025,                 3.4469,                 4.6926,                0.01355,                0.79185,                0.15042,                 0.0434,                0.00947,                0.55334,                0.04452,                 0.0104,                 3.2663,                 4.8742,                  3.425,                 4.8779,             0.00064706,             0.00064706,             0.00064706
                      2,                 2.5649,                 3.6001,                 3.0209,                 3.7778,                0.01129,                0.80572,                0.29994,                0.12248,                0.00632,                  0.451,                 0.0234,                0.00632,                 3.2761,                 5.2263,                 3.5209,                 4.6755,              0.0013072,              0.0013072,              0.0013072
                      3,                 2.0794,                 3.0809,                 2.5749,                 3.1017,                0.01234,                0.72073,                0.18036,                0.06191,                0.00821,                0.47962,                0.04325,                0.01088,                 3.4636,                 7.2036,                 3.6486,                 4.9908,              0.0019608,              0.0019608,              0.0019608
                      4,                 1.6873,                 2.7838,                 2.0317,                 2.5807,                0.19037,                0.20902,                0.10579,                0.04291,                0.21603,                0.21856,                0.12524,                0.04682,                 2.2624,                 3.7417,                 3.2706,                 3.3602,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.4116,                 2.5104,                 1.6359,                 2.2091,                0.65324,                0.60452,                0.62966,                0.35562,                0.66163,                0.60711,                0.64159,                 0.3529,                 1.4977,                 3.2808,                 1.9937,                 2.3767,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.2666,                 2.3551,                 1.4207,                 2.0169,                0.69416,                0.62991,                0.66191,                0.39632,                0.71691,                0.64614,                0.69148,                0.40959,                  1.408,                 2.9782,                 1.6986,                 2.2151,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.1797,                  2.178,                 1.2789,                 1.9097,                0.56976,                0.66869,                0.62493,                0.37082,                0.64388,                 0.6288,                0.64897,                0.36685,                 1.3518,                 2.6715,                 1.9207,                 2.1393,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.1267,                  2.041,                 1.1968,                 1.8253,                0.75967,                0.70165,                0.75527,                0.50589,                0.75348,                0.71379,                0.76104,                0.51708,                 1.1533,                 2.2312,                 1.4183,                 1.8417,              0.0019307,              0.0019307,              0.0019307
                      9,                  1.085,                 1.9562,                 1.1313,                 1.7677,                0.73821,                0.71899,                0.75702,                0.48827,                0.72655,                0.74675,                0.76565,                0.47973,                  1.178,                 2.3862,                   1.35,                 1.8523,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.0293,                 1.8628,                 1.0707,                 1.6987,                0.79126,                0.73644,                0.78886,                0.53141,                0.78883,                0.74761,                0.79967,                0.55731,                 1.1062,                 2.0078,                 1.1889,                 1.7646,              0.0019109,              0.0019109,              0.0019109
                     11,                0.99467,                 1.7795,                 1.0167,                  1.651,                0.83886,                0.72767,                0.79994,                0.55965,                0.83893,                0.73287,                0.80195,                0.57073,                 1.0714,                 1.9442,                 1.2017,                 1.7061,               0.001901,               0.001901,               0.001901
                     12,                0.98072,                  1.728,                0.98256,                 1.6235,                0.79965,                0.74154,                0.81029,                0.59859,                0.79901,                0.78609,                0.83045,                0.60507,                 1.0024,                 1.8676,                 1.0686,                 1.6158,              0.0018911,              0.0018911,              0.0018911
                     13,                0.95186,                 1.7069,                0.95626,                  1.589,                0.77134,                0.74312,                0.79389,                0.56877,                0.77428,                0.74935,                0.80185,                0.56195,                 1.0113,                 1.9461,                 1.1842,                  1.633,              0.0018812,              0.0018812,              0.0018812
                     14,                0.92742,                  1.641,                  0.918,                 1.5596,                0.78101,                0.75455,                0.80702,                0.57934,                0.77254,                0.78664,                0.81608,                 0.5966,                0.99476,                 1.8089,                 1.0667,                 1.6057,              0.0018713,              0.0018713,              0.0018713
                     15,                0.90701,                 1.6287,                0.88093,                 1.5345,                0.85539,                0.77978,                0.83427,                0.62452,                0.85859,                0.79445,                0.84676,                0.62723,                0.94666,                 1.7509,                0.96865,                 1.5455,              0.0018614,              0.0018614,              0.0018614
