          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2213,                  5.581,                 3.2123,                 4.1148,                0.00655,                0.86123,                 0.0467,                0.01814,                0.00484,                0.63573,                0.02002,                0.00579,                 2.9743,                 4.8957,                 3.1914,                 4.2152,             0.00064706,             0.00064706,             0.00064706
                      2,                  2.702,                 3.4534,                 2.8228,                 3.4088,                0.00663,                0.84389,                0.03545,                0.00995,                0.00512,                0.65221,                0.01377,                0.00288,                 3.0852,                 4.6339,                 3.4105,                 4.7268,              0.0013072,              0.0013072,              0.0013072
                      3,                 2.1811,                 2.9993,                 2.4737,                 2.8061,                0.00666,                0.60971,                0.01578,                0.00559,                0.00318,                0.29141,                0.00347,                0.00076,                 2.9662,                 7.9201,                 3.6202,                 4.4533,              0.0019608,              0.0019608,              0.0019608
                      4,                 1.8028,                 2.6868,                 2.0106,                 2.3825,                0.52057,                0.38422,                0.41821,                0.20936,                0.52226,                0.37554,                0.39618,                0.16491,                 2.0886,                 4.0131,                 2.5154,                 2.9558,              0.0019703,              0.0019703,              0.0019703
                      5,                   1.48,                 2.4225,                 1.5916,                 2.0402,                0.68191,                0.60971,                0.63636,                0.36069,                0.70041,                0.60627,                0.63564,                0.35942,                 1.5771,                 3.0097,                 1.6413,                 2.1893,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.3177,                    2.3,                 1.3797,                 1.8581,                0.75568,                0.69124,                0.73128,                 0.4643,                0.74685,                0.70108,                0.73356,                0.43733,                 1.3507,                 2.9151,                 1.4134,                 1.8878,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.2232,                 2.1395,                  1.251,                 1.7569,                0.68137,                0.73461,                0.71599,                0.45341,                0.71205,                0.73634,                 0.7361,                 0.4631,                 1.2281,                  2.299,                 1.4715,                 1.7654,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.1583,                 2.0281,                 1.1588,                 1.6787,                0.80458,                0.73547,                0.78639,                0.51508,                0.79802,                0.75047,                0.80314,                0.52608,                 1.1961,                 2.2774,                  1.361,                 1.7051,              0.0019307,              0.0019307,              0.0019307
                      9,                  1.107,                 1.9347,                 1.0974,                 1.6225,                0.83366,                0.71119,                0.79131,                0.53535,                0.82569,                0.72306,                 0.7954,                0.53849,                 1.1417,                  2.075,                  1.353,                 1.6409,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.0615,                 1.8615,                 1.0486,                   1.58,                0.82587,                0.73219,                0.80061,                0.56129,                0.82842,                0.74154,                0.80436,                0.56236,                 1.1553,                 2.1203,                 1.2301,                 1.5998,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.0314,                 1.7533,                0.99601,                 1.5428,                0.78365,                0.71292,                0.77015,                 0.5249,                0.79094,                 0.7216,                0.78654,                0.52781,                  1.138,                 2.0156,                 1.3187,                 1.5693,               0.001901,               0.001901,               0.001901
                     12,                  1.001,                 1.7182,                0.95675,                 1.5005,                0.82587,                0.75889,                0.78783,                0.56278,                0.83246,                0.76277,                0.80684,                0.56465,                 1.0643,                 2.0254,                 1.3741,                 1.5033,              0.0018911,              0.0018911,              0.0018911
                     13,                0.97335,                 1.6782,                0.92447,                 1.4726,                0.77615,                0.75889,                0.76945,                0.50671,                0.77819,                0.77884,                0.78584,                0.53112,                 1.1235,                 1.9402,                 1.1281,                 1.5653,              0.0018812,              0.0018812,              0.0018812
                     14,                0.93949,                 1.6281,                0.89684,                 1.4456,                0.85322,                0.76633,                0.82698,                0.60857,                0.85952,                0.77475,                0.83616,                0.61382,                0.94996,                 1.7837,                0.96341,                 1.4201,              0.0018713,              0.0018713,              0.0018713
                     15,                0.91913,                  1.625,                0.86493,                 1.4282,                0.84557,                0.80225,                0.83792,                0.63095,                0.84557,                0.80225,                0.84173,                0.61883,                 0.9276,                 1.7686,                0.95803,                 1.3708,              0.0018614,              0.0018614,              0.0018614
                     16,                0.91418,                 1.5874,                0.84702,                 1.4182,                0.87813,                0.76239,                0.82536,                0.60807,                0.87311,                0.77579,                0.83712,                0.62746,                0.97024,                 1.7944,                 1.0146,                 1.4219,              0.0018515,              0.0018515,              0.0018515
                     17,                0.89093,                 1.5567,                 0.8303,                 1.3939,                0.86269,                0.77376,                 0.8108,                 0.6054,                0.86378,                0.78404,                0.81581,                0.60368,                 0.9557,                 1.8213,                 1.0056,                 1.3879,              0.0018416,              0.0018416,              0.0018416
                     18,                0.88214,                 1.5315,                0.81048,                 1.3898,                0.88969,                0.79741,                0.83477,                0.65147,                0.89767,                0.80139,                 0.8466,                  0.646,                0.82425,                  1.693,                0.86584,                 1.2791,              0.0018317,              0.0018317,              0.0018317
                     19,                0.87027,                 1.5226,                0.78914,                 1.3752,                0.86738,                0.78404,                0.83307,                0.63258,                0.86113,                0.79596,                0.84514,                0.62591,                 0.8644,                  1.689,                0.88475,                 1.2732,              0.0018218,              0.0018218,              0.0018218
                     20,                0.84764,                  1.486,                 0.7842,                 1.3529,                0.85977,                0.77797,                0.82551,                0.62318,                0.86456,                0.78231,                0.83095,                0.62608,                0.91047,                 1.6616,                0.91495,                 1.3244,              0.0018119,              0.0018119,              0.0018119
                     21,                0.84079,                  1.472,                0.77708,                 1.3485,                0.86481,                0.78664,                0.83085,                 0.6263,                0.87083,                0.78751,                0.83986,                0.64151,                0.88921,                 1.7107,                0.87971,                 1.3188,               0.001802,               0.001802,               0.001802
                     22,                0.83723,                 1.4427,                0.76386,                 1.3443,                0.81537,                0.76604,                0.80153,                0.60123,                 0.8191,                 0.7719,                0.81139,                0.61191,                0.90767,                 1.6516,                0.98717,                 1.3283,              0.0017921,              0.0017921,              0.0017921
                     23,                0.81376,                 1.4167,                0.73741,                 1.3236,                0.87301,                0.80495,                0.83901,                0.64714,                0.86995,                0.81807,                0.84594,                0.65224,                0.82821,                 1.6103,                0.81877,                 1.2663,              0.0017822,              0.0017822,              0.0017822
                     24,                0.81519,                 1.4246,                0.74253,                 1.3242,                0.88235,                0.78404,                0.83008,                 0.6474,                0.86817,                0.79445,                0.83462,                0.64753,                0.82068,                 1.5821,                0.86642,                 1.2405,              0.0017723,              0.0017723,              0.0017723
                     25,                0.80718,                 1.3842,                0.73873,                 1.3084,                0.88348,                0.78256,                0.83746,                0.64256,                0.87188,                0.79705,                0.84507,                0.64599,                0.83003,                 1.6425,                0.89061,                 1.2574,              0.0017624,              0.0017624,              0.0017624
                     26,                0.79767,                 1.3933,                0.72273,                 1.3078,                0.86767,                0.82458,                0.84966,                0.66366,                0.86604,                0.82982,                0.85073,                 0.6582,                0.78343,                 1.5731,                0.77779,                 1.2164,              0.0017525,              0.0017525,              0.0017525
                     27,                0.79216,                 1.3804,                0.71164,                  1.298,                0.89356,                0.78636,                 0.8427,                0.66085,                0.88351,                0.78838,                0.84977,                0.66155,                0.81202,                 1.5288,                0.82691,                 1.2461,              0.0017426,              0.0017426,              0.0017426
                     28,                0.78751,                 1.3819,                0.70586,                 1.2901,                0.88218,                0.81174,                 0.8375,                0.65425,                0.88172,                0.82394,                0.84612,                0.65889,                0.80485,                 1.5468,                0.80601,                  1.225,              0.0017327,              0.0017327,              0.0017327
