          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2267,                 6.2621,                 3.2177,                 4.1109,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065278,             0.00065278,             0.00065278
                      2,                 2.8622,                   3.34,                 2.9451,                  3.417,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013129,              0.0013129,              0.0013129
                      3,                  2.262,                 2.8796,                 2.5146,                 2.7452,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019664,              0.0019664,              0.0019664
                      4,                 1.6911,                 2.5707,                 1.7677,                 2.1223,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.3727,                 2.3191,                 1.3619,                 1.8176,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.2296,                 2.1461,                 1.1691,                 1.6526,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.1459,                 2.0267,                 1.0623,                 1.5625,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.0993,                 1.9332,                0.99704,                 1.5129,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.0676,                 1.8455,                0.96894,                 1.4719,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.0248,                 1.7529,                0.91144,                 1.4311,                0.78838,                0.78125,                0.80838,                0.58138,                0.78542,                0.77199,                0.80748,                0.57672,                 1.0677,                 1.9543,                 1.0029,                 1.4551,              0.0019109,              0.0019109,              0.0019109
                     11,                0.99476,                 1.6864,                0.87824,                 1.4027,                0.78838,                0.78125,                0.80838,                0.58138,                0.78542,                0.77199,                0.80748,                0.57672,                 1.0677,                 1.9543,                 1.0029,                 1.4551,               0.001901,               0.001901,               0.001901
                     12,                0.94832,                 1.6224,                0.85084,                 1.3701,                0.78838,                0.78125,                0.80838,                0.58138,                0.78542,                0.77199,                0.80748,                0.57672,                 1.0677,                 1.9543,                 1.0029,                 1.4551,              0.0018911,              0.0018911,              0.0018911
                     13,                0.92303,                 1.5593,                0.81107,                 1.3398,                0.78838,                0.78125,                0.80838,                0.58138,                0.78542,                0.77199,                0.80748,                0.57672,                 1.0677,                 1.9543,                 1.0029,                 1.4551,              0.0018812,              0.0018812,              0.0018812
                     14,                0.89744,                  1.539,                0.78184,                 1.3197,                0.78838,                0.78125,                0.80838,                0.58138,                0.78542,                0.77199,                0.80748,                0.57672,                 1.0677,                 1.9543,                 1.0029,                 1.4551,              0.0018713,              0.0018713,              0.0018713
                     15,                0.88786,                 1.5146,                0.76702,                 1.3037,                0.78838,                0.78125,                0.80838,                0.58138,                0.78542,                0.77199,                0.80748,                0.57672,                 1.0677,                 1.9543,                 1.0029,                 1.4551,              0.0018614,              0.0018614,              0.0018614
                     16,                0.87202,                 1.4936,                0.74593,                 1.2953,                0.78838,                0.78125,                0.80838,                0.58138,                0.78542,                0.77199,                0.80748,                0.57672,                 1.0677,                 1.9543,                 1.0029,                 1.4551,              0.0018515,              0.0018515,              0.0018515
                     17,                0.84792,                 1.4621,                0.72783,                 1.2794,                0.78838,                0.78125,                0.80838,                0.58138,                0.78542,                0.77199,                0.80748,                0.57672,                 1.0677,                 1.9543,                 1.0029,                 1.4551,              0.0018416,              0.0018416,              0.0018416
                     18,                0.83576,                  1.446,                0.72213,                 1.2725,                0.78838,                0.78125,                0.80838,                0.58138,                0.78542,                0.77199,                0.80748,                0.57672,                 1.0677,                 1.9543,                 1.0029,                 1.4551,              0.0018317,              0.0018317,              0.0018317
                     19,                0.81577,                 1.4258,                0.70145,                 1.2483,                0.78838,                0.78125,                0.80838,                0.58138,                0.78542,                0.77199,                0.80748,                0.57672,                 1.0677,                 1.9543,                 1.0029,                 1.4551,              0.0018218,              0.0018218,              0.0018218
                     20,                0.82062,                 1.4339,                0.71227,                 1.2526,                0.80493,                0.78323,                0.81558,                0.63035,                0.80045,                0.81481,                0.82976,                0.63385,                0.82738,                 1.6688,                0.83666,                 1.1932,              0.0018119,              0.0018119,              0.0018119
                     21,                0.81126,                  1.415,                0.69708,                 1.2454,                0.80493,                0.78323,                0.81558,                0.63035,                0.80045,                0.81481,                0.82976,                0.63385,                0.82738,                 1.6688,                0.83666,                 1.1932,               0.001802,               0.001802,               0.001802
                     22,                0.79756,                 1.3482,                0.67726,                 1.2332,                0.80493,                0.78323,                0.81558,                0.63035,                0.80045,                0.81481,                0.82976,                0.63385,                0.82738,                 1.6688,                0.83666,                 1.1932,              0.0017921,              0.0017921,              0.0017921
                     23,                0.79057,                 1.3353,                 0.6731,                 1.2302,                0.80493,                0.78323,                0.81558,                0.63035,                0.80045,                0.81481,                0.82976,                0.63385,                0.82738,                 1.6688,                0.83666,                 1.1932,              0.0017822,              0.0017822,              0.0017822
                     24,                0.78047,                  1.352,                0.66098,                 1.2219,                0.80493,                0.78323,                0.81558,                0.63035,                0.80045,                0.81481,                0.82976,                0.63385,                0.82738,                 1.6688,                0.83666,                 1.1932,              0.0017723,              0.0017723,              0.0017723
                     25,                0.78346,                 1.3137,                0.66628,                 1.2159,                0.80493,                0.78323,                0.81558,                0.63035,                0.80045,                0.81481,                0.82976,                0.63385,                0.82738,                 1.6688,                0.83666,                 1.1932,              0.0017624,              0.0017624,              0.0017624
                     26,                0.76281,                 1.3195,                0.65377,                 1.2026,                0.80493,                0.78323,                0.81558,                0.63035,                0.80045,                0.81481,                0.82976,                0.63385,                0.82738,                 1.6688,                0.83666,                 1.1932,              0.0017525,              0.0017525,              0.0017525
                     27,                 0.7644,                 1.2937,                0.64492,                 1.2083,                0.80493,                0.78323,                0.81558,                0.63035,                0.80045,                0.81481,                0.82976,                0.63385,                0.82738,                 1.6688,                0.83666,                 1.1932,              0.0017426,              0.0017426,              0.0017426
                     28,                0.75596,                  1.294,                0.63895,                 1.2052,                0.80493,                0.78323,                0.81558,                0.63035,                0.80045,                0.81481,                0.82976,                0.63385,                0.82738,                 1.6688,                0.83666,                 1.1932,              0.0017327,              0.0017327,              0.0017327
                     29,                0.74117,                 1.2825,                0.62786,                  1.187,                0.80493,                0.78323,                0.81558,                0.63035,                0.80045,                0.81481,                0.82976,                0.63385,                0.82738,                 1.6688,                0.83666,                 1.1932,              0.0017228,              0.0017228,              0.0017228
