          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2474,                 6.2516,                 3.2678,                 4.1523,                0.00636,                0.84215,                0.03684,                0.01281,                0.00479,                  0.634,                 0.0176,                0.00498,                 3.0688,                 5.0072,                 3.0931,                 4.1035,             0.00064706,             0.00064706,             0.00064706
                      2,                  2.944,                 3.4788,                  2.989,                 3.6047,                0.00686,                0.85776,                0.12935,                0.04481,                0.00518,                0.64788,                0.07564,                0.01918,                 2.9018,                 4.8556,                 3.0305,                 3.9926,              0.0013072,              0.0013072,              0.0013072
                      3,                  2.361,                  3.056,                 2.5909,                 2.9539,                0.00559,                0.58456,                0.00488,                0.00209,                0.00076,                0.07979,                0.00058,                0.00012,                 2.9536,                 10.349,                 3.5377,                 4.3738,              0.0019608,              0.0019608,              0.0019608
                      4,                 1.8514,                 2.7498,                 2.0421,                 2.4094,                  0.108,                0.15611,                0.05093,                0.01671,                0.12687,                0.16826,                0.05774,                0.01895,                 2.5963,                 7.8623,                 3.6907,                 3.6159,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.4954,                 2.4687,                 1.5714,                 2.0248,                0.59692,                0.53859,                0.52431,                 0.2666,                0.57543,                 0.5464,                0.52248,                0.25062,                 1.7996,                 3.5737,                 2.1815,                 2.4779,              0.0019604,              0.0019604,              0.0019604
                      6,                  1.326,                 2.3211,                 1.3443,                 1.8248,                0.64575,                0.59757,                0.62696,                0.32164,                0.66993,                 0.6314,                0.65959,                0.35473,                 1.6998,                 2.9376,                 2.0424,                 2.3114,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.2223,                 2.1876,                 1.1884,                 1.7188,                0.81808,                0.70772,                0.78663,                0.48569,                0.79493,                0.69257,                0.76879,                0.44082,                 1.3698,                  2.731,                 1.4395,                 1.9518,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.1466,                   2.08,                 1.0964,                   1.63,                0.79232,                 0.7242,                 0.7746,                0.48576,                0.79814,                0.73374,                 0.7891,                0.48846,                 1.2527,                 2.3347,                 1.3532,                 1.7388,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.0997,                 2.0073,                 1.0386,                 1.5748,                0.56064,                0.61976,                  0.575,                0.32528,                0.59395,                0.63226,                0.59994,                0.30715,                 1.3829,                 2.7158,                 2.0737,                 1.8863,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.0423,                  1.897,                0.97485,                  1.524,                0.74193,                0.69069,                0.73096,                0.44365,                0.76254,                0.70185,                0.76249,                0.48491,                 1.3657,                 2.2801,                 1.4333,                 1.8124,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.0162,                 1.7941,                0.92759,                 1.4863,                0.82729,                0.78934,                0.82265,                0.59618,                0.83171,                0.78439,                0.82667,                0.57696,                 1.0261,                 2.0159,                 1.0218,                 1.4658,               0.001901,               0.001901,               0.001901
                     12,                  0.975,                 1.7242,                0.89068,                 1.4471,                0.80616,                0.75389,                0.80046,                0.55807,                0.80373,                 0.7707,                0.81107,                0.56954,                 1.1066,                  1.949,                 1.2721,                 1.5341,              0.0018911,              0.0018911,              0.0018911
                     13,                0.96344,                 1.6868,                0.87022,                 1.4264,                0.82244,                0.80344,                0.81277,                0.58364,                0.82616,                0.79185,                0.81263,                0.56702,                0.98907,                  1.927,                 1.0252,                 1.4264,              0.0018812,              0.0018812,              0.0018812
                     14,                0.92455,                 1.6281,                0.82807,                 1.3961,                0.80918,                0.75455,                 0.8011,                0.60005,                0.81509,                0.76149,                0.81505,                0.58601,                0.93253,                 1.9356,                0.98148,                 1.3715,              0.0018713,              0.0018713,              0.0018713
