          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0763,                 5.1021,                 3.3999,                 4.5838,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065185,             0.00065185,             0.00065185
                      2,                 2.4481,                 3.3298,                 2.9533,                 3.6043,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001312,               0.001312,               0.001312
                      3,                 1.9494,                 2.9651,                 2.4175,                 2.9139,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019655,              0.0019655,              0.0019655
                      4,                 1.5557,                 2.6473,                 1.8304,                 2.3601,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.3146,                 2.3485,                 1.4752,                 2.0577,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.2228,                 2.1952,                  1.324,                 1.9192,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.1409,                 2.0264,                 1.2009,                  1.815,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.0789,                 1.9465,                 1.1195,                 1.7336,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.0479,                 1.8323,                 1.0694,                 1.6978,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019208,              0.0019208,              0.0019208
                     10,                  1.016,                 1.8132,                 1.0223,                 1.6445,                0.82045,                0.77199,                0.81077,                0.58139,                0.81252,                0.79051,                0.81942,                0.59515,                 1.0172,                  1.881,                 1.0283,                 1.6507,              0.0019109,              0.0019109,              0.0019109
                     11,                0.96803,                 1.7446,                 0.9688,                 1.6007,                0.82045,                0.77199,                0.81077,                0.58139,                0.81252,                0.79051,                0.81942,                0.59515,                 1.0172,                  1.881,                 1.0283,                 1.6507,               0.001901,               0.001901,               0.001901
                     12,                0.94389,                 1.7076,                0.93585,                 1.5668,                0.82045,                0.77199,                0.81077,                0.58139,                0.81252,                0.79051,                0.81942,                0.59515,                 1.0172,                  1.881,                 1.0283,                 1.6507,              0.0018911,              0.0018911,              0.0018911
                     13,                0.92338,                 1.6293,                 0.9057,                 1.5509,                0.82045,                0.77199,                0.81077,                0.58139,                0.81252,                0.79051,                0.81942,                0.59515,                 1.0172,                  1.881,                 1.0283,                 1.6507,              0.0018812,              0.0018812,              0.0018812
                     14,                0.89884,                 1.6113,                0.88003,                 1.5177,                0.82045,                0.77199,                0.81077,                0.58139,                0.81252,                0.79051,                0.81942,                0.59515,                 1.0172,                  1.881,                 1.0283,                 1.6507,              0.0018713,              0.0018713,              0.0018713
                     15,                0.87698,                 1.5332,                0.84746,                 1.4921,                0.82045,                0.77199,                0.81077,                0.58139,                0.81252,                0.79051,                0.81942,                0.59515,                 1.0172,                  1.881,                 1.0283,                 1.6507,              0.0018614,              0.0018614,              0.0018614
                     16,                0.86631,                 1.5558,                0.83884,                 1.4803,                0.82045,                0.77199,                0.81077,                0.58139,                0.81252,                0.79051,                0.81942,                0.59515,                 1.0172,                  1.881,                 1.0283,                 1.6507,              0.0018515,              0.0018515,              0.0018515
                     17,                0.84229,                  1.501,                0.80924,                 1.4518,                0.82045,                0.77199,                0.81077,                0.58139,                0.81252,                0.79051,                0.81942,                0.59515,                 1.0172,                  1.881,                 1.0283,                 1.6507,              0.0018416,              0.0018416,              0.0018416
                     18,                0.84373,                 1.4816,                0.79517,                 1.4521,                0.82045,                0.77199,                0.81077,                0.58139,                0.81252,                0.79051,                0.81942,                0.59515,                 1.0172,                  1.881,                 1.0283,                 1.6507,              0.0018317,              0.0018317,              0.0018317
                     19,                0.82059,                 1.4779,                 0.7756,                 1.4262,                0.82045,                0.77199,                0.81077,                0.58139,                0.81252,                0.79051,                0.81942,                0.59515,                 1.0172,                  1.881,                 1.0283,                 1.6507,              0.0018218,              0.0018218,              0.0018218
                     20,                0.82131,                  1.469,                0.76653,                  1.422,                0.85205,                0.79398,                0.82652,                0.63075,                0.85504,                0.79872,                0.83314,                0.64158,                0.89711,                 1.7276,                0.89957,                 1.4535,              0.0018119,              0.0018119,              0.0018119
                     21,                0.80997,                 1.4319,                0.76362,                 1.4075,                0.85205,                0.79398,                0.82652,                0.63075,                0.85504,                0.79872,                0.83314,                0.64158,                0.89711,                 1.7276,                0.89957,                 1.4535,               0.001802,               0.001802,               0.001802
                     22,                0.80755,                 1.4318,                0.75378,                 1.4057,                0.85205,                0.79398,                0.82652,                0.63075,                0.85504,                0.79872,                0.83314,                0.64158,                0.89711,                 1.7276,                0.89957,                 1.4535,              0.0017921,              0.0017921,              0.0017921
