          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1568,                 5.5178,                 3.4473,                 4.6819,                0.01321,                0.78838,                0.11518,                0.03537,                0.00865,                0.51605,                0.03949,                0.00935,                 3.1627,                 5.0877,                 3.5895,                 4.8267,             0.00064706,             0.00064706,             0.00064706
                      2,                 2.4899,                 3.4885,                 3.0335,                   3.74,                0.00569,                0.76496,                0.20074,                0.06078,                0.00354,                0.47528,                0.06016,                0.01023,                 3.2973,                  4.929,                 3.5461,                 5.1388,              0.0013072,              0.0013072,              0.0013072
                      3,                 1.9934,                 3.0383,                 2.4973,                 3.0406,                0.01384,                0.02082,                0.00697,                0.00328,                0.02252,                0.02689,                0.00534,                0.00141,                 3.7892,                 6.7213,                 3.8617,                 4.9778,              0.0019608,              0.0019608,              0.0019608
                      4,                 1.6362,                 2.7571,                 1.9598,                 2.5367,                0.36279,                 0.4212,                0.31131,                0.13605,                0.37182,                0.42505,                0.32306,                0.12042,                 1.8832,                 4.0035,                 2.3761,                 2.9572,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.4107,                 2.5228,                 1.6112,                 2.2265,                0.63001,                0.61318,                 0.6055,                0.35042,                0.65615,                0.61402,                0.60951,                0.33146,                  1.448,                  3.175,                  1.998,                  2.325,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.2806,                  2.363,                 1.4327,                 2.0522,                 0.6349,                0.65915,                0.66137,                0.39107,                0.65545,                0.68967,                0.68325,                0.41017,                 1.4018,                 3.3648,                 1.7544,                 2.2138,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.1838,                 2.1782,                 1.2723,                 1.9327,                0.60456,                0.63747,                0.59909,                 0.3494,                0.63147,                0.66696,                0.63945,                0.38795,                 1.3445,                 2.4108,                 1.9185,                 2.1006,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.1246,                 2.0526,                 1.1908,                 1.8407,                 0.7347,                0.67733,                0.70741,                0.46464,                0.72789,                0.67997,                0.70624,                 0.4578,                 1.2372,                 2.4408,                 1.4485,                 1.9747,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.0834,                 1.9766,                 1.1361,                 1.7857,                0.74561,                 0.6843,                0.74709,                0.49861,                0.74756,                0.70859,                0.76219,                0.51712,                 1.1838,                 2.1487,                 1.3651,                 1.8811,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.0353,                 1.8779,                 1.0661,                 1.7146,                0.78689,                0.74068,                0.77975,                0.54931,                0.78434,                 0.7667,                0.79881,                  0.561,                 1.0849,                 2.0786,                 1.2166,                  1.745,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.0019,                 1.7966,                 1.0098,                 1.6692,                0.75291,                0.72593,                0.77148,                0.54079,                0.74947,                0.72767,                0.77247,                0.52771,                 1.0928,                 2.1723,                 1.3132,                 1.7317,               0.001901,               0.001901,               0.001901
                     12,                0.97904,                 1.7435,                0.98136,                 1.6328,                0.82007,                 0.7693,                0.81598,                0.60481,                0.82474,                0.78231,                0.82452,                0.61016,                 0.9757,                 1.8506,                  1.047,                 1.5845,              0.0018911,              0.0018911,              0.0018911
                     13,                0.95461,                 1.7108,                0.94794,                 1.6056,                0.80035,                0.75282,                0.78262,                0.56461,                0.80912,                0.76496,                0.79493,                0.56868,                0.98979,                 1.8449,                 1.0981,                 1.6117,              0.0018812,              0.0018812,              0.0018812
                     14,                 0.9306,                  1.665,                 0.9151,                 1.5743,                0.78559,                0.72507,                0.78086,                0.58197,                0.79215,                0.73461,                0.78845,                 0.5786,                0.98664,                 1.9376,                 1.1063,                 1.6051,              0.0018713,              0.0018713,              0.0018713
                     15,                0.90903,                 1.6461,                0.88361,                 1.5471,                0.86969,                0.78057,                0.83298,                0.61907,                 0.8646,                0.79705,                0.83897,                 0.6325,                0.95787,                 1.7313,                 0.9829,                   1.56,              0.0018614,              0.0018614,              0.0018614
                     16,                0.89965,                 1.6129,                0.86083,                 1.5374,                0.84623,                0.75282,                0.81181,                0.61424,                0.84838,                0.75282,                0.81623,                0.60919,                0.89456,                 1.8561,                  1.068,                 1.5194,              0.0018515,              0.0018515,              0.0018515
                     17,                0.87044,                  1.575,                0.84378,                 1.5046,                0.85992,                 0.7667,                0.82579,                0.61099,                0.84426,                0.79011,                0.83441,                0.60226,                0.93055,                 1.8068,                 1.0502,                 1.5344,              0.0018416,              0.0018416,              0.0018416
                     18,                 0.8665,                 1.5554,                0.82741,                  1.503,                0.87484,                0.77363,                0.83212,                0.62781,                0.87976,                0.78056,                0.84016,                0.62942,                0.87352,                 1.7629,                0.91716,                 1.4632,              0.0018317,              0.0018317,              0.0018317
