          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.349,                   5.32,                  2.753,                 4.0697,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064762,             0.00064762,             0.00064762
                      2,                  2.625,                 2.9229,                 2.3465,                 3.2612,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013078,              0.0013078,              0.0013078
                      3,                 2.0836,                 2.5639,                 1.9467,                 2.5835,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019613,              0.0019613,              0.0019613
                      4,                 1.7103,                  2.333,                 1.5616,                 2.1441,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.5143,                 2.0923,                 1.3504,                 1.9083,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019604,              0.0019604,              0.0019604
                      6,                  1.428,                 1.9848,                 1.2487,                 1.8029,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.3207,                 1.8513,                 1.1501,                 1.7008,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.2773,                 1.7708,                 1.1095,                 1.6469,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019307,              0.0019307,              0.0019307
                      9,                   1.22,                  1.706,                 1.0582,                 1.5925,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.1924,                 1.6365,                 1.0177,                 1.5676,                0.65963,                0.72106,                0.70461,                0.38784,                0.68622,                0.68287,                0.70518,                0.41601,                 1.4798,                 1.8733,                  1.325,                 2.0152,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.1719,                 1.6521,                 1.0075,                 1.5377,                0.65963,                0.72106,                0.70461,                0.38784,                0.68622,                0.68287,                0.70518,                0.41601,                 1.4798,                 1.8733,                  1.325,                 2.0152,               0.001901,               0.001901,               0.001901
                     12,                 1.1493,                 1.5863,                0.97471,                 1.5222,                0.65963,                0.72106,                0.70461,                0.38784,                0.68622,                0.68287,                0.70518,                0.41601,                 1.4798,                 1.8733,                  1.325,                 2.0152,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.1159,                 1.5586,                0.94678,                 1.4898,                0.65963,                0.72106,                0.70461,                0.38784,                0.68622,                0.68287,                0.70518,                0.41601,                 1.4798,                 1.8733,                  1.325,                 2.0152,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.1047,                 1.5125,                0.93071,                 1.4795,                0.65963,                0.72106,                0.70461,                0.38784,                0.68622,                0.68287,                0.70518,                0.41601,                 1.4798,                 1.8733,                  1.325,                 2.0152,              0.0018713,              0.0018713,              0.0018713
                     15,                 1.0745,                 1.4903,                0.90252,                 1.4436,                0.65963,                0.72106,                0.70461,                0.38784,                0.68622,                0.68287,                0.70518,                0.41601,                 1.4798,                 1.8733,                  1.325,                 2.0152,              0.0018614,              0.0018614,              0.0018614
                     16,                 1.0764,                 1.4695,                0.89466,                 1.4447,                0.65963,                0.72106,                0.70461,                0.38784,                0.68622,                0.68287,                0.70518,                0.41601,                 1.4798,                 1.8733,                  1.325,                 2.0152,              0.0018515,              0.0018515,              0.0018515
                     17,                 1.0547,                 1.4585,                0.87491,                 1.4291,                0.65963,                0.72106,                0.70461,                0.38784,                0.68622,                0.68287,                0.70518,                0.41601,                 1.4798,                 1.8733,                  1.325,                 2.0152,              0.0018416,              0.0018416,              0.0018416
                     18,                 1.0384,                 1.4113,                0.87106,                 1.4155,                0.65963,                0.72106,                0.70461,                0.38784,                0.68622,                0.68287,                0.70518,                0.41601,                 1.4798,                 1.8733,                  1.325,                 2.0152,              0.0018317,              0.0018317,              0.0018317
