          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2603,                 6.2012,                 3.3235,                 4.2315,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033175,              0.0033175,              0.0033175
                      2,                 3.2137,                 3.9667,                 3.1645,                 4.0998,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066179,              0.0066179,              0.0066179
                      3,                 2.5815,                  3.206,                 2.5614,                 3.2378,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098853,              0.0098853,              0.0098853
                      4,                  1.823,                 2.8054,                 1.8176,                 2.3548,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4078,                 2.4831,                 1.3667,                 1.9402,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                 1.2244,                 2.2438,                 1.1921,                  1.743,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1141,                 2.1198,                  1.072,                 1.6295,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                 1.0526,                 2.0668,                0.99414,                 1.5678,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.0054,                 1.9343,                0.93897,                 1.5166,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     10,                0.96397,                 1.8621,                0.89263,                 1.4635,                0.76444,                0.80208,                0.77917,                0.55556,                0.76592,                0.81134,                0.78697,                0.53985,                0.94986,                 2.0638,                 1.0326,                 1.3877,              0.0095545,              0.0095545,              0.0095545
                     11,                0.93463,                 1.7774,                0.85469,                 1.4344,                0.76444,                0.80208,                0.77917,                0.55556,                0.76592,                0.81134,                0.78697,                0.53985,                0.94986,                 2.0638,                 1.0326,                 1.3877,               0.009505,               0.009505,               0.009505
                     12,                 0.9122,                  1.723,                0.83389,                 1.4078,                0.76444,                0.80208,                0.77917,                0.55556,                0.76592,                0.81134,                0.78697,                0.53985,                0.94986,                 2.0638,                 1.0326,                 1.3877,              0.0094555,              0.0094555,              0.0094555
                     13,                0.88973,                 1.6773,                0.80433,                 1.3924,                0.76444,                0.80208,                0.77917,                0.55556,                0.76592,                0.81134,                0.78697,                0.53985,                0.94986,                 2.0638,                 1.0326,                 1.3877,               0.009406,               0.009406,               0.009406
                     14,                 0.8659,                 1.6334,                0.78516,                 1.3689,                0.76444,                0.80208,                0.77917,                0.55556,                0.76592,                0.81134,                0.78697,                0.53985,                0.94986,                 2.0638,                 1.0326,                 1.3877,              0.0093565,              0.0093565,              0.0093565
                     15,                0.84733,                 1.6029,                0.76036,                 1.3477,                0.76444,                0.80208,                0.77917,                0.55556,                0.76592,                0.81134,                0.78697,                0.53985,                0.94986,                 2.0638,                 1.0326,                 1.3877,               0.009307,               0.009307,               0.009307
                     16,                0.83725,                 1.5477,                 0.7475,                 1.3409,                0.76444,                0.80208,                0.77917,                0.55556,                0.76592,                0.81134,                0.78697,                0.53985,                0.94986,                 2.0638,                 1.0326,                 1.3877,              0.0092575,              0.0092575,              0.0092575
                     17,                0.81501,                 1.5125,                0.73509,                 1.3223,                0.76444,                0.80208,                0.77917,                0.55556,                0.76592,                0.81134,                0.78697,                0.53985,                0.94986,                 2.0638,                 1.0326,                 1.3877,               0.009208,               0.009208,               0.009208
                     18,                0.81159,                 1.5444,                0.72288,                 1.3138,                0.76444,                0.80208,                0.77917,                0.55556,                0.76592,                0.81134,                0.78697,                0.53985,                0.94986,                 2.0638,                 1.0326,                 1.3877,              0.0091585,              0.0091585,              0.0091585
                     19,                0.80142,                 1.4788,                0.71859,                 1.3032,                0.76444,                0.80208,                0.77917,                0.55556,                0.76592,                0.81134,                0.78697,                0.53985,                0.94986,                 2.0638,                 1.0326,                 1.3877,               0.009109,               0.009109,               0.009109
                     20,                0.79184,                 1.4553,                0.70148,                 1.2909,                0.84506,                0.80671,                0.80513,                0.61862,                0.85839,                0.81944,                0.82265,                0.61417,                0.81213,                 1.6788,                0.94221,                 1.2256,              0.0090595,              0.0090595,              0.0090595
                     21,                0.78477,                 1.4488,                0.69473,                 1.2879,                0.84506,                0.80671,                0.80513,                0.61862,                0.85839,                0.81944,                0.82265,                0.61417,                0.81213,                 1.6788,                0.94221,                 1.2256,                0.00901,                0.00901,                0.00901
                     22,                0.77479,                 1.4182,                0.68764,                 1.2805,                0.84506,                0.80671,                0.80513,                0.61862,                0.85839,                0.81944,                0.82265,                0.61417,                0.81213,                 1.6788,                0.94221,                 1.2256,              0.0089605,              0.0089605,              0.0089605
                     23,                0.75773,                  1.413,                0.68218,                 1.2691,                0.84506,                0.80671,                0.80513,                0.61862,                0.85839,                0.81944,                0.82265,                0.61417,                0.81213,                 1.6788,                0.94221,                 1.2256,               0.008911,               0.008911,               0.008911
