          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2477,                 6.7034,                 3.2867,                 4.2164,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033125,              0.0033125,              0.0033125
                      2,                 3.1885,                 3.7965,                 3.1087,                 4.1025,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0066129,              0.0066129,              0.0066129
                      3,                 2.4123,                 2.9639,                 2.3608,                  3.168,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098804,              0.0098804,              0.0098804
                      4,                 1.5149,                 2.3885,                 1.4446,                 2.1152,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.1682,                  2.096,                 1.0851,                  1.726,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                 1.0251,                 1.8211,                0.94306,                 1.5714,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 0.9472,                 1.6822,                 0.8552,                 1.4872,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                0.90194,                  1.591,                0.80609,                 1.4355,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                0.86215,                 1.5184,                0.76737,                 1.3943,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     10,                 0.8191,                 1.4216,                0.72719,                 1.3539,                0.86613,                0.80208,                 0.8392,                0.66617,                0.87758,                0.82137,                0.84894,                 0.6612,                0.78872,                 1.6051,                0.77903,                 1.2332,              0.0095545,              0.0095545,              0.0095545
                     11,                0.79577,                  1.409,                0.70498,                 1.3334,                0.86613,                0.80208,                 0.8392,                0.66617,                0.87758,                0.82137,                0.84894,                 0.6612,                0.78872,                 1.6051,                0.77903,                 1.2332,               0.009505,               0.009505,               0.009505
                     12,                0.77695,                 1.3936,                0.68397,                 1.3046,                0.86613,                0.80208,                 0.8392,                0.66617,                0.87758,                0.82137,                0.84894,                 0.6612,                0.78872,                 1.6051,                0.77903,                 1.2332,              0.0094555,              0.0094555,              0.0094555
                     13,                0.76032,                 1.3277,                0.66921,                 1.2923,                0.86613,                0.80208,                 0.8392,                0.66617,                0.87758,                0.82137,                0.84894,                 0.6612,                0.78872,                 1.6051,                0.77903,                 1.2332,               0.009406,               0.009406,               0.009406
                     14,                0.74819,                 1.3157,                0.65698,                 1.2778,                0.86613,                0.80208,                 0.8392,                0.66617,                0.87758,                0.82137,                0.84894,                 0.6612,                0.78872,                 1.6051,                0.77903,                 1.2332,              0.0093565,              0.0093565,              0.0093565
                     15,                0.73626,                 1.3152,                0.64925,                 1.2716,                0.86613,                0.80208,                 0.8392,                0.66617,                0.87758,                0.82137,                0.84894,                 0.6612,                0.78872,                 1.6051,                0.77903,                 1.2332,               0.009307,               0.009307,               0.009307
                     16,                0.71337,                 1.2386,                 0.6231,                  1.251,                0.86613,                0.80208,                 0.8392,                0.66617,                0.87758,                0.82137,                0.84894,                 0.6612,                0.78872,                 1.6051,                0.77903,                 1.2332,              0.0092575,              0.0092575,              0.0092575
                     17,                0.71391,                 1.2566,                0.63767,                  1.251,                0.86613,                0.80208,                 0.8392,                0.66617,                0.87758,                0.82137,                0.84894,                 0.6612,                0.78872,                 1.6051,                0.77903,                 1.2332,               0.009208,               0.009208,               0.009208
                     18,                0.70112,                 1.2197,                0.61961,                  1.241,                0.86613,                0.80208,                 0.8392,                0.66617,                0.87758,                0.82137,                0.84894,                 0.6612,                0.78872,                 1.6051,                0.77903,                 1.2332,              0.0091585,              0.0091585,              0.0091585
                     19,                0.69015,                 1.2286,                0.60841,                 1.2336,                0.86613,                0.80208,                 0.8392,                0.66617,                0.87758,                0.82137,                0.84894,                 0.6612,                0.78872,                 1.6051,                0.77903,                 1.2332,               0.009109,               0.009109,               0.009109
                     20,                0.68212,                 1.2176,                0.60388,                 1.2203,                0.87667,                0.82275,                0.84422,                 0.6934,                0.87359,                0.83449,                0.85064,                0.69486,                0.64637,                 1.4919,                0.69955,                  1.075,              0.0090595,              0.0090595,              0.0090595
                     21,                0.65945,                 1.1821,                0.58372,                 1.2027,                0.87667,                0.82275,                0.84422,                 0.6934,                0.87359,                0.83449,                0.85064,                0.69486,                0.64637,                 1.4919,                0.69955,                  1.075,                0.00901,                0.00901,                0.00901
                     22,                0.67296,                 1.1758,                0.58765,                 1.2123,                0.87667,                0.82275,                0.84422,                 0.6934,                0.87359,                0.83449,                0.85064,                0.69486,                0.64637,                 1.4919,                0.69955,                  1.075,              0.0089605,              0.0089605,              0.0089605
                     23,                0.65866,                 1.1573,                0.57478,                 1.2012,                0.87667,                0.82275,                0.84422,                 0.6934,                0.87359,                0.83449,                0.85064,                0.69486,                0.64637,                 1.4919,                0.69955,                  1.075,               0.008911,               0.008911,               0.008911
                     24,                0.64456,                 1.1363,                0.56924,                  1.194,                0.87667,                0.82275,                0.84422,                 0.6934,                0.87359,                0.83449,                0.85064,                0.69486,                0.64637,                 1.4919,                0.69955,                  1.075,              0.0088615,              0.0088615,              0.0088615
                     25,                0.64076,                 1.1439,                0.56512,                 1.1861,                0.87667,                0.82275,                0.84422,                 0.6934,                0.87359,                0.83449,                0.85064,                0.69486,                0.64637,                 1.4919,                0.69955,                  1.075,               0.008812,               0.008812,               0.008812
                     26,                0.64084,                 1.1733,                0.56567,                 1.1874,                0.87667,                0.82275,                0.84422,                 0.6934,                0.87359,                0.83449,                0.85064,                0.69486,                0.64637,                 1.4919,                0.69955,                  1.075,              0.0087625,              0.0087625,              0.0087625
                     27,                0.63396,                  1.152,                0.56117,                 1.1862,                0.87667,                0.82275,                0.84422,                 0.6934,                0.87359,                0.83449,                0.85064,                0.69486,                0.64637,                 1.4919,                0.69955,                  1.075,               0.008713,               0.008713,               0.008713
                     28,                0.63485,                 1.1493,                0.55971,                  1.183,                0.87667,                0.82275,                0.84422,                 0.6934,                0.87359,                0.83449,                0.85064,                0.69486,                0.64637,                 1.4919,                0.69955,                  1.075,              0.0086635,              0.0086635,              0.0086635
                     29,                0.62417,                 1.0949,                 0.5511,                 1.1754,                0.87667,                0.82275,                0.84422,                 0.6934,                0.87359,                0.83449,                0.85064,                0.69486,                0.64637,                 1.4919,                0.69955,                  1.075,               0.008614,               0.008614,               0.008614
                     30,                0.61965,                 1.1042,                0.54533,                 1.1725,                0.89676,                0.84375,                0.84744,                0.71066,                 0.9008,                0.84954,                0.84816,                0.70145,                0.59394,                 1.4249,                0.63269,                 1.0392,              0.0085645,              0.0085645,              0.0085645
                     31,                0.61806,                 1.0916,                0.53663,                 1.1666,                0.89676,                0.84375,                0.84744,                0.71066,                 0.9008,                0.84954,                0.84816,                0.70145,                0.59394,                 1.4249,                0.63269,                 1.0392,               0.008515,               0.008515,               0.008515
                     32,                0.61064,                  1.082,                 0.5307,                 1.1624,                0.89676,                0.84375,                0.84744,                0.71066,                 0.9008,                0.84954,                0.84816,                0.70145,                0.59394,                 1.4249,                0.63269,                 1.0392,              0.0084655,              0.0084655,              0.0084655
                     33,                0.60949,                 1.0756,                0.53228,                 1.1574,                0.89676,                0.84375,                0.84744,                0.71066,                 0.9008,                0.84954,                0.84816,                0.70145,                0.59394,                 1.4249,                0.63269,                 1.0392,               0.008416,               0.008416,               0.008416
                     34,                 0.6013,                 1.0605,                0.52171,                 1.1527,                0.89676,                0.84375,                0.84744,                0.71066,                 0.9008,                0.84954,                0.84816,                0.70145,                0.59394,                 1.4249,                0.63269,                 1.0392,              0.0083665,              0.0083665,              0.0083665
