          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2293,                 6.2041,                  3.333,                 4.1303,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065278,             0.00065278,             0.00065278
                      2,                 2.8382,                 3.4701,                 3.0117,                 3.4176,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013129,              0.0013129,              0.0013129
                      3,                 2.3009,                 2.9935,                 2.6198,                   2.85,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019664,              0.0019664,              0.0019664
                      4,                 1.8263,                 2.6759,                 1.9692,                 2.2934,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.4443,                 2.3572,                 1.4441,                 1.8804,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.2679,                 2.1625,                 1.2169,                 1.6994,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019505,              0.0019505,              0.0019505
                      7,                  1.166,                  1.983,                 1.0938,                 1.5963,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.1056,                 1.8711,                0.99799,                  1.528,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.0721,                 1.8155,                0.96908,                 1.4876,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.0349,                 1.7279,                0.91604,                 1.4445,                0.82578,                0.77662,                0.82998,                0.58148,                0.81934,                0.78704,                 0.8275,                0.57189,                 1.0459,                 1.9028,                 1.0049,                 1.3895,              0.0019109,              0.0019109,              0.0019109
                     11,                0.98192,                 1.6675,                0.87182,                 1.4012,                0.82578,                0.77662,                0.82998,                0.58148,                0.81934,                0.78704,                 0.8275,                0.57189,                 1.0459,                 1.9028,                 1.0049,                 1.3895,               0.001901,               0.001901,               0.001901
                     12,                0.95262,                 1.6065,                0.84759,                 1.3742,                0.82578,                0.77662,                0.82998,                0.58148,                0.81934,                0.78704,                 0.8275,                0.57189,                 1.0459,                 1.9028,                 1.0049,                 1.3895,              0.0018911,              0.0018911,              0.0018911
                     13,                0.93256,                  1.577,                0.82386,                 1.3514,                0.82578,                0.77662,                0.82998,                0.58148,                0.81934,                0.78704,                 0.8275,                0.57189,                 1.0459,                 1.9028,                 1.0049,                 1.3895,              0.0018812,              0.0018812,              0.0018812
                     14,                0.89562,                 1.5393,                0.78845,                 1.3198,                0.82578,                0.77662,                0.82998,                0.58148,                0.81934,                0.78704,                 0.8275,                0.57189,                 1.0459,                 1.9028,                 1.0049,                 1.3895,              0.0018713,              0.0018713,              0.0018713
                     15,                0.88337,                 1.5157,                0.76755,                 1.3079,                0.82578,                0.77662,                0.82998,                0.58148,                0.81934,                0.78704,                 0.8275,                0.57189,                 1.0459,                 1.9028,                 1.0049,                 1.3895,              0.0018614,              0.0018614,              0.0018614
                     16,                   0.87,                 1.5027,                  0.747,                 1.2936,                0.82578,                0.77662,                0.82998,                0.58148,                0.81934,                0.78704,                 0.8275,                0.57189,                 1.0459,                 1.9028,                 1.0049,                 1.3895,              0.0018515,              0.0018515,              0.0018515
                     17,                0.85634,                 1.4434,                0.73154,                 1.2846,                0.82578,                0.77662,                0.82998,                0.58148,                0.81934,                0.78704,                 0.8275,                0.57189,                 1.0459,                 1.9028,                 1.0049,                 1.3895,              0.0018416,              0.0018416,              0.0018416
                     18,                0.84214,                 1.4516,                0.73477,                 1.2744,                0.82578,                0.77662,                0.82998,                0.58148,                0.81934,                0.78704,                 0.8275,                0.57189,                 1.0459,                 1.9028,                 1.0049,                 1.3895,              0.0018317,              0.0018317,              0.0018317
