          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2505,                 7.3259,                 3.3129,                 4.2129,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00329,                0.00329,                0.00329
                      2,                 3.2744,                 5.4692,                 3.2694,                 4.1757,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065906,              0.0065906,              0.0065906
                      3,                 3.0535,                 3.3517,                 2.9729,                 3.7328,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098581,              0.0098581,              0.0098581
                      4,                 2.2288,                 2.7697,                 2.3061,                 2.7124,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4933,                 2.4699,                 1.4747,                 1.9178,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                 1.1859,                 2.1682,                 1.1295,                 1.6108,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0675,                 2.0092,                 1.0065,                  1.508,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                  1.006,                   1.87,                0.92901,                 1.4476,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                0.94957,                 1.7601,                 0.8633,                 1.3942,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     10,                0.91701,                  1.699,                0.82448,                 1.3624,                 0.8481,                0.76505,                0.81924,                0.59339,                0.84732,                0.76434,                0.82266,                0.56112,                0.96147,                 2.2065,                0.96221,                 1.3478,              0.0095545,              0.0095545,              0.0095545
                     11,                0.88542,                 1.6341,                0.78841,                 1.3389,                 0.8481,                0.76505,                0.81924,                0.59339,                0.84732,                0.76434,                0.82266,                0.56112,                0.96147,                 2.2065,                0.96221,                 1.3478,               0.009505,               0.009505,               0.009505
                     12,                0.85437,                   1.57,                 0.7643,                  1.318,                 0.8481,                0.76505,                0.81924,                0.59339,                0.84732,                0.76434,                0.82266,                0.56112,                0.96147,                 2.2065,                0.96221,                 1.3478,              0.0094555,              0.0094555,              0.0094555
                     13,                0.84706,                 1.5687,                0.75583,                 1.3009,                 0.8481,                0.76505,                0.81924,                0.59339,                0.84732,                0.76434,                0.82266,                0.56112,                0.96147,                 2.2065,                0.96221,                 1.3478,               0.009406,               0.009406,               0.009406
                     14,                0.82353,                 1.5327,                0.72602,                 1.2822,                 0.8481,                0.76505,                0.81924,                0.59339,                0.84732,                0.76434,                0.82266,                0.56112,                0.96147,                 2.2065,                0.96221,                 1.3478,              0.0093565,              0.0093565,              0.0093565
                     15,                0.79857,                 1.4834,                0.70107,                 1.2621,                 0.8481,                0.76505,                0.81924,                0.59339,                0.84732,                0.76434,                0.82266,                0.56112,                0.96147,                 2.2065,                0.96221,                 1.3478,               0.009307,               0.009307,               0.009307
                     16,                 0.7939,                 1.4344,                0.69378,                  1.265,                 0.8481,                0.76505,                0.81924,                0.59339,                0.84732,                0.76434,                0.82266,                0.56112,                0.96147,                 2.2065,                0.96221,                 1.3478,              0.0092575,              0.0092575,              0.0092575
                     17,                0.77717,                 1.4267,                0.67193,                 1.2451,                 0.8481,                0.76505,                0.81924,                0.59339,                0.84732,                0.76434,                0.82266,                0.56112,                0.96147,                 2.2065,                0.96221,                 1.3478,               0.009208,               0.009208,               0.009208
                     18,                 0.7606,                 1.4064,                0.66703,                 1.2321,                 0.8481,                0.76505,                0.81924,                0.59339,                0.84732,                0.76434,                0.82266,                0.56112,                0.96147,                 2.2065,                0.96221,                 1.3478,              0.0091585,              0.0091585,              0.0091585
                     19,                0.74069,                 1.3707,                0.65096,                 1.2128,                 0.8481,                0.76505,                0.81924,                0.59339,                0.84732,                0.76434,                0.82266,                0.56112,                0.96147,                 2.2065,                0.96221,                 1.3478,               0.009109,               0.009109,               0.009109
                     20,                0.73631,                  1.369,                0.63965,                 1.2176,                0.90877,                0.80556,                0.85103,                0.70499,                0.90578,                0.81134,                0.86588,                0.68737,                0.67878,                 1.5043,                0.67136,                 1.1017,              0.0090595,              0.0090595,              0.0090595
                     21,                0.73224,                 1.3591,                0.63178,                 1.2058,                0.90877,                0.80556,                0.85103,                0.70499,                0.90578,                0.81134,                0.86588,                0.68737,                0.67878,                 1.5043,                0.67136,                 1.1017,                0.00901,                0.00901,                0.00901
                     22,                0.72432,                 1.3275,                 0.6262,                 1.2027,                0.90877,                0.80556,                0.85103,                0.70499,                0.90578,                0.81134,                0.86588,                0.68737,                0.67878,                 1.5043,                0.67136,                 1.1017,              0.0089605,              0.0089605,              0.0089605
                     23,                0.71609,                 1.3161,                0.61714,                 1.1958,                0.90877,                0.80556,                0.85103,                0.70499,                0.90578,                0.81134,                0.86588,                0.68737,                0.67878,                 1.5043,                0.67136,                 1.1017,               0.008911,               0.008911,               0.008911
                     24,                0.71139,                 1.2818,                0.60676,                 1.1948,                0.90877,                0.80556,                0.85103,                0.70499,                0.90578,                0.81134,                0.86588,                0.68737,                0.67878,                 1.5043,                0.67136,                 1.1017,              0.0088615,              0.0088615,              0.0088615
                     25,                0.69925,                 1.2921,                0.60956,                 1.1783,                0.90877,                0.80556,                0.85103,                0.70499,                0.90578,                0.81134,                0.86588,                0.68737,                0.67878,                 1.5043,                0.67136,                 1.1017,               0.008812,               0.008812,               0.008812
                     26,                0.69957,                 1.2759,                0.59952,                 1.1844,                0.90877,                0.80556,                0.85103,                0.70499,                0.90578,                0.81134,                0.86588,                0.68737,                0.67878,                 1.5043,                0.67136,                 1.1017,              0.0087625,              0.0087625,              0.0087625
                     27,                0.69148,                 1.2908,                0.59462,                 1.1782,                0.90877,                0.80556,                0.85103,                0.70499,                0.90578,                0.81134,                0.86588,                0.68737,                0.67878,                 1.5043,                0.67136,                 1.1017,               0.008713,               0.008713,               0.008713
                     28,                0.70404,                 1.3003,                0.60628,                 1.1854,                0.90877,                0.80556,                0.85103,                0.70499,                0.90578,                0.81134,                0.86588,                0.68737,                0.67878,                 1.5043,                0.67136,                 1.1017,              0.0086635,              0.0086635,              0.0086635
                     29,                0.68029,                 1.2522,                0.58756,                 1.1685,                0.90877,                0.80556,                0.85103,                0.70499,                0.90578,                0.81134,                0.86588,                0.68737,                0.67878,                 1.5043,                0.67136,                 1.1017,               0.008614,               0.008614,               0.008614
                     30,                0.67732,                 1.2367,                0.58222,                 1.1625,                0.88823,                0.81829,                0.84971,                0.70002,                0.89097,                 0.8206,                0.85661,                0.69391,                0.66181,                  1.463,                0.72639,                 1.0648,              0.0085645,              0.0085645,              0.0085645
                     31,                0.67211,                 1.2253,                0.57367,                 1.1595,                0.88823,                0.81829,                0.84971,                0.70002,                0.89097,                 0.8206,                0.85661,                0.69391,                0.66181,                  1.463,                0.72639,                 1.0648,               0.008515,               0.008515,               0.008515
                     32,                0.66671,                 1.2289,                 0.5729,                 1.1606,                0.88823,                0.81829,                0.84971,                0.70002,                0.89097,                 0.8206,                0.85661,                0.69391,                0.66181,                  1.463,                0.72639,                 1.0648,              0.0084655,              0.0084655,              0.0084655
                     33,                0.66951,                 1.2258,                0.57775,                 1.1557,                0.88823,                0.81829,                0.84971,                0.70002,                0.89097,                 0.8206,                0.85661,                0.69391,                0.66181,                  1.463,                0.72639,                 1.0648,               0.008416,               0.008416,               0.008416
                     34,                0.66637,                 1.2062,                0.57162,                 1.1558,                0.88823,                0.81829,                0.84971,                0.70002,                0.89097,                 0.8206,                0.85661,                0.69391,                0.66181,                  1.463,                0.72639,                 1.0648,              0.0083665,              0.0083665,              0.0083665
