          current_epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3034,                 3.4742,                 4.2718,                0.00746,                0.94211,                0.02584,                0.00954,                 3.2661,                 3.4263,                 4.1582,                0.00016,                0.00016,                0.00016
                      2,                 3.2429,                 3.3664,                 4.1648,                0.00742,                0.93684,                0.03957,                 0.0121,                  3.246,                 3.4321,                 4.1427,             0.00033832,             0.00033832,             0.00033832
                      3,                 3.0683,                 3.1025,                 3.9667,                0.00762,                0.96316,                 0.0446,                0.01346,                 3.2382,                 3.4625,                   4.14,             0.00051485,             0.00051485,             0.00051485
                      4,                 3.0265,                 2.9302,                 3.7235,                0.04713,                0.52632,                0.04509,                0.01369,                 3.3819,                 19.901,                 4.1479,              0.0006896,              0.0006896,              0.0006896
                      5,                 2.8563,                   2.87,                 3.5932,                0.03377,                0.65263,                0.02885,                0.00849,                 3.9061,                    inf,                 5.1863,             0.00086258,             0.00086258,             0.00086258
                      6,                 2.7041,                 2.8275,                 3.4246,                0.01839,                0.65789,                0.07016,                0.01559,                 3.7266,                 3.8272,                 4.5428,              0.0010338,              0.0010338,              0.0010338
                      7,                 2.6722,                 2.7374,                 3.2387,                0.02836,                0.60526,                0.09893,                0.02547,                 3.6543,                 4.0084,                 4.7716,              0.0012032,              0.0012032,              0.0012032
                      8,                 2.7312,                 2.7458,                 3.3212,                0.00021,                0.02632,                0.00012,                  3e-05,                 5.4217,                    inf,                 124.23,              0.0013708,              0.0013708,              0.0013708
                      9,                 2.6017,                 2.6555,                 3.1478,                0.00038,                0.04737,                 0.0002,                  5e-05,                 5.3176,                    inf,                 96.073,              0.0015366,              0.0015366,              0.0015366
                     10,                 2.5211,                 2.6228,                 3.0803,                0.00848,                    0.9,                 0.0132,                0.00617,                    nan,                    nan,                    nan,              0.0017007,              0.0017007,              0.0017007
                     11,                 2.4715,                 2.5699,                 3.0873,                0.00093,                0.11579,                0.00257,                 0.0018,                 3.6943,                    inf,                 327.68,               0.001863,               0.001863,               0.001863
                     12,                 2.4357,                 2.5571,                 3.0112,                 0.0024,                0.28947,                0.00214,                0.00087,                 3.1407,                    inf,                 28.915,              0.0018911,              0.0018911,              0.0018911
                     13,                 2.3948,                 2.5047,                 2.9926,                0.00811,                0.92105,                 0.0133,                0.00566,                 3.3881,                    inf,                 64.508,              0.0018812,              0.0018812,              0.0018812
                     14,                 2.3022,                 2.4941,                 2.8499,                0.00465,                0.56842,                0.00719,                0.00305,                 3.2901,                    inf,                 48.659,              0.0018713,              0.0018713,              0.0018713
                     15,                 2.3118,                 2.4495,                 2.8236,                0.02863,                0.86842,                 0.0275,                0.01593,                 2.2206,                    inf,                 7.4703,              0.0018614,              0.0018614,              0.0018614
                     16,                 2.2029,                 2.3302,                 2.8037,                0.11446,                0.67895,                0.10417,                0.05524,                 1.9763,                    inf,                 4.7543,              0.0018515,              0.0018515,              0.0018515
                     17,                 2.2277,                 2.3575,                 2.7844,                0.12621,                0.27368,                 0.0657,                0.02813,                 2.9003,                  46.58,                 5.2093,              0.0018416,              0.0018416,              0.0018416
                     18,                 2.1597,                 2.3058,                 2.7207,                0.22804,                    0.8,                0.40766,                 0.2338,                 1.7594,                  20.23,                 3.4744,              0.0018317,              0.0018317,              0.0018317
                     19,                 2.1822,                 2.2551,                 2.6837,                0.12764,                0.26842,                0.09308,                0.03604,                 2.9558,                 9.9241,                 3.7583,              0.0018218,              0.0018218,              0.0018218
                     20,                 2.0314,                 2.2029,                 2.6768,                0.70796,                0.42105,                0.46047,                0.25737,                 1.9256,                 62.927,                 4.2465,              0.0018119,              0.0018119,              0.0018119
                     21,                 2.1034,                 2.2016,                 2.6477,                0.58727,                0.64405,                0.66581,                0.37316,                 1.8611,                 4.7722,                 2.9096,               0.001802,               0.001802,               0.001802
                     22,                 2.1611,                 2.2074,                 2.5613,                0.51678,                0.68947,                0.61799,                0.36705,                 1.8028,                 3.5801,                 2.8231,              0.0017921,              0.0017921,              0.0017921
