          current_epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2647,                 3.6547,                 4.2299,                0.00737,                0.93158,                0.03966,                0.01257,                 3.2449,                 3.4432,                 4.1484,                0.00032,                0.00032,                0.00032
                      2,                 3.0213,                  2.961,                 3.9058,                0.00771,                0.97368,                 0.1318,                 0.0367,                 3.4133,                 3.3348,                 4.2656,             0.00065673,             0.00065673,             0.00065673
                      3,                 2.7967,                  2.832,                 3.5979,                 0.0256,                0.34737,                 0.0192,                0.00726,                 3.2675,                    inf,                 6.7414,              0.0009901,              0.0009901,              0.0009901
                      4,                 2.5327,                 2.6796,                 3.2879,                0.01481,                0.02105,                0.00756,                0.00151,                 3.4927,                 5.0943,                 4.9225,              0.0013201,              0.0013201,              0.0013201
                      5,                 2.4088,                   2.61,                 3.0962,                0.03846,                0.14211,                0.03934,                0.00876,                 3.7887,                 46.084,                 9.3148,              0.0016467,              0.0016467,              0.0016467
                      6,                 2.3703,                 2.5885,                 2.9726,                  0.019,                0.25263,                0.01097,                0.00354,                 3.3693,                    inf,                  5.422,              0.0019505,              0.0019505,              0.0019505
                      7,                 2.2928,                  2.423,                 2.8237,                0.02572,                0.72632,                0.02709,                0.01605,                 2.0301,                    inf,                 8.3951,              0.0019406,              0.0019406,              0.0019406
                      8,                  2.224,                 2.3763,                  2.762,                0.06976,                0.73158,                0.10443,                0.04535,                 1.6639,                 65.575,                 2.9814,              0.0019307,              0.0019307,              0.0019307
                      9,                 2.1743,                 2.2728,                 2.6882,                0.36538,                    0.1,                0.12077,                0.04432,                 1.8419,                    inf,                 3.1582,              0.0019208,              0.0019208,              0.0019208
                     10,                 2.1571,                 2.1346,                 2.6075,                0.23772,                0.57895,                0.28463,                0.12125,                 1.6955,                 9.2562,                 2.5096,              0.0019109,              0.0019109,              0.0019109
                     11,                 2.1024,                 2.1614,                 2.6049,                0.27216,                0.68947,                0.30032,                0.14283,                 1.6291,                 14.788,                 2.5091,               0.001901,               0.001901,               0.001901
                     12,                 2.0134,                 2.1074,                 2.5006,                0.59531,                0.71579,                0.71642,                0.34754,                 1.6567,                 9.3325,                 2.4718,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.9539,                 2.0131,                 2.4544,                0.71372,                0.60359,                 0.6718,                0.41625,                 1.6069,                 3.7171,                 2.2266,              0.0018812,              0.0018812,              0.0018812
                     14,                 1.9195,                 1.8996,                 2.3957,                 0.6084,                0.69474,                 0.6008,                 0.3429,                 1.5725,                 2.4696,                 2.1252,              0.0018713,              0.0018713,              0.0018713
