                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8735,                 3.9007,                 3.3908,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032941,              0.0032941,              0.0032941
                      2,                 2.4523,                 2.1371,                 2.0099,                0.60061,                0.17171,                0.25082,                0.10348,                 2.3323,                 3.3687,                 1.8512,              0.0065946,              0.0065946,              0.0065946
                      3,                 2.2141,                 1.7662,                 1.7528,                0.41778,                0.20832,                0.19007,                0.06193,                 2.5673,                 3.1056,                 2.0153,              0.0098622,              0.0098622,              0.0098622
                      4,                 2.0351,                 1.4445,                 1.5952,                0.50555,                0.28147,                0.25097,                0.10706,                 2.2216,                 2.5094,                 1.5747,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8879,                 1.2281,                 1.5041,                0.67256,                0.38536,                0.41172,                 0.1712,                 2.0631,                 1.7617,                 1.5482,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.7813,                 1.0956,                 1.4387,                0.54473,                0.48901,                0.51844,                0.22674,                   1.92,                 1.2548,                 1.4135,               0.009802,               0.009802,               0.009802
                      7,                 1.7155,                 1.0187,                 1.4034,                0.64356,                0.47649,                0.61722,                0.24955,                 1.9441,                 1.4003,                 1.4117,              0.0097525,              0.0097525,              0.0097525
                      8,                  1.654,                0.95531,                 1.3734,                0.77388,                0.67915,                0.71111,                 0.2984,                  1.787,                 1.1812,                 1.3607,               0.009703,               0.009703,               0.009703
                      9,                 1.6119,                  0.914,                 1.3494,                0.71595,                0.59993,                0.61971,                 0.2733,                 1.9458,                 1.4173,                 1.3962,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.5952,                0.89216,                 1.3485,                0.61822,                0.66907,                0.68057,                0.28193,                 1.8381,                 1.1143,                 1.3712,               0.009604,               0.009604,               0.009604
                     11,                 1.5618,                0.87175,                 1.3236,                0.77506,                0.65668,                0.70644,                0.31021,                 1.7389,                 1.0739,                 1.3358,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.5312,                0.83949,                 1.3059,                0.88554,                0.71738,                0.76279,                0.33015,                  1.778,                0.95256,                 1.3329,               0.009505,               0.009505,               0.009505
                     13,                 1.5249,                0.83328,                 1.3054,                0.80502,                0.70155,                  0.748,                0.31991,                 1.8332,                0.94035,                  1.342,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.4931,                0.81312,                 1.2861,                0.82064,                  0.706,                0.75063,                 0.3402,                 1.7194,                  0.963,                 1.3056,               0.009406,               0.009406,               0.009406
                     15,                 1.4786,                0.79785,                 1.2839,                0.68881,                0.72142,                0.76113,                0.35112,                 1.6494,                0.88772,                 1.2702,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.4646,                0.78912,                 1.2722,                0.79726,                0.74079,                0.78282,                0.34467,                 1.6606,                0.94476,                 1.2977,               0.009307,               0.009307,               0.009307
                     17,                 1.4565,                0.79499,                 1.2751,                 0.7743,                 0.7247,                 0.7521,                0.33778,                 1.6578,                0.89605,                 1.2753,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.4559,                0.77419,                 1.2643,                0.85142,                0.73275,                0.78571,                0.37095,                  1.597,                0.86703,                 1.2523,               0.009208,               0.009208,               0.009208
                     19,                 1.4292,                0.76601,                 1.2527,                0.76851,                0.71552,                0.76954,                 0.3717,                 1.5372,                0.84516,                 1.2368,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.4217,                0.75487,                 1.2529,                0.75672,                0.71965,                0.75729,                0.36082,                 1.5806,                0.89491,                 1.2523,               0.009109,               0.009109,               0.009109
                     21,                 1.4157,                0.74634,                 1.2504,                 0.7974,                0.72664,                0.77387,                0.35864,                 1.5876,                0.81052,                 1.2542,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.4075,                0.74809,                 1.2398,                0.74248,                 0.7246,                 0.7624,                0.37326,                 1.5072,                0.77926,                 1.2131,                0.00901,                0.00901,                0.00901
                     23,                 1.4015,                0.73671,                 1.2356,                0.80073,                0.74726,                0.79204,                0.38023,                 1.5319,                0.79934,                 1.2219,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.3905,                0.72992,                 1.2369,                0.75995,                 0.7319,                0.76802,                 0.3758,                 1.5033,                0.81469,                 1.2045,               0.008911,               0.008911,               0.008911
                     25,                 1.3929,                  0.735,                 1.2339,                0.77402,                0.76692,                0.78678,                0.38976,                   1.51,                0.79324,                 1.2138,              0.0088615,              0.0088615,              0.0088615
                     26,                  1.381,                 0.7186,                 1.2258,                0.83052,                0.74254,                0.81734,                0.40667,                 1.5227,                 0.7612,                 1.2115,               0.008812,               0.008812,               0.008812
                     27,                 1.3786,                 0.7176,                 1.2201,                0.77299,                0.74028,                0.78029,                 0.3887,                 1.4843,                0.75604,                 1.2086,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.3748,                0.71242,                 1.2312,                0.83489,                0.74705,                0.80765,                0.39606,                 1.5065,                0.75668,                 1.2147,               0.008713,               0.008713,               0.008713
                     29,                 1.3672,                0.71468,                 1.2275,                0.78193,                0.74038,                0.78553,                0.39863,                 1.5111,                0.77842,                 1.2115,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.3622,                0.70722,                  1.225,                0.82445,                0.73904,                0.79671,                0.39198,                  1.526,                0.75741,                 1.2062,               0.008614,               0.008614,               0.008614
                     31,                 1.3629,                0.71303,                 1.2238,                0.80214,                0.74828,                0.78143,                0.39494,                 1.4866,                0.74116,                 1.1983,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.3663,                0.70629,                 1.2187,                0.82713,                0.73953,                0.80597,                 0.4112,                 1.4429,                0.72038,                 1.1753,               0.008515,               0.008515,               0.008515
                     33,                 1.3447,                0.69806,                 1.2079,                0.78925,                0.73381,                0.78396,                0.39017,                 1.4788,                0.77948,                 1.1911,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.3457,                0.69628,                 1.2179,                0.85395,                 0.7908,                0.83353,                0.42301,                 1.4324,                0.71634,                  1.176,               0.008416,               0.008416,               0.008416
                     35,                 1.3492,                0.69055,                  1.213,                0.83498,                0.73485,                0.80376,                0.40032,                 1.4878,                0.73277,                 1.1962,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.3354,                 0.6887,                 1.2098,                 0.8448,                0.77683,                0.82989,                0.42838,                 1.4506,                0.71001,                 1.1806,               0.008317,               0.008317,               0.008317
                     37,                 1.3364,                0.68817,                 1.2002,                0.86251,                0.75265,                0.82395,                0.42059,                 1.4469,                0.73125,                 1.1777,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.3333,                0.68772,                 1.2055,                0.80233,                0.76424,                 0.8067,                0.39813,                 1.5564,                0.74393,                 1.2039,               0.008218,               0.008218,               0.008218
                     39,                 1.3257,                0.67988,                 1.2054,                0.88215,                0.75029,                0.82803,                0.40924,                 1.4785,                0.73486,                 1.1844,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.3253,                 0.6737,                 1.2031,                  0.846,                0.75285,                0.81013,                0.41402,                 1.4422,                 0.7132,                 1.1745,               0.008119,               0.008119,               0.008119
                     41,                 1.3316,                0.68583,                 1.2046,                  0.856,                0.78092,                0.83793,                0.42992,                 1.4398,                0.71866,                 1.1777,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.3226,                0.67796,                 1.1995,                0.82264,                0.76155,                0.81406,                 0.4187,                  1.438,                0.71924,                 1.1759,                0.00802,                0.00802,                0.00802
                     43,                 1.3147,                0.67517,                 1.1961,                0.84344,                0.76772,                0.81347,                0.41723,                 1.4079,                0.69695,                 1.1619,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.3179,                0.66908,                 1.1987,                0.85145,                0.78631,                0.83742,                0.43131,                 1.4144,                 0.7049,                 1.1644,               0.007921,               0.007921,               0.007921
                     45,                 1.3084,                0.66858,                 1.1932,                0.82375,                0.76901,                0.82005,                 0.4208,                 1.4722,                 0.6928,                 1.1817,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.3071,                0.67106,                 1.1964,                0.86153,                0.77754,                0.82191,                0.42618,                  1.406,                0.70121,                 1.1642,               0.007822,               0.007822,               0.007822
                     47,                 1.2997,                0.66173,                 1.1863,                0.83169,                 0.7718,                0.81774,                0.41691,                 1.4245,                0.71238,                 1.1673,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.3047,                0.66183,                 1.1906,                0.82523,                0.76546,                0.81283,                0.42119,                 1.4091,                0.69074,                  1.167,               0.007723,               0.007723,               0.007723
                     49,                 1.2896,                0.65463,                 1.1864,                0.83595,                0.78663,                0.83064,                0.41548,                 1.4518,                 0.6966,                 1.1798,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.3012,                 0.6663,                   1.19,                0.75817,                0.73489,                0.77394,                0.40076,                 1.4405,                0.70495,                 1.1783,               0.007624,               0.007624,               0.007624
                     51,                 1.3021,                0.66265,                 1.1935,                0.84682,                0.77057,                0.83011,                0.41801,                 1.4255,                0.70956,                 1.1721,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.2924,                0.65776,                 1.1819,                0.83093,                0.78878,                0.83394,                0.43694,                 1.3872,                0.67686,                 1.1467,               0.007525,               0.007525,               0.007525
                     53,                 1.2981,                0.65702,                 1.1835,                0.80125,                0.76792,                0.79574,                0.41941,                  1.397,                0.68536,                 1.1542,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.2992,                0.66146,                 1.1975,                0.85401,                0.76253,                0.82196,                0.43233,                 1.4053,                0.68022,                 1.1589,               0.007426,               0.007426,               0.007426
                     55,                 1.2861,                0.65234,                 1.1821,                0.85853,                0.77731,                0.83462,                0.43552,                 1.3869,                0.69106,                 1.1531,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.2876,                0.65793,                 1.1831,                0.85219,                0.77871,                0.84124,                0.43741,                 1.3702,                0.68698,                 1.1428,               0.007327,               0.007327,               0.007327
                     57,                 1.2817,                 0.6462,                 1.1857,                0.83535,                0.79385,                0.83195,                  0.436,                  1.385,                0.68243,                 1.1551,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.2853,                0.64743,                 1.1843,                0.84618,                0.79412,                0.83308,                 0.4421,                 1.3662,                0.68184,                 1.1425,               0.007228,               0.007228,               0.007228
                     59,                 1.2812,                0.64642,                 1.1761,                0.85516,                0.79041,                0.84729,                0.43914,                 1.3769,                0.68319,                 1.1504,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.2809,                0.64787,                 1.1761,                0.85309,                0.78639,                 0.8438,                0.43414,                 1.3822,                 0.6849,                 1.1432,               0.007129,               0.007129,               0.007129
                     61,                 1.2729,                0.64754,                 1.1775,                0.87172,                0.80529,                0.85925,                0.44291,                 1.3671,                0.66318,                 1.1437,              0.0070795,              0.0070795,              0.0070795
                     62,                  1.276,                0.63971,                 1.1763,                0.81143,                0.78421,                0.81972,                0.43704,                 1.3654,                0.66477,                 1.1381,                0.00703,                0.00703,                0.00703
                     63,                 1.2734,                0.63857,                 1.1759,                0.85231,                0.79441,                0.84622,                 0.4426,                 1.3635,                 0.6725,                 1.1432,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.2732,                0.64385,                 1.1729,                   0.86,                0.79888,                0.84785,                0.44653,                 1.3512,                0.66603,                 1.1343,               0.006931,               0.006931,               0.006931
                     65,                 1.2657,                0.63791,                 1.1786,                0.85573,                0.78077,                0.84179,                0.44602,                 1.3739,                0.67028,                 1.1469,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.2706,                0.64201,                 1.1737,                0.86398,                0.80696,                0.85077,                0.43963,                 1.3988,                0.65446,                 1.1506,               0.006832,               0.006832,               0.006832
                     67,                 1.2652,                0.64195,                 1.1719,                0.84786,                 0.7928,                0.83674,                0.44492,                 1.3572,                0.65918,                 1.1393,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.2664,                0.63301,                 1.1743,                0.85538,                0.79567,                0.84288,                0.44976,                 1.3461,                0.66699,                  1.132,               0.006733,               0.006733,               0.006733
                     69,                 1.2612,                0.63017,                 1.1706,                0.86375,                0.82022,                  0.851,                0.44813,                 1.3533,                0.66465,                 1.1354,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.2575,                0.63062,                 1.1711,                0.86244,                0.81516,                0.85641,                 0.4506,                 1.3551,                0.66179,                 1.1327,               0.006634,               0.006634,               0.006634
                     71,                 1.2634,                0.63725,                 1.1705,                0.85752,                0.80816,                0.85712,                0.44993,                 1.3429,                0.64951,                 1.1325,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.2607,                0.63383,                 1.1642,                0.85978,                0.81724,                0.86042,                 0.4579,                  1.332,                0.66055,                 1.1261,               0.006535,               0.006535,               0.006535
                     73,                 1.2606,                0.62983,                 1.1725,                0.86598,                0.80771,                0.86636,                0.45909,                 1.3475,                0.66203,                 1.1338,              0.0064855,              0.0064855,              0.0064855
                     74,                  1.256,                0.63361,                 1.1707,                0.86661,                0.81997,                 0.8577,                0.45174,                 1.3636,                0.67505,                 1.1372,               0.006436,               0.006436,               0.006436
                     75,                 1.2581,                0.64064,                 1.1761,                 0.8651,                0.82122,                0.86789,                0.45991,                 1.3442,                0.66184,                 1.1328,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.2525,                0.62955,                 1.1701,                0.86602,                0.82673,                0.86582,                0.45626,                 1.3351,                0.64398,                  1.127,               0.006337,               0.006337,               0.006337
                     77,                 1.2572,                0.64399,                 1.1739,                0.85153,                0.81857,                0.85704,                0.45256,                 1.3506,                0.64695,                 1.1311,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.2488,                0.63243,                 1.1642,                0.87367,                0.79959,                0.86085,                0.45807,                 1.3364,                0.65088,                 1.1265,               0.006238,               0.006238,               0.006238
                     79,                 1.2462,                0.63111,                 1.1685,                0.86976,                0.81918,                 0.8663,                0.45438,                 1.3451,                0.65167,                   1.13,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.2479,                0.62508,                 1.1557,                  0.869,                0.81021,                0.85592,                0.45432,                 1.3401,                0.65663,                 1.1266,               0.006139,               0.006139,               0.006139
                     81,                 1.2474,                0.62693,                 1.1703,                0.86503,                0.80754,                0.85459,                0.45492,                 1.3374,                0.64866,                 1.1229,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.2426,                 0.6236,                 1.1671,                0.85844,                 0.8032,                0.85152,                0.45053,                 1.3332,                0.64581,                 1.1274,                0.00604,                0.00604,                0.00604
                     83,                  1.265,                0.65157,                 1.1786,                0.86723,                0.80987,                0.86267,                0.45614,                 1.3369,                0.64845,                 1.1255,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.2407,                0.62666,                 1.1653,                0.86977,                 0.8192,                0.86573,                0.45082,                 1.3583,                0.65085,                  1.133,               0.005941,               0.005941,               0.005941
                     85,                 1.2329,                0.61836,                 1.1576,                0.87226,                0.81858,                0.86793,                0.45268,                 1.3491,                0.64449,                 1.1292,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.2325,                0.61601,                 1.1524,                0.85956,                0.81835,                0.86618,                0.46339,                 1.3269,                 0.6483,                 1.1219,               0.005842,               0.005842,               0.005842
                     87,                 1.2365,                0.61658,                  1.157,                0.87336,                0.81425,                 0.8679,                0.46498,                 1.3392,                0.64359,                 1.1229,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.2437,                0.62137,                 1.1598,                0.86042,                0.81334,                0.86193,                0.46298,                 1.3258,                0.64272,                 1.1205,               0.005743,               0.005743,               0.005743
                     89,                 1.2294,                0.62817,                 1.1552,                0.88475,                0.81777,                 0.8698,                0.46483,                 1.3303,                0.63635,                 1.1201,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.2412,                0.62597,                 1.1555,                0.87299,                0.80559,                 0.8607,                0.46531,                 1.3212,                0.63972,                 1.1186,               0.005644,               0.005644,               0.005644
                     91,                 1.2347,                0.62239,                 1.1611,                0.86087,                0.81529,                0.85921,                0.45985,                 1.3389,                0.64153,                 1.1243,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.2297,                 0.6246,                 1.1572,                0.86322,                 0.8149,                0.85605,                0.45864,                 1.3158,                 0.6363,                 1.1182,               0.005545,               0.005545,               0.005545
                     93,                  1.223,                0.61179,                 1.1531,                0.86116,                0.81887,                0.86121,                0.46479,                 1.3173,                0.63734,                 1.1157,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.2242,                0.60846,                 1.1486,                0.85364,                0.82304,                0.86034,                0.46522,                 1.3208,                0.63893,                 1.1169,               0.005446,               0.005446,               0.005446
                     95,                  1.229,                0.61578,                 1.1554,                0.86476,                0.82438,                0.86267,                0.46562,                 1.3141,                0.64348,                 1.1149,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.2267,                0.61128,                 1.1527,                0.85997,                0.81804,                0.85878,                0.46955,                 1.3054,                 0.6387,                  1.113,               0.005347,               0.005347,               0.005347
                     97,                 1.2228,                0.61895,                 1.1501,                 0.8601,                0.80854,                0.85753,                0.46428,                 1.3128,                0.63283,                 1.1157,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.2239,                0.61008,                 1.1497,                0.86895,                 0.8094,                0.86001,                0.46357,                 1.3144,                0.63654,                 1.1166,               0.005248,               0.005248,               0.005248
                     99,                 1.2277,                0.60994,                 1.1576,                0.87026,                0.81923,                0.86523,                0.46743,                 1.3046,                0.63463,                 1.1154,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.2189,                0.60746,                 1.1424,                0.86887,                 0.8276,                0.86958,                0.47339,                 1.3056,                0.63368,                 1.1133,               0.005149,               0.005149,               0.005149
                    101,                 1.2198,                0.61202,                 1.1472,                0.87336,                0.82821,                0.87173,                0.47665,                 1.3019,                0.63163,                 1.1111,              0.0050995,              0.0050995,              0.0050995
                    102,                  1.208,                0.60276,                 1.1438,                0.86538,                0.82758,                0.87093,                0.47243,                 1.3086,                0.63465,                 1.1131,                0.00505,                0.00505,                0.00505
                    103,                  1.219,                0.60651,                 1.1483,                0.86962,                0.83258,                0.87481,                0.47375,                 1.3084,                0.63249,                 1.1117,              0.0050005,              0.0050005,              0.0050005
