          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2613,                 5.6671,                 3.5682,                 4.8337,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003268,               0.003268,               0.003268
                      2,                 3.0586,                 3.3719,                 2.9997,                 4.5011,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065686,              0.0065686,              0.0065686
                      3,                 2.3837,                 3.0736,                 2.5969,                 3.7175,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098363,              0.0098363,              0.0098363
                      4,                 1.7784,                 2.7128,                  1.997,                 2.9329,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3687,                 2.3853,                 1.4519,                 2.3791,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                 1.1788,                   2.13,                 1.2091,                 2.0722,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0693,                 2.0272,                 1.0992,                 1.9067,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                 1.0095,                 1.8506,                 1.0113,                 1.8184,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                0.95367,                 1.7355,                0.95473,                 1.7366,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     10,                0.92228,                 1.6833,                0.90091,                 1.6809,                0.81247,                0.74884,                0.77424,                0.54869,                0.80118,                0.78009,                0.79664,                0.56288,                 1.0066,                 1.8041,                 1.2246,                  1.842,              0.0095545,              0.0095545,              0.0095545
                     11,                0.88693,                 1.6563,                0.85704,                 1.6387,                0.81247,                0.74884,                0.77424,                0.54869,                0.80118,                0.78009,                0.79664,                0.56288,                 1.0066,                 1.8041,                 1.2246,                  1.842,               0.009505,               0.009505,               0.009505
                     12,                0.86498,                  1.598,                0.83455,                  1.604,                0.81247,                0.74884,                0.77424,                0.54869,                0.80118,                0.78009,                0.79664,                0.56288,                 1.0066,                 1.8041,                 1.2246,                  1.842,              0.0094555,              0.0094555,              0.0094555
