          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1142,                 6.0418,                 3.4402,                   4.63,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065185,             0.00065185,             0.00065185
                      2,                  2.408,                 3.4864,                 3.0073,                 3.6137,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001312,               0.001312,               0.001312
                      3,                 1.9598,                 2.9381,                 2.3894,                 2.9188,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019655,              0.0019655,              0.0019655
                      4,                 1.5741,                 2.6229,                 1.8496,                 2.4076,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.3401,                 2.3572,                 1.5154,                 2.1177,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.2319,                 2.1764,                 1.3338,                   1.96,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.1462,                 2.0353,                 1.2148,                  1.851,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.0852,                 1.9318,                 1.1249,                 1.7748,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.0479,                 1.8105,                 1.0654,                 1.7283,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.0199,                 1.7927,                 1.0258,                 1.6792,                0.84134,                 0.7488,                0.81098,                  0.573,                0.84691,                 0.7662,                0.82311,                0.58163,                 1.0603,                 2.0097,                 1.1922,                 1.7108,              0.0019109,              0.0019109,              0.0019109
                     11,                0.97379,                 1.7183,                0.96346,                 1.6271,                0.84134,                 0.7488,                0.81098,                  0.573,                0.84691,                 0.7662,                0.82311,                0.58163,                 1.0603,                 2.0097,                 1.1922,                 1.7108,               0.001901,               0.001901,               0.001901
                     12,                0.95414,                 1.6687,                0.93827,                    1.6,                0.84134,                 0.7488,                0.81098,                  0.573,                0.84691,                 0.7662,                0.82311,                0.58163,                 1.0603,                 2.0097,                 1.1922,                 1.7108,              0.0018911,              0.0018911,              0.0018911
                     13,                0.92971,                 1.6202,                0.90779,                 1.5754,                0.84134,                 0.7488,                0.81098,                  0.573,                0.84691,                 0.7662,                0.82311,                0.58163,                 1.0603,                 2.0097,                 1.1922,                 1.7108,              0.0018812,              0.0018812,              0.0018812
