          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1315,                 5.4668,                 3.4017,                 4.6465,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065116,             0.00065116,             0.00065116
                      2,                 2.4042,                 3.3852,                 2.9288,                 3.6133,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013113,              0.0013113,              0.0013113
                      3,                 1.9169,                 2.9654,                 2.3813,                 2.9076,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019648,              0.0019648,              0.0019648
                      4,                  1.526,                 2.7048,                 1.7976,                 2.3453,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.3289,                 2.4313,                 1.4861,                 2.0684,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.2278,                 2.2256,                 1.3273,                 1.9307,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.1492,                 2.0923,                  1.202,                  1.833,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.0826,                 1.9495,                 1.1288,                 1.7482,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.0311,                 1.8673,                 1.0592,                  1.685,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019208,              0.0019208,              0.0019208
                     10,                0.99323,                 1.8117,                 1.0094,                 1.6356,                0.87309,                0.76852,                0.82738,                0.59058,                0.86976,                0.77293,                 0.8283,                0.58975,                0.97301,                 2.0124,                 1.1571,                   1.57,              0.0019109,              0.0019109,              0.0019109
