          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1059,                 5.2453,                 3.4043,                 4.6147,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065185,             0.00065185,             0.00065185
                      2,                 2.4174,                 3.3557,                 2.9373,                  3.582,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001312,               0.001312,               0.001312
                      3,                 1.8945,                 2.9662,                 2.3565,                 2.8854,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019655,              0.0019655,              0.0019655
                      4,                 1.5019,                 2.6426,                  1.795,                 2.3729,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.3019,                 2.3524,                 1.4684,                 2.0915,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.1976,                 2.2254,                 1.3167,                 1.9307,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.1263,                  2.024,                 1.2039,                 1.8364,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.0849,                 1.9322,                 1.1168,                 1.7731,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.0342,                 1.8658,                  1.058,                 1.7132,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019208,              0.0019208,              0.0019208
                     10,                0.99997,                 1.8238,                 1.0196,                 1.6622,                0.78644,                0.75013,                0.79434,                0.55865,                0.80154,                0.72917,                0.80386,                0.56869,                 1.0284,                 2.0108,                 1.1648,                  1.704,              0.0019109,              0.0019109,              0.0019109
                     11,                0.95973,                 1.7313,                0.96612,                 1.6189,                0.78644,                0.75013,                0.79434,                0.55865,                0.80154,                0.72917,                0.80386,                0.56869,                 1.0284,                 2.0108,                 1.1648,                  1.704,               0.001901,               0.001901,               0.001901
                     12,                0.94569,                 1.7038,                0.93413,                  1.588,                0.78644,                0.75013,                0.79434,                0.55865,                0.80154,                0.72917,                0.80386,                0.56869,                 1.0284,                 2.0108,                 1.1648,                  1.704,              0.0018911,              0.0018911,              0.0018911
                     13,                0.92029,                 1.6373,                 0.9126,                 1.5705,                0.78644,                0.75013,                0.79434,                0.55865,                0.80154,                0.72917,                0.80386,                0.56869,                 1.0284,                 2.0108,                 1.1648,                  1.704,              0.0018812,              0.0018812,              0.0018812
                     14,                0.91143,                 1.6462,                 0.8969,                  1.548,                0.78644,                0.75013,                0.79434,                0.55865,                0.80154,                0.72917,                0.80386,                0.56869,                 1.0284,                 2.0108,                 1.1648,                  1.704,              0.0018713,              0.0018713,              0.0018713
                     15,                0.88639,                 1.5828,                 0.8459,                  1.524,                0.78644,                0.75013,                0.79434,                0.55865,                0.80154,                0.72917,                0.80386,                0.56869,                 1.0284,                 2.0108,                 1.1648,                  1.704,              0.0018614,              0.0018614,              0.0018614
                     16,                0.85299,                 1.5355,                0.82503,                 1.4923,                0.78644,                0.75013,                0.79434,                0.55865,                0.80154,                0.72917,                0.80386,                0.56869,                 1.0284,                 2.0108,                 1.1648,                  1.704,              0.0018515,              0.0018515,              0.0018515
                     17,                0.85774,                 1.5306,                0.81743,                 1.4894,                0.78644,                0.75013,                0.79434,                0.55865,                0.80154,                0.72917,                0.80386,                0.56869,                 1.0284,                 2.0108,                 1.1648,                  1.704,              0.0018416,              0.0018416,              0.0018416
                     18,                0.84067,                 1.4988,                0.80181,                 1.4699,                0.78644,                0.75013,                0.79434,                0.55865,                0.80154,                0.72917,                0.80386,                0.56869,                 1.0284,                 2.0108,                 1.1648,                  1.704,              0.0018317,              0.0018317,              0.0018317
                     19,                0.84923,                 1.4994,                0.79608,                 1.4736,                0.78644,                0.75013,                0.79434,                0.55865,                0.80154,                0.72917,                0.80386,                0.56869,                 1.0284,                 2.0108,                 1.1648,                  1.704,              0.0018218,              0.0018218,              0.0018218
                     20,                0.83148,                 1.4492,                0.77533,                 1.4534,                0.87501,                0.79861,                 0.8311,                0.64526,                0.88081,                0.79541,                0.83226,                0.64071,                0.84037,                 1.6717,                0.86864,                 1.4455,              0.0018119,              0.0018119,              0.0018119
                     21,                0.81274,                 1.4358,                0.77418,                 1.4341,                0.87501,                0.79861,                 0.8311,                0.64526,                0.88081,                0.79541,                0.83226,                0.64071,                0.84037,                 1.6717,                0.86864,                 1.4455,               0.001802,               0.001802,               0.001802
                     22,                0.80832,                 1.4379,                0.75912,                 1.4247,                0.87501,                0.79861,                 0.8311,                0.64526,                0.88081,                0.79541,                0.83226,                0.64071,                0.84037,                 1.6717,                0.86864,                 1.4455,              0.0017921,              0.0017921,              0.0017921
                     23,                0.80199,                 1.4341,                0.75305,                  1.421,                0.87501,                0.79861,                 0.8311,                0.64526,                0.88081,                0.79541,                0.83226,                0.64071,                0.84037,                 1.6717,                0.86864,                 1.4455,              0.0017822,              0.0017822,              0.0017822
                     24,                0.79224,                 1.3982,                0.74214,                 1.4105,                0.87501,                0.79861,                 0.8311,                0.64526,                0.88081,                0.79541,                0.83226,                0.64071,                0.84037,                 1.6717,                0.86864,                 1.4455,              0.0017723,              0.0017723,              0.0017723
                     25,                0.77719,                 1.3782,                0.71578,                 1.3886,                0.87501,                0.79861,                 0.8311,                0.64526,                0.88081,                0.79541,                0.83226,                0.64071,                0.84037,                 1.6717,                0.86864,                 1.4455,              0.0017624,              0.0017624,              0.0017624
                     26,                 0.7812,                 1.3877,                 0.7213,                 1.3912,                0.87501,                0.79861,                 0.8311,                0.64526,                0.88081,                0.79541,                0.83226,                0.64071,                0.84037,                 1.6717,                0.86864,                 1.4455,              0.0017525,              0.0017525,              0.0017525
                     27,                0.76211,                 1.3438,                0.70729,                 1.3792,                0.87501,                0.79861,                 0.8311,                0.64526,                0.88081,                0.79541,                0.83226,                0.64071,                0.84037,                 1.6717,                0.86864,                 1.4455,              0.0017426,              0.0017426,              0.0017426
                     28,                0.76377,                   1.33,                0.70266,                 1.3796,                0.87501,                0.79861,                 0.8311,                0.64526,                0.88081,                0.79541,                0.83226,                0.64071,                0.84037,                 1.6717,                0.86864,                 1.4455,              0.0017327,              0.0017327,              0.0017327
                     29,                0.75244,                 1.3571,                0.69674,                 1.3648,                0.87501,                0.79861,                 0.8311,                0.64526,                0.88081,                0.79541,                0.83226,                0.64071,                0.84037,                 1.6717,                0.86864,                 1.4455,              0.0017228,              0.0017228,              0.0017228
                     30,                0.74384,                 1.3337,                0.68823,                 1.3581,                0.86777,                 0.7975,                0.83385,                0.64592,                0.85499,                0.81829,                0.84066,                0.65582,                0.87377,                 1.6084,                0.84349,                 1.4679,              0.0017129,              0.0017129,              0.0017129
                     31,                0.73489,                 1.3249,                0.67857,                 1.3484,                0.86777,                 0.7975,                0.83385,                0.64592,                0.85499,                0.81829,                0.84066,                0.65582,                0.87377,                 1.6084,                0.84349,                 1.4679,               0.001703,               0.001703,               0.001703
                     32,                0.74077,                 1.3228,                0.69474,                 1.3604,                0.86777,                 0.7975,                0.83385,                0.64592,                0.85499,                0.81829,                0.84066,                0.65582,                0.87377,                 1.6084,                0.84349,                 1.4679,              0.0016931,              0.0016931,              0.0016931
                     33,                0.72774,                 1.2895,                0.67424,                 1.3379,                0.86777,                 0.7975,                0.83385,                0.64592,                0.85499,                0.81829,                0.84066,                0.65582,                0.87377,                 1.6084,                0.84349,                 1.4679,              0.0016832,              0.0016832,              0.0016832
                     34,                0.73108,                 1.3011,                0.67195,                 1.3416,                0.86777,                 0.7975,                0.83385,                0.64592,                0.85499,                0.81829,                0.84066,                0.65582,                0.87377,                 1.6084,                0.84349,                 1.4679,              0.0016733,              0.0016733,              0.0016733
