          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0782,                 5.8601,                 3.4194,                 4.6522,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065185,             0.00065185,             0.00065185
                      2,                 2.4125,                 3.3963,                 3.0058,                 3.6203,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001312,               0.001312,               0.001312
                      3,                 1.9498,                 2.9544,                 2.4443,                 2.9478,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019655,              0.0019655,              0.0019655
                      4,                 1.5939,                 2.6665,                 1.8815,                 2.4331,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.3446,                 2.3925,                 1.5248,                 2.1133,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.2266,                 2.2379,                 1.3388,                 1.9502,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.1437,                 2.0721,                 1.2193,                 1.8381,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.0805,                 1.9553,                 1.1296,                 1.7615,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.0376,                 1.8296,                 1.0654,                 1.7021,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019208,              0.0019208,              0.0019208
                     10,                0.99408,                 1.8118,                 1.0122,                 1.6427,                0.83283,                0.77546,                0.81426,                0.56877,                0.84098,                0.76852,                0.82246,                0.57661,                 1.0303,                 1.9603,                 1.2129,                 1.6585,              0.0019109,              0.0019109,              0.0019109
                     11,                0.96617,                 1.7277,                0.96952,                  1.607,                0.83283,                0.77546,                0.81426,                0.56877,                0.84098,                0.76852,                0.82246,                0.57661,                 1.0303,                 1.9603,                 1.2129,                 1.6585,               0.001901,               0.001901,               0.001901
                     12,                0.94317,                 1.6831,                0.93292,                 1.5796,                0.83283,                0.77546,                0.81426,                0.56877,                0.84098,                0.76852,                0.82246,                0.57661,                 1.0303,                 1.9603,                 1.2129,                 1.6585,              0.0018911,              0.0018911,              0.0018911
                     13,                0.91631,                 1.6182,                0.90232,                 1.5536,                0.83283,                0.77546,                0.81426,                0.56877,                0.84098,                0.76852,                0.82246,                0.57661,                 1.0303,                 1.9603,                 1.2129,                 1.6585,              0.0018812,              0.0018812,              0.0018812
                     14,                0.90835,                 1.6201,                0.88468,                 1.5318,                0.83283,                0.77546,                0.81426,                0.56877,                0.84098,                0.76852,                0.82246,                0.57661,                 1.0303,                 1.9603,                 1.2129,                 1.6585,              0.0018713,              0.0018713,              0.0018713
