          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1041,                  5.851,                 3.4262,                 4.6437,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065185,             0.00065185,             0.00065185
                      2,                 2.3955,                 3.4213,                 2.9405,                 3.5851,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001312,               0.001312,               0.001312
                      3,                 1.9075,                 3.0012,                 2.3486,                 2.8662,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019655,              0.0019655,              0.0019655
                      4,                 1.5242,                 2.7065,                 1.7952,                 2.3483,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019703,              0.0019703,              0.0019703
                      5,                  1.305,                 2.4264,                 1.4675,                 2.0642,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.2114,                 2.2727,                 1.3239,                 1.9345,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.1336,                 2.1236,                 1.2061,                 1.8374,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.0744,                 1.9879,                 1.1134,                 1.7603,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.0416,                 1.8622,                 1.0667,                 1.7116,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.0014,                 1.8322,                 1.0025,                 1.6568,                0.84997,                0.73032,                0.80043,                 0.5682,                0.81463,                0.76294,                0.80866,                0.57302,                  1.073,                 2.0284,                 1.1364,                 1.6997,              0.0019109,              0.0019109,              0.0019109
                     11,                0.96977,                 1.7517,                0.96048,                 1.6166,                0.84997,                0.73032,                0.80043,                 0.5682,                0.81463,                0.76294,                0.80866,                0.57302,                  1.073,                 2.0284,                 1.1364,                 1.6997,               0.001901,               0.001901,               0.001901
                     12,                0.94256,                 1.7031,                 0.9263,                 1.5801,                0.84997,                0.73032,                0.80043,                 0.5682,                0.81463,                0.76294,                0.80866,                0.57302,                  1.073,                 2.0284,                 1.1364,                 1.6997,              0.0018911,              0.0018911,              0.0018911
                     13,                0.92289,                 1.6364,                0.89842,                 1.5611,                0.84997,                0.73032,                0.80043,                 0.5682,                0.81463,                0.76294,                0.80866,                0.57302,                  1.073,                 2.0284,                 1.1364,                 1.6997,              0.0018812,              0.0018812,              0.0018812
                     14,                0.90958,                 1.6164,                0.87816,                 1.5358,                0.84997,                0.73032,                0.80043,                 0.5682,                0.81463,                0.76294,                0.80866,                0.57302,                  1.073,                 2.0284,                 1.1364,                 1.6997,              0.0018713,              0.0018713,              0.0018713
                     15,                0.88051,                 1.5377,                0.84372,                 1.5047,                0.84997,                0.73032,                0.80043,                 0.5682,                0.81463,                0.76294,                0.80866,                0.57302,                  1.073,                 2.0284,                 1.1364,                 1.6997,              0.0018614,              0.0018614,              0.0018614
                     16,                0.86626,                 1.5503,                 0.8331,                  1.492,                0.84997,                0.73032,                0.80043,                 0.5682,                0.81463,                0.76294,                0.80866,                0.57302,                  1.073,                 2.0284,                 1.1364,                 1.6997,              0.0018515,              0.0018515,              0.0018515
                     17,                0.84066,                 1.5024,                0.80146,                 1.4577,                0.84997,                0.73032,                0.80043,                 0.5682,                0.81463,                0.76294,                0.80866,                0.57302,                  1.073,                 2.0284,                 1.1364,                 1.6997,              0.0018416,              0.0018416,              0.0018416
                     18,                0.83653,                 1.4688,                0.79647,                 1.4538,                0.84997,                0.73032,                0.80043,                 0.5682,                0.81463,                0.76294,                0.80866,                0.57302,                  1.073,                 2.0284,                 1.1364,                 1.6997,              0.0018317,              0.0018317,              0.0018317
                     19,                0.82251,                 1.4792,                0.77348,                 1.4349,                0.84997,                0.73032,                0.80043,                 0.5682,                0.81463,                0.76294,                0.80866,                0.57302,                  1.073,                 2.0284,                 1.1364,                 1.6997,              0.0018218,              0.0018218,              0.0018218
                     20,                0.82483,                 1.4736,                0.77404,                 1.4345,                0.87006,                0.79167,                 0.8337,                0.64114,                0.87063,                0.79745,                0.84298,                0.64049,                0.86181,                 1.7142,                0.94075,                 1.4712,              0.0018119,              0.0018119,              0.0018119
                     21,                0.80991,                 1.4362,                0.76054,                 1.4185,                0.87006,                0.79167,                 0.8337,                0.64114,                0.87063,                0.79745,                0.84298,                0.64049,                0.86181,                 1.7142,                0.94075,                 1.4712,               0.001802,               0.001802,               0.001802
                     22,                0.80142,                 1.4237,                0.74818,                 1.4109,                0.87006,                0.79167,                 0.8337,                0.64114,                0.87063,                0.79745,                0.84298,                0.64049,                0.86181,                 1.7142,                0.94075,                 1.4712,              0.0017921,              0.0017921,              0.0017921
                     23,                0.78469,                 1.3983,                0.74101,                 1.3968,                0.87006,                0.79167,                 0.8337,                0.64114,                0.87063,                0.79745,                0.84298,                0.64049,                0.86181,                 1.7142,                0.94075,                 1.4712,              0.0017822,              0.0017822,              0.0017822
                     24,                0.78774,                 1.3861,                0.73772,                 1.3906,                0.87006,                0.79167,                 0.8337,                0.64114,                0.87063,                0.79745,                0.84298,                0.64049,                0.86181,                 1.7142,                0.94075,                 1.4712,              0.0017723,              0.0017723,              0.0017723
                     25,                0.77832,                 1.3897,                0.72437,                 1.3788,                0.87006,                0.79167,                 0.8337,                0.64114,                0.87063,                0.79745,                0.84298,                0.64049,                0.86181,                 1.7142,                0.94075,                 1.4712,              0.0017624,              0.0017624,              0.0017624
                     26,                0.76128,                 1.3614,                0.69934,                 1.3635,                0.87006,                0.79167,                 0.8337,                0.64114,                0.87063,                0.79745,                0.84298,                0.64049,                0.86181,                 1.7142,                0.94075,                 1.4712,              0.0017525,              0.0017525,              0.0017525
                     27,                0.75915,                 1.4005,                0.71462,                 1.3672,                0.87006,                0.79167,                 0.8337,                0.64114,                0.87063,                0.79745,                0.84298,                0.64049,                0.86181,                 1.7142,                0.94075,                 1.4712,              0.0017426,              0.0017426,              0.0017426
                     28,                0.76132,                 1.3719,                0.70392,                 1.3647,                0.87006,                0.79167,                 0.8337,                0.64114,                0.87063,                0.79745,                0.84298,                0.64049,                0.86181,                 1.7142,                0.94075,                 1.4712,              0.0017327,              0.0017327,              0.0017327
                     29,                0.74578,                 1.3342,                0.68217,                 1.3469,                0.87006,                0.79167,                 0.8337,                0.64114,                0.87063,                0.79745,                0.84298,                0.64049,                0.86181,                 1.7142,                0.94075,                 1.4712,              0.0017228,              0.0017228,              0.0017228
                     30,                0.74937,                  1.359,                0.69659,                 1.3505,                 0.8882,                 0.8125,                0.83981,                0.66327,                 0.8851,                0.81136,                0.84188,                0.66295,                0.75849,                 1.5194,                0.82475,                 1.3462,              0.0017129,              0.0017129,              0.0017129
                     31,                0.74654,                   1.32,                0.69409,                 1.3484,                 0.8882,                 0.8125,                0.83981,                0.66327,                 0.8851,                0.81136,                0.84188,                0.66295,                0.75849,                 1.5194,                0.82475,                 1.3462,               0.001703,               0.001703,               0.001703
                     32,                0.73889,                 1.3187,                 0.6747,                 1.3411,                 0.8882,                 0.8125,                0.83981,                0.66327,                 0.8851,                0.81136,                0.84188,                0.66295,                0.75849,                 1.5194,                0.82475,                 1.3462,              0.0016931,              0.0016931,              0.0016931
                     33,                0.73562,                 1.3148,                0.67658,                 1.3289,                 0.8882,                 0.8125,                0.83981,                0.66327,                 0.8851,                0.81136,                0.84188,                0.66295,                0.75849,                 1.5194,                0.82475,                 1.3462,              0.0016832,              0.0016832,              0.0016832
                     34,                0.72827,                 1.2865,                0.66035,                 1.3241,                 0.8882,                 0.8125,                0.83981,                0.66327,                 0.8851,                0.81136,                0.84188,                0.66295,                0.75849,                 1.5194,                0.82475,                 1.3462,              0.0016733,              0.0016733,              0.0016733
                     35,                0.72511,                 1.2885,                0.65413,                 1.3218,                 0.8882,                 0.8125,                0.83981,                0.66327,                 0.8851,                0.81136,                0.84188,                0.66295,                0.75849,                 1.5194,                0.82475,                 1.3462,              0.0016634,              0.0016634,              0.0016634
                     36,                0.72335,                 1.2768,                0.66362,                 1.3209,                 0.8882,                 0.8125,                0.83981,                0.66327,                 0.8851,                0.81136,                0.84188,                0.66295,                0.75849,                 1.5194,                0.82475,                 1.3462,              0.0016535,              0.0016535,              0.0016535
                     37,                0.71469,                 1.2718,                0.65579,                 1.3109,                 0.8882,                 0.8125,                0.83981,                0.66327,                 0.8851,                0.81136,                0.84188,                0.66295,                0.75849,                 1.5194,                0.82475,                 1.3462,              0.0016436,              0.0016436,              0.0016436
                     38,                0.70812,                 1.2702,                0.64964,                 1.3061,                 0.8882,                 0.8125,                0.83981,                0.66327,                 0.8851,                0.81136,                0.84188,                0.66295,                0.75849,                 1.5194,                0.82475,                 1.3462,              0.0016337,              0.0016337,              0.0016337
                     39,                0.70941,                 1.2724,                0.64952,                  1.307,                 0.8882,                 0.8125,                0.83981,                0.66327,                 0.8851,                0.81136,                0.84188,                0.66295,                0.75849,                 1.5194,                0.82475,                 1.3462,              0.0016238,              0.0016238,              0.0016238
                     40,                0.70557,                 1.2502,                0.64184,                 1.3003,                 0.8806,                0.79386,                0.83654,                0.66412,                0.87734,                 0.7963,                0.84086,                0.67266,                0.76322,                 1.5917,                0.84209,                   1.37,              0.0016139,              0.0016139,              0.0016139
                     41,                0.69827,                 1.2332,                0.63095,                 1.2905,                 0.8806,                0.79386,                0.83654,                0.66412,                0.87734,                 0.7963,                0.84086,                0.67266,                0.76322,                 1.5917,                0.84209,                   1.37,               0.001604,               0.001604,               0.001604
                     42,                0.69782,                 1.2249,                0.62803,                 1.2914,                 0.8806,                0.79386,                0.83654,                0.66412,                0.87734,                 0.7963,                0.84086,                0.67266,                0.76322,                 1.5917,                0.84209,                   1.37,              0.0015941,              0.0015941,              0.0015941
                     43,                0.69783,                 1.2455,                0.62399,                 1.2954,                 0.8806,                0.79386,                0.83654,                0.66412,                0.87734,                 0.7963,                0.84086,                0.67266,                0.76322,                 1.5917,                0.84209,                   1.37,              0.0015842,              0.0015842,              0.0015842
                     44,                0.69573,                 1.2633,                0.63229,                  1.297,                 0.8806,                0.79386,                0.83654,                0.66412,                0.87734,                 0.7963,                0.84086,                0.67266,                0.76322,                 1.5917,                0.84209,                   1.37,              0.0015743,              0.0015743,              0.0015743
                     45,                0.69136,                 1.2357,                0.62172,                 1.2854,                 0.8806,                0.79386,                0.83654,                0.66412,                0.87734,                 0.7963,                0.84086,                0.67266,                0.76322,                 1.5917,                0.84209,                   1.37,              0.0015644,              0.0015644,              0.0015644
                     46,                0.68967,                  1.204,                0.62526,                 1.2835,                 0.8806,                0.79386,                0.83654,                0.66412,                0.87734,                 0.7963,                0.84086,                0.67266,                0.76322,                 1.5917,                0.84209,                   1.37,              0.0015545,              0.0015545,              0.0015545
                     47,                0.67961,                 1.2083,                0.61169,                 1.2752,                 0.8806,                0.79386,                0.83654,                0.66412,                0.87734,                 0.7963,                0.84086,                0.67266,                0.76322,                 1.5917,                0.84209,                   1.37,              0.0015446,              0.0015446,              0.0015446
                     48,                0.68121,                 1.2099,                0.61292,                 1.2789,                 0.8806,                0.79386,                0.83654,                0.66412,                0.87734,                 0.7963,                0.84086,                0.67266,                0.76322,                 1.5917,                0.84209,                   1.37,              0.0015347,              0.0015347,              0.0015347
