          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1126,                 5.6567,                  3.407,                 4.6349,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065116,             0.00065116,             0.00065116
                      2,                 2.3709,                 3.4789,                  2.937,                 3.5793,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013113,              0.0013113,              0.0013113
                      3,                 1.8721,                 3.0073,                 2.3306,                  2.863,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019648,              0.0019648,              0.0019648
                      4,                  1.511,                 2.7446,                 1.7828,                 2.3499,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.3259,                 2.5394,                 1.5141,                 2.0948,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.2344,                 2.3861,                 1.3801,                 1.9704,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.1626,                 2.2187,                 1.2466,                 1.8689,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.0938,                 2.0459,                 1.1389,                 1.7811,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.0281,                 1.9365,                 1.0629,                 1.7031,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019208,              0.0019208,              0.0019208
                     10,                0.99441,                 1.8757,                 1.0221,                 1.6584,                0.84081,                0.73972,                0.81295,                0.56583,                0.84042,                0.75579,                0.81879,                0.57495,                 1.0875,                 2.1379,                 1.0961,                  1.698,              0.0019109,              0.0019109,              0.0019109
                     11,                0.97743,                 1.7929,                0.98153,                   1.64,                0.84081,                0.73972,                0.81295,                0.56583,                0.84042,                0.75579,                0.81879,                0.57495,                 1.0875,                 2.1379,                 1.0961,                  1.698,               0.001901,               0.001901,               0.001901
                     12,                0.94457,                 1.7226,                 0.9349,                 1.5915,                0.84081,                0.73972,                0.81295,                0.56583,                0.84042,                0.75579,                0.81879,                0.57495,                 1.0875,                 2.1379,                 1.0961,                  1.698,              0.0018911,              0.0018911,              0.0018911
                     13,                0.92802,                 1.7295,                0.91744,                 1.5736,                0.84081,                0.73972,                0.81295,                0.56583,                0.84042,                0.75579,                0.81879,                0.57495,                 1.0875,                 2.1379,                 1.0961,                  1.698,              0.0018812,              0.0018812,              0.0018812
                     14,                0.90713,                 1.6935,                0.89343,                 1.5447,                0.84081,                0.73972,                0.81295,                0.56583,                0.84042,                0.75579,                0.81879,                0.57495,                 1.0875,                 2.1379,                 1.0961,                  1.698,              0.0018713,              0.0018713,              0.0018713
                     15,                0.88331,                 1.6431,                0.86706,                 1.5188,                0.84081,                0.73972,                0.81295,                0.56583,                0.84042,                0.75579,                0.81879,                0.57495,                 1.0875,                 2.1379,                 1.0961,                  1.698,              0.0018614,              0.0018614,              0.0018614
                     16,                0.87044,                 1.5991,                0.83895,                 1.5093,                0.84081,                0.73972,                0.81295,                0.56583,                0.84042,                0.75579,                0.81879,                0.57495,                 1.0875,                 2.1379,                 1.0961,                  1.698,              0.0018515,              0.0018515,              0.0018515
                     17,                0.85486,                  1.549,                0.81657,                 1.4846,                0.84081,                0.73972,                0.81295,                0.56583,                0.84042,                0.75579,                0.81879,                0.57495,                 1.0875,                 2.1379,                 1.0961,                  1.698,              0.0018416,              0.0018416,              0.0018416
                     18,                0.83486,                 1.5122,                 0.8047,                 1.4658,                0.84081,                0.73972,                0.81295,                0.56583,                0.84042,                0.75579,                0.81879,                0.57495,                 1.0875,                 2.1379,                 1.0961,                  1.698,              0.0018317,              0.0018317,              0.0018317
                     19,                0.83579,                 1.5213,                0.78939,                  1.458,                0.84081,                0.73972,                0.81295,                0.56583,                0.84042,                0.75579,                0.81879,                0.57495,                 1.0875,                 2.1379,                 1.0961,                  1.698,              0.0018218,              0.0018218,              0.0018218
                     20,                0.82904,                 1.5101,                0.78065,                 1.4527,                0.88838,                0.78588,                0.82432,                0.62346,                 0.9016,                 0.7954,                0.84861,                0.64942,                0.88317,                 1.6238,                 0.8989,                 1.5076,              0.0018119,              0.0018119,              0.0018119
                     21,                0.81447,                 1.4486,                 0.7656,                 1.4327,                0.88838,                0.78588,                0.82432,                0.62346,                 0.9016,                 0.7954,                0.84861,                0.64942,                0.88317,                 1.6238,                 0.8989,                 1.5076,               0.001802,               0.001802,               0.001802
                     22,                0.81642,                 1.4469,                0.76927,                 1.4303,                0.88838,                0.78588,                0.82432,                0.62346,                 0.9016,                 0.7954,                0.84861,                0.64942,                0.88317,                 1.6238,                 0.8989,                 1.5076,              0.0017921,              0.0017921,              0.0017921
                     23,                0.79509,                 1.4492,                0.74933,                 1.4091,                0.88838,                0.78588,                0.82432,                0.62346,                 0.9016,                 0.7954,                0.84861,                0.64942,                0.88317,                 1.6238,                 0.8989,                 1.5076,              0.0017822,              0.0017822,              0.0017822
                     24,                0.79419,                 1.4253,                0.74369,                 1.4093,                0.88838,                0.78588,                0.82432,                0.62346,                 0.9016,                 0.7954,                0.84861,                0.64942,                0.88317,                 1.6238,                 0.8989,                 1.5076,              0.0017723,              0.0017723,              0.0017723
                     25,                0.78023,                 1.3962,                 0.7323,                 1.3932,                0.88838,                0.78588,                0.82432,                0.62346,                 0.9016,                 0.7954,                0.84861,                0.64942,                0.88317,                 1.6238,                 0.8989,                 1.5076,              0.0017624,              0.0017624,              0.0017624
