          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2572,                 5.8152,                 3.5372,                 4.8344,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032738,              0.0032738,              0.0032738
                      2,                 3.0883,                  3.425,                 3.0416,                  4.494,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065744,              0.0065744,              0.0065744
                      3,                 2.4404,                 3.0145,                 2.6206,                 3.7036,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098421,              0.0098421,              0.0098421
                      4,                  1.825,                  2.701,                 1.9936,                 2.8758,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3806,                 2.3992,                 1.4258,                 2.2868,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                 1.1859,                 2.1672,                 1.2043,                 2.0207,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                  1.073,                 1.9619,                 1.0732,                 1.8603,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                 1.0105,                 1.8582,                0.99269,                 1.7628,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                0.95835,                 1.7705,                  0.935,                 1.6954,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     10,                 0.9246,                 1.6766,                0.88194,                 1.6343,                 0.8253,                0.73702,                0.80757,                0.59671,                0.83926,                0.76471,                0.83743,                0.58692,                0.98321,                 1.9822,                 1.1973,                 1.7108,              0.0095545,              0.0095545,              0.0095545
                     11,                0.88348,                  1.595,                0.84059,                 1.5825,                 0.8253,                0.73702,                0.80757,                0.59671,                0.83926,                0.76471,                0.83743,                0.58692,                0.98321,                 1.9822,                 1.1973,                 1.7108,               0.009505,               0.009505,               0.009505
                     12,                0.86635,                 1.5584,                0.81899,                 1.5614,                 0.8253,                0.73702,                0.80757,                0.59671,                0.83926,                0.76471,                0.83743,                0.58692,                0.98321,                 1.9822,                 1.1973,                 1.7108,              0.0094555,              0.0094555,              0.0094555
                     13,                0.85302,                 1.5196,                 0.7903,                 1.5369,                 0.8253,                0.73702,                0.80757,                0.59671,                0.83926,                0.76471,                0.83743,                0.58692,                0.98321,                 1.9822,                 1.1973,                 1.7108,               0.009406,               0.009406,               0.009406
