          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2626,                 5.8021,                 3.5405,                 4.8551,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032704,              0.0032704,              0.0032704
                      2,                 3.0875,                 3.5377,                 3.0043,                 4.4948,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065711,              0.0065711,              0.0065711
                      3,                 2.2594,                 2.9962,                 2.4493,                 3.5621,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098387,              0.0098387,              0.0098387
                      4,                 1.6527,                 2.6528,                 1.7892,                  2.714,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3065,                  2.355,                 1.3667,                 2.2099,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                 1.1521,                 2.1411,                  1.192,                 1.9869,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0629,                 1.9158,                 1.0734,                 1.8518,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                0.99247,                 1.8427,                0.98883,                 1.7527,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                0.95975,                 1.7395,                0.92504,                 1.7013,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     10,                0.91368,                 1.6618,                0.88038,                   1.65,                0.85599,                0.75779,                0.82425,                0.62649,                0.86465,                0.75159,                0.83556,                0.61382,                 1.2165,                 1.5192,                 1.1795,                 1.9282,              0.0095545,              0.0095545,              0.0095545
