          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2427,                 6.3624,                 3.2992,                 4.2225,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032692,              0.0032692,              0.0032692
                      2,                 3.1363,                 3.5341,                 3.0547,                 4.0295,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065699,              0.0065699,              0.0065699
                      3,                 2.5104,                 2.9095,                 2.5322,                 3.2735,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098375,              0.0098375,              0.0098375
                      4,                 1.8659,                 2.5898,                 1.9146,                 2.5216,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4006,                 2.2378,                 1.3922,                 2.0276,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                 1.2043,                 1.9841,                 1.1748,                 1.7934,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0888,                  1.839,                 1.0444,                 1.6579,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                 1.0167,                 1.7338,                0.96155,                 1.5747,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                0.96458,                 1.6412,                0.90475,                 1.5251,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     10,                0.93689,                 1.5946,                0.87291,                  1.483,                0.83505,                0.77074,                0.83037,                0.61468,                0.81945,                0.80092,                0.84106,                0.62212,                0.98012,                 1.7204,                  1.088,                 1.5161,              0.0095545,              0.0095545,              0.0095545
                     11,                0.89054,                 1.5381,                0.82911,                 1.4455,                0.83505,                0.77074,                0.83037,                0.61468,                0.81945,                0.80092,                0.84106,                0.62212,                0.98012,                 1.7204,                  1.088,                 1.5161,               0.009505,               0.009505,               0.009505
                     12,                0.86654,                 1.4788,                0.80043,                 1.4158,                0.83505,                0.77074,                0.83037,                0.61468,                0.81945,                0.80092,                0.84106,                0.62212,                0.98012,                 1.7204,                  1.088,                 1.5161,              0.0094555,              0.0094555,              0.0094555
                     13,                0.86408,                 1.4616,                0.78521,                 1.4082,                0.83505,                0.77074,                0.83037,                0.61468,                0.81945,                0.80092,                0.84106,                0.62212,                0.98012,                 1.7204,                  1.088,                 1.5161,               0.009406,               0.009406,               0.009406
                     14,                0.84468,                 1.4498,                0.76835,                 1.3908,                0.83505,                0.77074,                0.83037,                0.61468,                0.81945,                0.80092,                0.84106,                0.62212,                0.98012,                 1.7204,                  1.088,                 1.5161,              0.0093565,              0.0093565,              0.0093565
                     15,                0.81764,                 1.3991,                0.74219,                 1.3662,                0.83505,                0.77074,                0.83037,                0.61468,                0.81945,                0.80092,                0.84106,                0.62212,                0.98012,                 1.7204,                  1.088,                 1.5161,               0.009307,               0.009307,               0.009307
                     16,                0.81733,                 1.4107,                0.74146,                 1.3653,                0.83505,                0.77074,                0.83037,                0.61468,                0.81945,                0.80092,                0.84106,                0.62212,                0.98012,                 1.7204,                  1.088,                 1.5161,              0.0092575,              0.0092575,              0.0092575
                     17,                0.79396,                 1.3721,                0.71852,                 1.3435,                0.83505,                0.77074,                0.83037,                0.61468,                0.81945,                0.80092,                0.84106,                0.62212,                0.98012,                 1.7204,                  1.088,                 1.5161,               0.009208,               0.009208,               0.009208
                     18,                0.78413,                 1.3499,                  0.714,                 1.3304,                0.83505,                0.77074,                0.83037,                0.61468,                0.81945,                0.80092,                0.84106,                0.62212,                0.98012,                 1.7204,                  1.088,                 1.5161,              0.0091585,              0.0091585,              0.0091585
                     19,                0.77186,                 1.3175,                0.69765,                 1.3223,                0.83505,                0.77074,                0.83037,                0.61468,                0.81945,                0.80092,                0.84106,                0.62212,                0.98012,                 1.7204,                  1.088,                 1.5161,               0.009109,               0.009109,               0.009109
                     20,                0.77496,                 1.3531,                0.70392,                 1.3218,                 0.8837,                0.84139,                0.86513,                 0.6916,                0.89461,                0.85177,                0.88121,                 0.6903,                0.74765,                  1.522,                0.84307,                 1.2604,              0.0090595,              0.0090595,              0.0090595
                     21,                 0.7573,                 1.2976,                0.68244,                 1.3077,                 0.8837,                0.84139,                0.86513,                 0.6916,                0.89461,                0.85177,                0.88121,                 0.6903,                0.74765,                  1.522,                0.84307,                 1.2604,                0.00901,                0.00901,                0.00901
                     22,                 0.7446,                 1.2892,                0.67124,                 1.3022,                 0.8837,                0.84139,                0.86513,                 0.6916,                0.89461,                0.85177,                0.88121,                 0.6903,                0.74765,                  1.522,                0.84307,                 1.2604,              0.0089605,              0.0089605,              0.0089605
                     23,                0.74466,                 1.3022,                0.66574,                 1.2981,                 0.8837,                0.84139,                0.86513,                 0.6916,                0.89461,                0.85177,                0.88121,                 0.6903,                0.74765,                  1.522,                0.84307,                 1.2604,               0.008911,               0.008911,               0.008911
                     24,                 0.7334,                 1.2762,                0.66516,                 1.2866,                 0.8837,                0.84139,                0.86513,                 0.6916,                0.89461,                0.85177,                0.88121,                 0.6903,                0.74765,                  1.522,                0.84307,                 1.2604,              0.0088615,              0.0088615,              0.0088615
                     25,                0.73052,                 1.2636,                0.65702,                 1.2843,                 0.8837,                0.84139,                0.86513,                 0.6916,                0.89461,                0.85177,                0.88121,                 0.6903,                0.74765,                  1.522,                0.84307,                 1.2604,               0.008812,               0.008812,               0.008812
                     26,                0.71536,                 1.2376,                0.63886,                 1.2735,                 0.8837,                0.84139,                0.86513,                 0.6916,                0.89461,                0.85177,                0.88121,                 0.6903,                0.74765,                  1.522,                0.84307,                 1.2604,              0.0087625,              0.0087625,              0.0087625
                     27,                0.71288,                 1.2367,                0.64056,                 1.2685,                 0.8837,                0.84139,                0.86513,                 0.6916,                0.89461,                0.85177,                0.88121,                 0.6903,                0.74765,                  1.522,                0.84307,                 1.2604,               0.008713,               0.008713,               0.008713
                     28,                0.72115,                 1.2436,                0.64088,                 1.2677,                 0.8837,                0.84139,                0.86513,                 0.6916,                0.89461,                0.85177,                0.88121,                 0.6903,                0.74765,                  1.522,                0.84307,                 1.2604,              0.0086635,              0.0086635,              0.0086635
                     29,                0.70495,                 1.2104,                0.62067,                 1.2613,                 0.8837,                0.84139,                0.86513,                 0.6916,                0.89461,                0.85177,                0.88121,                 0.6903,                0.74765,                  1.522,                0.84307,                 1.2604,               0.008614,               0.008614,               0.008614
                     30,                0.70202,                  1.241,                0.61983,                 1.2608,                0.87629,                0.85121,                0.86944,                0.70746,                0.87629,                0.85121,                0.87081,                0.70029,                 0.7114,                  1.477,                 0.8187,                 1.2239,              0.0085645,              0.0085645,              0.0085645
                     31,                0.69936,                 1.2451,                0.62551,                 1.2572,                0.87629,                0.85121,                0.86944,                0.70746,                0.87629,                0.85121,                0.87081,                0.70029,                 0.7114,                  1.477,                 0.8187,                 1.2239,               0.008515,               0.008515,               0.008515
