          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2704,                 6.0977,                 3.2991,                 4.2262,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003268,               0.003268,               0.003268
                      2,                 3.1124,                 3.6833,                 2.9938,                 4.0096,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065686,              0.0065686,              0.0065686
                      3,                  2.508,                 3.0923,                 2.5852,                 3.2717,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098363,              0.0098363,              0.0098363
                      4,                 1.8733,                  2.707,                 2.0213,                 2.5511,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4146,                 2.4342,                 1.4774,                 2.0569,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                  1.215,                 2.1913,                 1.2261,                 1.8105,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1103,                 2.0724,                 1.1116,                 1.6865,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                 1.0495,                 1.8767,                 1.0159,                 1.6026,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                 0.9809,                 1.7429,                0.95013,                 1.5413,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     10,                0.95171,                 1.6794,                0.90104,                 1.4976,                0.82186,                0.75779,                0.81883,                0.60529,                0.82579,                0.76471,                 0.8274,                0.60995,                 0.9628,                 1.7075,                 1.0271,                 1.4921,              0.0095545,              0.0095545,              0.0095545
                     11,                0.91217,                 1.6396,                0.85611,                 1.4516,                0.82186,                0.75779,                0.81883,                0.60529,                0.82579,                0.76471,                 0.8274,                0.60995,                 0.9628,                 1.7075,                 1.0271,                 1.4921,               0.009505,               0.009505,               0.009505
                     12,                0.88792,                 1.5745,                0.83293,                 1.4309,                0.82186,                0.75779,                0.81883,                0.60529,                0.82579,                0.76471,                 0.8274,                0.60995,                 0.9628,                 1.7075,                 1.0271,                 1.4921,              0.0094555,              0.0094555,              0.0094555
                     13,                 0.8583,                 1.5256,                0.79973,                 1.3999,                0.82186,                0.75779,                0.81883,                0.60529,                0.82579,                0.76471,                 0.8274,                0.60995,                 0.9628,                 1.7075,                 1.0271,                 1.4921,               0.009406,               0.009406,               0.009406
                     14,                0.84136,                 1.4826,                0.77494,                  1.383,                0.82186,                0.75779,                0.81883,                0.60529,                0.82579,                0.76471,                 0.8274,                0.60995,                 0.9628,                 1.7075,                 1.0271,                 1.4921,              0.0093565,              0.0093565,              0.0093565
                     15,                0.82678,                 1.4565,                0.76355,                 1.3683,                0.82186,                0.75779,                0.81883,                0.60529,                0.82579,                0.76471,                 0.8274,                0.60995,                 0.9628,                 1.7075,                 1.0271,                 1.4921,               0.009307,               0.009307,               0.009307
                     16,                0.82063,                 1.4167,                0.75527,                 1.3632,                0.82186,                0.75779,                0.81883,                0.60529,                0.82579,                0.76471,                 0.8274,                0.60995,                 0.9628,                 1.7075,                 1.0271,                 1.4921,              0.0092575,              0.0092575,              0.0092575
                     17,                0.80191,                   1.41,                0.73627,                 1.3453,                0.82186,                0.75779,                0.81883,                0.60529,                0.82579,                0.76471,                 0.8274,                0.60995,                 0.9628,                 1.7075,                 1.0271,                 1.4921,               0.009208,               0.009208,               0.009208
                     18,                0.79344,                 1.3887,                0.72607,                 1.3364,                0.82186,                0.75779,                0.81883,                0.60529,                0.82579,                0.76471,                 0.8274,                0.60995,                 0.9628,                 1.7075,                 1.0271,                 1.4921,              0.0091585,              0.0091585,              0.0091585
                     19,                0.77781,                 1.3555,                0.70723,                 1.3174,                0.82186,                0.75779,                0.81883,                0.60529,                0.82579,                0.76471,                 0.8274,                0.60995,                 0.9628,                 1.7075,                 1.0271,                 1.4921,               0.009109,               0.009109,               0.009109
                     20,                0.77453,                 1.3697,                0.70411,                 1.3138,                0.88508,                0.80277,                0.86935,                0.70404,                0.88999,                0.81182,                 0.8704,                0.70135,                0.76373,                 1.5323,                0.78039,                 1.2924,              0.0090595,              0.0090595,              0.0090595
                     21,                0.76395,                 1.3495,                0.69679,                 1.3041,                0.88508,                0.80277,                0.86935,                0.70404,                0.88999,                0.81182,                 0.8704,                0.70135,                0.76373,                 1.5323,                0.78039,                 1.2924,                0.00901,                0.00901,                0.00901
                     22,                0.76282,                 1.3324,                0.69345,                 1.3083,                0.88508,                0.80277,                0.86935,                0.70404,                0.88999,                0.81182,                 0.8704,                0.70135,                0.76373,                 1.5323,                0.78039,                 1.2924,              0.0089605,              0.0089605,              0.0089605
                     23,                0.74529,                 1.3006,                0.67969,                 1.2921,                0.88508,                0.80277,                0.86935,                0.70404,                0.88999,                0.81182,                 0.8704,                0.70135,                0.76373,                 1.5323,                0.78039,                 1.2924,               0.008911,               0.008911,               0.008911
                     24,                0.74181,                 1.2906,                0.66948,                 1.2903,                0.88508,                0.80277,                0.86935,                0.70404,                0.88999,                0.81182,                 0.8704,                0.70135,                0.76373,                 1.5323,                0.78039,                 1.2924,              0.0088615,              0.0088615,              0.0088615
                     25,                0.73326,                 1.2692,                 0.6687,                 1.2768,                0.88508,                0.80277,                0.86935,                0.70404,                0.88999,                0.81182,                 0.8704,                0.70135,                0.76373,                 1.5323,                0.78039,                 1.2924,               0.008812,               0.008812,               0.008812
                     26,                0.72164,                 1.2491,                0.65526,                 1.2719,                0.88508,                0.80277,                0.86935,                0.70404,                0.88999,                0.81182,                 0.8704,                0.70135,                0.76373,                 1.5323,                0.78039,                 1.2924,              0.0087625,              0.0087625,              0.0087625
                     27,                0.71797,                 1.2507,                0.64325,                 1.2681,                0.88508,                0.80277,                0.86935,                0.70404,                0.88999,                0.81182,                 0.8704,                0.70135,                0.76373,                 1.5323,                0.78039,                 1.2924,               0.008713,               0.008713,               0.008713
                     28,                0.72281,                 1.2423,                0.65303,                 1.2671,                0.88508,                0.80277,                0.86935,                0.70404,                0.88999,                0.81182,                 0.8704,                0.70135,                0.76373,                 1.5323,                0.78039,                 1.2924,              0.0086635,              0.0086635,              0.0086635
                     29,                0.70472,                 1.2305,                0.63801,                 1.2596,                0.88508,                0.80277,                0.86935,                0.70404,                0.88999,                0.81182,                 0.8704,                0.70135,                0.76373,                 1.5323,                0.78039,                 1.2924,               0.008614,               0.008614,               0.008614
                     30,                0.70037,                 1.2288,                0.63869,                 1.2494,                0.91564,                0.78866,                0.87895,                0.71962,                0.87784,                0.81315,                0.88168,                0.72101,                0.67555,                 1.3567,                0.71333,                 1.1837,              0.0085645,              0.0085645,              0.0085645
                     31,                0.70287,                 1.2482,                0.62757,                 1.2603,                0.91564,                0.78866,                0.87895,                0.71962,                0.87784,                0.81315,                0.88168,                0.72101,                0.67555,                 1.3567,                0.71333,                 1.1837,               0.008515,               0.008515,               0.008515
                     32,                0.69937,                 1.2118,                0.62791,                 1.2553,                0.91564,                0.78866,                0.87895,                0.71962,                0.87784,                0.81315,                0.88168,                0.72101,                0.67555,                 1.3567,                0.71333,                 1.1837,              0.0084655,              0.0084655,              0.0084655
                     33,                0.68411,                 1.2149,                 0.6286,                 1.2349,                0.91564,                0.78866,                0.87895,                0.71962,                0.87784,                0.81315,                0.88168,                0.72101,                0.67555,                 1.3567,                0.71333,                 1.1837,               0.008416,               0.008416,               0.008416
                     34,                0.68843,                 1.1755,                0.62188,                 1.2375,                0.91564,                0.78866,                0.87895,                0.71962,                0.87784,                0.81315,                0.88168,                0.72101,                0.67555,                 1.3567,                0.71333,                 1.1837,              0.0083665,              0.0083665,              0.0083665
                     35,                0.68175,                 1.1953,                 0.6117,                 1.2293,                0.91564,                0.78866,                0.87895,                0.71962,                0.87784,                0.81315,                0.88168,                0.72101,                0.67555,                 1.3567,                0.71333,                 1.1837,               0.008317,               0.008317,               0.008317
                     36,                0.67979,                 1.2009,                0.61808,                 1.2334,                0.91564,                0.78866,                0.87895,                0.71962,                0.87784,                0.81315,                0.88168,                0.72101,                0.67555,                 1.3567,                0.71333,                 1.1837,              0.0082675,              0.0082675,              0.0082675
                     37,                0.66905,                  1.166,                 0.6017,                 1.2247,                0.91564,                0.78866,                0.87895,                0.71962,                0.87784,                0.81315,                0.88168,                0.72101,                0.67555,                 1.3567,                0.71333,                 1.1837,               0.008218,               0.008218,               0.008218
                     38,                0.67563,                 1.1964,                0.61006,                 1.2251,                0.91564,                0.78866,                0.87895,                0.71962,                0.87784,                0.81315,                0.88168,                0.72101,                0.67555,                 1.3567,                0.71333,                 1.1837,              0.0081685,              0.0081685,              0.0081685
                     39,                0.67067,                 1.1671,                0.60025,                 1.2246,                0.91564,                0.78866,                0.87895,                0.71962,                0.87784,                0.81315,                0.88168,                0.72101,                0.67555,                 1.3567,                0.71333,                 1.1837,               0.008119,               0.008119,               0.008119
                     40,                0.66707,                 1.1814,                0.60306,                 1.2205,                0.92351,                0.81315,                0.89561,                0.75273,                0.90486,                0.82274,                0.89091,                0.74194,                0.63878,                 1.2846,                0.65748,                 1.1526,              0.0080695,              0.0080695,              0.0080695
                     41,                0.66013,                 1.1752,                0.59891,                 1.2129,                0.92351,                0.81315,                0.89561,                0.75273,                0.90486,                0.82274,                0.89091,                0.74194,                0.63878,                 1.2846,                0.65748,                 1.1526,                0.00802,                0.00802,                0.00802
                     42,                0.66451,                 1.1672,                0.59822,                 1.2173,                0.92351,                0.81315,                0.89561,                0.75273,                0.90486,                0.82274,                0.89091,                0.74194,                0.63878,                 1.2846,                0.65748,                 1.1526,              0.0079705,              0.0079705,              0.0079705
                     43,                0.65871,                 1.1657,                0.58899,                 1.2137,                0.92351,                0.81315,                0.89561,                0.75273,                0.90486,                0.82274,                0.89091,                0.74194,                0.63878,                 1.2846,                0.65748,                 1.1526,               0.007921,               0.007921,               0.007921
                     44,                0.64789,                 1.1397,                0.58396,                 1.2014,                0.92351,                0.81315,                0.89561,                0.75273,                0.90486,                0.82274,                0.89091,                0.74194,                0.63878,                 1.2846,                0.65748,                 1.1526,              0.0078715,              0.0078715,              0.0078715
                     45,                0.65046,                 1.1472,                 0.5783,                 1.2015,                0.92351,                0.81315,                0.89561,                0.75273,                0.90486,                0.82274,                0.89091,                0.74194,                0.63878,                 1.2846,                0.65748,                 1.1526,               0.007822,               0.007822,               0.007822
                     46,                0.64888,                 1.1276,                 0.5829,                 1.2046,                0.92351,                0.81315,                0.89561,                0.75273,                0.90486,                0.82274,                0.89091,                0.74194,                0.63878,                 1.2846,                0.65748,                 1.1526,              0.0077725,              0.0077725,              0.0077725
                     47,                0.64445,                 1.1296,                0.57746,                 1.1923,                0.92351,                0.81315,                0.89561,                0.75273,                0.90486,                0.82274,                0.89091,                0.74194,                0.63878,                 1.2846,                0.65748,                 1.1526,               0.007723,               0.007723,               0.007723
                     48,                 0.6433,                 1.1294,                0.57397,                 1.1989,                0.92351,                0.81315,                0.89561,                0.75273,                0.90486,                0.82274,                0.89091,                0.74194,                0.63878,                 1.2846,                0.65748,                 1.1526,              0.0076735,              0.0076735,              0.0076735
                     49,                0.64286,                 1.1328,                0.57255,                 1.1975,                0.92351,                0.81315,                0.89561,                0.75273,                0.90486,                0.82274,                0.89091,                0.74194,                0.63878,                 1.2846,                0.65748,                 1.1526,               0.007624,               0.007624,               0.007624
                     50,                0.64478,                 1.1234,                0.56946,                 1.1986,                0.89687,                0.84256,                 0.8883,                0.75371,                0.89017,                0.84131,                 0.8857,                0.73306,                0.61419,                 1.2547,                0.62889,                 1.1407,              0.0075745,              0.0075745,              0.0075745
                     51,                0.63861,                 1.0915,                0.57078,                 1.1888,                0.89687,                0.84256,                 0.8883,                0.75371,                0.89017,                0.84131,                 0.8857,                0.73306,                0.61419,                 1.2547,                0.62889,                 1.1407,               0.007525,               0.007525,               0.007525
                     52,                0.63414,                 1.0953,                0.56127,                 1.1894,                0.89687,                0.84256,                 0.8883,                0.75371,                0.89017,                0.84131,                 0.8857,                0.73306,                0.61419,                 1.2547,                0.62889,                 1.1407,              0.0074755,              0.0074755,              0.0074755
                     53,                0.62854,                 1.0768,                0.55476,                 1.1836,                0.89687,                0.84256,                 0.8883,                0.75371,                0.89017,                0.84131,                 0.8857,                0.73306,                0.61419,                 1.2547,                0.62889,                 1.1407,               0.007426,               0.007426,               0.007426
                     54,                0.62681,                 1.1064,                0.56152,                 1.1788,                0.89687,                0.84256,                 0.8883,                0.75371,                0.89017,                0.84131,                 0.8857,                0.73306,                0.61419,                 1.2547,                0.62889,                 1.1407,              0.0073765,              0.0073765,              0.0073765
                     55,                0.62448,                 1.0726,                0.55029,                 1.1779,                0.89687,                0.84256,                 0.8883,                0.75371,                0.89017,                0.84131,                 0.8857,                0.73306,                0.61419,                 1.2547,                0.62889,                 1.1407,               0.007327,               0.007327,               0.007327
                     56,                0.62775,                 1.1065,                0.56446,                 1.1822,                0.89687,                0.84256,                 0.8883,                0.75371,                0.89017,                0.84131,                 0.8857,                0.73306,                0.61419,                 1.2547,                0.62889,                 1.1407,              0.0072775,              0.0072775,              0.0072775
                     57,                0.62625,                 1.0845,                0.56033,                 1.1813,                0.89687,                0.84256,                 0.8883,                0.75371,                0.89017,                0.84131,                 0.8857,                0.73306,                0.61419,                 1.2547,                0.62889,                 1.1407,               0.007228,               0.007228,               0.007228
                     58,                0.62063,                 1.0823,                0.55329,                 1.1797,                0.89687,                0.84256,                 0.8883,                0.75371,                0.89017,                0.84131,                 0.8857,                0.73306,                0.61419,                 1.2547,                0.62889,                 1.1407,              0.0071785,              0.0071785,              0.0071785
                     59,                0.62271,                  1.063,                0.55022,                 1.1816,                0.89687,                0.84256,                 0.8883,                0.75371,                0.89017,                0.84131,                 0.8857,                0.73306,                0.61419,                 1.2547,                0.62889,                 1.1407,               0.007129,               0.007129,               0.007129
                     60,                0.61921,                 1.0686,                0.54879,                 1.1756,                0.90907,                0.82353,                0.89008,                0.76888,                0.89884,                0.83012,                 0.8917,                0.74587,                0.59497,                 1.2254,                 0.6202,                 1.1073,              0.0070795,              0.0070795,              0.0070795
                     61,                 0.6182,                 1.0976,                0.55086,                 1.1691,                0.90907,                0.82353,                0.89008,                0.76888,                0.89884,                0.83012,                 0.8917,                0.74587,                0.59497,                 1.2254,                 0.6202,                 1.1073,                0.00703,                0.00703,                0.00703
                     62,                 0.5989,                  1.065,                0.53837,                 1.1603,                0.90907,                0.82353,                0.89008,                0.76888,                0.89884,                0.83012,                 0.8917,                0.74587,                0.59497,                 1.2254,                 0.6202,                 1.1073,              0.0069805,              0.0069805,              0.0069805
                     63,                0.61017,                  1.097,                 0.5426,                 1.1647,                0.90907,                0.82353,                0.89008,                0.76888,                0.89884,                0.83012,                 0.8917,                0.74587,                0.59497,                 1.2254,                 0.6202,                 1.1073,               0.006931,               0.006931,               0.006931
                     64,                0.61397,                  1.056,                0.54117,                 1.1694,                0.90907,                0.82353,                0.89008,                0.76888,                0.89884,                0.83012,                 0.8917,                0.74587,                0.59497,                 1.2254,                 0.6202,                 1.1073,              0.0068815,              0.0068815,              0.0068815
                     65,                0.61511,                 1.0528,                0.54718,                 1.1724,                0.90907,                0.82353,                0.89008,                0.76888,                0.89884,                0.83012,                 0.8917,                0.74587,                0.59497,                 1.2254,                 0.6202,                 1.1073,               0.006832,               0.006832,               0.006832
                     66,                0.60351,                 1.0708,                0.53918,                 1.1628,                0.90907,                0.82353,                0.89008,                0.76888,                0.89884,                0.83012,                 0.8917,                0.74587,                0.59497,                 1.2254,                 0.6202,                 1.1073,              0.0067825,              0.0067825,              0.0067825
