          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2873,                 6.0858,                 3.2968,                 4.2258,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.003268,               0.003268,               0.003268
                      2,                 3.1113,                 3.6099,                 2.9712,                 4.0082,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065686,              0.0065686,              0.0065686
                      3,                 2.3804,                 3.0127,                 2.3816,                 3.1743,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098363,              0.0098363,              0.0098363
                      4,                 1.6858,                 2.5852,                 1.7405,                 2.3525,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3277,                 2.3214,                 1.3432,                 1.9318,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                 1.1581,                  2.068,                 1.1472,                 1.7323,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0667,                 1.9921,                 1.0553,                 1.6352,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                 1.0178,                 1.8342,                0.97298,                 1.5694,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                0.95357,                 1.7041,                0.91542,                  1.513,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     10,                0.93078,                 1.6567,                0.87598,                 1.4787,                0.85213,                0.73702,                0.81887,                0.63168,                0.84626,                0.74283,                0.82134,                0.61909,                0.90134,                 1.7531,                 1.0289,                 1.4307,              0.0095545,              0.0095545,              0.0095545
                     11,                0.89486,                 1.6093,                 0.8309,                 1.4456,                0.85213,                0.73702,                0.81887,                0.63168,                0.84626,                0.74283,                0.82134,                0.61909,                0.90134,                 1.7531,                 1.0289,                 1.4307,               0.009505,               0.009505,               0.009505
                     12,                0.87187,                 1.5518,                0.81373,                 1.4175,                0.85213,                0.73702,                0.81887,                0.63168,                0.84626,                0.74283,                0.82134,                0.61909,                0.90134,                 1.7531,                 1.0289,                 1.4307,              0.0094555,              0.0094555,              0.0094555
                     13,                0.84722,                 1.5071,                 0.7787,                 1.3968,                0.85213,                0.73702,                0.81887,                0.63168,                0.84626,                0.74283,                0.82134,                0.61909,                0.90134,                 1.7531,                 1.0289,                 1.4307,               0.009406,               0.009406,               0.009406
                     14,                0.83593,                 1.4688,                0.76488,                 1.3871,                0.85213,                0.73702,                0.81887,                0.63168,                0.84626,                0.74283,                0.82134,                0.61909,                0.90134,                 1.7531,                 1.0289,                 1.4307,              0.0093565,              0.0093565,              0.0093565
                     15,                0.81838,                 1.4608,                0.74743,                 1.3705,                0.85213,                0.73702,                0.81887,                0.63168,                0.84626,                0.74283,                0.82134,                0.61909,                0.90134,                 1.7531,                 1.0289,                 1.4307,               0.009307,               0.009307,               0.009307
                     16,                0.80978,                 1.4206,                 0.7362,                  1.363,                0.85213,                0.73702,                0.81887,                0.63168,                0.84626,                0.74283,                0.82134,                0.61909,                0.90134,                 1.7531,                 1.0289,                 1.4307,              0.0092575,              0.0092575,              0.0092575
                     17,                0.79483,                 1.4144,                0.72023,                 1.3489,                0.85213,                0.73702,                0.81887,                0.63168,                0.84626,                0.74283,                0.82134,                0.61909,                0.90134,                 1.7531,                 1.0289,                 1.4307,               0.009208,               0.009208,               0.009208
                     18,                0.78983,                 1.4006,                0.71882,                 1.3438,                0.85213,                0.73702,                0.81887,                0.63168,                0.84626,                0.74283,                0.82134,                0.61909,                0.90134,                 1.7531,                 1.0289,                 1.4307,              0.0091585,              0.0091585,              0.0091585
                     19,                0.77266,                 1.3649,                0.70026,                 1.3237,                0.85213,                0.73702,                0.81887,                0.63168,                0.84626,                0.74283,                0.82134,                0.61909,                0.90134,                 1.7531,                 1.0289,                 1.4307,               0.009109,               0.009109,               0.009109
                     20,                0.76596,                 1.3727,                0.69517,                 1.3186,                0.93599,                0.78893,                0.87401,                0.72878,                0.94075,                0.79585,                0.87986,                0.71328,                0.71429,                 1.5197,                0.74145,                 1.2645,              0.0090595,              0.0090595,              0.0090595
                     21,                0.76014,                 1.3463,                0.68613,                 1.3116,                0.93599,                0.78893,                0.87401,                0.72878,                0.94075,                0.79585,                0.87986,                0.71328,                0.71429,                 1.5197,                0.74145,                 1.2645,                0.00901,                0.00901,                0.00901
                     22,                0.75899,                 1.3414,                0.67835,                 1.3192,                0.93599,                0.78893,                0.87401,                0.72878,                0.94075,                0.79585,                0.87986,                0.71328,                0.71429,                 1.5197,                0.74145,                 1.2645,              0.0089605,              0.0089605,              0.0089605
                     23,                0.73676,                 1.3027,                0.66729,                 1.2998,                0.93599,                0.78893,                0.87401,                0.72878,                0.94075,                0.79585,                0.87986,                0.71328,                0.71429,                 1.5197,                0.74145,                 1.2645,               0.008911,               0.008911,               0.008911
                     24,                 0.7301,                 1.2944,                0.65805,                 1.2919,                0.93599,                0.78893,                0.87401,                0.72878,                0.94075,                0.79585,                0.87986,                0.71328,                0.71429,                 1.5197,                0.74145,                 1.2645,              0.0088615,              0.0088615,              0.0088615
                     25,                0.72813,                  1.287,                0.66096,                 1.2895,                0.93599,                0.78893,                0.87401,                0.72878,                0.94075,                0.79585,                0.87986,                0.71328,                0.71429,                 1.5197,                0.74145,                 1.2645,               0.008812,               0.008812,               0.008812
                     26,                0.71519,                 1.2505,                 0.6427,                 1.2796,                0.93599,                0.78893,                0.87401,                0.72878,                0.94075,                0.79585,                0.87986,                0.71328,                0.71429,                 1.5197,                0.74145,                 1.2645,              0.0087625,              0.0087625,              0.0087625
                     27,                0.71554,                 1.2552,                0.63348,                 1.2817,                0.93599,                0.78893,                0.87401,                0.72878,                0.94075,                0.79585,                0.87986,                0.71328,                0.71429,                 1.5197,                0.74145,                 1.2645,               0.008713,               0.008713,               0.008713
                     28,                0.71697,                 1.2486,                0.64507,                 1.2767,                0.93599,                0.78893,                0.87401,                0.72878,                0.94075,                0.79585,                0.87986,                0.71328,                0.71429,                 1.5197,                0.74145,                 1.2645,              0.0086635,              0.0086635,              0.0086635
                     29,                0.69859,                 1.2439,                0.62733,                 1.2647,                0.93599,                0.78893,                0.87401,                0.72878,                0.94075,                0.79585,                0.87986,                0.71328,                0.71429,                 1.5197,                0.74145,                 1.2645,               0.008614,               0.008614,               0.008614
                     30,                0.69612,                 1.2419,                0.62683,                 1.2583,                0.90165,                0.82479,                0.88518,                0.73113,                0.90133,                0.80623,                0.88621,                0.72174,                0.67118,                 1.3548,                0.71507,                 1.1993,              0.0085645,              0.0085645,              0.0085645
                     31,                0.69511,                 1.2525,                0.61894,                  1.271,                0.90165,                0.82479,                0.88518,                0.73113,                0.90133,                0.80623,                0.88621,                0.72174,                0.67118,                 1.3548,                0.71507,                 1.1993,               0.008515,               0.008515,               0.008515
                     32,                0.69525,                 1.2257,                0.61635,                 1.2636,                0.90165,                0.82479,                0.88518,                0.73113,                0.90133,                0.80623,                0.88621,                0.72174,                0.67118,                 1.3548,                0.71507,                 1.1993,              0.0084655,              0.0084655,              0.0084655
                     33,                0.68192,                 1.2269,                0.61494,                 1.2446,                0.90165,                0.82479,                0.88518,                0.73113,                0.90133,                0.80623,                0.88621,                0.72174,                0.67118,                 1.3548,                0.71507,                 1.1993,               0.008416,               0.008416,               0.008416
                     34,                0.68428,                 1.1882,                0.60701,                 1.2445,                0.90165,                0.82479,                0.88518,                0.73113,                0.90133,                0.80623,                0.88621,                0.72174,                0.67118,                 1.3548,                0.71507,                 1.1993,              0.0083665,              0.0083665,              0.0083665
                     35,                0.67714,                  1.204,                0.59958,                 1.2419,                0.90165,                0.82479,                0.88518,                0.73113,                0.90133,                0.80623,                0.88621,                0.72174,                0.67118,                 1.3548,                0.71507,                 1.1993,               0.008317,               0.008317,               0.008317
                     36,                0.67674,                 1.2007,                0.59774,                  1.241,                0.90165,                0.82479,                0.88518,                0.73113,                0.90133,                0.80623,                0.88621,                0.72174,                0.67118,                 1.3548,                0.71507,                 1.1993,              0.0082675,              0.0082675,              0.0082675
                     37,                0.66979,                 1.1651,                 0.5948,                 1.2355,                0.90165,                0.82479,                0.88518,                0.73113,                0.90133,                0.80623,                0.88621,                0.72174,                0.67118,                 1.3548,                0.71507,                 1.1993,               0.008218,               0.008218,               0.008218
                     38,                0.67268,                 1.1923,                0.59567,                 1.2354,                0.90165,                0.82479,                0.88518,                0.73113,                0.90133,                0.80623,                0.88621,                0.72174,                0.67118,                 1.3548,                0.71507,                 1.1993,              0.0081685,              0.0081685,              0.0081685
                     39,                0.66293,                 1.1705,                0.58805,                 1.2341,                0.90165,                0.82479,                0.88518,                0.73113,                0.90133,                0.80623,                0.88621,                0.72174,                0.67118,                 1.3548,                0.71507,                 1.1993,               0.008119,               0.008119,               0.008119
                     40,                0.66374,                 1.1853,                0.59149,                 1.2337,                0.87863,                 0.8517,                0.89351,                0.76005,                 0.8789,                0.85467,                0.89182,                0.74406,                0.61029,                  1.275,                0.64251,                 1.1417,              0.0080695,              0.0080695,              0.0080695
                     41,                0.65616,                  1.173,                0.59109,                 1.2234,                0.87863,                 0.8517,                0.89351,                0.76005,                 0.8789,                0.85467,                0.89182,                0.74406,                0.61029,                  1.275,                0.64251,                 1.1417,                0.00802,                0.00802,                0.00802
                     42,                0.66086,                 1.1687,                0.58812,                 1.2276,                0.87863,                 0.8517,                0.89351,                0.76005,                 0.8789,                0.85467,                0.89182,                0.74406,                0.61029,                  1.275,                0.64251,                 1.1417,              0.0079705,              0.0079705,              0.0079705
                     43,                0.65666,                 1.1661,                0.57888,                 1.2281,                0.87863,                 0.8517,                0.89351,                0.76005,                 0.8789,                0.85467,                0.89182,                0.74406,                0.61029,                  1.275,                0.64251,                 1.1417,               0.007921,               0.007921,               0.007921
                     44,                0.64284,                 1.1419,                0.57607,                 1.2159,                0.87863,                 0.8517,                0.89351,                0.76005,                 0.8789,                0.85467,                0.89182,                0.74406,                0.61029,                  1.275,                0.64251,                 1.1417,              0.0078715,              0.0078715,              0.0078715
                     45,                 0.6471,                 1.1507,                0.57278,                 1.2205,                0.87863,                 0.8517,                0.89351,                0.76005,                 0.8789,                0.85467,                0.89182,                0.74406,                0.61029,                  1.275,                0.64251,                 1.1417,               0.007822,               0.007822,               0.007822
                     46,                0.64519,                 1.1359,                 0.5707,                   1.22,                0.87863,                 0.8517,                0.89351,                0.76005,                 0.8789,                0.85467,                0.89182,                0.74406,                0.61029,                  1.275,                0.64251,                 1.1417,              0.0077725,              0.0077725,              0.0077725
                     47,                0.63956,                 1.1334,                0.56753,                  1.209,                0.87863,                 0.8517,                0.89351,                0.76005,                 0.8789,                0.85467,                0.89182,                0.74406,                0.61029,                  1.275,                0.64251,                 1.1417,               0.007723,               0.007723,               0.007723
                     48,                0.63895,                 1.1308,                0.56381,                 1.2134,                0.87863,                 0.8517,                0.89351,                0.76005,                 0.8789,                0.85467,                0.89182,                0.74406,                0.61029,                  1.275,                0.64251,                 1.1417,              0.0076735,              0.0076735,              0.0076735
                     49,                0.64052,                 1.1431,                  0.563,                 1.2124,                0.87863,                 0.8517,                0.89351,                0.76005,                 0.8789,                0.85467,                0.89182,                0.74406,                0.61029,                  1.275,                0.64251,                 1.1417,               0.007624,               0.007624,               0.007624
                     50,                0.63978,                 1.1329,                 0.5626,                 1.2116,                 0.8742,                0.86159,                0.88746,                0.76156,                0.87183,                0.85813,                0.88103,                0.72483,                0.55888,                 1.2565,                 0.6346,                 1.1182,              0.0075745,              0.0075745,              0.0075745
                     51,                 0.6357,                 1.0977,                0.56031,                 1.2059,                 0.8742,                0.86159,                0.88746,                0.76156,                0.87183,                0.85813,                0.88103,                0.72483,                0.55888,                 1.2565,                 0.6346,                 1.1182,               0.007525,               0.007525,               0.007525
                     52,                0.63003,                 1.1025,                0.55769,                 1.2012,                 0.8742,                0.86159,                0.88746,                0.76156,                0.87183,                0.85813,                0.88103,                0.72483,                0.55888,                 1.2565,                 0.6346,                 1.1182,              0.0074755,              0.0074755,              0.0074755
