          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2394,                 5.5897,                 3.1871,                 4.1317,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064706,             0.00064706,             0.00064706
                      2,                 2.7219,                 3.3533,                 2.7616,                 3.4235,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013072,              0.0013072,              0.0013072
                      3,                 2.0245,                 2.9393,                  2.242,                 2.6553,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019608,              0.0019608,              0.0019608
                      4,                 1.6018,                 2.6515,                 1.7358,                 2.1937,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.3629,                 2.3967,                 1.4397,                 1.9273,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.2383,                 2.2247,                 1.2779,                 1.7821,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.1379,                 2.0457,                 1.1412,                  1.681,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.0795,                 1.9318,                 1.0698,                 1.6025,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.0446,                 1.8577,                 1.0258,                 1.5641,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019208,              0.0019208,              0.0019208
                     10,                0.99341,                 1.7535,                0.96018,                 1.5185,                0.77276,                 0.7301,                0.79119,                0.56482,                0.77773,                0.75067,                0.79993,                0.57556,                 1.0701,                 1.9418,                 1.1368,                 1.6014,              0.0019109,              0.0019109,              0.0019109
                     11,                0.96197,                  1.676,                0.90996,                 1.4832,                0.77276,                 0.7301,                0.79119,                0.56482,                0.77773,                0.75067,                0.79993,                0.57556,                 1.0701,                 1.9418,                 1.1368,                 1.6014,               0.001901,               0.001901,               0.001901
                     12,                0.93764,                 1.6389,                0.88122,                 1.4508,                0.77276,                 0.7301,                0.79119,                0.56482,                0.77773,                0.75067,                0.79993,                0.57556,                 1.0701,                 1.9418,                 1.1368,                 1.6014,              0.0018911,              0.0018911,              0.0018911
                     13,                 0.9133,                 1.5899,                0.85405,                 1.4286,                0.77276,                 0.7301,                0.79119,                0.56482,                0.77773,                0.75067,                0.79993,                0.57556,                 1.0701,                 1.9418,                 1.1368,                 1.6014,              0.0018812,              0.0018812,              0.0018812
                     14,                0.89435,                  1.548,                0.83075,                 1.4074,                0.77276,                 0.7301,                0.79119,                0.56482,                0.77773,                0.75067,                0.79993,                0.57556,                 1.0701,                 1.9418,                 1.1368,                 1.6014,              0.0018713,              0.0018713,              0.0018713
                     15,                0.88503,                 1.5416,                0.80921,                 1.4002,                0.77276,                 0.7301,                0.79119,                0.56482,                0.77773,                0.75067,                0.79993,                0.57556,                 1.0701,                 1.9418,                 1.1368,                 1.6014,              0.0018614,              0.0018614,              0.0018614
                     16,                0.86819,                 1.5114,                0.78828,                 1.3813,                0.77276,                 0.7301,                0.79119,                0.56482,                0.77773,                0.75067,                0.79993,                0.57556,                 1.0701,                 1.9418,                 1.1368,                 1.6014,              0.0018515,              0.0018515,              0.0018515
                     17,                0.86573,                 1.4718,                0.79304,                  1.378,                0.77276,                 0.7301,                0.79119,                0.56482,                0.77773,                0.75067,                0.79993,                0.57556,                 1.0701,                 1.9418,                 1.1368,                 1.6014,              0.0018416,              0.0018416,              0.0018416
                     18,                0.83575,                 1.4544,                 0.7629,                 1.3564,                0.77276,                 0.7301,                0.79119,                0.56482,                0.77773,                0.75067,                0.79993,                0.57556,                 1.0701,                 1.9418,                 1.1368,                 1.6014,              0.0018317,              0.0018317,              0.0018317
                     19,                0.82617,                 1.4449,                0.73844,                 1.3461,                0.77276,                 0.7301,                0.79119,                0.56482,                0.77773,                0.75067,                0.79993,                0.57556,                 1.0701,                 1.9418,                 1.1368,                 1.6014,              0.0018218,              0.0018218,              0.0018218
                     20,                0.82152,                 1.4233,                0.73791,                 1.3327,                0.91155,                 0.7845,                0.85691,                0.67391,                0.90836,                0.78885,                0.85415,                0.66117,                0.82342,                 1.5436,                0.83038,                 1.3129,              0.0018119,              0.0018119,              0.0018119
                     21,                0.81502,                 1.3995,                0.73052,                 1.3295,                0.91155,                 0.7845,                0.85691,                0.67391,                0.90836,                0.78885,                0.85415,                0.66117,                0.82342,                 1.5436,                0.83038,                 1.3129,               0.001802,               0.001802,               0.001802
                     22,                0.80597,                 1.3891,                0.72811,                 1.3227,                0.91155,                 0.7845,                0.85691,                0.67391,                0.90836,                0.78885,                0.85415,                0.66117,                0.82342,                 1.5436,                0.83038,                 1.3129,              0.0017921,              0.0017921,              0.0017921
                     23,                0.78076,                 1.3496,                0.70146,                 1.2991,                0.91155,                 0.7845,                0.85691,                0.67391,                0.90836,                0.78885,                0.85415,                0.66117,                0.82342,                 1.5436,                0.83038,                 1.3129,              0.0017822,              0.0017822,              0.0017822
                     24,                0.79042,                  1.353,                 0.6979,                 1.3029,                0.91155,                 0.7845,                0.85691,                0.67391,                0.90836,                0.78885,                0.85415,                0.66117,                0.82342,                 1.5436,                0.83038,                 1.3129,              0.0017723,              0.0017723,              0.0017723
                     25,                0.78119,                 1.3378,                0.70295,                 1.2942,                0.91155,                 0.7845,                0.85691,                0.67391,                0.90836,                0.78885,                0.85415,                0.66117,                0.82342,                 1.5436,                0.83038,                 1.3129,              0.0017624,              0.0017624,              0.0017624
                     26,                0.76967,                 1.3306,                0.69276,                 1.2895,                0.91155,                 0.7845,                0.85691,                0.67391,                0.90836,                0.78885,                0.85415,                0.66117,                0.82342,                 1.5436,                0.83038,                 1.3129,              0.0017525,              0.0017525,              0.0017525
                     27,                0.76672,                 1.3233,                0.68036,                 1.2849,                0.91155,                 0.7845,                0.85691,                0.67391,                0.90836,                0.78885,                0.85415,                0.66117,                0.82342,                 1.5436,                0.83038,                 1.3129,              0.0017426,              0.0017426,              0.0017426
                     28,                0.75662,                 1.3276,                0.67245,                 1.2743,                0.91155,                 0.7845,                0.85691,                0.67391,                0.90836,                0.78885,                0.85415,                0.66117,                0.82342,                 1.5436,                0.83038,                 1.3129,              0.0017327,              0.0017327,              0.0017327
                     29,                0.75495,                 1.3085,                0.66922,                 1.2699,                0.91155,                 0.7845,                0.85691,                0.67391,                0.90836,                0.78885,                0.85415,                0.66117,                0.82342,                 1.5436,                0.83038,                 1.3129,              0.0017228,              0.0017228,              0.0017228
                     30,                0.74734,                 1.2831,                0.66223,                 1.2609,                 0.8762,                0.83262,                0.86949,                0.70882,                0.88339,                0.83883,                0.87397,                0.68946,                0.71764,                 1.4075,                0.72209,                 1.2128,              0.0017129,              0.0017129,              0.0017129
                     31,                0.73062,                 1.2859,                0.65079,                 1.2549,                 0.8762,                0.83262,                0.86949,                0.70882,                0.88339,                0.83883,                0.87397,                0.68946,                0.71764,                 1.4075,                0.72209,                 1.2128,               0.001703,               0.001703,               0.001703
                     32,                0.73261,                 1.2581,                0.65379,                 1.2566,                 0.8762,                0.83262,                0.86949,                0.70882,                0.88339,                0.83883,                0.87397,                0.68946,                0.71764,                 1.4075,                0.72209,                 1.2128,              0.0016931,              0.0016931,              0.0016931
                     33,                0.72829,                 1.2774,                0.64349,                 1.2467,                 0.8762,                0.83262,                0.86949,                0.70882,                0.88339,                0.83883,                0.87397,                0.68946,                0.71764,                 1.4075,                0.72209,                 1.2128,              0.0016832,              0.0016832,              0.0016832
                     34,                 0.7354,                 1.2605,                0.64969,                 1.2504,                 0.8762,                0.83262,                0.86949,                0.70882,                0.88339,                0.83883,                0.87397,                0.68946,                0.71764,                 1.4075,                0.72209,                 1.2128,              0.0016733,              0.0016733,              0.0016733
                     35,                0.71812,                 1.2586,                0.64429,                 1.2359,                 0.8762,                0.83262,                0.86949,                0.70882,                0.88339,                0.83883,                0.87397,                0.68946,                0.71764,                 1.4075,                0.72209,                 1.2128,              0.0016634,              0.0016634,              0.0016634
                     36,                 0.7202,                 1.2066,                0.63799,                 1.2335,                 0.8762,                0.83262,                0.86949,                0.70882,                0.88339,                0.83883,                0.87397,                0.68946,                0.71764,                 1.4075,                0.72209,                 1.2128,              0.0016535,              0.0016535,              0.0016535
                     37,                0.71778,                 1.2425,                0.63459,                 1.2326,                 0.8762,                0.83262,                0.86949,                0.70882,                0.88339,                0.83883,                0.87397,                0.68946,                0.71764,                 1.4075,                0.72209,                 1.2128,              0.0016436,              0.0016436,              0.0016436
                     38,                0.71561,                 1.2433,                0.63447,                 1.2333,                 0.8762,                0.83262,                0.86949,                0.70882,                0.88339,                0.83883,                0.87397,                0.68946,                0.71764,                 1.4075,                0.72209,                 1.2128,              0.0016337,              0.0016337,              0.0016337
                     39,                0.70178,                 1.2123,                0.61937,                 1.2226,                 0.8762,                0.83262,                0.86949,                0.70882,                0.88339,                0.83883,                0.87397,                0.68946,                0.71764,                 1.4075,                0.72209,                 1.2128,              0.0016238,              0.0016238,              0.0016238
                     40,                0.69492,                 1.1974,                0.61638,                 1.2164,                0.91996,                0.81661,                0.88591,                0.73392,                0.91996,                0.81661,                0.89082,                0.71678,                0.67666,                  1.313,                0.68479,                 1.1639,              0.0016139,              0.0016139,              0.0016139
                     41,                0.68748,                 1.1574,                0.60496,                 1.2023,                0.91996,                0.81661,                0.88591,                0.73392,                0.91996,                0.81661,                0.89082,                0.71678,                0.67666,                  1.313,                0.68479,                 1.1639,               0.001604,               0.001604,               0.001604
                     42,                0.69306,                 1.1868,                0.61075,                   1.21,                0.91996,                0.81661,                0.88591,                0.73392,                0.91996,                0.81661,                0.89082,                0.71678,                0.67666,                  1.313,                0.68479,                 1.1639,              0.0015941,              0.0015941,              0.0015941
                     43,                0.68091,                 1.2007,                0.60001,                 1.2018,                0.91996,                0.81661,                0.88591,                0.73392,                0.91996,                0.81661,                0.89082,                0.71678,                0.67666,                  1.313,                0.68479,                 1.1639,              0.0015842,              0.0015842,              0.0015842
                     44,                0.68299,                 1.1834,                0.60217,                 1.2004,                0.91996,                0.81661,                0.88591,                0.73392,                0.91996,                0.81661,                0.89082,                0.71678,                0.67666,                  1.313,                0.68479,                 1.1639,              0.0015743,              0.0015743,              0.0015743
                     45,                0.67727,                 1.1736,                 0.5985,                 1.1997,                0.91996,                0.81661,                0.88591,                0.73392,                0.91996,                0.81661,                0.89082,                0.71678,                0.67666,                  1.313,                0.68479,                 1.1639,              0.0015644,              0.0015644,              0.0015644
                     46,                0.66243,                 1.1701,                0.58491,                 1.1877,                0.91996,                0.81661,                0.88591,                0.73392,                0.91996,                0.81661,                0.89082,                0.71678,                0.67666,                  1.313,                0.68479,                 1.1639,              0.0015545,              0.0015545,              0.0015545
                     47,                 0.6664,                 1.1569,                0.59431,                 1.1871,                0.91996,                0.81661,                0.88591,                0.73392,                0.91996,                0.81661,                0.89082,                0.71678,                0.67666,                  1.313,                0.68479,                 1.1639,              0.0015446,              0.0015446,              0.0015446
                     48,                0.67704,                 1.1847,                0.60036,                 1.1944,                0.91996,                0.81661,                0.88591,                0.73392,                0.91996,                0.81661,                0.89082,                0.71678,                0.67666,                  1.313,                0.68479,                 1.1639,              0.0015347,              0.0015347,              0.0015347
                     49,                0.66261,                 1.1482,                0.58233,                 1.1868,                0.91996,                0.81661,                0.88591,                0.73392,                0.91996,                0.81661,                0.89082,                0.71678,                0.67666,                  1.313,                0.68479,                 1.1639,              0.0015248,              0.0015248,              0.0015248
                     50,                0.65909,                  1.144,                0.57454,                 1.1811,                 0.9038,                0.83737,                0.88263,                0.72905,                0.89592,                0.83396,                0.88329,                0.72006,                0.64833,                 1.3018,                0.64224,                 1.1428,              0.0015149,              0.0015149,              0.0015149
                     51,                0.66154,                 1.1714,                0.58391,                 1.1846,                 0.9038,                0.83737,                0.88263,                0.72905,                0.89592,                0.83396,                0.88329,                0.72006,                0.64833,                 1.3018,                0.64224,                 1.1428,               0.001505,               0.001505,               0.001505
                     52,                0.64695,                  1.149,                0.57512,                 1.1737,                 0.9038,                0.83737,                0.88263,                0.72905,                0.89592,                0.83396,                0.88329,                0.72006,                0.64833,                 1.3018,                0.64224,                 1.1428,              0.0014951,              0.0014951,              0.0014951
                     53,                 0.6556,                 1.1324,                0.57498,                  1.171,                 0.9038,                0.83737,                0.88263,                0.72905,                0.89592,                0.83396,                0.88329,                0.72006,                0.64833,                 1.3018,                0.64224,                 1.1428,              0.0014852,              0.0014852,              0.0014852
                     54,                0.64556,                 1.1307,                0.57265,                 1.1704,                 0.9038,                0.83737,                0.88263,                0.72905,                0.89592,                0.83396,                0.88329,                0.72006,                0.64833,                 1.3018,                0.64224,                 1.1428,              0.0014753,              0.0014753,              0.0014753
                     55,                0.64836,                 1.0786,                0.56702,                 1.1698,                 0.9038,                0.83737,                0.88263,                0.72905,                0.89592,                0.83396,                0.88329,                0.72006,                0.64833,                 1.3018,                0.64224,                 1.1428,              0.0014654,              0.0014654,              0.0014654
                     56,                0.63937,                 1.1152,                0.56461,                 1.1681,                 0.9038,                0.83737,                0.88263,                0.72905,                0.89592,                0.83396,                0.88329,                0.72006,                0.64833,                 1.3018,                0.64224,                 1.1428,              0.0014555,              0.0014555,              0.0014555
                     57,                0.64049,                 1.1076,                 0.5611,                 1.1689,                 0.9038,                0.83737,                0.88263,                0.72905,                0.89592,                0.83396,                0.88329,                0.72006,                0.64833,                 1.3018,                0.64224,                 1.1428,              0.0014456,              0.0014456,              0.0014456
                     58,                0.63933,                 1.1009,                0.56161,                 1.1662,                 0.9038,                0.83737,                0.88263,                0.72905,                0.89592,                0.83396,                0.88329,                0.72006,                0.64833,                 1.3018,                0.64224,                 1.1428,              0.0014357,              0.0014357,              0.0014357
                     59,                0.64659,                 1.1335,                0.56943,                 1.1666,                 0.9038,                0.83737,                0.88263,                0.72905,                0.89592,                0.83396,                0.88329,                0.72006,                0.64833,                 1.3018,                0.64224,                 1.1428,              0.0014258,              0.0014258,              0.0014258
                     60,                0.64373,                   1.11,                 0.5561,                 1.1701,                0.92136,                0.83391,                0.89513,                0.75362,                0.91298,                0.82699,                0.89566,                0.75627,                0.61939,                 1.1623,                0.63701,                 1.1002,              0.0014159,              0.0014159,              0.0014159
                     61,                0.64226,                 1.1198,                0.56055,                 1.1658,                0.92136,                0.83391,                0.89513,                0.75362,                0.91298,                0.82699,                0.89566,                0.75627,                0.61939,                 1.1623,                0.63701,                 1.1002,               0.001406,               0.001406,               0.001406
                     62,                0.63559,                 1.1032,                0.56234,                 1.1593,                0.92136,                0.83391,                0.89513,                0.75362,                0.91298,                0.82699,                0.89566,                0.75627,                0.61939,                 1.1623,                0.63701,                 1.1002,              0.0013961,              0.0013961,              0.0013961
                     63,                0.63048,                 1.1036,                 0.5538,                 1.1568,                0.92136,                0.83391,                0.89513,                0.75362,                0.91298,                0.82699,                0.89566,                0.75627,                0.61939,                 1.1623,                0.63701,                 1.1002,              0.0013862,              0.0013862,              0.0013862
                     64,                0.62913,                 1.1009,                0.56083,                 1.1525,                0.92136,                0.83391,                0.89513,                0.75362,                0.91298,                0.82699,                0.89566,                0.75627,                0.61939,                 1.1623,                0.63701,                 1.1002,              0.0013763,              0.0013763,              0.0013763
