          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2474,                 5.3014,                 3.1707,                 4.0975,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065152,             0.00065152,             0.00065152
                      2,                 2.6527,                 3.2703,                 2.7748,                 3.3294,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013117,              0.0013117,              0.0013117
                      3,                 2.0983,                 2.8588,                 2.3525,                   2.72,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019652,              0.0019652,              0.0019652
                      4,                 1.6286,                 2.5646,                 1.7628,                 2.2273,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.3348,                 2.2836,                 1.3777,                 1.9183,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019604,              0.0019604,              0.0019604
                      6,                  1.198,                 2.0683,                 1.2105,                 1.7599,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.1087,                 1.9278,                 1.0887,                 1.6632,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.0503,                 1.7946,                 1.0076,                 1.6001,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.0259,                  1.775,                 0.9806,                   1.56,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019208,              0.0019208,              0.0019208
                     10,                0.97639,                 1.6692,                0.91694,                 1.5164,                0.71793,                0.72318,                0.74332,                0.50147,                0.74198,                 0.7474,                0.76894,                0.53092,                 1.0494,                  1.842,                  1.252,                 1.5579,              0.0019109,              0.0019109,              0.0019109
                     11,                0.93966,                  1.632,                0.86404,                 1.4859,                0.71793,                0.72318,                0.74332,                0.50147,                0.74198,                 0.7474,                0.76894,                0.53092,                 1.0494,                  1.842,                  1.252,                 1.5579,               0.001901,               0.001901,               0.001901
                     12,                0.92851,                 1.5787,                  0.854,                 1.4659,                0.71793,                0.72318,                0.74332,                0.50147,                0.74198,                 0.7474,                0.76894,                0.53092,                 1.0494,                  1.842,                  1.252,                 1.5579,              0.0018911,              0.0018911,              0.0018911
                     13,                0.89101,                 1.5549,                0.82037,                 1.4354,                0.71793,                0.72318,                0.74332,                0.50147,                0.74198,                 0.7474,                0.76894,                0.53092,                 1.0494,                  1.842,                  1.252,                 1.5579,              0.0018812,              0.0018812,              0.0018812
                     14,                0.87398,                 1.5115,                0.80065,                 1.4121,                0.71793,                0.72318,                0.74332,                0.50147,                0.74198,                 0.7474,                0.76894,                0.53092,                 1.0494,                  1.842,                  1.252,                 1.5579,              0.0018713,              0.0018713,              0.0018713
                     15,                0.85378,                 1.4751,                0.78075,                 1.3976,                0.71793,                0.72318,                0.74332,                0.50147,                0.74198,                 0.7474,                0.76894,                0.53092,                 1.0494,                  1.842,                  1.252,                 1.5579,              0.0018614,              0.0018614,              0.0018614
                     16,                0.83255,                 1.4371,                0.74919,                 1.3729,                0.71793,                0.72318,                0.74332,                0.50147,                0.74198,                 0.7474,                0.76894,                0.53092,                 1.0494,                  1.842,                  1.252,                 1.5579,              0.0018515,              0.0018515,              0.0018515
                     17,                0.83504,                 1.4366,                0.75363,                 1.3716,                0.71793,                0.72318,                0.74332,                0.50147,                0.74198,                 0.7474,                0.76894,                0.53092,                 1.0494,                  1.842,                  1.252,                 1.5579,              0.0018416,              0.0018416,              0.0018416
                     18,                 0.8158,                 1.4035,                0.73183,                 1.3538,                0.71793,                0.72318,                0.74332,                0.50147,                0.74198,                 0.7474,                0.76894,                0.53092,                 1.0494,                  1.842,                  1.252,                 1.5579,              0.0018317,              0.0018317,              0.0018317
                     19,                0.81331,                 1.3672,                0.72375,                 1.3493,                0.71793,                0.72318,                0.74332,                0.50147,                0.74198,                 0.7474,                0.76894,                0.53092,                 1.0494,                  1.842,                  1.252,                 1.5579,              0.0018218,              0.0018218,              0.0018218
                     20,                0.80849,                 1.3646,                  0.727,                 1.3445,                0.87169,                0.80969,                0.86326,                0.67992,                0.88661,                0.82007,                0.86712,                0.68236,                0.77339,                 1.4233,                0.76291,                 1.3032,              0.0018119,              0.0018119,              0.0018119
                     21,                0.78509,                 1.3511,                0.70097,                 1.3249,                0.87169,                0.80969,                0.86326,                0.67992,                0.88661,                0.82007,                0.86712,                0.68236,                0.77339,                 1.4233,                0.76291,                 1.3032,               0.001802,               0.001802,               0.001802
