          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.237,                  5.873,                  3.297,                 4.2055,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032804,              0.0032804,              0.0032804
                      2,                 3.0557,                 3.4049,                  2.894,                 3.9064,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006581,               0.006581,               0.006581
                      3,                 2.3135,                 2.9454,                 2.3346,                 3.0521,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098486,              0.0098486,              0.0098486
                      4,                 1.6046,                 2.5297,                 1.6462,                 2.2328,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.238,                 2.1522,                 1.2321,                  1.819,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                 1.0833,                  1.931,                  1.054,                 1.6448,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0001,                 1.7847,                0.95836,                  1.552,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                0.95541,                  1.661,                0.90241,                  1.495,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                0.90428,                 1.5736,                 0.8429,                 1.4392,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     10,                 0.8743,                 1.5257,                0.80596,                 1.4073,                0.81226,                0.76817,                 0.8052,                0.60296,                0.81849,                0.77509,                0.80393,                0.58892,                0.92865,                 1.8337,                 1.3156,                 1.4005,              0.0095545,              0.0095545,              0.0095545
                     11,                0.83877,                 1.4605,                 0.7754,                 1.3771,                0.81226,                0.76817,                 0.8052,                0.60296,                0.81849,                0.77509,                0.80393,                0.58892,                0.92865,                 1.8337,                 1.3156,                 1.4005,               0.009505,               0.009505,               0.009505
                     12,                0.82722,                 1.4449,                 0.7613,                 1.3653,                0.81226,                0.76817,                 0.8052,                0.60296,                0.81849,                0.77509,                0.80393,                0.58892,                0.92865,                 1.8337,                 1.3156,                 1.4005,              0.0094555,              0.0094555,              0.0094555
                     13,                0.81388,                 1.3962,                 0.7373,                 1.3478,                0.81226,                0.76817,                 0.8052,                0.60296,                0.81849,                0.77509,                0.80393,                0.58892,                0.92865,                 1.8337,                 1.3156,                 1.4005,               0.009406,               0.009406,               0.009406
                     14,                0.79091,                 1.3732,                0.72027,                 1.3287,                0.81226,                0.76817,                 0.8052,                0.60296,                0.81849,                0.77509,                0.80393,                0.58892,                0.92865,                 1.8337,                 1.3156,                 1.4005,              0.0093565,              0.0093565,              0.0093565
                     15,                0.77561,                 1.3638,                0.70372,                 1.3161,                0.81226,                0.76817,                 0.8052,                0.60296,                0.81849,                0.77509,                0.80393,                0.58892,                0.92865,                 1.8337,                 1.3156,                 1.4005,               0.009307,               0.009307,               0.009307
                     16,                0.76694,                 1.3233,                0.69332,                 1.3078,                0.81226,                0.76817,                 0.8052,                0.60296,                0.81849,                0.77509,                0.80393,                0.58892,                0.92865,                 1.8337,                 1.3156,                 1.4005,              0.0092575,              0.0092575,              0.0092575
                     17,                0.74968,                 1.2966,                0.67754,                 1.2918,                0.81226,                0.76817,                 0.8052,                0.60296,                0.81849,                0.77509,                0.80393,                0.58892,                0.92865,                 1.8337,                 1.3156,                 1.4005,               0.009208,               0.009208,               0.009208
                     18,                0.74431,                 1.3113,                0.66939,                 1.2856,                0.81226,                0.76817,                 0.8052,                0.60296,                0.81849,                0.77509,                0.80393,                0.58892,                0.92865,                 1.8337,                 1.3156,                 1.4005,              0.0091585,              0.0091585,              0.0091585
                     19,                0.73701,                 1.2741,                 0.6671,                 1.2727,                0.81226,                0.76817,                 0.8052,                0.60296,                0.81849,                0.77509,                0.80393,                0.58892,                0.92865,                 1.8337,                 1.3156,                 1.4005,               0.009109,               0.009109,               0.009109
                     20,                0.72648,                  1.236,                0.65139,                 1.2697,                0.88111,                0.79497,                0.87116,                0.71028,                0.89645,                0.80881,                0.87662,                0.69828,                 0.7342,                 1.3648,                0.78981,                 1.1823,              0.0090595,              0.0090595,              0.0090595
                     21,                0.71261,                 1.2238,                0.64773,                 1.2512,                0.88111,                0.79497,                0.87116,                0.71028,                0.89645,                0.80881,                0.87662,                0.69828,                 0.7342,                 1.3648,                0.78981,                 1.1823,                0.00901,                0.00901,                0.00901
                     22,                0.70997,                 1.2665,                0.64437,                 1.2566,                0.88111,                0.79497,                0.87116,                0.71028,                0.89645,                0.80881,                0.87662,                0.69828,                 0.7342,                 1.3648,                0.78981,                 1.1823,              0.0089605,              0.0089605,              0.0089605
                     23,                0.70236,                 1.2308,                0.62682,                 1.2484,                0.88111,                0.79497,                0.87116,                0.71028,                0.89645,                0.80881,                0.87662,                0.69828,                 0.7342,                 1.3648,                0.78981,                 1.1823,               0.008911,               0.008911,               0.008911
                     24,                0.69126,                 1.2074,                0.62397,                  1.245,                0.88111,                0.79497,                0.87116,                0.71028,                0.89645,                0.80881,                0.87662,                0.69828,                 0.7342,                 1.3648,                0.78981,                 1.1823,              0.0088615,              0.0088615,              0.0088615
                     25,                0.69455,                 1.1968,                0.62817,                 1.2431,                0.88111,                0.79497,                0.87116,                0.71028,                0.89645,                0.80881,                0.87662,                0.69828,                 0.7342,                 1.3648,                0.78981,                 1.1823,               0.008812,               0.008812,               0.008812
                     26,                0.68042,                 1.1683,                0.61371,                 1.2317,                0.88111,                0.79497,                0.87116,                0.71028,                0.89645,                0.80881,                0.87662,                0.69828,                 0.7342,                 1.3648,                0.78981,                 1.1823,              0.0087625,              0.0087625,              0.0087625
                     27,                0.66597,                  1.192,                0.59518,                 1.2214,                0.88111,                0.79497,                0.87116,                0.71028,                0.89645,                0.80881,                0.87662,                0.69828,                 0.7342,                 1.3648,                0.78981,                 1.1823,               0.008713,               0.008713,               0.008713
                     28,                0.68168,                 1.1765,                0.60726,                 1.2287,                0.88111,                0.79497,                0.87116,                0.71028,                0.89645,                0.80881,                0.87662,                0.69828,                 0.7342,                 1.3648,                0.78981,                 1.1823,              0.0086635,              0.0086635,              0.0086635
                     29,                0.66959,                 1.1366,                0.58699,                  1.221,                0.88111,                0.79497,                0.87116,                0.71028,                0.89645,                0.80881,                0.87662,                0.69828,                 0.7342,                 1.3648,                0.78981,                 1.1823,               0.008614,               0.008614,               0.008614
                     30,                0.66491,                 1.1609,                0.59023,                 1.2165,                0.90004,                0.80277,                0.88351,                0.73808,                0.88506,                0.79933,                0.87975,                0.72259,                0.65463,                 1.2597,                0.73564,                 1.1012,              0.0085645,              0.0085645,              0.0085645
                     31,                0.65313,                 1.1362,                0.58102,                 1.2045,                0.90004,                0.80277,                0.88351,                0.73808,                0.88506,                0.79933,                0.87975,                0.72259,                0.65463,                 1.2597,                0.73564,                 1.1012,               0.008515,               0.008515,               0.008515
                     32,                0.65785,                 1.1445,                0.58591,                 1.2113,                0.90004,                0.80277,                0.88351,                0.73808,                0.88506,                0.79933,                0.87975,                0.72259,                0.65463,                 1.2597,                0.73564,                 1.1012,              0.0084655,              0.0084655,              0.0084655
                     33,                0.65146,                  1.157,                0.57502,                 1.2036,                0.90004,                0.80277,                0.88351,                0.73808,                0.88506,                0.79933,                0.87975,                0.72259,                0.65463,                 1.2597,                0.73564,                 1.1012,               0.008416,               0.008416,               0.008416
                     34,                0.64725,                 1.0997,                0.57573,                 1.1974,                0.90004,                0.80277,                0.88351,                0.73808,                0.88506,                0.79933,                0.87975,                0.72259,                0.65463,                 1.2597,                0.73564,                 1.1012,              0.0083665,              0.0083665,              0.0083665
                     35,                0.64287,                 1.1306,                  0.569,                 1.1961,                0.90004,                0.80277,                0.88351,                0.73808,                0.88506,                0.79933,                0.87975,                0.72259,                0.65463,                 1.2597,                0.73564,                 1.1012,               0.008317,               0.008317,               0.008317
                     36,                0.63974,                 1.1247,                0.56627,                 1.1932,                0.90004,                0.80277,                0.88351,                0.73808,                0.88506,                0.79933,                0.87975,                0.72259,                0.65463,                 1.2597,                0.73564,                 1.1012,              0.0082675,              0.0082675,              0.0082675
                     37,                0.63493,                 1.0985,                0.55936,                 1.1859,                0.90004,                0.80277,                0.88351,                0.73808,                0.88506,                0.79933,                0.87975,                0.72259,                0.65463,                 1.2597,                0.73564,                 1.1012,               0.008218,               0.008218,               0.008218
                     38,                0.63128,                 1.0848,                0.55826,                 1.1906,                0.90004,                0.80277,                0.88351,                0.73808,                0.88506,                0.79933,                0.87975,                0.72259,                0.65463,                 1.2597,                0.73564,                 1.1012,              0.0081685,              0.0081685,              0.0081685
                     39,                0.62967,                 1.0821,                0.55926,                 1.1805,                0.90004,                0.80277,                0.88351,                0.73808,                0.88506,                0.79933,                0.87975,                0.72259,                0.65463,                 1.2597,                0.73564,                 1.1012,               0.008119,               0.008119,               0.008119
                     40,                0.62083,                 1.0934,                0.55435,                 1.1764,                0.93922,                0.80623,                  0.885,                0.75621,                 0.9304,                0.79931,                0.88368,                0.74164,                0.59989,                 1.1034,                0.68052,                 1.0539,              0.0080695,              0.0080695,              0.0080695
                     41,                0.62338,                 1.0956,                0.54854,                 1.1758,                0.93922,                0.80623,                  0.885,                0.75621,                 0.9304,                0.79931,                0.88368,                0.74164,                0.59989,                 1.1034,                0.68052,                 1.0539,                0.00802,                0.00802,                0.00802
                     42,                0.62768,                 1.0929,                0.55544,                 1.1818,                0.93922,                0.80623,                  0.885,                0.75621,                 0.9304,                0.79931,                0.88368,                0.74164,                0.59989,                 1.1034,                0.68052,                 1.0539,              0.0079705,              0.0079705,              0.0079705
                     43,                 0.6241,                  1.092,                0.55456,                 1.1769,                0.93922,                0.80623,                  0.885,                0.75621,                 0.9304,                0.79931,                0.88368,                0.74164,                0.59989,                 1.1034,                0.68052,                 1.0539,               0.007921,               0.007921,               0.007921
                     44,                0.60769,                 1.0505,                0.54233,                 1.1636,                0.93922,                0.80623,                  0.885,                0.75621,                 0.9304,                0.79931,                0.88368,                0.74164,                0.59989,                 1.1034,                0.68052,                 1.0539,              0.0078715,              0.0078715,              0.0078715
                     45,                0.61516,                 1.0681,                0.55187,                 1.1657,                0.93922,                0.80623,                  0.885,                0.75621,                 0.9304,                0.79931,                0.88368,                0.74164,                0.59989,                 1.1034,                0.68052,                 1.0539,               0.007822,               0.007822,               0.007822
                     46,                0.61172,                 1.0639,                0.53339,                  1.163,                0.93922,                0.80623,                  0.885,                0.75621,                 0.9304,                0.79931,                0.88368,                0.74164,                0.59989,                 1.1034,                0.68052,                 1.0539,              0.0077725,              0.0077725,              0.0077725
                     47,                0.61294,                 1.0629,                0.54014,                 1.1647,                0.93922,                0.80623,                  0.885,                0.75621,                 0.9304,                0.79931,                0.88368,                0.74164,                0.59989,                 1.1034,                0.68052,                 1.0539,               0.007723,               0.007723,               0.007723
                     48,                 0.6119,                 1.0497,                0.54077,                 1.1668,                0.93922,                0.80623,                  0.885,                0.75621,                 0.9304,                0.79931,                0.88368,                0.74164,                0.59989,                 1.1034,                0.68052,                 1.0539,              0.0076735,              0.0076735,              0.0076735
                     49,                0.60869,                 1.0468,                0.53548,                 1.1616,                0.93922,                0.80623,                  0.885,                0.75621,                 0.9304,                0.79931,                0.88368,                0.74164,                0.59989,                 1.1034,                0.68052,                 1.0539,               0.007624,               0.007624,               0.007624
                     50,                0.60392,                  1.063,                0.53173,                 1.1596,                0.90613,                0.86842,                 0.9023,                0.77897,                0.90252,                0.86496,                0.90215,                0.75915,                0.57314,                 1.0902,                0.60381,                 1.0257,              0.0075745,              0.0075745,              0.0075745
                     51,                0.60602,                 1.0631,                0.53128,                 1.1574,                0.90613,                0.86842,                 0.9023,                0.77897,                0.90252,                0.86496,                0.90215,                0.75915,                0.57314,                 1.0902,                0.60381,                 1.0257,               0.007525,               0.007525,               0.007525
                     52,                0.60453,                 1.0411,                0.53324,                 1.1587,                0.90613,                0.86842,                 0.9023,                0.77897,                0.90252,                0.86496,                0.90215,                0.75915,                0.57314,                 1.0902,                0.60381,                 1.0257,              0.0074755,              0.0074755,              0.0074755
                     53,                0.60205,                 1.0302,                0.52642,                  1.151,                0.90613,                0.86842,                 0.9023,                0.77897,                0.90252,                0.86496,                0.90215,                0.75915,                0.57314,                 1.0902,                0.60381,                 1.0257,               0.007426,               0.007426,               0.007426
                     54,                0.59612,                 1.0286,                0.52782,                 1.1508,                0.90613,                0.86842,                 0.9023,                0.77897,                0.90252,                0.86496,                0.90215,                0.75915,                0.57314,                 1.0902,                0.60381,                 1.0257,              0.0073765,              0.0073765,              0.0073765
                     55,                0.59522,                 1.0273,                0.52234,                 1.1518,                0.90613,                0.86842,                 0.9023,                0.77897,                0.90252,                0.86496,                0.90215,                0.75915,                0.57314,                 1.0902,                0.60381,                 1.0257,               0.007327,               0.007327,               0.007327
                     56,                0.59304,                  1.037,                0.51774,                 1.1481,                0.90613,                0.86842,                 0.9023,                0.77897,                0.90252,                0.86496,                0.90215,                0.75915,                0.57314,                 1.0902,                0.60381,                 1.0257,              0.0072775,              0.0072775,              0.0072775
                     57,                0.59076,                 1.0342,                0.51681,                 1.1478,                0.90613,                0.86842,                 0.9023,                0.77897,                0.90252,                0.86496,                0.90215,                0.75915,                0.57314,                 1.0902,                0.60381,                 1.0257,               0.007228,               0.007228,               0.007228
                     58,                0.58735,                 1.0281,                0.51638,                 1.1407,                0.90613,                0.86842,                 0.9023,                0.77897,                0.90252,                0.86496,                0.90215,                0.75915,                0.57314,                 1.0902,                0.60381,                 1.0257,              0.0071785,              0.0071785,              0.0071785
                     59,                0.59042,                 1.0203,                0.51677,                 1.1474,                0.90613,                0.86842,                 0.9023,                0.77897,                0.90252,                0.86496,                0.90215,                0.75915,                0.57314,                 1.0902,                0.60381,                 1.0257,               0.007129,               0.007129,               0.007129
                     60,                0.58335,                 1.0048,                0.50757,                 1.1416,                0.92949,                0.84083,                0.90165,                0.77543,                0.92849,                0.85121,                0.90552,                0.77258,                0.57236,                  1.073,                0.57286,                 1.0417,              0.0070795,              0.0070795,              0.0070795
                     61,                0.58025,                 1.0097,                0.50953,                 1.1382,                0.92949,                0.84083,                0.90165,                0.77543,                0.92849,                0.85121,                0.90552,                0.77258,                0.57236,                  1.073,                0.57286,                 1.0417,                0.00703,                0.00703,                0.00703
                     62,                0.57494,                 1.0237,                0.50666,                 1.1363,                0.92949,                0.84083,                0.90165,                0.77543,                0.92849,                0.85121,                0.90552,                0.77258,                0.57236,                  1.073,                0.57286,                 1.0417,              0.0069805,              0.0069805,              0.0069805
                     63,                0.57925,                 1.0074,                0.50305,                 1.1395,                0.92949,                0.84083,                0.90165,                0.77543,                0.92849,                0.85121,                0.90552,                0.77258,                0.57236,                  1.073,                0.57286,                 1.0417,               0.006931,               0.006931,               0.006931
                     64,                0.57198,                 1.0109,                0.50096,                 1.1316,                0.92949,                0.84083,                0.90165,                0.77543,                0.92849,                0.85121,                0.90552,                0.77258,                0.57236,                  1.073,                0.57286,                 1.0417,              0.0068815,              0.0068815,              0.0068815
                     65,                0.57324,                 1.0083,                0.50472,                 1.1268,                0.92949,                0.84083,                0.90165,                0.77543,                0.92849,                0.85121,                0.90552,                0.77258,                0.57236,                  1.073,                0.57286,                 1.0417,               0.006832,               0.006832,               0.006832
                     66,                0.56995,                0.98144,                0.49582,                 1.1266,                0.92949,                0.84083,                0.90165,                0.77543,                0.92849,                0.85121,                0.90552,                0.77258,                0.57236,                  1.073,                0.57286,                 1.0417,              0.0067825,              0.0067825,              0.0067825
                     67,                0.56991,                 1.0032,                0.49389,                 1.1309,                0.92949,                0.84083,                0.90165,                0.77543,                0.92849,                0.85121,                0.90552,                0.77258,                0.57236,                  1.073,                0.57286,                 1.0417,               0.006733,               0.006733,               0.006733
                     68,                0.57408,                0.99612,                0.50313,                 1.1266,                0.92949,                0.84083,                0.90165,                0.77543,                0.92849,                0.85121,                0.90552,                0.77258,                0.57236,                  1.073,                0.57286,                 1.0417,              0.0066835,              0.0066835,              0.0066835
                     69,                0.56732,                0.97069,                0.50178,                 1.1279,                0.92949,                0.84083,                0.90165,                0.77543,                0.92849,                0.85121,                0.90552,                0.77258,                0.57236,                  1.073,                0.57286,                 1.0417,               0.006634,               0.006634,               0.006634
                     70,                0.55813,                0.95699,                0.48682,                 1.1223,                0.92489,                0.83045,                0.90917,                 0.7973,                0.91484,                0.83391,                 0.9031,                0.78111,                0.52751,                 1.0832,                0.57164,                0.98191,              0.0065845,              0.0065845,              0.0065845
                     71,                0.56145,                0.97181,                0.48818,                 1.1265,                0.92489,                0.83045,                0.90917,                 0.7973,                0.91484,                0.83391,                 0.9031,                0.78111,                0.52751,                 1.0832,                0.57164,                0.98191,               0.006535,               0.006535,               0.006535
                     72,                0.56211,                0.96027,                0.48951,                 1.1233,                0.92489,                0.83045,                0.90917,                 0.7973,                0.91484,                0.83391,                 0.9031,                0.78111,                0.52751,                 1.0832,                0.57164,                0.98191,              0.0064855,              0.0064855,              0.0064855
                     73,                0.56062,                0.98035,                0.48583,                 1.1202,                0.92489,                0.83045,                0.90917,                 0.7973,                0.91484,                0.83391,                 0.9031,                0.78111,                0.52751,                 1.0832,                0.57164,                0.98191,               0.006436,               0.006436,               0.006436
                     74,                0.55829,                0.98635,                 0.4838,                 1.1246,                0.92489,                0.83045,                0.90917,                 0.7973,                0.91484,                0.83391,                 0.9031,                0.78111,                0.52751,                 1.0832,                0.57164,                0.98191,              0.0063865,              0.0063865,              0.0063865
                     75,                0.55646,                0.97447,                0.48415,                 1.1159,                0.92489,                0.83045,                0.90917,                 0.7973,                0.91484,                0.83391,                 0.9031,                0.78111,                0.52751,                 1.0832,                0.57164,                0.98191,               0.006337,               0.006337,               0.006337
                     76,                0.55138,                0.96585,                0.47928,                 1.1108,                0.92489,                0.83045,                0.90917,                 0.7973,                0.91484,                0.83391,                 0.9031,                0.78111,                0.52751,                 1.0832,                0.57164,                0.98191,              0.0062875,              0.0062875,              0.0062875
                     77,                0.55403,                0.96808,                0.48373,                 1.1104,                0.92489,                0.83045,                0.90917,                 0.7973,                0.91484,                0.83391,                 0.9031,                0.78111,                0.52751,                 1.0832,                0.57164,                0.98191,               0.006238,               0.006238,               0.006238
                     78,                0.55062,                0.95254,                0.47455,                 1.1161,                0.92489,                0.83045,                0.90917,                 0.7973,                0.91484,                0.83391,                 0.9031,                0.78111,                0.52751,                 1.0832,                0.57164,                0.98191,              0.0061885,              0.0061885,              0.0061885
                     79,                0.55336,                0.95514,                0.48166,                 1.1092,                0.92489,                0.83045,                0.90917,                 0.7973,                0.91484,                0.83391,                 0.9031,                0.78111,                0.52751,                 1.0832,                0.57164,                0.98191,               0.006139,               0.006139,               0.006139
                     80,                0.55077,                0.93575,                0.47708,                 1.1115,                0.93119,                0.84284,                0.90967,                0.79765,                0.92699,                0.84429,                0.90861,                0.78549,                 0.5489,                0.98365,                0.56588,                0.98972,              0.0060895,              0.0060895,              0.0060895
                     81,                0.55248,                0.94042,                0.47853,                 1.1137,                0.93119,                0.84284,                0.90967,                0.79765,                0.92699,                0.84429,                0.90861,                0.78549,                 0.5489,                0.98365,                0.56588,                0.98972,                0.00604,                0.00604,                0.00604
                     82,                0.55308,                 0.9404,                0.48404,                 1.1128,                0.93119,                0.84284,                0.90967,                0.79765,                0.92699,                0.84429,                0.90861,                0.78549,                 0.5489,                0.98365,                0.56588,                0.98972,              0.0059905,              0.0059905,              0.0059905
