          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2555,                 6.3219,                 3.2975,                 4.2257,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032759,              0.0032759,              0.0032759
                      2,                 3.1551,                  3.669,                 2.9899,                 3.9966,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065765,              0.0065765,              0.0065765
                      3,                 2.4321,                 2.9454,                 2.4619,                 3.1829,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098441,              0.0098441,              0.0098441
                      4,                 1.7308,                 2.5572,                 1.7996,                 2.3737,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3144,                 2.2014,                 1.3122,                 1.8998,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                 1.1377,                  1.962,                 1.1052,                 1.6928,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0438,                 1.8156,                 1.0008,                 1.5947,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                0.98862,                 1.7343,                0.92307,                 1.5218,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                0.93483,                 1.6249,                0.87616,                 1.4682,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     10,                0.89859,                 1.5595,                0.82121,                 1.4315,                0.86814,                0.80277,                0.85709,                0.65007,                0.85667,                0.81315,                0.84707,                0.63195,                 1.0338,                  1.908,                 1.1059,                 1.5508,              0.0095545,              0.0095545,              0.0095545
                     11,                0.87364,                 1.4947,                0.79662,                 1.4105,                0.86814,                0.80277,                0.85709,                0.65007,                0.85667,                0.81315,                0.84707,                0.63195,                 1.0338,                  1.908,                 1.1059,                 1.5508,               0.009505,               0.009505,               0.009505
                     12,                0.85475,                 1.4725,                0.77287,                 1.3881,                0.86814,                0.80277,                0.85709,                0.65007,                0.85667,                0.81315,                0.84707,                0.63195,                 1.0338,                  1.908,                 1.1059,                 1.5508,              0.0094555,              0.0094555,              0.0094555
                     13,                0.83853,                 1.4381,                0.75388,                 1.3723,                0.86814,                0.80277,                0.85709,                0.65007,                0.85667,                0.81315,                0.84707,                0.63195,                 1.0338,                  1.908,                 1.1059,                 1.5508,               0.009406,               0.009406,               0.009406
                     14,                0.81834,                 1.4089,                0.73321,                 1.3546,                0.86814,                0.80277,                0.85709,                0.65007,                0.85667,                0.81315,                0.84707,                0.63195,                 1.0338,                  1.908,                 1.1059,                 1.5508,              0.0093565,              0.0093565,              0.0093565
                     15,                  0.792,                 1.3728,                0.72204,                 1.3316,                0.86814,                0.80277,                0.85709,                0.65007,                0.85667,                0.81315,                0.84707,                0.63195,                 1.0338,                  1.908,                 1.1059,                 1.5508,               0.009307,               0.009307,               0.009307
                     16,                0.78238,                 1.3489,                0.70252,                 1.3227,                0.86814,                0.80277,                0.85709,                0.65007,                0.85667,                0.81315,                0.84707,                0.63195,                 1.0338,                  1.908,                 1.1059,                 1.5508,              0.0092575,              0.0092575,              0.0092575
                     17,                0.78017,                 1.3469,                0.69752,                 1.3149,                0.86814,                0.80277,                0.85709,                0.65007,                0.85667,                0.81315,                0.84707,                0.63195,                 1.0338,                  1.908,                 1.1059,                 1.5508,               0.009208,               0.009208,               0.009208
                     18,                0.75992,                 1.3263,                0.67455,                 1.2993,                0.86814,                0.80277,                0.85709,                0.65007,                0.85667,                0.81315,                0.84707,                0.63195,                 1.0338,                  1.908,                 1.1059,                 1.5508,              0.0091585,              0.0091585,              0.0091585
                     19,                0.75554,                 1.2902,                0.66828,                  1.295,                0.86814,                0.80277,                0.85709,                0.65007,                0.85667,                0.81315,                0.84707,                0.63195,                 1.0338,                  1.908,                 1.1059,                 1.5508,               0.009109,               0.009109,               0.009109
