          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2382,                  6.914,                 3.3037,                 4.2179,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032804,              0.0032804,              0.0032804
                      2,                 3.1947,                 3.7312,                 3.0888,                 4.0485,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006581,               0.006581,               0.006581
                      3,                 2.6365,                 2.9264,                 2.5866,                 3.3274,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098486,              0.0098486,              0.0098486
                      4,                 1.7344,                 2.4688,                 1.6916,                 2.3487,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2961,                  2.169,                 1.2143,                 1.8574,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                 1.1356,                 1.9856,                 1.0533,                 1.6716,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0519,                 1.8384,                 0.9623,                 1.5755,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                0.99212,                 1.7095,                0.89457,                 1.5023,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                0.93818,                 1.6091,                0.83446,                  1.445,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     10,                0.90182,                  1.562,                0.79706,                 1.4054,                0.84657,                0.79239,                0.83884,                0.61728,                0.84633,                 0.8004,                0.84825,                0.62205,                0.93665,                 1.7154,                 1.0084,                 1.3834,              0.0095545,              0.0095545,              0.0095545
                     11,                0.86337,                 1.4952,                  0.775,                 1.3696,                0.84657,                0.79239,                0.83884,                0.61728,                0.84633,                 0.8004,                0.84825,                0.62205,                0.93665,                 1.7154,                 1.0084,                 1.3834,               0.009505,               0.009505,               0.009505
                     12,                0.85784,                 1.4882,                0.76373,                 1.3623,                0.84657,                0.79239,                0.83884,                0.61728,                0.84633,                 0.8004,                0.84825,                0.62205,                0.93665,                 1.7154,                 1.0084,                 1.3834,              0.0094555,              0.0094555,              0.0094555
                     13,                 0.8343,                  1.435,                0.73949,                 1.3409,                0.84657,                0.79239,                0.83884,                0.61728,                0.84633,                 0.8004,                0.84825,                0.62205,                0.93665,                 1.7154,                 1.0084,                 1.3834,               0.009406,               0.009406,               0.009406
                     14,                0.80732,                 1.4092,                0.71414,                 1.3161,                0.84657,                0.79239,                0.83884,                0.61728,                0.84633,                 0.8004,                0.84825,                0.62205,                0.93665,                 1.7154,                 1.0084,                 1.3834,              0.0093565,              0.0093565,              0.0093565
                     15,                0.79979,                 1.4036,                0.70187,                 1.3081,                0.84657,                0.79239,                0.83884,                0.61728,                0.84633,                 0.8004,                0.84825,                0.62205,                0.93665,                 1.7154,                 1.0084,                 1.3834,               0.009307,               0.009307,               0.009307
                     16,                0.78372,                 1.3647,                0.68387,                 1.2909,                0.84657,                0.79239,                0.83884,                0.61728,                0.84633,                 0.8004,                0.84825,                0.62205,                0.93665,                 1.7154,                 1.0084,                 1.3834,              0.0092575,              0.0092575,              0.0092575
                     17,                0.77222,                 1.3289,                 0.6725,                 1.2807,                0.84657,                0.79239,                0.83884,                0.61728,                0.84633,                 0.8004,                0.84825,                0.62205,                0.93665,                 1.7154,                 1.0084,                 1.3834,               0.009208,               0.009208,               0.009208
                     18,                0.76451,                 1.3502,                0.66758,                  1.266,                0.84657,                0.79239,                0.83884,                0.61728,                0.84633,                 0.8004,                0.84825,                0.62205,                0.93665,                 1.7154,                 1.0084,                 1.3834,              0.0091585,              0.0091585,              0.0091585
                     19,                0.75446,                 1.3151,                0.66407,                 1.2521,                0.84657,                0.79239,                0.83884,                0.61728,                0.84633,                 0.8004,                0.84825,                0.62205,                0.93665,                 1.7154,                 1.0084,                 1.3834,               0.009109,               0.009109,               0.009109
                     20,                0.74385,                 1.2749,                 0.6488,                 1.2474,                 0.8836,                0.81661,                0.85618,                0.69404,                0.89858,                0.83045,                0.86728,                0.68273,                0.72231,                  1.434,                0.75752,                 1.1631,              0.0090595,              0.0090595,              0.0090595
                     21,                0.72996,                 1.2631,                0.64779,                 1.2336,                 0.8836,                0.81661,                0.85618,                0.69404,                0.89858,                0.83045,                0.86728,                0.68273,                0.72231,                  1.434,                0.75752,                 1.1631,                0.00901,                0.00901,                0.00901
                     22,                0.72519,                 1.2897,                0.63298,                 1.2281,                 0.8836,                0.81661,                0.85618,                0.69404,                0.89858,                0.83045,                0.86728,                0.68273,                0.72231,                  1.434,                0.75752,                 1.1631,              0.0089605,              0.0089605,              0.0089605
                     23,                0.71267,                 1.2633,                 0.6201,                 1.2202,                 0.8836,                0.81661,                0.85618,                0.69404,                0.89858,                0.83045,                0.86728,                0.68273,                0.72231,                  1.434,                0.75752,                 1.1631,               0.008911,               0.008911,               0.008911
                     24,                0.70716,                 1.2516,                0.61492,                 1.2153,                 0.8836,                0.81661,                0.85618,                0.69404,                0.89858,                0.83045,                0.86728,                0.68273,                0.72231,                  1.434,                0.75752,                 1.1631,              0.0088615,              0.0088615,              0.0088615
                     25,                0.71267,                 1.2334,                0.62014,                  1.218,                 0.8836,                0.81661,                0.85618,                0.69404,                0.89858,                0.83045,                0.86728,                0.68273,                0.72231,                  1.434,                0.75752,                 1.1631,               0.008812,               0.008812,               0.008812
                     26,                0.70105,                 1.2039,                 0.6093,                 1.2067,                 0.8836,                0.81661,                0.85618,                0.69404,                0.89858,                0.83045,                0.86728,                0.68273,                0.72231,                  1.434,                0.75752,                 1.1631,              0.0087625,              0.0087625,              0.0087625
                     27,                 0.6813,                 1.2298,                0.58827,                 1.1922,                 0.8836,                0.81661,                0.85618,                0.69404,                0.89858,                0.83045,                0.86728,                0.68273,                0.72231,                  1.434,                0.75752,                 1.1631,               0.008713,               0.008713,               0.008713
                     28,                0.69773,                 1.2124,                0.60517,                 1.2039,                 0.8836,                0.81661,                0.85618,                0.69404,                0.89858,                0.83045,                0.86728,                0.68273,                0.72231,                  1.434,                0.75752,                 1.1631,              0.0086635,              0.0086635,              0.0086635
                     29,                0.68074,                 1.1671,                0.58379,                 1.1882,                 0.8836,                0.81661,                0.85618,                0.69404,                0.89858,                0.83045,                0.86728,                0.68273,                0.72231,                  1.434,                0.75752,                 1.1631,               0.008614,               0.008614,               0.008614
                     30,                0.67323,                  1.192,                0.58389,                  1.183,                 0.9228,                0.82727,                0.88679,                 0.7507,                 0.9228,                0.82727,                0.89974,                0.72473,                 0.6615,                 1.2788,                 0.6898,                 1.0599,              0.0085645,              0.0085645,              0.0085645
                     31,                0.67296,                 1.1715,                 0.5784,                 1.1777,                 0.9228,                0.82727,                0.88679,                 0.7507,                 0.9228,                0.82727,                0.89974,                0.72473,                 0.6615,                 1.2788,                 0.6898,                 1.0599,               0.008515,               0.008515,               0.008515
                     32,                0.66877,                 1.1742,                0.57884,                 1.1778,                 0.9228,                0.82727,                0.88679,                 0.7507,                 0.9228,                0.82727,                0.89974,                0.72473,                 0.6615,                 1.2788,                 0.6898,                 1.0599,              0.0084655,              0.0084655,              0.0084655
