          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2256,                 5.7492,                 3.2336,                 4.1036,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065306,             0.00065306,             0.00065306
                      2,                 2.8235,                 3.2563,                 2.9053,                 3.4262,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013132,              0.0013132,              0.0013132
                      3,                 2.2085,                 2.8546,                 2.4728,                 2.8039,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019667,              0.0019667,              0.0019667
                      4,                 1.7105,                 2.6089,                 1.8365,                 2.2247,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.3623,                  2.351,                 1.3707,                 1.8508,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.2183,                 2.1625,                 1.1926,                 1.6922,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.1279,                 1.9984,                 1.0742,                 1.5949,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.0635,                 1.9507,                 1.0113,                 1.5339,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.0243,                 1.8067,                0.94436,                 1.4862,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.0079,                 1.7404,                0.91386,                 1.4568,                0.70955,                0.77855,                0.76518,                0.51562,                0.71238,                0.77989,                0.77881,                0.51373,                 1.0495,                 2.0189,                 1.2187,                 1.5513,              0.0019109,              0.0019109,              0.0019109
                     11,                0.96014,                  1.693,                0.86589,                 1.4131,                0.70955,                0.77855,                0.76518,                0.51562,                0.71238,                0.77989,                0.77881,                0.51373,                 1.0495,                 2.0189,                 1.2187,                 1.5513,               0.001901,               0.001901,               0.001901
                     12,                0.93904,                 1.6211,                0.83965,                  1.388,                0.70955,                0.77855,                0.76518,                0.51562,                0.71238,                0.77989,                0.77881,                0.51373,                 1.0495,                 2.0189,                 1.2187,                 1.5513,              0.0018911,              0.0018911,              0.0018911
                     13,                0.90356,                 1.5863,                0.80973,                 1.3602,                0.70955,                0.77855,                0.76518,                0.51562,                0.71238,                0.77989,                0.77881,                0.51373,                 1.0495,                 2.0189,                 1.2187,                 1.5513,              0.0018812,              0.0018812,              0.0018812
                     14,                0.88724,                 1.5737,                 0.7904,                 1.3414,                0.70955,                0.77855,                0.76518,                0.51562,                0.71238,                0.77989,                0.77881,                0.51373,                 1.0495,                 2.0189,                 1.2187,                 1.5513,              0.0018713,              0.0018713,              0.0018713
                     15,                0.86621,                 1.5153,                 0.7682,                 1.3212,                0.70955,                0.77855,                0.76518,                0.51562,                0.71238,                0.77989,                0.77881,                0.51373,                 1.0495,                 2.0189,                 1.2187,                 1.5513,              0.0018614,              0.0018614,              0.0018614
                     16,                 0.8517,                 1.4924,                0.74964,                 1.3088,                0.70955,                0.77855,                0.76518,                0.51562,                0.71238,                0.77989,                0.77881,                0.51373,                 1.0495,                 2.0189,                 1.2187,                 1.5513,              0.0018515,              0.0018515,              0.0018515
                     17,                0.83715,                 1.4566,                0.72569,                 1.2958,                0.70955,                0.77855,                0.76518,                0.51562,                0.71238,                0.77989,                0.77881,                0.51373,                 1.0495,                 2.0189,                 1.2187,                 1.5513,              0.0018416,              0.0018416,              0.0018416
                     18,                0.82524,                 1.4676,                0.72976,                 1.2857,                0.70955,                0.77855,                0.76518,                0.51562,                0.71238,                0.77989,                0.77881,                0.51373,                 1.0495,                 2.0189,                 1.2187,                 1.5513,              0.0018317,              0.0018317,              0.0018317
                     19,                0.81174,                  1.438,                0.71988,                 1.2707,                0.70955,                0.77855,                0.76518,                0.51562,                0.71238,                0.77989,                0.77881,                0.51373,                 1.0495,                 2.0189,                 1.2187,                 1.5513,              0.0018218,              0.0018218,              0.0018218
                     20,                0.80591,                 1.4013,                0.70022,                 1.2687,                 0.8982,                0.80623,                0.87191,                0.69905,                0.89435,                0.80277,                0.86558,                0.68009,                0.74371,                 1.5943,                0.73078,                 1.2131,              0.0018119,              0.0018119,              0.0018119
                     21,                0.79669,                 1.4001,                0.68966,                 1.2584,                 0.8982,                0.80623,                0.87191,                0.69905,                0.89435,                0.80277,                0.86558,                0.68009,                0.74371,                 1.5943,                0.73078,                 1.2131,               0.001802,               0.001802,               0.001802
                     22,                0.78139,                 1.3765,                0.67295,                  1.244,                 0.8982,                0.80623,                0.87191,                0.69905,                0.89435,                0.80277,                0.86558,                0.68009,                0.74371,                 1.5943,                0.73078,                 1.2131,              0.0017921,              0.0017921,              0.0017921
