          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2432,                 7.5464,                 3.3034,                 4.2222,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032749,              0.0032749,              0.0032749
                      2,                 3.2119,                  3.706,                 3.0851,                 4.0446,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0065755,              0.0065755,              0.0065755
                      3,                 2.7336,                 2.9211,                 2.7149,                 3.3979,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098431,              0.0098431,              0.0098431
                      4,                 1.8743,                 2.5385,                 1.8915,                 2.4627,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3377,                 2.2257,                 1.2867,                 1.8954,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009802,               0.009802,               0.009802
                      6,                 1.1699,                 2.0332,                 1.0976,                 1.7124,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0664,                 1.9084,                0.98734,                 1.5977,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009703,               0.009703,               0.009703
                      8,                 1.0089,                 1.7963,                0.91459,                  1.528,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                0.95903,                 1.6766,                0.87305,                 1.4721,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.009604,               0.009604,               0.009604
                     10,                0.91885,                 1.6334,                0.83302,                 1.4283,                0.86123,                0.76471,                0.81558,                0.61942,                0.85019,                0.77163,                0.82744,                0.56755,                0.99899,                 1.8668,                 1.0426,                 1.4805,              0.0095545,              0.0095545,              0.0095545
                     11,                0.88862,                 1.5525,                  0.802,                 1.4027,                0.86123,                0.76471,                0.81558,                0.61942,                0.85019,                0.77163,                0.82744,                0.56755,                0.99899,                 1.8668,                 1.0426,                 1.4805,               0.009505,               0.009505,               0.009505
                     12,                0.88018,                 1.5141,                0.78215,                 1.3805,                0.86123,                0.76471,                0.81558,                0.61942,                0.85019,                0.77163,                0.82744,                0.56755,                0.99899,                 1.8668,                 1.0426,                 1.4805,              0.0094555,              0.0094555,              0.0094555
                     13,                0.85393,                 1.4835,                0.76258,                 1.3566,                0.86123,                0.76471,                0.81558,                0.61942,                0.85019,                0.77163,                0.82744,                0.56755,                0.99899,                 1.8668,                 1.0426,                 1.4805,               0.009406,               0.009406,               0.009406
                     14,                0.83503,                 1.4765,                0.73686,                  1.334,                0.86123,                0.76471,                0.81558,                0.61942,                0.85019,                0.77163,                0.82744,                0.56755,                0.99899,                 1.8668,                 1.0426,                 1.4805,              0.0093565,              0.0093565,              0.0093565
                     15,                0.80942,                  1.388,                0.71457,                 1.3163,                0.86123,                0.76471,                0.81558,                0.61942,                0.85019,                0.77163,                0.82744,                0.56755,                0.99899,                 1.8668,                 1.0426,                 1.4805,               0.009307,               0.009307,               0.009307
                     16,                0.79954,                 1.3769,                 0.7072,                  1.306,                0.86123,                0.76471,                0.81558,                0.61942,                0.85019,                0.77163,                0.82744,                0.56755,                0.99899,                 1.8668,                 1.0426,                 1.4805,              0.0092575,              0.0092575,              0.0092575
                     17,                0.79219,                 1.3558,                0.70065,                 1.2961,                0.86123,                0.76471,                0.81558,                0.61942,                0.85019,                0.77163,                0.82744,                0.56755,                0.99899,                 1.8668,                 1.0426,                 1.4805,               0.009208,               0.009208,               0.009208
                     18,                0.77648,                 1.3432,                0.68525,                 1.2855,                0.86123,                0.76471,                0.81558,                0.61942,                0.85019,                0.77163,                0.82744,                0.56755,                0.99899,                 1.8668,                 1.0426,                 1.4805,              0.0091585,              0.0091585,              0.0091585
                     19,                0.76726,                 1.3395,                0.67398,                 1.2675,                0.86123,                0.76471,                0.81558,                0.61942,                0.85019,                0.77163,                0.82744,                0.56755,                0.99899,                 1.8668,                 1.0426,                 1.4805,               0.009109,               0.009109,               0.009109
                     20,                0.75392,                 1.3461,                0.66783,                 1.2562,                0.89278,                0.80673,                0.86783,                0.70847,                0.88568,                0.83103,                0.87057,                0.69513,                0.79043,                 1.3842,                0.78356,                 1.2229,              0.0090595,              0.0090595,              0.0090595
                     21,                0.74333,                  1.281,                0.64912,                 1.2468,                0.89278,                0.80673,                0.86783,                0.70847,                0.88568,                0.83103,                0.87057,                0.69513,                0.79043,                 1.3842,                0.78356,                 1.2229,                0.00901,                0.00901,                0.00901
                     22,                0.73307,                 1.2884,                0.64099,                 1.2409,                0.89278,                0.80673,                0.86783,                0.70847,                0.88568,                0.83103,                0.87057,                0.69513,                0.79043,                 1.3842,                0.78356,                 1.2229,              0.0089605,              0.0089605,              0.0089605
                     23,                0.72677,                 1.2668,                0.63148,                 1.2314,                0.89278,                0.80673,                0.86783,                0.70847,                0.88568,                0.83103,                0.87057,                0.69513,                0.79043,                 1.3842,                0.78356,                 1.2229,               0.008911,               0.008911,               0.008911
                     24,                0.72304,                 1.2489,                0.63262,                 1.2291,                0.89278,                0.80673,                0.86783,                0.70847,                0.88568,                0.83103,                0.87057,                0.69513,                0.79043,                 1.3842,                0.78356,                 1.2229,              0.0088615,              0.0088615,              0.0088615
                     25,                0.71178,                 1.2415,                 0.6291,                 1.2167,                0.89278,                0.80673,                0.86783,                0.70847,                0.88568,                0.83103,                0.87057,                0.69513,                0.79043,                 1.3842,                0.78356,                 1.2229,               0.008812,               0.008812,               0.008812
                     26,                0.70117,                 1.2388,                0.61344,                 1.2087,                0.89278,                0.80673,                0.86783,                0.70847,                0.88568,                0.83103,                0.87057,                0.69513,                0.79043,                 1.3842,                0.78356,                 1.2229,              0.0087625,              0.0087625,              0.0087625
                     27,                0.70027,                 1.2494,                0.61226,                 1.2078,                0.89278,                0.80673,                0.86783,                0.70847,                0.88568,                0.83103,                0.87057,                0.69513,                0.79043,                 1.3842,                0.78356,                 1.2229,               0.008713,               0.008713,               0.008713
                     28,                0.70228,                 1.2209,                0.60945,                 1.2075,                0.89278,                0.80673,                0.86783,                0.70847,                0.88568,                0.83103,                0.87057,                0.69513,                0.79043,                 1.3842,                0.78356,                 1.2229,              0.0086635,              0.0086635,              0.0086635
                     29,                0.68893,                 1.2023,                0.59597,                 1.1981,                0.89278,                0.80673,                0.86783,                0.70847,                0.88568,                0.83103,                0.87057,                0.69513,                0.79043,                 1.3842,                0.78356,                 1.2229,               0.008614,               0.008614,               0.008614
                     30,                 0.6882,                 1.2027,                0.60018,                 1.1958,                0.92325,                0.79089,                0.87932,                0.72536,                0.90111,                0.80969,                0.87719,                0.71312,                0.82283,                 1.3589,                0.77669,                 1.1948,              0.0085645,              0.0085645,              0.0085645
                     31,                 0.6796,                 1.1851,                0.58873,                 1.1869,                0.92325,                0.79089,                0.87932,                0.72536,                0.90111,                0.80969,                0.87719,                0.71312,                0.82283,                 1.3589,                0.77669,                 1.1948,               0.008515,               0.008515,               0.008515
                     32,                0.68764,                 1.1872,                0.59389,                 1.1963,                0.92325,                0.79089,                0.87932,                0.72536,                0.90111,                0.80969,                0.87719,                0.71312,                0.82283,                 1.3589,                0.77669,                 1.1948,              0.0084655,              0.0084655,              0.0084655
                     33,                0.67498,                 1.1787,                0.57838,                 1.1823,                0.92325,                0.79089,                0.87932,                0.72536,                0.90111,                0.80969,                0.87719,                0.71312,                0.82283,                 1.3589,                0.77669,                 1.1948,               0.008416,               0.008416,               0.008416
                     34,                0.66828,                 1.1639,                 0.5736,                 1.1718,                0.92325,                0.79089,                0.87932,                0.72536,                0.90111,                0.80969,                0.87719,                0.71312,                0.82283,                 1.3589,                0.77669,                 1.1948,              0.0083665,              0.0083665,              0.0083665
                     35,                0.67224,                 1.1711,                0.57602,                 1.1755,                0.92325,                0.79089,                0.87932,                0.72536,                0.90111,                0.80969,                0.87719,                0.71312,                0.82283,                 1.3589,                0.77669,                 1.1948,               0.008317,               0.008317,               0.008317
                     36,                0.66012,                 1.1497,                0.57145,                 1.1679,                0.92325,                0.79089,                0.87932,                0.72536,                0.90111,                0.80969,                0.87719,                0.71312,                0.82283,                 1.3589,                0.77669,                 1.1948,              0.0082675,              0.0082675,              0.0082675
                     37,                0.65555,                 1.1508,                0.57126,                 1.1671,                0.92325,                0.79089,                0.87932,                0.72536,                0.90111,                0.80969,                0.87719,                0.71312,                0.82283,                 1.3589,                0.77669,                 1.1948,               0.008218,               0.008218,               0.008218
                     38,                0.65547,                 1.1438,                0.56895,                 1.1654,                0.92325,                0.79089,                0.87932,                0.72536,                0.90111,                0.80969,                0.87719,                0.71312,                0.82283,                 1.3589,                0.77669,                 1.1948,              0.0081685,              0.0081685,              0.0081685
