          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2151,                 5.6062,                 3.2283,                 4.1247,                0.00659,                 0.8699,                 0.0479,                0.01644,                 0.0049,                0.64614,                0.01774,                0.00481,                 2.9767,                 4.9535,                 3.0261,                  4.219,             0.00064706,             0.00064706,             0.00064706
                      2,                 2.6807,                 3.5552,                 2.8357,                 3.4253,                0.01813,                0.79185,                0.15707,                0.04557,                0.01231,                0.53773,                0.06302,                0.01449,                 2.8683,                 5.8077,                 3.2378,                 4.3652,              0.0013072,              0.0013072,              0.0013072
                      3,                 2.1206,                 3.0339,                 2.4272,                 2.7532,                0.02227,                0.80052,                0.04203,                0.01626,                0.01363,                0.49003,                0.01666,                 0.0046,                 2.7665,                 6.0063,                 3.5477,                 4.0987,              0.0019608,              0.0019608,              0.0019608
                      4,                 1.6905,                 2.6843,                 1.9112,                 2.2692,                0.34326,                0.16826,                0.18133,                0.07073,                0.33846,                0.15178,                0.15274,                0.04514,                 2.3423,                 6.7761,                 2.8988,                 3.2732,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.4138,                  2.405,                 1.5372,                 1.9749,                0.54135,                0.53949,                0.52421,                 0.2975,                0.56671,                0.55854,                0.55173,                0.29211,                 1.5601,                 2.9893,                  1.886,                 2.2155,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.2761,                 2.2691,                 1.3466,                 1.8131,                0.68608,                0.65655,                0.68828,                0.40376,                0.70841,                 0.6843,                 0.7143,                0.43892,                 1.4187,                 2.4711,                 1.7592,                  1.966,              0.0019505,              0.0019505,              0.0019505
                      7,                 1.1779,                 2.0779,                 1.2022,                 1.7068,                 0.7863,                0.71726,                0.78389,                0.52142,                0.78459,                0.73288,                 0.7945,                0.51756,                 1.1934,                 2.3235,                 1.2953,                 1.7587,              0.0019406,              0.0019406,              0.0019406
                      8,                  1.131,                 1.9835,                 1.1365,                 1.6463,                 0.7611,                0.73287,                0.76712,                0.52246,                0.76969,                0.74241,                0.78275,                0.52139,                 1.1546,                 2.1681,                 1.2928,                 1.6704,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.0784,                 1.9199,                 1.0803,                 1.5932,                0.75453,                0.76583,                 0.7821,                0.54161,                0.76828,                 0.7764,                0.79684,                0.54111,                  1.124,                 2.0689,                 1.2667,                 1.6072,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.0382,                 1.8236,                 1.0252,                 1.5519,                  0.799,                0.77624,                0.80647,                0.55838,                 0.7959,                0.79143,                0.81229,                0.57446,                 1.1181,                 2.0743,                 1.1576,                 1.5915,              0.0019109,              0.0019109,              0.0019109
                     11,                0.99966,                 1.7487,                0.97347,                 1.5103,                0.78309,                0.74501,                0.76481,                0.51524,                0.79075,                0.76692,                0.78136,                0.51628,                 1.1014,                 1.9507,                 1.3722,                 1.5518,               0.001901,               0.001901,               0.001901
                     12,                0.98323,                 1.7112,                0.95218,                 1.4833,                0.84055,                0.78404,                0.81924,                0.59844,                0.84583,                0.80399,                0.83093,                0.59522,                 0.9802,                 1.8848,                 1.0736,                 1.4269,              0.0018911,              0.0018911,              0.0018911
                     13,                 0.9531,                 1.6656,                0.91711,                 1.4534,                 0.7979,                0.76583,                0.80543,                0.57593,                0.81589,                0.78838,                0.82041,                0.58031,                 1.0261,                 1.8907,                 1.0642,                  1.452,              0.0018812,              0.0018812,              0.0018812
                     14,                0.92981,                 1.6083,                0.87879,                 1.4325,                0.84866,                0.77363,                0.82412,                0.62376,                0.85937,                0.78491,                0.83702,                0.62644,                0.96877,                 1.8804,                 0.9746,                 1.4564,              0.0018713,              0.0018713,              0.0018713
                     15,                0.91969,                 1.6132,                0.86245,                 1.4215,                0.81838,                0.79011,                0.81554,                0.59965,                 0.8234,                0.79532,                0.82161,                0.60416,                0.93023,                 1.8341,                 1.0261,                 1.3728,              0.0018614,              0.0018614,              0.0018614
                     16,                0.89993,                  1.586,                0.84367,                 1.4027,                 0.8087,                0.79562,                0.80322,                0.60328,                0.82154,                0.80312,                0.81126,                0.60146,                0.87234,                    1.7,                 0.9839,                 1.3127,              0.0018515,              0.0018515,              0.0018515
                     17,                0.87732,                 1.5309,                0.82493,                 1.3843,                0.86255,                0.78057,                0.82975,                 0.6421,                0.86994,                0.78751,                0.84043,                0.63897,                0.90746,                 1.6651,                0.90278,                 1.3463,              0.0018416,              0.0018416,              0.0018416
                     18,                0.87013,                 1.5232,                0.81271,                 1.3742,                0.88626,                0.80312,                0.85074,                0.64818,                0.89653,                0.81163,                0.86305,                0.65554,                0.88565,                 1.6102,                0.85129,                 1.3364,              0.0018317,              0.0018317,              0.0018317
                     19,                0.85834,                 1.5077,                0.79088,                 1.3611,                0.82139,                0.79358,                0.81408,                0.60976,                0.83254,                0.80399,                0.82155,                0.60333,                0.91797,                 1.6464,                0.93225,                 1.3428,              0.0018218,              0.0018218,              0.0018218
                     20,                0.83851,                 1.4767,                0.77351,                 1.3454,                0.87806,                0.79315,                0.84546,                 0.6535,                0.87758,                0.80825,                0.84744,                0.65273,                0.84437,                 1.5983,                0.86077,                 1.2757,              0.0018119,              0.0018119,              0.0018119
