          current_epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1518,                 5.3919,                  3.413,                 4.6601,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00065079,             0.00065079,             0.00065079
                      2,                 2.4142,                 3.4496,                 2.9751,                 3.6541,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013109,              0.0013109,              0.0013109
                      3,                 1.9211,                 3.0103,                 2.4575,                 2.9621,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019645,              0.0019645,              0.0019645
                      4,                  1.543,                 2.7405,                 1.8678,                 2.4101,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.3384,                 2.4996,                 1.5348,                 2.1234,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019604,              0.0019604,              0.0019604
                      6,                  1.214,                 2.2654,                 1.3411,                 1.9551,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019505,              0.0019505,              0.0019505
                      7,                  1.135,                 2.1519,                 1.2163,                 1.8486,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.0836,                 2.0179,                 1.1304,                 1.7663,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019307,              0.0019307,              0.0019307
                      9,                  1.052,                 1.9312,                 1.0829,                 1.7243,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019208,              0.0019208,              0.0019208
                     10,                0.99252,                  1.824,                 1.0228,                 1.6558,                0.84631,                 0.7963,                0.84125,                 0.6076,                0.85363,                0.78301,                0.83776,                0.60257,                0.97902,                 1.9765,                 1.1444,                 1.5909,              0.0019109,              0.0019109,              0.0019109
                     11,                 0.9616,                 1.7691,                0.97511,                 1.6163,                0.84631,                 0.7963,                0.84125,                 0.6076,                0.85363,                0.78301,                0.83776,                0.60257,                0.97902,                 1.9765,                 1.1444,                 1.5909,               0.001901,               0.001901,               0.001901
                     12,                0.95291,                  1.705,                  0.956,                 1.5984,                0.84631,                 0.7963,                0.84125,                 0.6076,                0.85363,                0.78301,                0.83776,                0.60257,                0.97902,                 1.9765,                 1.1444,                 1.5909,              0.0018911,              0.0018911,              0.0018911
                     13,                0.92632,                 1.6499,                0.91548,                 1.5622,                0.84631,                 0.7963,                0.84125,                 0.6076,                0.85363,                0.78301,                0.83776,                0.60257,                0.97902,                 1.9765,                 1.1444,                 1.5909,              0.0018812,              0.0018812,              0.0018812
                     14,                0.90046,                 1.6172,                0.87665,                 1.5312,                0.84631,                 0.7963,                0.84125,                 0.6076,                0.85363,                0.78301,                0.83776,                0.60257,                0.97902,                 1.9765,                 1.1444,                 1.5909,              0.0018713,              0.0018713,              0.0018713
                     15,                0.88475,                  1.588,                0.85765,                  1.514,                0.84631,                 0.7963,                0.84125,                 0.6076,                0.85363,                0.78301,                0.83776,                0.60257,                0.97902,                 1.9765,                 1.1444,                 1.5909,              0.0018614,              0.0018614,              0.0018614
                     16,                0.86252,                 1.5681,                0.83444,                 1.4905,                0.84631,                 0.7963,                0.84125,                 0.6076,                0.85363,                0.78301,                0.83776,                0.60257,                0.97902,                 1.9765,                 1.1444,                 1.5909,              0.0018515,              0.0018515,              0.0018515
                     17,                0.85875,                 1.5321,                0.81664,                 1.4802,                0.84631,                 0.7963,                0.84125,                 0.6076,                0.85363,                0.78301,                0.83776,                0.60257,                0.97902,                 1.9765,                 1.1444,                 1.5909,              0.0018416,              0.0018416,              0.0018416
                     18,                0.84227,                 1.4988,                0.79604,                 1.4632,                0.84631,                 0.7963,                0.84125,                 0.6076,                0.85363,                0.78301,                0.83776,                0.60257,                0.97902,                 1.9765,                 1.1444,                 1.5909,              0.0018317,              0.0018317,              0.0018317
                     19,                0.82247,                 1.4694,                 0.7687,                 1.4393,                0.84631,                 0.7963,                0.84125,                 0.6076,                0.85363,                0.78301,                0.83776,                0.60257,                0.97902,                 1.9765,                 1.1444,                 1.5909,              0.0018218,              0.0018218,              0.0018218
                     20,                0.83059,                 1.5047,                0.78188,                 1.4415,                0.87316,                0.82865,                0.85109,                0.67017,                0.87799,                 0.8329,                0.85944,                0.67046,                0.78502,                  1.537,                0.80123,                 1.3778,              0.0018119,              0.0018119,              0.0018119
                     21,                0.81732,                 1.4545,                0.76462,                 1.4247,                0.87316,                0.82865,                0.85109,                0.67017,                0.87799,                 0.8329,                0.85944,                0.67046,                0.78502,                  1.537,                0.80123,                 1.3778,               0.001802,               0.001802,               0.001802
                     22,                0.80698,                 1.4388,                0.75551,                 1.4197,                0.87316,                0.82865,                0.85109,                0.67017,                0.87799,                 0.8329,                0.85944,                0.67046,                0.78502,                  1.537,                0.80123,                 1.3778,              0.0017921,              0.0017921,              0.0017921
                     23,                0.78729,                 1.4122,                0.73482,                 1.3997,                0.87316,                0.82865,                0.85109,                0.67017,                0.87799,                 0.8329,                0.85944,                0.67046,                0.78502,                  1.537,                0.80123,                 1.3778,              0.0017822,              0.0017822,              0.0017822
                     24,                 0.7908,                 1.4311,                0.73063,                 1.3974,                0.87316,                0.82865,                0.85109,                0.67017,                0.87799,                 0.8329,                0.85944,                0.67046,                0.78502,                  1.537,                0.80123,                 1.3778,              0.0017723,              0.0017723,              0.0017723
                     25,                0.77207,                   1.41,                0.71916,                 1.3842,                0.87316,                0.82865,                0.85109,                0.67017,                0.87799,                 0.8329,                0.85944,                0.67046,                0.78502,                  1.537,                0.80123,                 1.3778,              0.0017624,              0.0017624,              0.0017624
                     26,                 0.7888,                 1.4006,                0.72364,                 1.3843,                0.87316,                0.82865,                0.85109,                0.67017,                0.87799,                 0.8329,                0.85944,                0.67046,                0.78502,                  1.537,                0.80123,                 1.3778,              0.0017525,              0.0017525,              0.0017525
                     27,                0.76265,                 1.3667,                0.70973,                  1.369,                0.87316,                0.82865,                0.85109,                0.67017,                0.87799,                 0.8329,                0.85944,                0.67046,                0.78502,                  1.537,                0.80123,                 1.3778,              0.0017426,              0.0017426,              0.0017426
                     28,                0.76606,                 1.3674,                 0.7089,                 1.3743,                0.87316,                0.82865,                0.85109,                0.67017,                0.87799,                 0.8329,                0.85944,                0.67046,                0.78502,                  1.537,                0.80123,                 1.3778,              0.0017327,              0.0017327,              0.0017327
                     29,                0.75163,                 1.3531,                0.69141,                 1.3569,                0.87316,                0.82865,                0.85109,                0.67017,                0.87799,                 0.8329,                0.85944,                0.67046,                0.78502,                  1.537,                0.80123,                 1.3778,              0.0017228,              0.0017228,              0.0017228
                     30,                  0.746,                 1.3614,                0.69164,                 1.3499,                0.92299,                0.83233,                0.87239,                0.70002,                0.91792,                0.82838,                0.86762,                0.69931,                0.72176,                 1.4878,                0.74484,                 1.2603,              0.0017129,              0.0017129,              0.0017129
                     31,                0.74809,                 1.3421,                 0.6903,                 1.3516,                0.92299,                0.83233,                0.87239,                0.70002,                0.91792,                0.82838,                0.86762,                0.69931,                0.72176,                 1.4878,                0.74484,                 1.2603,               0.001703,               0.001703,               0.001703
                     32,                0.73203,                 1.3072,                0.67356,                 1.3431,                0.92299,                0.83233,                0.87239,                0.70002,                0.91792,                0.82838,                0.86762,                0.69931,                0.72176,                 1.4878,                0.74484,                 1.2603,              0.0016931,              0.0016931,              0.0016931
                     33,                0.74023,                 1.3481,                0.67965,                 1.3384,                0.92299,                0.83233,                0.87239,                0.70002,                0.91792,                0.82838,                0.86762,                0.69931,                0.72176,                 1.4878,                0.74484,                 1.2603,              0.0016832,              0.0016832,              0.0016832
                     34,                 0.7264,                 1.2992,                0.67167,                 1.3259,                0.92299,                0.83233,                0.87239,                0.70002,                0.91792,                0.82838,                0.86762,                0.69931,                0.72176,                 1.4878,                0.74484,                 1.2603,              0.0016733,              0.0016733,              0.0016733
                     35,                0.72665,                 1.3209,                0.66784,                 1.3292,                0.92299,                0.83233,                0.87239,                0.70002,                0.91792,                0.82838,                0.86762,                0.69931,                0.72176,                 1.4878,                0.74484,                 1.2603,              0.0016634,              0.0016634,              0.0016634
                     36,                0.73756,                 1.3096,                0.67401,                 1.3357,                0.92299,                0.83233,                0.87239,                0.70002,                0.91792,                0.82838,                0.86762,                0.69931,                0.72176,                 1.4878,                0.74484,                 1.2603,              0.0016535,              0.0016535,              0.0016535
                     37,                0.71192,                 1.3042,                0.65278,                 1.3131,                0.92299,                0.83233,                0.87239,                0.70002,                0.91792,                0.82838,                0.86762,                0.69931,                0.72176,                 1.4878,                0.74484,                 1.2603,              0.0016436,              0.0016436,              0.0016436
                     38,                 0.7111,                 1.2442,                0.65021,                 1.3164,                0.92299,                0.83233,                0.87239,                0.70002,                0.91792,                0.82838,                0.86762,                0.69931,                0.72176,                 1.4878,                0.74484,                 1.2603,              0.0016337,              0.0016337,              0.0016337
                     39,                0.70049,                  1.252,                0.64202,                 1.3029,                0.92299,                0.83233,                0.87239,                0.70002,                0.91792,                0.82838,                0.86762,                0.69931,                0.72176,                 1.4878,                0.74484,                 1.2603,              0.0016238,              0.0016238,              0.0016238
                     40,                 0.7077,                 1.2795,                0.64274,                 1.3028,                 0.8938,                0.85719,                0.86029,                0.71869,                0.88939,                0.85624,                0.85939,                0.70091,                0.65085,                 1.4108,                0.72191,                 1.2142,              0.0016139,              0.0016139,              0.0016139
                     41,                0.70925,                 1.2864,                0.63622,                 1.3032,                 0.8938,                0.85719,                0.86029,                0.71869,                0.88939,                0.85624,                0.85939,                0.70091,                0.65085,                 1.4108,                0.72191,                 1.2142,               0.001604,               0.001604,               0.001604
                     42,                 0.7081,                 1.2394,                0.63608,                 1.3001,                 0.8938,                0.85719,                0.86029,                0.71869,                0.88939,                0.85624,                0.85939,                0.70091,                0.65085,                 1.4108,                0.72191,                 1.2142,              0.0015941,              0.0015941,              0.0015941
                     43,                 0.7011,                 1.2205,                0.63655,                 1.3024,                 0.8938,                0.85719,                0.86029,                0.71869,                0.88939,                0.85624,                0.85939,                0.70091,                0.65085,                 1.4108,                0.72191,                 1.2142,              0.0015842,              0.0015842,              0.0015842
                     44,                0.69169,                 1.2301,                0.62917,                 1.2894,                 0.8938,                0.85719,                0.86029,                0.71869,                0.88939,                0.85624,                0.85939,                0.70091,                0.65085,                 1.4108,                0.72191,                 1.2142,              0.0015743,              0.0015743,              0.0015743
                     45,                0.69217,                 1.2345,                0.63029,                 1.2877,                 0.8938,                0.85719,                0.86029,                0.71869,                0.88939,                0.85624,                0.85939,                0.70091,                0.65085,                 1.4108,                0.72191,                 1.2142,              0.0015644,              0.0015644,              0.0015644
                     46,                0.68264,                 1.2245,                0.61862,                 1.2746,                 0.8938,                0.85719,                0.86029,                0.71869,                0.88939,                0.85624,                0.85939,                0.70091,                0.65085,                 1.4108,                0.72191,                 1.2142,              0.0015545,              0.0015545,              0.0015545
                     47,                 0.6828,                 1.2156,                0.62209,                   1.28,                 0.8938,                0.85719,                0.86029,                0.71869,                0.88939,                0.85624,                0.85939,                0.70091,                0.65085,                 1.4108,                0.72191,                 1.2142,              0.0015446,              0.0015446,              0.0015446
                     48,                0.68971,                 1.2093,                 0.6211,                 1.2872,                 0.8938,                0.85719,                0.86029,                0.71869,                0.88939,                0.85624,                0.85939,                0.70091,                0.65085,                 1.4108,                0.72191,                 1.2142,              0.0015347,              0.0015347,              0.0015347
                     49,                0.68342,                  1.212,                0.61988,                 1.2792,                 0.8938,                0.85719,                0.86029,                0.71869,                0.88939,                0.85624,                0.85939,                0.70091,                0.65085,                 1.4108,                0.72191,                 1.2142,              0.0015248,              0.0015248,              0.0015248
                     50,                0.66991,                 1.1995,                 0.6076,                  1.267,                0.88884,                0.85142,                0.85799,                0.72286,                0.89406,                0.85953,                0.87205,                0.71392,                0.64435,                 1.4087,                0.62201,                 1.2019,              0.0015149,              0.0015149,              0.0015149
                     51,                0.66835,                 1.2001,                0.60502,                 1.2675,                0.88884,                0.85142,                0.85799,                0.72286,                0.89406,                0.85953,                0.87205,                0.71392,                0.64435,                 1.4087,                0.62201,                 1.2019,               0.001505,               0.001505,               0.001505
                     52,                0.67246,                 1.2001,                 0.6049,                 1.2654,                0.88884,                0.85142,                0.85799,                0.72286,                0.89406,                0.85953,                0.87205,                0.71392,                0.64435,                 1.4087,                0.62201,                 1.2019,              0.0014951,              0.0014951,              0.0014951
                     53,                0.66742,                 1.1956,                0.59719,                 1.2622,                0.88884,                0.85142,                0.85799,                0.72286,                0.89406,                0.85953,                0.87205,                0.71392,                0.64435,                 1.4087,                0.62201,                 1.2019,              0.0014852,              0.0014852,              0.0014852
                     54,                0.66666,                 1.1812,                0.59851,                  1.263,                0.88884,                0.85142,                0.85799,                0.72286,                0.89406,                0.85953,                0.87205,                0.71392,                0.64435,                 1.4087,                0.62201,                 1.2019,              0.0014753,              0.0014753,              0.0014753
                     55,                0.65783,                 1.1772,                0.59563,                 1.2545,                0.88884,                0.85142,                0.85799,                0.72286,                0.89406,                0.85953,                0.87205,                0.71392,                0.64435,                 1.4087,                0.62201,                 1.2019,              0.0014654,              0.0014654,              0.0014654
                     56,                0.66771,                 1.1839,                0.59777,                 1.2659,                0.88884,                0.85142,                0.85799,                0.72286,                0.89406,                0.85953,                0.87205,                0.71392,                0.64435,                 1.4087,                0.62201,                 1.2019,              0.0014555,              0.0014555,              0.0014555
                     57,                0.66686,                 1.1989,                0.59802,                   1.26,                0.88884,                0.85142,                0.85799,                0.72286,                0.89406,                0.85953,                0.87205,                0.71392,                0.64435,                 1.4087,                0.62201,                 1.2019,              0.0014456,              0.0014456,              0.0014456
                     58,                0.64979,                 1.1505,                0.58375,                 1.2479,                0.88884,                0.85142,                0.85799,                0.72286,                0.89406,                0.85953,                0.87205,                0.71392,                0.64435,                 1.4087,                0.62201,                 1.2019,              0.0014357,              0.0014357,              0.0014357
                     59,                0.65499,                 1.1728,                0.58764,                  1.252,                0.88884,                0.85142,                0.85799,                0.72286,                0.89406,                0.85953,                0.87205,                0.71392,                0.64435,                 1.4087,                0.62201,                 1.2019,              0.0014258,              0.0014258,              0.0014258
                     60,                  0.647,                 1.1497,                0.57992,                 1.2463,                0.90683,                0.85185,                0.87083,                0.74914,                0.90651,                0.85185,                0.88222,                0.73795,                0.61429,                  1.388,                0.59786,                 1.1461,              0.0014159,              0.0014159,              0.0014159
