                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7832,                 3.8376,                 3.4827,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032941,              0.0032941,              0.0032941
                      2,                 2.4707,                 2.1517,                 2.0549,                0.92145,                0.11018,                0.18152,                0.07948,                 2.7479,                 3.8418,                 1.9991,              0.0065946,              0.0065946,              0.0065946
                      3,                 2.2074,                 1.7291,                 1.7557,                0.47812,                0.21369,                0.24864,                0.10362,                 2.2309,                 3.9147,                 1.6663,              0.0098622,              0.0098622,              0.0098622
                      4,                 2.0055,                 1.4123,                 1.5795,                0.24937,                0.29273,                0.19929,                0.07051,                 2.6601,                 5.0015,                 1.8539,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8641,                 1.2047,                 1.4915,                0.46513,                0.40655,                0.43101,                0.17959,                 2.0207,                 2.0044,                 1.4967,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.7623,                 1.0745,                 1.4289,                 0.5438,                 0.4772,                0.51404,                0.25044,                 1.8134,                 1.3225,                 1.3739,               0.009802,               0.009802,               0.009802
                      7,                  1.692,                 1.0025,                 1.3918,                0.58644,                0.49396,                0.58776,                0.26881,                 1.7598,                 1.2228,                 1.3554,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.6384,                 0.9399,                 1.3635,                0.57909,                0.48337,                0.54915,                0.24972,                 1.7744,                 1.1761,                  1.333,               0.009703,               0.009703,               0.009703
                      9,                 1.5988,                0.90269,                 1.3418,                0.59799,                0.51183,                0.57438,                0.26912,                 1.7329,                 1.2203,                 1.3231,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.5791,                 0.8791,                 1.3392,                0.54408,                0.65739,                0.64297,                0.28595,                 1.7206,                 1.0771,                 1.3265,               0.009604,               0.009604,               0.009604
                     11,                  1.544,                0.86398,                 1.3135,                0.62186,                0.69466,                0.66169,                0.31891,                 1.6613,                 1.0151,                 1.2967,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.5184,                0.82918,                 1.2985,                0.74705,                0.70174,                0.73427,                0.28689,                 1.9017,                 1.0035,                 1.4006,               0.009505,               0.009505,               0.009505
                     13,                 1.5145,                0.82506,                 1.2985,                0.63322,                0.68605,                0.68829,                0.31214,                 1.6764,                 1.1212,                 1.3006,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.4853,                0.80524,                 1.2818,                0.72997,                0.70324,                0.75731,                0.34455,                 1.6063,                0.93114,                 1.2853,               0.009406,               0.009406,               0.009406
                     15,                 1.4687,                0.79089,                 1.2754,                0.70754,                0.69016,                0.71223,                0.31012,                  1.807,                  1.025,                 1.3227,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.4558,                0.77836,                 1.2665,                0.76035,                0.70022,                0.72196,                  0.333,                 1.6515,                 1.0235,                 1.2921,               0.009307,               0.009307,               0.009307
                     17,                 1.4499,                0.78217,                 1.2726,                0.84893,                0.72508,                0.77157,                0.37201,                 1.6271,                0.91675,                 1.2617,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.4486,                0.76998,                 1.2593,                0.85593,                0.73714,                0.77971,                0.34304,                 1.6129,                  0.856,                 1.2635,               0.009208,               0.009208,               0.009208
                     19,                 1.4202,                0.75593,                 1.2468,                0.81872,                0.71835,                 0.7671,                0.37064,                 1.5642,                0.87197,                 1.2412,              0.0091585,              0.0091585,              0.0091585
                     20,                  1.415,                0.74659,                 1.2484,                0.77391,                0.70174,                0.74527,                0.36446,                  1.571,                0.84598,                 1.2366,               0.009109,               0.009109,               0.009109
                     21,                 1.4064,                0.73923,                 1.2454,                0.76084,                0.71493,                0.74435,                0.31522,                 1.7143,                0.85025,                 1.3118,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.4002,                0.73933,                  1.238,                 0.7708,                0.71311,                0.75571,                0.37153,                 1.5394,                0.81918,                 1.2245,                0.00901,                0.00901,                0.00901
                     23,                 1.3963,                0.72987,                  1.233,                 0.8093,                0.74719,                0.78057,                0.39014,                  1.516,                0.77733,                 1.2318,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.3847,                0.72371,                 1.2339,                0.77281,                0.73747,                0.77237,                0.37888,                 1.5323,                0.81195,                 1.2242,               0.008911,               0.008911,               0.008911
                     25,                 1.3826,                0.72754,                 1.2291,                0.77252,                0.74084,                0.76516,                0.36433,                 1.5217,                0.78242,                 1.2215,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.3761,                0.71352,                 1.2225,                0.85291,                0.75752,                0.81647,                0.38041,                 1.6705,                0.87463,                 1.2501,               0.008812,               0.008812,               0.008812
                     27,                 1.3745,                0.70972,                 1.2156,                0.81643,                 0.7684,                0.80754,                0.39368,                 1.5139,                0.79238,                 1.2139,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.3717,                0.70782,                 1.2283,                0.82107,                0.75856,                0.81646,                0.39964,                 1.4817,                0.79515,                 1.2019,               0.008713,               0.008713,               0.008713
                     29,                 1.3624,                0.71151,                 1.2246,                0.82294,                0.76574,                0.81318,                0.39018,                 1.4994,                0.78934,                 1.2113,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.3564,                0.70315,                  1.221,                0.83394,                 0.7602,                0.82374,                0.40724,                 1.4939,                0.75252,                  1.205,               0.008614,               0.008614,               0.008614
                     31,                 1.3571,                0.70566,                 1.2209,                0.82644,                0.77977,                0.82002,                0.40157,                 1.5008,                0.77548,                 1.2069,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.3612,                0.69978,                 1.2155,                0.82543,                0.70343,                0.78227,                0.39852,                 1.4746,                0.75694,                  1.193,               0.008515,               0.008515,               0.008515
                     33,                 1.3422,                0.69193,                 1.2062,                0.81601,                0.75308,                0.81015,                0.40071,                 1.5191,                0.80487,                 1.2215,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.3387,                0.68959,                 1.2153,                0.82656,                0.75243,                0.80886,                0.41153,                 1.4418,                0.75744,                 1.1895,               0.008416,               0.008416,               0.008416
                     35,                 1.3411,                0.68321,                 1.2093,                0.79141,                0.74244,                0.76017,                0.37246,                 1.4372,                0.73314,                 1.1807,              0.0083665,              0.0083665,              0.0083665
