                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9031,                 4.6937,                 3.5476,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032877,              0.0032877,              0.0032877
                      2,                  2.629,                 2.2821,                 2.0211,                0.78626,                 0.0606,                0.14612,                0.05192,                 2.4141,                 3.0224,                 1.7319,              0.0065882,              0.0065882,              0.0065882
                      3,                 2.3671,                 1.8257,                 1.7401,                 0.5017,                0.28464,                 0.2839,                 0.1378,                 2.1736,                 2.4105,                 1.5392,              0.0098558,              0.0098558,              0.0098558
                      4,                 2.1565,                 1.5253,                  1.571,                0.54763,                0.28456,                0.30158,                 0.1424,                  2.043,                  3.021,                 1.4742,              0.0098515,              0.0098515,              0.0098515
                      5,                  2.004,                 1.2729,                 1.4743,                0.61851,                0.32795,                0.36895,                0.17352,                 2.1607,                 1.7471,                 1.5233,              0.0098515,              0.0098515,              0.0098515
                      6,                  1.919,                 1.1544,                 1.4255,                0.49743,                0.48097,                0.52193,                 0.2411,                 1.8955,                 1.3618,                 1.3542,               0.009802,               0.009802,               0.009802
                      7,                 1.8357,                 1.0679,                 1.3876,                0.80524,                0.47063,                0.52573,                0.24232,                 1.8783,                 1.3986,                  1.354,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.7696,                 1.0052,                 1.3528,                 0.7891,                0.52287,                0.58079,                0.27078,                 1.8386,                 1.0597,                 1.3267,               0.009703,               0.009703,               0.009703
                      9,                 1.7465,                0.97355,                 1.3459,                0.81379,                0.49932,                0.64218,                0.28746,                 1.7755,                 1.0436,                 1.2874,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.7016,                0.93021,                 1.3162,                0.57822,                0.67286,                0.66929,                0.30175,                 1.7529,                0.98742,                 1.2701,               0.009604,               0.009604,               0.009604
                     11,                 1.6817,                0.90993,                 1.3117,                0.62371,                0.65974,                0.67299,                0.32007,                 1.7146,                0.95805,                 1.2573,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.6384,                0.87248,                 1.2862,                0.70852,                0.71768,                 0.7054,                 0.3017,                 1.8233,                0.96343,                 1.2689,               0.009505,               0.009505,               0.009505
                     13,                 1.6275,                0.86479,                  1.282,                0.66896,                0.72323,                0.73838,                0.34385,                  1.657,                0.87854,                 1.2304,              0.0094555,              0.0094555,              0.0094555
