                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0949,                 5.2409,                  3.573,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032941,              0.0032941,              0.0032941
                      2,                 3.0113,                 2.4272,                 2.0713,                0.85404,                 0.1037,                0.16232,                0.04837,                 3.4198,                 5.2484,                 2.0636,               0.006577,               0.006577,               0.006577
                      3,                  2.788,                 2.0278,                 1.8088,                0.86666,                0.11766,                0.16684,                0.06425,                 3.1935,                 8.0013,                 2.0617,              0.0098091,              0.0098091,              0.0098091
                      4,                 2.6243,                 1.7322,                  1.647,                 0.4643,                0.23121,                0.19814,                0.08933,                 2.6834,                 3.4387,                 1.5781,              0.0097715,              0.0097715,              0.0097715
                      5,                 2.4636,                 1.5085,                 1.5446,                0.58586,                0.22183,                0.29371,                0.12025,                  2.775,                 2.9364,                 1.5675,              0.0097715,              0.0097715,              0.0097715
                      6,                 2.3841,                 1.3978,                 1.4924,                0.66221,                 0.4053,                0.44972,                0.19836,                 2.4422,                 1.6638,                 1.4571,              0.0096954,              0.0096954,              0.0096954
                      7,                 2.3109,                 1.3307,                 1.4519,                0.48602,                0.46978,                 0.5252,                0.23335,                 2.3859,                 1.6197,                 1.3923,              0.0096192,              0.0096192,              0.0096192
                      8,                 2.2585,                 1.2842,                  1.426,                0.47933,                0.50354,                0.51978,                0.21494,                 2.5322,                 1.6643,                 1.4347,              0.0095431,              0.0095431,              0.0095431
                      9,                 2.2274,                 1.2426,                 1.4035,                 0.6411,                0.56502,                0.55994,                0.25935,                 2.3871,                 1.6443,                 1.3704,              0.0094669,              0.0094669,              0.0094669
                     10,                 2.2075,                 1.2247,                 1.4037,                0.80332,                0.67865,                0.70759,                0.30386,                  2.312,                 1.3733,                 1.3366,              0.0093908,              0.0093908,              0.0093908
                     11,                 2.1692,                 1.2043,                 1.3694,                 0.7384,                0.65115,                0.69543,                0.29178,                 2.3847,                 1.3734,                 1.3697,              0.0093146,              0.0093146,              0.0093146
                     12,                 2.1391,                 1.1758,                 1.3564,                0.73588,                0.57066,                 0.6597,                0.25176,                 2.5094,                  1.352,                 1.4665,              0.0092385,              0.0092385,              0.0092385
                     13,                 2.1281,                  1.168,                 1.3523,                0.68067,                0.70578,                0.72063,                0.32661,                 2.3108,                 1.2398,                 1.3447,              0.0091623,              0.0091623,              0.0091623
                     14,                 2.0959,                 1.1469,                 1.3346,                0.66823,                 0.6431,                0.66577,                0.29606,                 2.3056,                 1.2344,                 1.3167,              0.0090862,              0.0090862,              0.0090862
                     15,                 2.0844,                 1.1343,                  1.327,                0.78454,                0.62149,                 0.7092,                0.32934,                 2.2367,                 1.4031,                 1.2947,                0.00901,                0.00901,                0.00901
                     16,                 2.0623,                 1.1186,                 1.3137,                0.76539,                  0.691,                0.71593,                 0.3221,                 2.2864,                 1.1687,                 1.3059,              0.0089338,              0.0089338,              0.0089338
                     17,                  2.062,                 1.1238,                 1.3231,                0.76205,                0.69748,                0.76214,                0.35847,                 2.1747,                 1.1612,                  1.264,              0.0088577,              0.0088577,              0.0088577
                     18,                 2.0503,                 1.1013,                 1.3046,                0.75614,                0.71007,                 0.7337,                0.34482,                  2.194,                 1.1642,                  1.264,              0.0087815,              0.0087815,              0.0087815
                     19,                 2.0309,                 1.0914,                 1.2934,                0.77411,                0.70602,                0.74381,                0.33213,                 2.4068,                 1.1883,                 1.3294,              0.0087054,              0.0087054,              0.0087054
                     20,                 2.0218,                 1.0864,                 1.2952,                  0.754,                0.69457,                0.73044,                0.33057,                  2.428,                 1.2368,                 1.3201,              0.0086292,              0.0086292,              0.0086292
                     21,                 2.0179,                 1.0808,                  1.295,                0.78129,                 0.6933,                0.72929,                 0.2984,                 2.3172,                 1.1916,                 1.3116,              0.0085531,              0.0085531,              0.0085531
                     22,                 2.0018,                 1.0754,                 1.2807,                0.80027,                0.68727,                0.75849,                0.38057,                 2.1755,                 1.1272,                 1.2505,              0.0084769,              0.0084769,              0.0084769
                     23,                  1.994,                 1.0686,                 1.2758,                0.82602,                0.74053,                0.80064,                0.39975,                 2.1536,                  1.118,                 1.2587,              0.0084008,              0.0084008,              0.0084008
                     24,                 1.9746,                 1.0553,                 1.2717,                0.81198,                  0.731,                0.78832,                0.36563,                  2.248,                 1.0774,                 1.2779,              0.0083246,              0.0083246,              0.0083246
                     25,                 1.9838,                 1.0653,                 1.2706,                0.79647,                0.73641,                0.77768,                0.36329,                 2.1796,                 1.1046,                  1.261,              0.0082485,              0.0082485,              0.0082485
                     26,                  1.976,                 1.0468,                 1.2662,                0.77336,                0.72245,                 0.7605,                0.36373,                 2.1828,                 1.1316,                 1.2549,              0.0081723,              0.0081723,              0.0081723
                     27,                 1.9698,                 1.0448,                 1.2568,                0.82308,                0.74185,                0.80157,                0.38281,                  2.074,                 1.1016,                 1.2156,              0.0080962,              0.0080962,              0.0080962
                     28,                  1.963,                   1.04,                 1.2664,                0.87057,                0.74105,                0.80261,                0.37693,                  2.153,                  1.103,                 1.2469,                0.00802,                0.00802,                0.00802
                     29,                 1.9553,                 1.0425,                 1.2645,                0.77498,                0.77248,                0.79705,                0.38117,                 2.1621,                 1.0789,                 1.2627,              0.0079438,              0.0079438,              0.0079438
                     30,                 1.9495,                 1.0347,                 1.2603,                0.80425,                0.72153,                0.78266,                0.37058,                 2.1127,                 1.0892,                 1.2378,              0.0078677,              0.0078677,              0.0078677
                     31,                 1.9586,                 1.0525,                 1.2631,                0.84873,                0.73495,                0.81251,                0.38942,                 2.1237,                 1.0678,                 1.2434,              0.0077915,              0.0077915,              0.0077915
                     32,                 1.9521,                 1.0313,                 1.2515,                 0.8481,                0.75115,                0.80741,                0.39304,                 2.0793,                 1.0616,                 1.2109,              0.0077154,              0.0077154,              0.0077154
                     33,                 1.9378,                 1.0226,                  1.245,                 0.8224,                0.73766,                 0.7907,                0.38852,                 2.0793,                 1.0506,                 1.2192,              0.0076392,              0.0076392,              0.0076392
                     34,                 1.9241,                   1.02,                 1.2486,                0.81214,                0.76299,                0.80829,                0.39265,                 2.0972,                 1.0346,                  1.217,              0.0075631,              0.0075631,              0.0075631
                     35,                 1.9299,                 1.0121,                 1.2438,                0.76265,                0.76114,                0.77762,                0.38171,                 2.0722,                 1.0295,                 1.2132,              0.0074869,              0.0074869,              0.0074869
                     36,                 1.9184,                 1.0126,                 1.2412,                0.86304,                0.78706,                0.82547,                0.39654,                 2.0926,                 1.0355,                 1.2368,              0.0074108,              0.0074108,              0.0074108
                     37,                 1.9266,                 1.0154,                 1.2355,                0.87824,                0.77548,                  0.836,                0.42192,                  2.054,                 1.0315,                 1.2101,              0.0073346,              0.0073346,              0.0073346
                     38,                 1.9155,                 1.0147,                 1.2408,                0.85688,                0.74859,                0.80581,                0.38381,                 2.1414,                 1.0379,                 1.2378,              0.0072585,              0.0072585,              0.0072585
