                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8427,                 5.4781,                 3.0875,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032727,              0.0032727,              0.0032727
                      2,                 2.9222,                  1.966,                 1.5892,                 0.8831,                0.13267,                0.16493,                 0.0665,                 2.9058,                 3.4779,                 1.4559,              0.0065734,              0.0065734,              0.0065734
                      3,                 2.5875,                 1.5743,                 1.3798,                0.54389,                 0.2771,                0.27095,                0.10529,                 2.4289,                 2.6186,                 1.1692,               0.009841,               0.009841,               0.009841
                      4,                 2.3376,                 1.3113,                 1.2675,                0.66243,                0.16544,                0.31565,                0.14246,                 2.4864,                    inf,                 1.3194,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1796,                 1.1417,                 1.2037,                0.61964,                0.31866,                0.34636,                0.15148,                 2.2833,                 1.5923,                 1.0826,              0.0098515,              0.0098515,              0.0098515
                      6,                 2.0589,                  1.047,                 1.1649,                0.72781,                0.30708,                0.37457,                0.16473,                 2.1769,                  1.645,                 1.0634,               0.009802,               0.009802,               0.009802
                      7,                 1.9743,                0.97494,                 1.1404,                0.91216,                0.34615,                0.41778,                0.19753,                 2.0467,                 1.3908,                 1.0319,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.9173,                 0.9275,                 1.1203,                0.77648,                0.33172,                0.40429,                0.17611,                 2.1837,                 1.3055,                 1.0345,               0.009703,               0.009703,               0.009703
                      9,                  1.873,                0.90093,                 1.1064,                0.47059,                0.36598,                 0.3985,                0.15635,                 2.3287,                 1.4186,                 1.0668,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.8138,                0.86938,                 1.0909,                0.59325,                0.59147,                0.58254,                0.24976,                 1.9131,                 1.0813,                0.99408,               0.009604,               0.009604,               0.009604
                     11,                 1.7968,                0.84864,                 1.0842,                0.55488,                0.56752,                0.55454,                0.22621,                 2.1295,                 1.0858,                 1.0043,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.7628,                0.82798,                 1.0754,                0.55314,                0.57384,                0.56632,                0.25159,                 1.8943,                 1.0525,                0.98453,               0.009505,               0.009505,               0.009505
                     13,                 1.7414,                0.81694,                 1.0689,                0.68972,                0.56124,                0.61436,                0.27625,                 1.8954,                 1.0472,                0.98365,              0.0094555,              0.0094555,              0.0094555
                     14,                   1.72,                0.80544,                 1.0621,                0.76882,                0.64603,                0.65869,                0.28969,                 1.8564,                0.92165,                0.97446,               0.009406,               0.009406,               0.009406
                     15,                 1.6838,                0.78374,                 1.0563,                0.72946,                0.55746,                 0.6109,                0.26998,                 1.8539,                 1.0628,                0.97365,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.6608,                0.77388,                 1.0476,                0.75403,                0.61715,                0.64538,                0.28159,                  1.937,                0.95321,                 0.9892,               0.009307,               0.009307,               0.009307
                     17,                 1.6542,                0.77012,                 1.0451,                0.72273,                0.64031,                0.65354,                0.28946,                 1.8506,                 0.8725,                0.97024,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.6358,                0.75425,                 1.0397,                0.74009,                0.62968,                0.64099,                0.29215,                 1.7972,                0.87116,                0.96516,               0.009208,               0.009208,               0.009208
                     19,                 1.6344,                0.75694,                 1.0395,                0.74656,                0.64385,                0.67783,                0.29534,                 1.8145,                0.88572,                0.96263,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.6099,                0.74616,                 1.0382,                0.70776,                0.67365,                0.68579,                0.30076,                 1.8122,                0.89201,                 0.9571,               0.009109,               0.009109,               0.009109
                     21,                 1.6083,                0.74431,                 1.0305,                0.73922,                0.67463,                0.67494,                0.29637,                 1.7777,                0.82538,                0.96569,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.5726,                0.72708,                 1.0207,                0.73753,                0.62543,                0.64706,                0.27092,                 1.9648,                0.87928,                0.97376,                0.00901,                0.00901,                0.00901
                     23,                 1.5862,                0.72623,                 1.0278,                0.72101,                  0.676,                0.69228,                0.31963,                 1.7825,                 0.8678,                0.95154,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.5665,                 0.7183,                 1.0234,                0.77533,                0.67476,                0.70412,                0.30981,                 1.8021,                0.82107,                0.95673,               0.008911,               0.008911,               0.008911
                     25,                 1.5563,                0.72136,                 1.0218,                0.78128,                0.65986,                0.69805,                0.31605,                 1.7736,                0.84661,                0.95017,              0.0088615,              0.0088615,              0.0088615
                     26,                  1.557,                0.70929,                 1.0163,                0.71151,                0.64065,                0.70069,                0.31864,                 1.8211,                0.88325,                0.95401,               0.008812,               0.008812,               0.008812
                     27,                 1.5348,                 0.6998,                  1.008,                0.79426,                0.67233,                0.71945,                0.32686,                 1.7867,                0.82959,                0.94922,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.5455,                0.70586,                 1.0166,                 0.7562,                0.65589,                0.69585,                0.32214,                 1.7668,                0.82201,                 0.9464,               0.008713,               0.008713,               0.008713
                     29,                  1.526,                0.69803,                  1.014,                 0.8108,                0.66938,                0.73282,                0.34781,                 1.7339,                0.79677,                0.94101,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.5341,                0.69824,                 1.0088,                0.75679,                0.63398,                0.65891,                0.30294,                 1.8594,                0.84451,                0.95216,               0.008614,               0.008614,               0.008614
                     31,                 1.5159,                0.68961,                 1.0122,                0.77449,                0.66372,                 0.6973,                0.31408,                 1.7675,                0.77432,                0.94423,              0.0085645,              0.0085645,              0.0085645
                     32,                  1.509,                0.69107,                 1.0055,                0.80277,                 0.6801,                0.72318,                0.33069,                 1.7145,                 0.7943,                0.94534,               0.008515,               0.008515,               0.008515
                     33,                 1.5188,                0.69607,                 1.0141,                0.75333,                0.69825,                0.71985,                0.33061,                 1.7483,                0.80198,                0.94157,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.4927,                0.68545,                 1.0079,                0.77268,                0.68819,                0.72421,                 0.3309,                 1.7169,                0.76918,                0.93756,               0.008416,               0.008416,               0.008416
                     35,                 1.4886,                 0.6765,                 1.0049,                0.77257,                0.70345,                0.73311,                0.33612,                 1.7275,                0.78664,                0.93681,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.4896,                 0.6758,                 1.0049,                0.77792,                0.69898,                0.72792,                0.33715,                 1.7254,                0.77805,                0.93806,               0.008317,               0.008317,               0.008317
                     37,                 1.4752,                0.67412,                0.99956,                0.79174,                0.69995,                0.74908,                0.34948,                  1.652,                0.74138,                0.93198,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.4737,                 0.6669,                0.99804,                0.80903,                0.69954,                0.74069,                0.33633,                 1.7321,                0.76442,                0.94603,               0.008218,               0.008218,               0.008218
                     39,                 1.4615,                0.66886,                 0.9997,                0.76929,                0.68111,                0.72369,                 0.3471,                 1.6454,                0.74427,                0.93378,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.4674,                0.66569,                0.99844,                0.75837,                0.67102,                0.72394,                0.33581,                  1.721,                0.75573,                0.93727,               0.008119,               0.008119,               0.008119
                     41,                 1.4659,                0.66279,                0.99642,                0.80215,                0.72156,                0.75079,                0.36152,                 1.6628,                0.74637,                0.93011,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.4609,                0.66059,                0.99619,                0.79958,                0.69628,                0.73069,                0.34969,                 1.6851,                0.73536,                0.93543,                0.00802,                0.00802,                0.00802
                     43,                 1.4595,                 0.6593,                0.99553,                0.76343,                 0.7234,                0.74639,                0.33993,                 1.6859,                0.73884,                0.93541,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.4557,                0.66378,                0.99293,                0.74623,                0.65918,                0.71418,                0.31683,                 1.8394,                0.78103,                  0.945,               0.007921,               0.007921,               0.007921
                     45,                 1.4542,                0.66192,                0.99751,                0.78072,                0.65535,                0.73214,                0.34943,                  1.686,                0.77555,                 0.9347,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.4454,                0.65489,                0.99296,                0.77038,                0.70176,                0.71676,                0.33887,                 1.6965,                0.74598,                0.94103,               0.007822,               0.007822,               0.007822
                     47,                 1.4519,                0.65376,                 0.9925,                0.77904,                0.68707,                0.72356,                0.34533,                  1.673,                0.75598,                0.93702,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.4471,                0.65998,                0.99204,                0.78759,                0.70989,                0.74839,                0.36169,                 1.6845,                0.72321,                0.93524,               0.007723,               0.007723,               0.007723
                     49,                 1.4424,                 0.6536,                0.98982,                0.75568,                0.68449,                0.71717,                0.33882,                 1.7375,                0.73207,                0.94064,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.4294,                0.64622,                0.98839,                0.77781,                0.68645,                0.71362,                0.34475,                 1.7015,                0.73433,                0.93223,               0.007624,               0.007624,               0.007624
                     51,                 1.4206,                0.64539,                0.98439,                0.80438,                0.71093,                0.74541,                0.34994,                 1.7237,                0.73523,                0.93469,              0.0075745,              0.0075745,              0.0075745
                     52,                  1.429,                0.64645,                0.98718,                0.80526,                0.68155,                0.73023,                0.35806,                 1.6495,                0.75235,                0.92859,               0.007525,               0.007525,               0.007525
                     53,                 1.4309,                0.64854,                0.98705,                0.79397,                 0.7052,                0.75047,                0.36188,                 1.6348,                0.73244,                0.92951,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.4249,                0.64493,                0.99097,                 0.7588,                0.65669,                 0.6914,                0.30945,                 1.9074,                0.75946,                0.94825,               0.007426,               0.007426,               0.007426
                     55,                 1.4172,                0.64227,                0.98879,                0.81791,                0.69089,                0.74448,                0.36965,                 1.6452,                0.73475,                0.92784,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.4203,                0.64263,                0.98813,                0.78368,                0.69013,                0.73658,                0.33961,                 1.7771,                0.73598,                0.93504,               0.007327,               0.007327,               0.007327
                     57,                 1.4148,                0.63858,                0.98683,                0.79504,                0.70887,                0.74767,                 0.3702,                 1.6011,                0.70741,                0.92339,              0.0072775,              0.0072775,              0.0072775
                     58,                  1.416,                0.64006,                0.98161,                0.76865,                0.65706,                0.68713,                0.32385,                 1.8083,                0.73155,                0.94145,               0.007228,               0.007228,               0.007228
                     59,                  1.404,                 0.6388,                0.98225,                0.80361,                0.69034,                0.74974,                0.37131,                 1.6117,                 0.7029,                0.92603,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.4055,                0.63612,                0.98307,                0.81036,                0.68942,                  0.733,                0.36316,                 1.6401,                0.71367,                0.92419,               0.007129,               0.007129,               0.007129
                     61,                 1.4067,                0.63753,                0.98445,                0.82551,                0.69531,                0.75436,                0.36077,                 1.6859,                0.71565,                0.92833,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.3833,                0.62771,                0.97592,                0.79101,                0.70421,                0.76193,                0.37098,                 1.6557,                0.71816,                  0.923,                0.00703,                0.00703,                0.00703
                     63,                 1.4084,                0.63744,                0.98618,                0.80232,                0.72286,                0.76362,                0.37263,                 1.6323,                0.70257,                0.92691,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.3932,                0.63717,                 0.9806,                0.77754,                0.70267,                0.74636,                0.36296,                 1.6888,                0.71844,                 0.9309,               0.006931,               0.006931,               0.006931
                     65,                 1.3881,                0.62708,                0.97772,                0.77988,                0.69678,                0.73534,                 0.3469,                 1.7463,                0.71264,                0.93275,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.3962,                0.62799,                0.97893,                0.79145,                 0.7004,                0.74307,                0.36565,                 1.6816,                0.71307,                0.92482,               0.006832,               0.006832,               0.006832
                     67,                  1.386,                0.62842,                0.98129,                 0.7698,                0.70659,                0.75144,                0.34629,                 1.7966,                0.72518,                0.93604,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.3867,                0.62534,                0.97391,                0.79354,                 0.6941,                0.74027,                0.36148,                 1.5929,                0.70172,                0.91985,               0.006733,               0.006733,               0.006733
                     69,                 1.3789,                0.62333,                0.97664,                0.77773,                0.70772,                0.75039,                0.34004,                  1.803,                 0.7281,                 0.9353,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.3821,                0.62455,                0.97798,                0.77244,                0.70353,                0.73093,                0.36061,                 1.6314,                0.69318,                0.92345,               0.006634,               0.006634,               0.006634
                     71,                 1.3646,                0.61711,                0.97209,                0.78664,                0.71663,                0.74678,                0.36497,                 1.6508,                0.69367,                0.92489,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.3767,                0.62376,                0.97821,                0.79985,                0.71086,                0.75711,                0.36598,                 1.6665,                0.70587,                 0.9254,               0.006535,               0.006535,               0.006535
                     73,                 1.3787,                0.62434,                0.97674,                0.74881,                0.70076,                0.73143,                0.35429,                 1.6549,                 0.6974,                0.92563,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.3825,                0.62504,                0.97661,                0.78814,                  0.705,                0.73948,                0.36519,                  1.594,                0.68173,                0.91799,               0.006436,               0.006436,               0.006436
                     75,                 1.3734,                0.61855,                0.97246,                0.79587,                0.69707,                0.75436,                0.37283,                 1.5995,                0.68189,                0.91866,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.3657,                0.62055,                0.97583,                0.81512,                 0.7136,                0.76216,                0.37389,                 1.6078,                0.68546,                0.92106,               0.006337,               0.006337,               0.006337
                     77,                 1.3646,                0.61905,                0.97328,                0.78442,                0.71169,                0.75417,                0.36705,                 1.6249,                 0.6893,                0.91836,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.3675,                0.61985,                0.97916,                0.77547,                0.68733,                 0.7342,                0.35183,                 1.6705,                0.69826,                0.92384,               0.006238,               0.006238,               0.006238
                     79,                 1.3623,                0.61474,                0.97262,                0.80893,                0.72714,                0.76333,                 0.3682,                 1.6287,                0.67176,                0.92017,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.3595,                0.61392,                0.97194,                0.79655,                 0.7126,                0.76608,                0.36247,                 1.7128,                0.69732,                0.92474,               0.006139,               0.006139,               0.006139
                     81,                 1.3614,                0.61775,                0.97555,                0.81621,                 0.7114,                0.75356,                0.37428,                 1.6244,                0.67168,                0.91752,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.3624,                0.61532,                  0.975,                0.79284,                0.71266,                0.76737,                0.36789,                 1.6604,                0.68529,                0.92111,                0.00604,                0.00604,                0.00604
                     83,                   1.35,                0.60773,                0.96819,                0.78958,                0.71331,                0.76517,                0.36596,                 1.6968,                0.69454,                0.92398,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.3637,                0.61821,                0.97068,                0.80431,                 0.7097,                0.76083,                0.36705,                 1.6752,                0.68239,                0.92519,               0.005941,               0.005941,               0.005941
                     85,                 1.3494,                0.60964,                0.97009,                0.79168,                0.70569,                0.74794,                0.34013,                 1.7652,                 0.7031,                0.93165,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.3496,                0.61288,                0.97057,                0.78467,                0.70062,                 0.7616,                0.36249,                 1.6676,                0.68948,                0.92338,               0.005842,               0.005842,               0.005842
                     87,                 1.3407,                0.60867,                0.96732,                0.80533,                 0.7121,                 0.7658,                0.36838,                 1.6568,                0.68001,                0.92063,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.3558,                0.60961,                0.97127,                0.82333,                0.70081,                0.75387,                0.37512,                 1.5867,                0.66539,                0.91603,               0.005743,               0.005743,               0.005743
                     89,                 1.3399,                0.60947,                0.96645,                0.82692,                0.71818,                 0.7734,                0.38559,                 1.5941,                0.66971,                0.91443,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.3437,                0.60842,                0.97092,                0.79322,                  0.709,                 0.7646,                0.35891,                 1.6867,                0.68423,                0.92197,               0.005644,               0.005644,               0.005644
                     91,                 1.3517,                0.60679,                 0.9655,                0.80838,                0.71561,                0.77521,                0.37624,                 1.6203,                 0.6813,                0.91548,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.3382,                0.60614,                0.96921,                0.79782,                0.71602,                0.75817,                0.37574,                 1.5969,                0.66045,                0.91359,               0.005545,               0.005545,               0.005545
                     93,                 1.3449,                0.60724,                0.97028,                0.76746,                0.69907,                0.74484,                0.35319,                 1.6943,                0.68554,                0.92392,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.3336,                0.60401,                0.96277,                0.81442,                0.71237,                0.76722,                0.37085,                 1.6209,                0.67107,                0.91528,               0.005446,               0.005446,               0.005446
                     95,                 1.3416,                0.60856,                0.96937,                0.80117,                0.70516,                0.77415,                0.37777,                 1.6083,                0.67069,                0.91426,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.3364,                0.60357,                0.96847,                0.81101,                 0.7107,                0.76039,                0.37427,                 1.5991,                0.67125,                0.91332,               0.005347,               0.005347,               0.005347
                     97,                 1.3374,                0.61002,                0.97062,                0.78524,                0.69595,                0.75882,                0.35557,                 1.7085,                0.69366,                0.92343,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.3344,                0.60316,                0.96569,                0.80652,                 0.7164,                0.76564,                0.38641,                 1.5552,                0.66232,                0.91149,               0.005248,               0.005248,               0.005248
                     99,                 1.3337,                0.60434,                 0.9599,                0.79931,                0.70924,                0.76629,                0.37302,                 1.6267,                0.67133,                0.91542,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.3186,                0.59724,                0.96012,                0.80142,                0.72374,                0.76569,                0.36902,                  1.669,                0.67469,                0.91827,               0.005149,               0.005149,               0.005149
