                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1704,                  4.175,                 3.5371,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032727,              0.0032727,              0.0032727
                      2,                  2.785,                 2.4976,                  2.216,                0.01391,                0.31745,                0.10264,                0.03176,                 2.8681,                 4.0728,                  2.426,              0.0065734,              0.0065734,              0.0065734
                      3,                 2.5187,                 2.0325,                 1.8957,                0.38694,                0.13814,                0.11108,                0.03869,                 2.8246,                 2.7231,                 2.0472,               0.009841,               0.009841,               0.009841
                      4,                 2.3344,                 1.7057,                 1.7208,                0.54938,                0.24915,                0.28051,                0.13015,                 2.2179,                 2.0356,                 1.5479,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.2098,                 1.4773,                  1.626,                0.56964,                0.28897,                0.26892,                0.11151,                  2.354,                 2.1941,                 1.6306,              0.0098515,              0.0098515,              0.0098515
                      6,                 2.1044,                  1.325,                 1.5617,                0.61705,                0.30559,                0.36167,                0.15627,                 2.1198,                  1.773,                 1.4749,               0.009802,               0.009802,               0.009802
                      7,                 2.0211,                 1.2102,                 1.5138,                0.36816,                0.30337,                0.36922,                 0.1638,                 2.1362,                 2.0092,                 1.4809,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.9473,                 1.1284,                 1.4679,                0.61885,                0.32896,                0.40684,                0.16723,                 2.2022,                 1.4422,                 1.4845,               0.009703,               0.009703,               0.009703
                      9,                 1.8852,                 1.0672,                 1.4341,                0.38527,                0.41233,                0.46564,                0.21761,                 2.0029,                 1.3761,                 1.4153,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.8421,                  1.022,                 1.4105,                0.44637,                0.50573,                0.51645,                0.24335,                 1.9152,                 1.2618,                 1.3636,               0.009604,               0.009604,               0.009604
                     11,                 1.8085,                0.97927,                 1.3946,                0.46841,                0.48271,                 0.5307,                0.23596,                 1.9308,                 1.1963,                 1.3707,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.7748,                0.94305,                 1.3786,                0.49242,                0.52005,                0.54332,                0.24718,                 1.8455,                 1.1393,                 1.3137,               0.009505,               0.009505,               0.009505
                     13,                 1.7468,                0.92461,                 1.3648,                0.53893,                 0.5434,                0.58207,                0.26918,                  1.837,                 1.0584,                 1.3046,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.7229,                0.90166,                 1.3492,                 0.5069,                 0.5882,                0.60532,                0.28182,                 1.7875,                 1.0555,                 1.2928,               0.009406,               0.009406,               0.009406
                     15,                 1.6852,                0.87588,                 1.3387,                0.59973,                0.63024,                0.65573,                0.29749,                 1.8167,                 1.0663,                 1.2908,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.6591,                0.85941,                 1.3193,                0.61655,                0.66293,                0.70684,                0.34097,                 1.7267,                0.99864,                 1.2841,               0.009307,               0.009307,               0.009307
                     17,                 1.6533,                0.84788,                 1.3161,                0.68968,                0.71318,                0.72839,                0.33373,                 1.8255,                0.97949,                 1.2872,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.6344,                0.83408,                 1.3079,                0.79129,                0.68767,                0.73738,                0.32674,                 1.7248,                0.97243,                 1.2662,               0.009208,               0.009208,               0.009208
                     19,                 1.6276,                0.82724,                 1.3015,                0.73286,                0.68834,                0.71914,                0.32397,                 1.8777,                0.96444,                 1.2992,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.6108,                0.81743,                 1.3026,                0.65455,                0.65478,                0.70549,                 0.3245,                 1.7727,                  1.021,                 1.2617,               0.009109,               0.009109,               0.009109
                     21,                 1.6014,                0.81165,                 1.2917,                0.69854,                0.70934,                0.75686,                0.35176,                 1.7178,                0.88109,                 1.2552,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.5733,                0.79231,                 1.2742,                0.78927,                0.70003,                0.75185,                0.35438,                 1.7921,                 0.8925,                 1.2801,                0.00901,                0.00901,                0.00901
                     23,                 1.5805,                  0.789,                 1.2847,                0.71143,                0.64824,                0.68037,                0.33034,                 1.6626,                0.91922,                 1.2391,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.5618,                0.77774,                  1.274,                0.81432,                0.72074,                0.78675,                0.37606,                 1.7426,                0.88887,                 1.2628,               0.008911,               0.008911,               0.008911
                     25,                  1.554,                0.78891,                 1.2678,                0.77343,                0.72355,                0.76698,                0.37725,                 1.6438,                0.86537,                 1.2254,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.5498,                0.76682,                  1.264,                0.74586,                0.64776,                0.73692,                 0.3749,                  1.667,                0.88471,                 1.2388,               0.008812,               0.008812,               0.008812
                     27,                 1.5299,                0.75512,                 1.2497,                0.75792,                0.70628,                0.74308,                0.34554,                 1.7749,                0.91491,                 1.2577,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.5362,                0.76378,                 1.2616,                0.64801,                0.62421,                0.66428,                0.34554,                 1.6375,                0.87156,                 1.2275,               0.008713,               0.008713,               0.008713
                     29,                 1.5245,                0.75079,                 1.2562,                0.74828,                0.71738,                0.77622,                0.38434,                 1.6221,                0.82136,                 1.2193,              0.0086635,              0.0086635,              0.0086635
                     30,                  1.521,                0.74951,                 1.2492,                0.72732,                0.70152,                0.74754,                0.36506,                 1.7093,                0.85735,                  1.223,               0.008614,               0.008614,               0.008614
                     31,                 1.5133,                0.74437,                 1.2519,                0.81802,                0.73672,                0.79368,                0.39586,                 1.6304,                 0.8194,                 1.2202,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.5086,                0.74237,                 1.2467,                0.72004,                0.73617,                 0.7817,                0.38063,                 1.6146,                0.82968,                 1.2183,               0.008515,               0.008515,               0.008515
                     33,                  1.504,                 0.7409,                 1.2508,                0.69078,                0.72953,                0.76428,                0.38277,                 1.5972,                0.81269,                 1.2085,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.4896,                0.73598,                 1.2474,                 0.7946,                0.72188,                0.78061,                0.39701,                  1.716,                0.81053,                 1.2322,               0.008416,               0.008416,               0.008416
                     35,                 1.4867,                0.72393,                 1.2396,                 0.8121,                0.74249,                 0.7828,                0.39587,                 1.6463,                0.80232,                 1.2084,              0.0083665,              0.0083665,              0.0083665
                     36,                  1.482,                 0.7227,                  1.239,                0.81628,                0.74323,                0.78918,                0.40326,                 1.5696,                0.79443,                 1.1968,               0.008317,               0.008317,               0.008317
                     37,                 1.4714,                0.72055,                 1.2309,                0.83193,                0.71924,                0.77562,                0.39375,                 1.6015,                0.80167,                 1.2097,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.4681,                0.71331,                 1.2266,                0.76106,                0.73741,                0.77079,                0.37914,                 1.6099,                 0.7793,                 1.2114,               0.008218,               0.008218,               0.008218
                     39,                 1.4579,                0.71584,                 1.2315,                0.82803,                 0.7401,                0.79928,                0.41148,                 1.5556,                0.75509,                 1.1911,              0.0081685,              0.0081685,              0.0081685
                     40,                  1.462,                0.70847,                 1.2277,                0.79962,                0.72722,                0.78423,                0.39286,                 1.6571,                0.78701,                 1.2134,               0.008119,               0.008119,               0.008119
                     41,                 1.4629,                0.70737,                 1.2271,                0.81634,                0.70953,                0.78702,                0.40451,                  1.574,                0.76544,                 1.2019,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.4545,                0.70286,                 1.2231,                 0.8749,                0.72396,                0.80401,                 0.4145,                 1.5741,                0.76653,                 1.1963,                0.00802,                0.00802,                0.00802
                     43,                 1.4543,                0.70306,                  1.221,                0.81941,                0.74754,                0.80737,                  0.418,                 1.5318,                0.73014,                 1.1822,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.4484,                0.70585,                  1.215,                0.76314,                0.73149,                0.79752,                0.39613,                 1.5619,                0.86878,                 1.1885,               0.007921,               0.007921,               0.007921
                     45,                 1.4493,                0.70067,                 1.2236,                0.76158,                0.69297,                 0.7725,                0.39341,                 1.6899,                0.81596,                 1.2179,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.4391,                0.69491,                 1.2152,                0.76793,                0.72555,                0.77154,                0.39399,                 1.5667,                0.75278,                 1.1921,               0.007822,               0.007822,               0.007822
                     47,                 1.4374,                0.69065,                 1.2129,                0.81887,                 0.7316,                0.78722,                0.38576,                 1.6432,                0.79128,                 1.2255,              0.0077725,              0.0077725,              0.0077725
