                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                 1.2822,                 0.6947,                 1.4854,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   0.01,                   0.01,                   0.01
                    132,                 1.2463,                0.66779,                 1.4635,                0.84873,                0.85617,                0.88049,                 0.4898,                 1.4116,                0.71586,                 1.4121,               0.003565,               0.003565,               0.003565
                    133,                 1.2361,                0.65768,                 1.4609,                0.84862,                0.84524,                0.87841,                0.48954,                 1.4076,                0.72734,                 1.3934,              0.0035155,              0.0035155,              0.0035155
                    134,                 1.2325,                0.65061,                  1.454,                0.85111,                0.85809,                0.87631,                0.47424,                 1.4556,                0.70986,                 1.4141,               0.003466,               0.003466,               0.003466
                    135,                 1.2283,                 0.6457,                 1.4441,                0.85797,                0.85855,                 0.8769,                0.48455,                 1.3992,                0.71083,                 1.3984,              0.0034165,              0.0034165,              0.0034165
                    136,                 1.2245,                0.64096,                 1.4473,                0.84792,                0.84852,                0.87065,                0.48505,                 1.4111,                0.71173,                 1.4083,               0.003367,               0.003367,               0.003367
                    137,                 1.2248,                 0.6401,                 1.4445,                0.83983,                0.87081,                0.88481,                0.49727,                 1.4213,                0.70128,                 1.4067,              0.0033175,              0.0033175,              0.0033175
                    138,                 1.2231,                0.63697,                 1.4454,                0.87507,                0.84439,                0.88726,                0.49626,                 1.4012,                0.71115,                 1.3837,               0.003268,               0.003268,               0.003268
                    139,                 1.2182,                0.63197,                  1.445,                0.85562,                0.84774,                0.88318,                0.49097,                 1.3956,                0.69638,                 1.3884,              0.0032185,              0.0032185,              0.0032185
                    140,                 1.2159,                0.63075,                 1.4414,                0.85942,                0.85143,                 0.8845,                0.48799,                 1.4408,                0.71373,                 1.4043,               0.003169,               0.003169,               0.003169
                    141,                 1.2122,                0.62659,                 1.4431,                0.85995,                0.85745,                0.88612,                 0.4905,                 1.4405,                0.71294,                 1.3991,              0.0031195,              0.0031195,              0.0031195
                    142,                   1.21,                0.62282,                 1.4317,                0.84731,                 0.8486,                 0.8801,                0.48819,                 1.4167,                0.70193,                 1.3896,                0.00307,                0.00307,                0.00307
