                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5565,                 3.2655,                 2.9836,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033181,              0.0033181,              0.0033181
                      2,                 2.4001,                  1.833,                 1.8245,                0.58317,                0.25539,                 0.2869,                0.11404,                 2.5845,                 2.6745,                  1.704,              0.0066185,              0.0066185,              0.0066185
                      3,                 2.1767,                 1.4864,                 1.6159,                0.56853,                0.29825,                0.32536,                0.12232,                 2.5242,                   2.31,                 1.7372,              0.0098859,              0.0098859,              0.0098859
                      4,                 1.9986,                 1.2183,                 1.4974,                 0.6721,                0.37688,                 0.4234,                0.20276,                 2.1336,                 1.5163,                 1.4175,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8837,                 1.0599,                 1.4313,                0.64225,                0.55743,                0.54068,                0.24107,                  2.117,                 1.6075,                  1.414,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.8164,                0.98719,                 1.3934,                0.61903,                0.60144,                0.57804,                0.26734,                 1.9728,                 1.4012,                 1.3426,               0.009802,               0.009802,               0.009802
                      7,                 1.7571,                0.93757,                 1.3648,                0.65319,                0.64664,                0.66412,                0.29918,                 1.9006,                 1.1982,                 1.3154,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.7046,                0.89276,                 1.3408,                0.73226,                0.64829,                0.64478,                0.28107,                 1.9805,                 1.1646,                 1.3321,               0.009703,               0.009703,               0.009703
                      9,                 1.6776,                0.87548,                 1.3292,                0.71555,                0.63466,                0.69746,                0.32212,                 2.0015,                 1.1236,                 1.3581,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.6507,                0.84968,                  1.311,                0.79657,                0.70296,                0.74442,                0.33303,                 1.8807,                 1.0901,                   1.29,               0.009604,               0.009604,               0.009604
                     11,                 1.6171,                0.83658,                 1.2994,                0.77845,                0.67289,                0.73022,                0.34583,                 1.8507,                  1.018,                 1.2852,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.6046,                0.82394,                  1.294,                0.67144,                0.68686,                0.71443,                0.33974,                 1.8293,                0.99157,                 1.2706,               0.009505,               0.009505,               0.009505
                     13,                 1.5862,                0.81375,                 1.2852,                 0.7484,                0.72423,                0.75382,                  0.371,                   1.79,                0.96743,                 1.2513,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.5799,                0.80731,                 1.2796,                0.83014,                0.70669,                0.75977,                0.35002,                 1.8537,                0.97018,                 1.2873,               0.009406,               0.009406,               0.009406
                     15,                 1.5615,                0.79348,                 1.2729,                0.79492,                0.73245,                0.78904,                0.38687,                 1.8281,                 0.9596,                 1.2567,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.5527,                0.78575,                 1.2696,                0.84966,                0.72541,                0.78078,                0.38126,                 1.7611,                0.90523,                 1.2435,               0.009307,               0.009307,               0.009307
                     17,                 1.5346,                0.77534,                  1.261,                0.83207,                0.72022,                0.79439,                0.38956,                 1.7629,                0.88095,                 1.2365,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.5372,                0.77605,                  1.259,                0.85512,                0.75718,                0.81563,                0.40154,                 1.7439,                0.89919,                 1.2369,               0.009208,               0.009208,               0.009208
                     19,                 1.5099,                0.75622,                 1.2474,                0.84039,                 0.7555,                0.80539,                0.39901,                 1.7511,                0.88672,                 1.2334,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.5143,                0.75809,                 1.2486,                0.84765,                  0.729,                0.79166,                0.39782,                  1.737,                0.89748,                 1.2282,               0.009109,               0.009109,               0.009109
                     21,                 1.5009,                0.74871,                 1.2431,                0.82376,                0.76035,                0.81166,                0.40812,                 1.6997,                0.86566,                 1.2123,              0.0090595,              0.0090595,              0.0090595
                     22,                  1.495,                0.74744,                 1.2358,                 0.8367,                0.75005,                0.80677,                0.40732,                  1.727,                0.85322,                 1.2194,                0.00901,                0.00901,                0.00901
                     23,                 1.4817,                0.74368,                 1.2314,                0.82675,                0.75089,                0.81241,                0.41947,                 1.6844,                0.84298,                 1.2049,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.4828,                0.73819,                 1.2363,                0.86072,                0.79232,                0.84118,                0.43429,                 1.6631,                0.81931,                 1.1969,               0.008911,               0.008911,               0.008911
                     25,                 1.4742,                0.73314,                 1.2294,                0.80247,                0.76669,                0.80215,                 0.4023,                 1.7038,                0.81164,                 1.2096,              0.0088615,              0.0088615,              0.0088615
                     26,                  1.467,                0.73184,                 1.2298,                0.87596,                0.77922,                0.83348,                0.43141,                 1.6377,                0.79273,                 1.1895,               0.008812,               0.008812,               0.008812
                     27,                 1.4624,                 0.7229,                 1.2208,                0.82124,                0.75964,                0.82271,                0.41808,                  1.695,                0.79864,                 1.2068,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.4578,                0.72417,                 1.2253,                0.85473,                0.75384,                 0.8302,                0.42984,                 1.6671,                0.81283,                 1.1882,               0.008713,               0.008713,               0.008713
                     29,                 1.4581,                0.72826,                 1.2259,                0.87786,                 0.7606,                0.83849,                0.43665,                 1.6251,                0.79844,                 1.1789,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.4542,                0.72352,                 1.2193,                0.79582,                0.78163,                 0.8238,                0.42303,                 1.6214,                0.78168,                 1.1745,               0.008614,               0.008614,               0.008614
                     31,                 1.4405,                0.71881,                 1.2137,                0.82689,                0.77701,                0.81987,                0.42156,                 1.6223,                  0.782,                 1.1742,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.4359,                 0.7055,                 1.2115,                0.84691,                0.77476,                0.83705,                 0.4299,                 1.6279,                0.77831,                 1.1771,               0.008515,               0.008515,               0.008515
                     33,                 1.4408,                0.71373,                 1.2146,                  0.853,                0.79195,                  0.847,                0.43844,                 1.6244,                0.77897,                 1.1772,              0.0084655,              0.0084655,              0.0084655
                     34,                  1.423,                0.70519,                 1.2094,                 0.8823,                0.79183,                0.84892,                0.43542,                 1.6061,                0.77128,                 1.1686,               0.008416,               0.008416,               0.008416
                     35,                 1.4278,                0.70598,                 1.2116,                0.85063,                0.78887,                0.83628,                0.43471,                  1.592,                0.78767,                 1.1645,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.4239,                0.70178,                 1.2056,                0.86064,                0.78235,                  0.844,                0.44733,                    1.6,                0.76351,                 1.1712,               0.008317,               0.008317,               0.008317
                     37,                 1.4203,                0.69833,                 1.2067,                0.86946,                0.79273,                0.84945,                0.44575,                 1.5914,                 0.7591,                  1.165,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.4181,                0.69707,                 1.1993,                0.88098,                0.77862,                0.85101,                0.44383,                 1.5847,                0.75504,                 1.1624,               0.008218,               0.008218,               0.008218
                     39,                 1.4074,                0.69312,                 1.1985,                0.86272,                0.80064,                0.85116,                0.44319,                 1.5909,                0.74431,                 1.1662,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.4082,                0.69313,                 1.2007,                0.87354,                0.80729,                0.86265,                 0.4563,                 1.5837,                0.73811,                 1.1624,               0.008119,               0.008119,               0.008119
                     41,                 1.4169,                0.69676,                 1.2073,                0.87914,                0.80177,                0.86265,                0.45573,                 1.5586,                0.74572,                 1.1525,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.4072,                0.69038,                 1.1985,                0.88832,                0.80721,                0.87123,                 0.4569,                 1.5709,                0.74273,                 1.1556,                0.00802,                0.00802,                0.00802
                     43,                 1.3983,                0.68596,                 1.1922,                0.86562,                0.82191,                0.86307,                0.45625,                 1.5646,                0.72877,                 1.1541,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.4096,                0.69258,                 1.1999,                0.88003,                0.81167,                0.86766,                0.45853,                 1.5678,                0.73486,                 1.1527,               0.007921,               0.007921,               0.007921
                     45,                  1.396,                0.68345,                 1.1958,                0.87554,                0.81321,                0.87018,                 0.4583,                 1.5458,                0.73235,                 1.1464,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.3951,                0.67965,                 1.1904,                0.86704,                0.81807,                0.85888,                0.45034,                 1.5495,                0.72689,                 1.1468,               0.007822,               0.007822,               0.007822
                     47,                 1.3926,                0.67946,                 1.1911,                0.85191,                0.81888,                0.85315,                0.45027,                 1.5526,                0.72981,                 1.1477,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.3896,                0.68258,                 1.1893,                0.86379,                0.80414,                0.85169,                0.45483,                 1.5452,                0.72716,                  1.146,               0.007723,               0.007723,               0.007723
                     49,                  1.388,                0.67787,                  1.187,                0.86799,                0.79884,                0.85658,                0.45221,                 1.5458,                0.72986,                 1.1466,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.3872,                0.67764,                 1.1891,                0.86912,                0.79682,                0.85314,                0.45408,                 1.5421,                0.73297,                 1.1465,               0.007624,               0.007624,               0.007624
                     51,                 1.3863,                0.67834,                 1.1891,                0.87517,                 0.7992,                0.85929,                0.45493,                 1.5478,                0.73267,                 1.1473,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.3753,                0.67178,                 1.1786,                0.87877,                0.80465,                0.86396,                0.45313,                 1.5478,                 0.7328,                 1.1476,               0.007525,               0.007525,               0.007525
                     53,                 1.3786,                 0.6719,                  1.186,                0.86287,                0.81358,                0.86076,                0.45491,                 1.5435,                0.73464,                 1.1461,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.3795,                0.67373,                  1.186,                0.86004,                0.81998,                0.86183,                0.46001,                 1.5405,                0.72856,                 1.1433,               0.007426,               0.007426,               0.007426
                     55,                 1.3754,                0.67016,                 1.1847,                0.86446,                0.82103,                  0.865,                0.45948,                 1.5423,                0.72522,                 1.1434,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.3766,                0.67227,                 1.1846,                0.86821,                0.81949,                0.86414,                0.45687,                 1.5443,                0.72942,                 1.1448,               0.007327,               0.007327,               0.007327
                     57,                 1.3709,                0.67104,                 1.1828,                0.87241,                 0.8187,                0.86688,                0.46119,                 1.5438,                0.72757,                 1.1445,              0.0072775,              0.0072775,              0.0072775
