                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2308,                 4.2652,                 3.6795,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032727,              0.0032727,              0.0032727
                      2,                 2.7274,                 2.3643,                 2.1429,                0.00659,                0.15311,                0.02389,                0.00626,                 4.3707,                 5.9689,                 2.7968,              0.0065734,              0.0065734,              0.0065734
                      3,                 2.4433,                 1.9344,                 1.8319,                0.46755,                0.14927,                0.15953,                0.05565,                 2.5848,                  2.633,                  1.831,               0.009841,               0.009841,               0.009841
                      4,                 2.2477,                  1.618,                 1.6668,                0.29293,                0.10714,                0.03609,                0.01576,                 2.5874,                 3.5261,                 1.8343,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.0971,                  1.373,                 1.5594,                0.39748,                 0.3655,                0.37728,                0.16929,                 2.1758,                 1.8576,                  1.528,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.9893,                 1.2213,                 1.4996,                 0.4453,                0.33891,                0.40899,                0.17479,                 2.1704,                 1.6354,                 1.5376,               0.009802,               0.009802,               0.009802
                      7,                 1.9082,                 1.1084,                 1.4525,                0.53744,                 0.4516,                0.49075,                0.21613,                 1.9735,                 1.3162,                 1.4262,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.8368,                 1.0371,                 1.4114,                0.60974,                0.46888,                0.52879,                0.24031,                 1.8416,                 1.2795,                   1.35,               0.009703,               0.009703,               0.009703
                      9,                 1.7919,                0.98768,                 1.3858,                0.61653,                0.46937,                0.55557,                0.26353,                 1.8841,                 1.2024,                 1.3685,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.7486,                 0.9537,                 1.3639,                0.61209,                 0.6129,                0.60562,                0.25277,                 1.9129,                 1.0783,                 1.3765,               0.009604,               0.009604,               0.009604
                     11,                 1.7247,                0.91808,                 1.3526,                0.86391,                0.49305,                0.61219,                0.25495,                 1.9634,                 1.0611,                 1.3871,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.6946,                0.89379,                 1.3377,                0.57057,                0.62747,                0.68498,                0.29959,                 1.7885,                0.96874,                 1.3177,               0.009505,               0.009505,               0.009505
                     13,                 1.6665,                0.87298,                 1.3247,                0.56316,                0.62335,                0.65534,                0.28213,                 1.8863,                0.92026,                 1.3367,              0.0094555,              0.0094555,              0.0094555
                     14,                  1.649,                 0.8572,                 1.3123,                0.71253,                0.69255,                0.71114,                0.31895,                 1.7606,                0.91974,                 1.2816,               0.009406,               0.009406,               0.009406
                     15,                 1.6183,                0.83231,                  1.306,                 0.6262,                0.67838,                0.71164,                0.32159,                 1.7221,                0.91045,                 1.2661,              0.0093565,              0.0093565,              0.0093565
