                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                 1.2673,                0.63772,                 1.1815,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   0.01,                   0.01,                   0.01
                    132,                 1.2459,                0.61292,                 1.1686,                 0.8856,                0.82412,                0.86762,                0.47621,                 1.4014,                0.65781,                 1.1244,              0.0044043,              0.0044043,              0.0044043
                    133,                 1.2397,                0.60605,                 1.1643,                0.89965,                0.82798,                0.87865,                0.47338,                  1.417,                0.67508,                 1.1301,              0.0043613,              0.0043613,              0.0043613
                    134,                 1.2229,                0.59713,                 1.1581,                0.88752,                0.82982,                0.87273,                0.46945,                 1.4594,                0.66013,                 1.1391,              0.0043183,              0.0043183,              0.0043183
                    135,                 1.2274,                0.60008,                 1.1569,                0.88167,                0.83694,                0.88082,                0.48029,                 1.4185,                 0.6593,                  1.128,              0.0042752,              0.0042752,              0.0042752
                    136,                 1.2195,                 0.5974,                 1.1542,                0.89782,                0.82745,                0.89532,                0.48188,                 1.4094,                0.65694,                 1.1261,              0.0042322,              0.0042322,              0.0042322
                    137,                 1.2215,                 0.5928,                 1.1582,                0.87607,                0.82356,                0.86795,                0.47321,                 1.3833,                0.64653,                  1.118,              0.0041891,              0.0041891,              0.0041891
                    138,                 1.2134,                0.58716,                 1.1631,                0.92252,                0.81428,                0.88563,                0.48268,                 1.4029,                0.64837,                 1.1187,              0.0041461,              0.0041461,              0.0041461
                    139,                 1.2164,                0.59295,                 1.1527,                0.89908,                0.82581,                0.87987,                0.48097,                  1.391,                0.63388,                 1.1201,               0.004103,               0.004103,               0.004103
                    140,                 1.2076,                0.58096,                 1.1479,                0.88488,                0.80644,                0.87212,                0.47744,                 1.4201,                0.64347,                 1.1395,                0.00406,                0.00406,                0.00406
                    141,                 1.2107,                0.59279,                 1.1513,                0.88486,                0.83603,                 0.8804,                0.48528,                 1.4194,                0.64896,                 1.1312,               0.004017,               0.004017,               0.004017
                    142,                 1.1964,                0.57567,                 1.1444,                0.89134,                0.82748,                0.88457,                0.49125,                  1.374,                 0.6382,                 1.1153,              0.0039739,              0.0039739,              0.0039739
                    143,                 1.1995,                0.58062,                 1.1393,                0.88035,                0.84401,                0.89085,                0.48887,                 1.3886,                0.63932,                 1.1168,              0.0039309,              0.0039309,              0.0039309
                    144,                 1.1996,                0.57959,                 1.1437,                0.88807,                 0.8429,                0.88213,                0.49168,                 1.3622,                0.61806,                 1.1129,              0.0038878,              0.0038878,              0.0038878
                    145,                 1.1971,                0.57305,                   1.14,                0.89269,                0.83476,                0.88707,                0.48995,                 1.3598,                0.61621,                 1.1107,              0.0038448,              0.0038448,              0.0038448
                    146,                 1.1987,                0.57642,                 1.1395,                0.90815,                0.83095,                 0.8891,                0.49181,                 1.3764,                0.62616,                 1.1143,              0.0038017,              0.0038017,              0.0038017
                    147,                 1.1975,                0.59845,                 1.1503,                0.89099,                0.83418,                0.88148,                0.48534,                 1.3654,                0.62447,                 1.1081,              0.0037587,              0.0037587,              0.0037587
                    148,                 1.1878,                0.57299,                 1.1408,                0.91566,                0.82368,                0.89088,                0.49023,                 1.3922,                 0.6274,                 1.1178,              0.0037157,              0.0037157,              0.0037157
                    149,                 1.1889,                0.57163,                 1.1396,                0.87962,                0.83882,                0.88899,                  0.492,                 1.3767,                0.62443,                 1.1149,              0.0036726,              0.0036726,              0.0036726
                    150,                 1.1844,                0.56724,                 1.1394,                0.89342,                0.84922,                0.89275,                0.49111,                  1.364,                0.62606,                 1.1117,              0.0036296,              0.0036296,              0.0036296
                    151,                 1.1869,                0.56811,                 1.1387,                 0.8936,                0.83316,                0.88156,                 0.4766,                 1.3948,                0.62597,                 1.1173,              0.0035865,              0.0035865,              0.0035865
                    152,                 1.1906,                0.57117,                 1.1319,                0.89479,                0.84749,                0.89895,                0.49904,                   1.36,                   0.62,                 1.1099,              0.0035435,              0.0035435,              0.0035435
                    153,                 1.1857,                0.56507,                 1.1392,                0.90187,                0.83214,                0.89276,                0.49462,                 1.3767,                0.62634,                 1.1143,              0.0035004,              0.0035004,              0.0035004
                    154,                 1.1744,                 0.5611,                 1.1341,                0.91149,                0.83976,                0.89512,                0.49903,                 1.3635,                0.61811,                  1.102,              0.0034574,              0.0034574,              0.0034574
                    155,                 1.1802,                0.56229,                 1.1319,                0.90217,                0.85471,                0.89567,                0.49858,                 1.3594,                0.62182,                 1.1044,              0.0034143,              0.0034143,              0.0034143
                    156,                 1.1764,                0.56263,                 1.1293,                0.91957,                0.82365,                0.89423,                0.49719,                 1.3474,                0.61159,                 1.0991,              0.0033713,              0.0033713,              0.0033713
                    157,                 1.1725,                0.56634,                 1.1367,                0.89387,                0.84237,                0.89177,                0.49233,                 1.3448,                0.61046,                 1.0982,              0.0033283,              0.0033283,              0.0033283
                    158,                 1.1701,                0.55992,                 1.1284,                0.91366,                0.82632,                0.89157,                0.49189,                 1.3492,                0.61097,                    1.1,              0.0032852,              0.0032852,              0.0032852
                    159,                 1.1778,                0.56307,                 1.1338,                0.92296,                0.81888,                0.89426,                0.50076,                 1.3449,                0.61579,                 1.0986,              0.0032422,              0.0032422,              0.0032422
                    160,                 1.1695,                0.55994,                 1.1255,                 0.9019,                0.83821,                0.89771,                0.50012,                 1.3717,                0.62041,                 1.1086,              0.0031991,              0.0031991,              0.0031991
                    161,                 1.1726,                0.56049,                 1.1236,                0.91387,                0.83877,                0.89332,                0.49444,                 1.3525,                0.62082,                 1.1036,              0.0031561,              0.0031561,              0.0031561
                    162,                 1.1715,                0.56659,                 1.1275,                0.91247,                0.83235,                0.89526,                0.49973,                 1.3468,                0.62433,                 1.1025,               0.003113,               0.003113,               0.003113
                    163,                 1.1778,                0.56358,                 1.1299,                0.90503,                0.84892,                0.89327,                0.49717,                 1.3479,                0.61109,                 1.0998,                0.00307,                0.00307,                0.00307
                    164,                 1.1692,                0.56026,                 1.1269,                 0.9002,                0.84187,                0.89196,                0.49704,                 1.3492,                0.61718,                 1.1014,               0.003027,               0.003027,               0.003027
                    165,                 1.1676,                0.55958,                 1.1259,                0.91634,                0.84837,                0.89765,                0.49904,                 1.3476,                0.62056,                  1.099,              0.0029839,              0.0029839,              0.0029839
                    166,                  1.165,                0.56289,                 1.1241,                 0.9015,                0.84358,                0.89009,                0.49446,                 1.3575,                0.62713,                 1.1017,              0.0029409,              0.0029409,              0.0029409
                    167,                 1.1577,                 0.5543,                  1.118,                0.90658,                0.84068,                0.88921,                0.49621,                 1.3421,                0.61446,                 1.0946,              0.0028978,              0.0028978,              0.0028978
                    168,                 1.1593,                0.55636,                 1.1225,                0.89362,                0.84725,                0.88997,                0.50116,                  1.331,                0.61597,                 1.0932,              0.0028548,              0.0028548,              0.0028548
                    169,                 1.1586,                0.55861,                 1.1211,                0.89508,                0.85642,                0.89688,                0.49419,                 1.3518,                0.62604,                 1.0998,              0.0028117,              0.0028117,              0.0028117
                    170,                 1.1561,                0.55392,                 1.1154,                0.91615,                0.83344,                0.89022,                0.49878,                 1.3347,                0.61491,                 1.0924,              0.0027687,              0.0027687,              0.0027687
                    171,                  1.164,                0.55852,                 1.1209,                0.89948,                0.84645,                 0.8915,                0.48889,                 1.3589,                0.61673,                 1.1048,              0.0027257,              0.0027257,              0.0027257
                    172,                 1.1474,                 0.5503,                 1.1144,                0.89568,                0.84702,                0.88956,                0.49319,                 1.3406,                0.60966,                 1.0977,              0.0026826,              0.0026826,              0.0026826
                    173,                 1.1619,                0.55351,                 1.1194,                0.89632,                0.85494,                0.89674,                0.50075,                 1.3471,                0.61651,                 1.1007,              0.0026396,              0.0026396,              0.0026396
                    174,                 1.1534,                 0.5512,                 1.1201,                0.91068,                0.84088,                0.89318,                0.50184,                 1.3409,                0.60866,                 1.0963,              0.0025965,              0.0025965,              0.0025965
                    175,                 1.1508,                0.55311,                 1.1234,                0.89696,                0.85591,                0.89346,                0.50001,                 1.3301,                0.61001,                 1.0908,              0.0025535,              0.0025535,              0.0025535
                    176,                 1.1479,                0.55709,                 1.1176,                0.92166,                0.83256,                0.89828,                0.50083,                 1.3243,                0.61712,                 1.0892,              0.0025104,              0.0025104,              0.0025104
                    177,                 1.1521,                0.55328,                 1.1128,                0.91384,                0.83833,                 0.8991,                0.49714,                 1.3382,                0.61937,                 1.0915,              0.0024674,              0.0024674,              0.0024674
                    178,                 1.1514,                  0.552,                 1.1134,                0.90802,                0.84228,                0.88989,                0.49936,                 1.3183,                0.60958,                 1.0884,              0.0024243,              0.0024243,              0.0024243
                    179,                 1.1393,                0.54665,                 1.1136,                 0.9146,                0.84744,                0.90054,                0.50342,                 1.3134,                0.60306,                 1.0844,              0.0023813,              0.0023813,              0.0023813
                    180,                 1.1511,                0.55012,                 1.1134,                 0.9037,                 0.8544,                0.89689,                0.49852,                 1.3309,                0.61068,                 1.0922,              0.0023383,              0.0023383,              0.0023383
                    181,                 1.1499,                0.55258,                 1.1265,                0.89849,                0.84768,                0.89675,                0.50618,                 1.3163,                0.60888,                 1.0866,              0.0022952,              0.0022952,              0.0022952
                    182,                 1.1337,                0.55092,                 1.1061,                0.88701,                 0.8546,                0.89542,                0.50192,                 1.3163,                 0.6184,                 1.0895,              0.0022522,              0.0022522,              0.0022522
                    183,                 1.1367,                 0.5456,                  1.105,                0.90743,                0.84946,                0.89586,                0.50044,                 1.3217,                0.60763,                 1.0892,              0.0022091,              0.0022091,              0.0022091
                    184,                 1.1355,                0.54714,                 1.1055,                  0.904,                0.85063,                0.89673,                0.50154,                 1.3168,                0.60697,                 1.0848,              0.0021661,              0.0021661,              0.0021661
                    185,                 1.1303,                0.54359,                 1.1081,                0.89929,                0.85469,                0.89486,                 0.5037,                 1.3223,                  0.614,                 1.0879,               0.002123,               0.002123,               0.002123
                    186,                 1.1381,                0.54704,                 1.1075,                0.90812,                 0.8625,                0.90261,                0.50663,                 1.3204,                0.61689,                 1.0878,                0.00208,                0.00208,                0.00208
                    187,                 1.1367,                0.56377,                 1.1108,                0.90902,                0.85028,                0.90023,                0.50283,                 1.3229,                 0.6083,                   1.09,               0.002037,               0.002037,               0.002037
                    188,                 1.1248,                0.54112,                 1.1062,                0.90537,                0.86057,                0.89702,                0.50483,                 1.3157,                0.60472,                 1.0851,              0.0019939,              0.0019939,              0.0019939
                    189,                 1.1279,                0.54557,                 1.1054,                0.90488,                0.85206,                0.89672,                0.50447,                 1.3089,                 0.6061,                 1.0839,              0.0019509,              0.0019509,              0.0019509
                    190,                 1.1264,                0.54268,                 1.1068,                 0.8947,                0.86322,                0.89801,                0.50851,                 1.3052,                0.60211,                 1.0809,              0.0019078,              0.0019078,              0.0019078
                    191,                 1.1222,                0.54307,                 1.1058,                0.90126,                0.86618,                0.90049,                0.50503,                 1.3124,                0.60403,                  1.085,              0.0018648,              0.0018648,              0.0018648
                    192,                 1.1265,                 0.5405,                 1.1008,                0.90281,                0.86803,                0.89885,                0.50543,                 1.3111,                0.60317,                 1.0844,              0.0018217,              0.0018217,              0.0018217
                    193,                 1.1237,                 0.5404,                 1.1049,                0.89781,                0.86453,                0.89952,                0.50937,                 1.3077,                0.60244,                 1.0813,              0.0017787,              0.0017787,              0.0017787
                    194,                 1.1182,                0.54116,                 1.0999,                 0.9047,                0.86497,                0.90453,                0.50979,                 1.3054,                0.60364,                 1.0839,              0.0017357,              0.0017357,              0.0017357
                    195,                 1.1225,                0.53691,                 1.1076,                0.91102,                0.85956,                0.89745,                0.50681,                 1.3027,                 0.6005,                 1.0822,              0.0016926,              0.0016926,              0.0016926
                    196,                  1.122,                0.54077,                  1.096,                0.90828,                0.85609,                0.89705,                0.50441,                 1.3062,                0.59887,                 1.0828,              0.0016496,              0.0016496,              0.0016496
                    197,                 1.1121,                0.53533,                 1.1006,                0.91379,                0.84944,                0.90022,                 0.5085,                 1.3001,                0.59663,                 1.0807,              0.0016065,              0.0016065,              0.0016065
                    198,                  1.109,                0.53479,                  1.092,                0.89551,                0.85484,                 0.8969,                0.50363,                 1.3076,                0.60256,                  1.082,              0.0015635,              0.0015635,              0.0015635
                    199,                 1.1064,                0.53427,                 1.0958,                0.91024,                0.84543,                0.89808,                0.50762,                 1.3023,                0.60133,                 1.0814,              0.0015204,              0.0015204,              0.0015204
                    200,                 1.1069,                0.53473,                  1.095,                    0.9,                 0.8623,                0.90015,                0.51024,                 1.3024,                 0.5976,                  1.081,              0.0014774,              0.0014774,              0.0014774
                    201,                 1.1312,                0.54754,                 1.1022,                 0.8971,                0.85391,                0.89792,                 0.5095,                 1.3048,                0.60506,                 1.0828,              0.0014343,              0.0014343,              0.0014343
                    202,                 1.0996,                0.53649,                 1.0882,                0.90425,                0.85443,                0.89706,                0.50782,                 1.3099,                0.59978,                 1.0845,              0.0013913,              0.0013913,              0.0013913
                    203,                  1.105,                0.53312,                 1.0928,                0.90015,                0.85555,                0.89803,                0.50728,                  1.308,                0.60307,                 1.0828,              0.0013483,              0.0013483,              0.0013483
                    204,                 1.1043,                0.53484,                 1.0932,                 0.9025,                0.85656,                0.90081,                0.50978,                 1.2988,                0.59801,                 1.0808,              0.0013052,              0.0013052,              0.0013052
                    205,                 1.1066,                0.53463,                 1.0944,                0.90053,                0.86109,                0.89795,                0.50895,                 1.3039,                0.59703,                 1.0825,              0.0012622,              0.0012622,              0.0012622
                    206,                 1.1005,                0.53218,                 1.0874,                0.90474,                0.85717,                0.90092,                 0.5101,                 1.2977,                0.60164,                 1.0789,              0.0012191,              0.0012191,              0.0012191
                    207,                 1.1063,                0.54897,                 1.0968,                0.90177,                0.86076,                 0.9013,                0.51066,                 1.2939,                0.59658,                 1.0774,              0.0011761,              0.0011761,              0.0011761
                    208,                 1.0984,                0.53231,                 1.0889,                0.90485,                0.86199,                0.90333,                0.50785,                 1.3027,                    0.6,                 1.0797,               0.001133,               0.001133,               0.001133
                    209,                 1.1148,                0.54138,                 1.0936,                0.90464,                0.85772,                0.90196,                0.51067,                 1.2964,                0.60243,                 1.0754,                0.00109,                0.00109,                0.00109
                    210,                 1.1045,                0.54258,                 1.0891,                0.90627,                0.85863,                0.90162,                0.51027,                 1.2997,                0.60184,                 1.0776,               0.001047,               0.001047,               0.001047
                    211,                 1.0995,                0.53199,                 1.0844,                0.90433,                0.85692,                0.90035,                 0.5085,                 1.3017,                0.60272,                 1.0803,              0.0010039,              0.0010039,              0.0010039
                    212,                 1.0892,                0.52893,                 1.0904,                0.90542,                0.85855,                0.89944,                0.50961,                 1.2968,                0.60039,                 1.0792,             0.00096087,             0.00096087,             0.00096087
                    213,                 1.0959,                0.53607,                   1.09,                0.91164,                0.85767,                 0.9012,                0.50813,                 1.2989,                0.59867,                 1.0777,             0.00091783,             0.00091783,             0.00091783
                    214,                 1.1008,                  0.532,                 1.0905,                0.90832,                 0.8535,                0.89812,                0.50898,                 1.3006,                0.59836,                 1.0775,             0.00087478,             0.00087478,             0.00087478
                    215,                  1.085,                0.52886,                 1.0861,                0.90815,                0.84869,                0.89745,                 0.5098,                 1.2952,                0.59685,                 1.0768,             0.00083174,             0.00083174,             0.00083174
                    216,                 1.0967,                0.53723,                 1.0892,                 0.9094,                0.85514,                0.89909,                0.51061,                  1.291,                0.59803,                 1.0761,              0.0007887,              0.0007887,              0.0007887
                    217,                 1.1026,                0.53734,                 1.0961,                0.90903,                0.85975,                0.89991,                0.51087,                 1.2956,                0.59807,                 1.0784,             0.00074565,             0.00074565,             0.00074565
                    218,                   1.09,                0.52837,                 1.0875,                 0.9096,                0.85794,                0.89961,                0.51064,                 1.2937,                0.59556,                  1.077,             0.00070261,             0.00070261,             0.00070261
                    219,                 1.1003,                0.52967,                 1.0888,                0.90948,                0.85998,                0.90023,                0.51329,                 1.2914,                0.59328,                 1.0751,             0.00065957,             0.00065957,             0.00065957
                    220,                 1.0897,                0.52743,                 1.0826,                0.90773,                0.85852,                 0.9016,                0.51162,                 1.2933,                0.59674,                 1.0758,             0.00061652,             0.00061652,             0.00061652
                    221,                   1.08,                0.52714,                 1.0806,                0.90281,                0.85736,                0.89887,                0.51095,                 1.2931,                 0.5983,                 1.0757,             0.00057348,             0.00057348,             0.00057348
                    222,                 1.0849,                0.52832,                 1.0816,                0.90612,                0.85426,                0.89885,                0.51105,                 1.2919,                0.59886,                 1.0749,             0.00053043,             0.00053043,             0.00053043
                    223,                 1.0809,                0.52388,                 1.0829,                0.90428,                 0.8577,                 0.9002,                  0.513,                 1.2905,                0.59777,                 1.0744,             0.00048739,             0.00048739,             0.00048739
                    224,                 1.0835,                0.53545,                 1.0834,                0.90384,                 0.8582,                0.89991,                0.51335,                  1.291,                0.59691,                 1.0753,             0.00044435,             0.00044435,             0.00044435
                    225,                 1.0807,                0.52549,                 1.0815,                0.90655,                0.85002,                0.89938,                0.51189,                 1.2893,                0.59801,                 1.0756,              0.0004013,              0.0004013,              0.0004013
                    226,                 1.0794,                0.52539,                 1.0815,                0.90698,                0.85209,                0.89931,                0.51306,                 1.2905,                0.59748,                 1.0751,             0.00035826,             0.00035826,             0.00035826
                    227,                 1.0725,                0.52376,                 1.0807,                0.90579,                0.85178,                0.89829,                0.51219,                 1.2908,                0.59707,                 1.0755,             0.00031522,             0.00031522,             0.00031522
                    228,                 1.0756,                0.52397,                 1.0794,                0.90407,                0.85659,                0.89935,                0.51046,                 1.2906,                0.59664,                 1.0749,             0.00027217,             0.00027217,             0.00027217
                    229,                 1.0746,                0.52255,                 1.0838,                0.90718,                0.85467,                0.89822,                0.51105,                 1.2913,                0.59641,                 1.0749,             0.00022913,             0.00022913,             0.00022913
                    230,                 1.0671,                0.52064,                  1.077,                0.90629,                0.85584,                0.89958,                0.51167,                 1.2893,                0.59617,                 1.0747,             0.00018609,             0.00018609,             0.00018609
