                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3169,                 3.0231,                 2.7271,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033278,              0.0033278,              0.0033278
                      2,                 2.3172,                 1.7158,                 1.7332,                0.57689,                0.28512,                0.29356,                 0.1404,                 2.4071,                 4.3586,                 1.5717,              0.0066282,              0.0066282,              0.0066282
                      3,                 2.1059,                 1.3891,                 1.5683,                0.86128,                0.33046,                0.36207,                0.17744,                 2.1816,                 1.7447,                 1.4495,              0.0098956,              0.0098956,              0.0098956
                      4,                 1.9443,                 1.1482,                 1.4649,                0.50676,                0.48237,                0.52387,                0.24515,                 2.0526,                 1.7191,                  1.373,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8261,                 1.0015,                 1.4013,                0.80123,                0.52231,                0.66317,                0.30355,                 2.0405,                 1.3127,                 1.3581,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.7568,                0.93958,                 1.3615,                0.73096,                0.67211,                0.71797,                0.31336,                 2.0222,                 1.3635,                  1.349,               0.009802,               0.009802,               0.009802
                      7,                 1.7088,                0.90405,                 1.3512,                0.72642,                0.66507,                0.71594,                0.33579,                  1.942,                 1.1331,                  1.322,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.6577,                0.85063,                 1.3161,                0.57843,                0.65989,                0.66334,                0.30873,                 1.9207,                 1.0893,                 1.3085,               0.009703,               0.009703,               0.009703
                      9,                 1.6218,                0.82412,                 1.3065,                0.72912,                0.69234,                0.71521,                0.31225,                 2.0222,                 1.1576,                 1.3414,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.6067,                0.81305,                 1.2943,                0.84934,                0.75956,                0.79119,                0.39005,                 1.8426,                0.97976,                 1.2712,               0.009604,               0.009604,               0.009604
                     11,                 1.5817,                0.79578,                 1.2832,                0.79983,                0.74017,                0.77267,                0.38503,                 1.7972,                0.92593,                 1.2479,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.5536,                0.76862,                 1.2669,                0.85461,                0.71364,                0.76809,                0.35302,                 1.8588,                0.97176,                 1.2659,               0.009505,               0.009505,               0.009505
                     13,                 1.5426,                0.77222,                 1.2633,                0.82576,                0.72355,                0.74986,                0.35172,                 1.7748,                0.95748,                 1.2495,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.5336,                0.76328,                 1.2612,                0.84269,                0.75305,                0.79547,                0.39092,                  1.781,                0.88037,                 1.2516,               0.009406,               0.009406,               0.009406
                     15,                  1.514,                0.74489,                  1.253,                0.85842,                0.76521,                0.80272,                0.38114,                 1.7846,                0.87834,                 1.2458,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.4981,                0.73563,                 1.2468,                0.84076,                0.75392,                 0.8012,                0.38975,                 1.6898,                0.83029,                 1.2093,               0.009307,               0.009307,               0.009307
                     17,                 1.4951,                0.72995,                 1.2423,                0.81584,                 0.7623,                0.80111,                0.40004,                 1.7287,                0.88362,                 1.2233,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.4919,                0.73385,                 1.2371,                0.88361,                0.76717,                0.81973,                0.40509,                 1.7237,                0.85745,                  1.222,               0.009208,               0.009208,               0.009208
                     19,                 1.4775,                 0.7205,                 1.2325,                0.86925,                0.76749,                0.81852,                0.40786,                 1.7704,                0.85454,                 1.2317,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.4692,                0.71095,                 1.2338,                0.85871,                 0.7535,                0.82599,                0.40478,                 1.7209,                 0.8477,                 1.2209,               0.009109,               0.009109,               0.009109
                     21,                 1.4646,                0.70992,                 1.2271,                0.81683,                 0.7725,                0.80312,                0.40901,                 1.6801,                0.83578,                 1.1999,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.4529,                0.69925,                 1.2204,                0.76256,                0.78214,                0.81121,                0.40192,                 1.6803,                0.80302,                 1.2023,                0.00901,                0.00901,                0.00901
                     23,                 1.4504,                0.70328,                  1.221,                0.85107,                0.74626,                0.80523,                0.40114,                 1.6966,                0.82434,                 1.2083,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.4405,                0.69249,                 1.2135,                0.88321,                0.77624,                0.82985,                0.43213,                 1.6282,                0.80735,                 1.1808,               0.008911,               0.008911,               0.008911
                     25,                 1.4312,                0.69159,                 1.2128,                0.89151,                0.77336,                 0.8346,                0.42383,                 1.6452,                0.79943,                 1.1909,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.4299,                0.68532,                 1.2032,                0.78348,                0.77135,                0.82107,                0.42276,                 1.6742,                0.79193,                 1.1986,               0.008812,               0.008812,               0.008812
                     27,                 1.4161,                0.67672,                 1.2045,                0.79434,                0.77166,                0.79293,                0.40711,                 1.6336,                0.79305,                 1.1806,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.4163,                0.67377,                 1.2061,                0.80471,                0.80185,                0.81201,                0.41406,                 1.6566,                0.78537,                 1.1932,               0.008713,               0.008713,               0.008713
                     29,                 1.4133,                0.67423,                 1.2031,                0.85135,                  0.791,                0.83035,                0.42552,                  1.624,                0.77226,                 1.1804,              0.0086635,              0.0086635,              0.0086635
