                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                 1.2942,                0.63165,                 1.1966,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   0.01,                   0.01,                   0.01
                    132,                 1.2595,                0.60789,                 1.1769,                0.82614,                0.77735,                0.82948,                0.44276,                 1.4308,                0.67682,                  1.138,              0.0044043,              0.0044043,              0.0044043
                    133,                 1.2557,                0.60154,                 1.1733,                 0.8689,                  0.824,                0.87065,                0.46623,                  1.423,                 0.6804,                 1.1437,              0.0043613,              0.0043613,              0.0043613
                    134,                  1.243,                0.59448,                 1.1682,                 0.8283,                0.81554,                0.85129,                0.44607,                 1.4616,                0.66088,                 1.1435,              0.0043183,              0.0043183,              0.0043183
                    135,                 1.2431,                0.59484,                 1.1683,                 0.8479,                0.82778,                0.86791,                0.46584,                 1.4386,                0.66051,                 1.1299,              0.0042752,              0.0042752,              0.0042752
                    136,                 1.2354,                0.58978,                 1.1625,                0.83479,                0.80479,                0.85153,                 0.4405,                 1.4904,                0.66496,                 1.1417,              0.0042322,              0.0042322,              0.0042322
                    137,                 1.2402,                0.59064,                 1.1682,                0.84994,                0.80388,                0.85637,                0.45622,                 1.4117,                0.66251,                 1.1283,              0.0041891,              0.0041891,              0.0041891
                    138,                 1.2334,                0.58286,                 1.1739,                0.88169,                0.82076,                0.87854,                0.47213,                 1.4079,                0.64369,                 1.1266,              0.0041461,              0.0041461,              0.0041461
                    139,                 1.2318,                0.58451,                 1.1612,                0.84349,                0.83399,                 0.8801,                0.47623,                 1.4275,                0.63861,                 1.1396,               0.004103,               0.004103,               0.004103
                    140,                 1.2283,                 0.5783,                 1.1594,                0.88818,                0.82091,                0.88139,                0.47574,                 1.4114,                0.64625,                 1.1273,                0.00406,                0.00406,                0.00406
                    141,                 1.2381,                 0.5877,                 1.1681,                0.86828,                0.81343,                0.87176,                0.46946,                 1.4196,                 0.6491,                 1.1371,               0.004017,               0.004017,               0.004017
                    142,                 1.2178,                0.57205,                 1.1558,                0.86727,                0.83355,                0.88013,                0.47896,                 1.3923,                 0.6358,                 1.1234,              0.0039739,              0.0039739,              0.0039739
                    143,                  1.219,                0.57544,                 1.1494,                  0.873,                0.82584,                0.87646,                0.47217,                 1.4481,                0.63961,                 1.1309,              0.0039309,              0.0039309,              0.0039309
                    144,                 1.2223,                0.57639,                  1.156,                0.87309,                0.82414,                0.87078,                0.46474,                 1.4342,                0.64578,                 1.1326,              0.0038878,              0.0038878,              0.0038878
