                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2442,                 5.7394,                 3.7966,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0032941,              0.0032941,              0.0032941
                      2,                 3.1125,                 2.6101,                 2.1749,                0.90767,                0.13092,                0.21831,                0.08204,                 3.2115,                 6.9872,                 1.9333,               0.006577,               0.006577,               0.006577
                      3,                 2.7942,                 2.0707,                 1.8015,                0.46944,                0.23007,                0.20487,                 0.0714,                 2.9645,                 2.8541,                  1.816,              0.0098091,              0.0098091,              0.0098091
                      4,                  2.603,                 1.7452,                 1.6276,                0.80204,                0.10811,                0.18598,                0.06791,                  3.703,                 55.999,                 2.3182,              0.0097715,              0.0097715,              0.0097715
                      5,                  2.473,                 1.5229,                 1.5477,                0.56238,                0.27827,                0.30469,                0.10203,                 2.8846,                 2.4511,                 1.7945,              0.0097715,              0.0097715,              0.0097715
                      6,                 2.3893,                 1.4061,                 1.4943,                0.60629,                0.31624,                0.33708,                0.15982,                 2.6352,                 2.0189,                 1.5756,              0.0096954,              0.0096954,              0.0096954
                      7,                 2.3273,                 1.3322,                 1.4574,                0.48139,                0.43766,                0.45655,                0.19199,                 2.6362,                 1.9292,                 1.5443,              0.0096192,              0.0096192,              0.0096192
                      8,                 2.2815,                 1.2928,                 1.4398,                0.38548,                0.39082,                0.37831,                0.13604,                  2.806,                 2.1875,                 1.5358,              0.0095431,              0.0095431,              0.0095431
                      9,                 2.2475,                 1.2468,                 1.4124,                0.53361,                 0.4497,                 0.4864,                0.23389,                 2.3083,                 1.6696,                  1.342,              0.0094669,              0.0094669,              0.0094669
                     10,                 2.2249,                 1.2264,                 1.4107,                0.44329,                0.49659,                0.53426,                0.22899,                 2.4868,                 1.7595,                 1.4083,              0.0093908,              0.0093908,              0.0093908
                     11,                 2.1907,                 1.2068,                 1.3825,                0.55774,                0.51894,                0.57699,                0.26936,                 2.3375,                 1.4621,                 1.3514,              0.0093146,              0.0093146,              0.0093146
                     12,                  2.166,                 1.1736,                 1.3669,                0.60034,                 0.5439,                0.65965,                0.29063,                 2.3509,                 1.3325,                 1.3349,              0.0092385,              0.0092385,              0.0092385
                     13,                 2.1617,                  1.169,                 1.3653,                0.54609,                0.57016,                0.61296,                0.25307,                  2.485,                 1.5704,                 1.4114,              0.0091623,              0.0091623,              0.0091623
                     14,                 2.1245,                 1.1439,                 1.3456,                0.58286,                0.57994,                0.61961,                0.27724,                 2.2964,                 1.3719,                 1.3306,              0.0090862,              0.0090862,              0.0090862
                     15,                 2.1089,                 1.1298,                 1.3425,                0.55239,                0.47416,                0.57182,                0.27847,                 2.2092,                 1.3991,                 1.2854,                0.00901,                0.00901,                0.00901
                     16,                 2.0902,                 1.1184,                 1.3282,                0.51583,                0.57469,                0.57977,                0.25118,                 2.4612,                 1.3518,                  1.413,              0.0089338,              0.0089338,              0.0089338
                     17,                 2.0847,                 1.1251,                 1.3365,                0.59125,                0.68735,                0.70276,                0.29714,                 2.3861,                  1.317,                 1.3245,              0.0088577,              0.0088577,              0.0088577
                     18,                 2.0821,                  1.106,                 1.3175,                0.71749,                0.70842,                0.69427,                0.29678,                 2.3314,                 1.3174,                 1.3138,              0.0087815,              0.0087815,              0.0087815
                     19,                 2.0545,                 1.1018,                 1.3085,                0.58885,                0.63412,                0.61394,                0.27032,                 2.4983,                 1.3045,                 1.3611,              0.0087054,              0.0087054,              0.0087054
                     20,                 2.0393,                 1.0834,                 1.3023,                0.58782,                0.53805,                0.58742,                0.23218,                 2.6858,                 1.3183,                 1.3994,              0.0086292,              0.0086292,              0.0086292
                     21,                 2.0434,                 1.0795,                 1.3048,                0.65332,                0.71441,                0.71985,                0.32784,                 2.2639,                   1.13,                 1.2883,              0.0085531,              0.0085531,              0.0085531
                     22,                 2.0243,                  1.084,                   1.29,                0.66175,                0.75975,                0.75605,                 0.3387,                 2.3015,                 1.1998,                 1.2912,              0.0084769,              0.0084769,              0.0084769
                     23,                 2.0177,                 1.0619,                 1.2857,                0.62909,                 0.7132,                0.70533,                0.32515,                 2.2248,                 1.2665,                 1.2826,              0.0084008,              0.0084008,              0.0084008
                     24,                 2.0077,                 1.0596,                 1.2878,                0.79984,                0.74138,                0.80993,                0.37933,                 2.1817,                 1.1337,                 1.2573,              0.0083246,              0.0083246,              0.0083246
                     25,                  2.011,                 1.0554,                  1.284,                0.75389,                0.73936,                0.77671,                0.37891,                  2.139,                 1.1022,                 1.2483,              0.0082485,              0.0082485,              0.0082485
                     26,                  1.994,                 1.0439,                 1.2736,                0.74363,                0.75274,                0.79856,                 0.3729,                 2.2058,                  1.115,                 1.2778,              0.0081723,              0.0081723,              0.0081723
                     27,                 1.9899,                 1.0411,                 1.2651,                0.78651,                0.73515,                0.78558,                 0.3586,                 2.2133,                 1.0877,                 1.2701,              0.0080962,              0.0080962,              0.0080962
                     28,                 1.9848,                 1.0384,                 1.2772,                0.80443,                0.76169,                0.79765,                0.37484,                 2.2151,                 1.1036,                 1.2691,                0.00802,                0.00802,                0.00802
                     29,                 1.9836,                 1.0455,                  1.279,                0.81162,                0.76002,                0.80989,                0.38105,                 2.1453,                 1.0718,                 1.2462,              0.0079438,              0.0079438,              0.0079438
                     30,                 1.9703,                 1.0331,                 1.2697,                0.77793,                0.77075,                0.79004,                0.37073,                 2.1858,                 1.0859,                  1.268,              0.0078677,              0.0078677,              0.0078677
                     31,                 1.9743,                  1.037,                 1.2714,                0.77393,                0.71923,                 0.7405,                0.36718,                 2.1169,                 1.0624,                  1.236,              0.0077915,              0.0077915,              0.0077915
                     32,                 1.9703,                 1.0303,                 1.2625,                0.82118,                0.78413,                0.81355,                0.38636,                  2.109,                 1.0655,                 1.2374,              0.0077154,              0.0077154,              0.0077154
                     33,                 1.9538,                 1.0251,                 1.2538,                   0.74,                0.74972,                0.76965,                0.34694,                 2.3127,                 1.1211,                 1.2817,              0.0076392,              0.0076392,              0.0076392
                     34,                 1.9419,                 1.0169,                 1.2577,                0.77299,                0.78664,                0.80725,                0.39613,                 2.1503,                 1.0501,                 1.2468,              0.0075631,              0.0075631,              0.0075631
                     35,                 1.9425,                 1.0131,                 1.2544,                0.78462,                0.78489,                0.80597,                 0.3884,                 2.1096,                 1.0508,                 1.2292,              0.0074869,              0.0074869,              0.0074869
                     36,                 1.9336,                 1.0147,                 1.2491,                0.76861,                0.74902,                0.79587,                0.37959,                 2.1167,                 1.0679,                 1.2387,              0.0074108,              0.0074108,              0.0074108
                     37,                 1.9424,                 1.0061,                  1.244,                0.81586,                0.75988,                0.81824,                 0.3904,                 2.1314,                 1.0448,                 1.2333,              0.0073346,              0.0073346,              0.0073346
                     38,                  1.931,                 1.0051,                 1.2471,                0.80297,                0.75411,                0.82082,                0.38823,                 2.1726,                  1.041,                 1.2457,              0.0072585,              0.0072585,              0.0072585
                     39,                  1.922,                 1.0007,                 1.2462,                0.79724,                0.76967,                 0.8029,                0.38762,                 2.1719,                 1.0686,                   1.24,              0.0071823,              0.0071823,              0.0071823
                     40,                 1.9234,                0.99489,                 1.2424,                 0.8018,                0.72538,                0.79812,                0.40547,                 2.0723,                 1.0976,                 1.2194,              0.0071062,              0.0071062,              0.0071062
                     41,                 1.9211,                0.99761,                 1.2396,                0.80834,                0.78727,                0.82336,                0.40762,                 2.0601,                 1.0215,                  1.211,                0.00703,                0.00703,                0.00703
                     42,                 1.9171,                0.99939,                  1.237,                0.83543,                0.77796,                0.82496,                0.40185,                 2.1587,                 1.0623,                 1.2417,              0.0069538,              0.0069538,              0.0069538
                     43,                 1.9119,                0.98902,                 1.2358,                0.84103,                0.77024,                0.83436,                0.41118,                 2.0465,                 1.0114,                 1.2035,              0.0068777,              0.0068777,              0.0068777
                     44,                 1.9061,                0.98761,                 1.2351,                0.84183,                0.76943,                0.83606,                0.40816,                 2.1118,                 1.0332,                 1.2198,              0.0068015,              0.0068015,              0.0068015
                     45,                 1.9013,                 0.9878,                 1.2309,                0.81733,                0.80316,                0.82954,                 0.4235,                 2.0311,                0.99875,                 1.2071,              0.0067254,              0.0067254,              0.0067254
                     46,                 1.8996,                0.98324,                 1.2344,                0.82191,                0.79255,                0.82359,                0.40688,                 2.0494,                 1.0041,                 1.2011,              0.0066492,              0.0066492,              0.0066492
                     47,                 1.8911,                0.97751,                 1.2242,                0.84513,                0.78108,                0.83546,                 0.4332,                 2.0257,                0.98583,                 1.1956,              0.0065731,              0.0065731,              0.0065731
                     48,                 1.8947,                0.97952,                 1.2264,                0.82495,                0.77835,                0.83217,                0.40854,                 2.0568,                 1.0095,                  1.202,              0.0064969,              0.0064969,              0.0064969
                     49,                  1.882,                0.97697,                 1.2255,                0.83351,                0.75373,                 0.8275,                0.41695,                   2.09,                 1.0344,                 1.2125,              0.0064208,              0.0064208,              0.0064208
                     50,                 1.8938,                0.97832,                 1.2273,                0.84035,                0.78991,                0.84214,                0.42671,                 2.0355,                 0.9911,                 1.2038,              0.0063446,              0.0063446,              0.0063446
                     51,                 1.8846,                 0.9776,                 1.2254,                0.80892,                0.76211,                0.80872,                0.38745,                 2.1965,                 1.0472,                 1.2286,              0.0062685,              0.0062685,              0.0062685
                     52,                 1.8817,                0.97172,                 1.2165,                0.81165,                0.77898,                0.81638,                0.40688,                 2.0586,                0.99316,                 1.1994,              0.0061923,              0.0061923,              0.0061923
                     53,                  1.887,                0.96996,                 1.2191,                0.83671,                0.77354,                0.82795,                0.40777,                 2.0763,                 1.0096,                 1.2112,              0.0061162,              0.0061162,              0.0061162
                     54,                 1.8802,                0.97414,                 1.2321,                0.84443,                0.79713,                0.84178,                0.42468,                 2.0527,                0.99218,                 1.2064,                0.00604,                0.00604,                0.00604
                     55,                 1.8701,                0.96451,                 1.2137,                0.82302,                0.79983,                0.84155,                0.43174,                 2.0437,                 1.0121,                 1.1956,              0.0059638,              0.0059638,              0.0059638
                     56,                 1.8678,                0.96461,                 1.2144,                0.84283,                0.76397,                0.83074,                0.42658,                 2.0251,                0.99621,                 1.1982,              0.0058877,              0.0058877,              0.0058877
                     57,                  1.863,                0.95119,                 1.2154,                0.82555,                0.80049,                0.84114,                0.43783,                 1.9954,                0.99209,                 1.1832,              0.0058115,              0.0058115,              0.0058115
                     58,                 1.8604,                0.96219,                 1.2123,                0.84452,                0.80611,                0.84874,                0.43467,                 2.0328,                0.98746,                 1.1889,              0.0057354,              0.0057354,              0.0057354
                     59,                 1.8656,                0.95621,                  1.208,                 0.8542,                0.79267,                0.85198,                0.43511,                   2.02,                0.97839,                 1.1866,              0.0056592,              0.0056592,              0.0056592
                     60,                 1.8635,                0.96048,                 1.2068,                0.84308,                0.77291,                0.83673,                0.42878,                 2.0031,                0.98428,                  1.183,              0.0055831,              0.0055831,              0.0055831
                     61,                 1.8519,                0.95931,                 1.2095,                0.79725,                0.79967,                0.82682,                0.40846,                 2.0542,                0.97223,                 1.1907,              0.0055069,              0.0055069,              0.0055069
                     62,                 1.8529,                0.95606,                 1.2059,                0.84116,                0.78344,                0.84044,                0.42228,                 2.0253,                0.97295,                 1.1775,              0.0054308,              0.0054308,              0.0054308
                     63,                 1.8513,                0.95051,                 1.2064,                0.83804,                 0.8036,                0.84498,                0.43978,                 1.9842,                0.97153,                 1.1773,              0.0053546,              0.0053546,              0.0053546
                     64,                 1.8507,                0.94921,                 1.1994,                0.87771,                0.81134,                0.85303,                0.44264,                 1.9936,                0.96132,                 1.1731,              0.0052785,              0.0052785,              0.0052785
                     65,                 1.8383,                0.94625,                 1.2048,                0.82361,                0.80146,                 0.8269,                0.42273,                 1.9666,                0.95574,                 1.1729,              0.0052023,              0.0052023,              0.0052023
                     66,                 1.8454,                0.94836,                 1.2003,                0.85955,                0.79484,                0.85159,                0.43843,                 2.0008,                 0.9548,                 1.1791,              0.0051262,              0.0051262,              0.0051262
                     67,                 1.8416,                0.94696,                 1.2002,                0.85517,                 0.8017,                0.85573,                0.44832,                 1.9941,                0.95797,                 1.1862,                0.00505,                0.00505,                0.00505
                     68,                  1.838,                0.93834,                 1.2001,                0.87023,                0.80571,                0.86033,                0.45356,                 1.9906,                0.96157,                 1.1701,              0.0049738,              0.0049738,              0.0049738
                     69,                 1.8282,                0.93298,                 1.1946,                0.83463,                0.80596,                0.84989,                 0.4429,                 2.0128,                0.97732,                 1.1754,              0.0048977,              0.0048977,              0.0048977
                     70,                 1.8259,                0.93774,                  1.197,                0.85306,                0.80797,                0.85547,                0.44734,                 1.9725,                0.95215,                 1.1687,              0.0048215,              0.0048215,              0.0048215
                     71,                 1.8338,                0.94056,                 1.1964,                0.86477,                0.79554,                0.85151,                0.44335,                  2.007,                0.97742,                 1.1735,              0.0047454,              0.0047454,              0.0047454
                     72,                 1.8268,                0.93793,                 1.1892,                 0.8621,                0.77542,                0.85252,                0.45168,                 1.9522,                 0.9533,                 1.1601,              0.0046692,              0.0046692,              0.0046692
                     73,                 1.8284,                0.93147,                 1.1964,                0.88101,                 0.8216,                0.87104,                0.45437,                 1.9871,                0.94918,                 1.1687,              0.0045931,              0.0045931,              0.0045931
                     74,                 1.8227,                 0.9332,                 1.1967,                0.86934,                0.81048,                0.85892,                0.45273,                 1.9548,                0.94374,                 1.1627,              0.0045169,              0.0045169,              0.0045169
                     75,                 1.8298,                0.94412,                 1.2023,                0.86401,                0.78707,                0.84969,                0.44083,                 1.9775,                0.96112,                 1.1713,              0.0044408,              0.0044408,              0.0044408
                     76,                 1.8196,                0.93146,                 1.1927,                0.84587,                0.80556,                0.85578,                0.45409,                 1.9458,                0.93659,                  1.158,              0.0043646,              0.0043646,              0.0043646
                     77,                 1.8186,                 0.9406,                 1.1955,                0.87231,                0.80349,                  0.857,                0.44854,                 1.9643,                0.94089,                 1.1634,              0.0042885,              0.0042885,              0.0042885
