                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5123,                 3.3825,                 2.9005,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0033278,              0.0033278,              0.0033278
                      2,                 2.3897,                 1.7987,                 1.7831,                0.58472,                0.27895,                0.29786,                0.12367,                 2.3591,                 2.2626,                 1.5467,              0.0066282,              0.0066282,              0.0066282
                      3,                  2.167,                 1.4504,                 1.5996,                0.62268,                0.30571,                 0.3576,                0.16321,                 2.2969,                  2.226,                 1.4645,              0.0098956,              0.0098956,              0.0098956
                      4,                 2.0112,                 1.1995,                 1.4965,                0.90079,                0.32781,                0.41186,                0.18018,                 2.2579,                 1.6901,                 1.4365,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.8998,                  1.042,                 1.4359,                0.54414,                0.51169,                0.57313,                  0.253,                  2.085,                 1.5453,                 1.3749,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.8256,                0.97261,                 1.3927,                0.58138,                0.50163,                0.60283,                0.27069,                  2.088,                 1.3984,                 1.3797,               0.009802,               0.009802,               0.009802
                      7,                 1.7755,                0.93065,                  1.382,                0.52987,                0.56332,                0.59347,                0.27546,                 1.9168,                 1.2715,                 1.3144,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.7242,                0.87744,                 1.3459,                0.66406,                0.57295,                0.66529,                0.31247,                 1.8831,                 1.1791,                 1.2996,               0.009703,               0.009703,               0.009703
                      9,                 1.6752,                0.84181,                 1.3319,                0.64363,                0.54563,                0.67239,                0.30031,                 2.0099,                 1.1964,                 1.3142,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.6573,                0.82894,                 1.3182,                 0.6109,                0.70553,                0.70599,                0.32335,                 2.0305,                 1.2179,                 1.3199,               0.009604,               0.009604,               0.009604
                     11,                 1.6251,                0.81097,                 1.3039,                0.70818,                0.73655,                0.75028,                0.34803,                 1.8366,                 1.0583,                  1.281,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.5979,                0.78416,                 1.2879,                0.82123,                0.76433,                0.79365,                 0.3708,                  1.809,                0.98384,                 1.2653,               0.009505,               0.009505,               0.009505
